Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,13.41,19.63,19.68,18.96,19.28,19103600
2015-09-04,13.56,19.85,19.87,19.38,19.45,29001000
2015-09-08,13.4,19.61,20.18,19.45,20.07,12962200
2015-09-09,13.22,19.21,19.82,19.14,19.65,12570100
2015-09-10,13.2,19.17,19.44,18.55,18.62,15656500
2015-09-11,12.98,18.86,19.13,18.75,19.08,12074800
2015-09-14,12.98,18.86,19.03,18.68,18.9,16419800
2015-09-15,13.12,19.06,19.2,18.81,18.94,12608700
2015-09-16,13.39,19.45,19.63,19.22,19.5,33098100
2015-09-17,13.42,19.49,19.77,19.26,19.27,15112200
2015-09-18,13.4,19.47,19.77,19.22,19.3,17755500
2015-09-21,13.31,19.33,19.6,19.21,19.26,8304700
2015-09-22,13.35,19.4,19.44,19.08,19.21,12341600
2015-09-23,13.2,19.17,19.44,19.1,19.42,14577900
2015-09-24,13.16,19.12,19.33,18.71,18.85,12388600
2015-09-25,13.29,19.3,19.72,19.04,19.3,8973300
2015-09-28,13.27,19.28,19.41,19.05,19.32,8048100
2015-09-29,13.33,19.36,19.53,19.2,19.28,9049600
2015-09-30,13.37,19.42,19.75,19.35,19.6,12317500
2015-10-01,13.56,19.7,19.81,19.35,19.41,11101400
2015-10-02,13.81,20.06,20.12,19.56,19.59,10206500
2015-10-05,14.01,20.35,20.46,20.19,20.33,7815300
2015-10-06,13.69,19.89,20.44,19.72,20.4,11701900
2015-10-07,13.77,20.0,20.15,19.84,20.11,14611300
2015-10-08,13.55,19.68,20.14,19.53,20.0,16584900
2015-10-09,13.62,19.79,19.95,19.38,19.95,10745500
2015-10-13,12.87,18.7,19.75,18.52,19.75,26310900
2015-10-14,12.67,18.4,19.06,18.3,18.7,33641900
2015-10-15,13.15,19.11,19.21,18.26,18.54,22550400
2015-10-16,13.28,19.29,19.46,18.85,19.15,12205300
2015-10-19,13.4,19.47,19.47,19.11,19.3,7638800
2015-10-20,13.48,19.58,19.58,19.22,19.43,8221200
2015-10-21,13.56,19.7,19.89,19.54,19.65,12448700
2015-10-22,13.53,19.66,19.94,19.5,19.71,15198200
2015-10-23,13.61,19.77,20.04,19.68,20.04,8648600
2015-10-26,13.55,19.68,19.87,19.57,19.8,7122600
2015-10-27,13.64,19.81,19.86,19.47,19.6,13534100
2015-10-28,13.52,19.64,19.66,19.45,19.63,1124700
2015-10-29,13.08,19.0,19.38,19.0,19.12,9370500
2015-10-30,13.14,19.09,19.26,18.7,18.87,11964400
2015-11-03,13.49,19.6,19.6,18.94,19.1,13504000
2015-11-04,13.49,19.6,19.79,19.25,19.69,10152800
2015-11-05,13.4,19.46,19.66,19.24,19.49,9123700
2015-11-06,13.06,18.97,19.44,18.86,19.37,8831000
2015-11-09,12.87,18.7,19.1,18.53,18.97,7940700
2015-11-10,12.84,18.65,18.69,18.2,18.57,10882400
2015-11-11,13.12,19.06,19.08,18.7,18.71,10527800
2015-11-12,13.0,18.89,19.3,18.8,19.05,9205400
2015-11-13,13.15,19.1,19.19,18.77,18.89,9777100
2015-11-16,13.11,19.05,19.24,18.89,19.06,13456500
2015-11-17,13.16,19.12,19.3,19.08,19.3,6661900
2015-11-18,13.2,19.17,19.42,19.07,19.12,8395900
2015-11-19,13.32,19.35,19.45,19.17,19.41,11994500
2015-11-23,13.12,19.06,19.5,19.03,19.36,13950500
2015-11-24,13.04,18.94,19.07,18.76,19.05,6897800
2015-11-25,12.8,18.6,18.89,18.44,18.72,18395700
2015-11-26,12.95,18.81,18.88,18.58,18.6,7722000
2015-11-27,12.78,18.57,18.81,18.55,18.77,9169000
2015-11-30,12.83,18.64,18.98,18.4,18.45,39865300
2015-12-01,12.89,18.73,18.78,18.5,18.68,21176800
2015-12-02,12.69,18.44,18.75,18.42,18.67,14178100
2015-12-03,12.91,18.75,19.08,18.56,19.05,12319500
2015-12-04,12.76,18.54,18.88,18.48,18.69,10060000
2015-12-07,12.8,18.6,18.78,18.5,18.64,8980300
2015-12-08,12.49,18.14,18.72,18.1,18.6,11347300
2015-12-09,12.72,18.48,18.71,18.25,18.39,16476700
2015-12-10,12.6,18.3,18.56,18.12,18.56,7703100
2015-12-11,12.58,18.28,18.58,18.17,18.21,12966500
2015-12-14,12.43,18.05,18.35,18.0,18.25,5611300
2015-12-15,12.29,17.85,18.28,17.85,18.15,7791500
2015-12-16,12.49,18.14,18.25,17.71,17.77,7726900
