Date,Adj Close,Close,High,Low,Open,Volume
2019-08-05,29.95,34.63,35.6,34.63,35.52,0
2019-08-06,30.27,35.0,36.15,34.4,34.64,1045800
2019-08-07,31.85,36.82,37.58,34.21,35.39,3198400
2019-08-08,31.87,36.85,38.08,36.43,38.08,1147100
2019-08-09,32.08,37.09,37.55,36.53,36.98,1120900
2019-08-12,31.57,36.5,37.35,36.33,37.35,469200
2019-08-13,31.92,36.9,36.92,36.12,36.43,670600
2019-08-14,31.57,36.5,37.15,36.21,37.15,490400
2019-08-15,31.13,35.99,36.51,35.35,36.5,595800
2019-08-16,31.57,36.5,36.57,35.45,35.99,685200
2019-08-19,31.48,36.39,37.34,35.51,36.5,1337700
2019-08-20,31.91,36.89,37.11,35.2,36.03,429100
2019-08-21,31.96,36.95,37.23,36.31,36.5,827400
2019-08-22,31.48,36.4,37.13,36.12,36.51,528500
2019-08-23,30.96,35.79,36.18,34.83,35.85,571600
2019-08-26,30.71,35.5,36.47,34.6,36.47,467100
2019-08-27,31.13,35.99,36.29,34.96,36.15,461100
2019-08-28,31.13,35.99,36.09,35.41,35.95,487700
2019-08-29,31.31,36.2,36.27,35.34,36.17,553000
2019-08-30,32.51,37.59,38.1,36.1,36.39,2177600
2019-09-02,32.04,37.04,37.56,36.4,37.09,1038600
2019-09-03,31.57,36.5,37.42,36.21,37.42,794200
2019-09-04,31.57,36.5,36.69,35.84,36.57,383300
2019-09-05,31.7,36.65,36.93,36.33,36.5,442900
2019-09-06,31.53,36.45,36.78,36.01,36.33,566600
2019-09-09,30.97,35.8,36.45,34.59,36.45,617700
2019-09-10,30.7,35.49,35.49,34.76,35.28,534800
2019-09-11,31.35,36.24,36.42,35.21,35.31,507200
2019-09-12,31.31,36.2,36.45,35.7,36.24,394900
2019-09-13,30.73,35.53,36.14,35.07,36.0,441300
2019-09-16,30.1,34.8,35.09,34.36,35.05,852900
2019-09-17,30.16,34.87,35.25,34.38,35.13,808900
2019-09-18,31.09,35.95,35.95,34.54,34.92,1320800
2019-09-19,32.78,37.9,38.48,35.99,35.99,1565500
2019-09-20,33.3,38.5,38.5,37.31,37.31,1395400
2019-09-23,33.37,38.58,38.58,37.61,38.51,940400
2019-09-24,33.64,38.89,38.99,38.0,38.41,997700
2019-09-25,33.64,38.89,38.89,38.07,38.85,862100
2019-09-26,33.73,39.0,39.1,38.53,38.89,582800
2019-09-27,34.15,39.48,39.48,38.61,39.0,905600
2019-09-30,34.16,39.49,39.49,38.85,39.48,1154400
2019-10-01,34.05,39.37,39.76,38.59,39.76,1075600
2019-10-02,33.82,39.1,39.32,38.52,39.28,1007900
2019-10-03,34.04,39.35,39.35,38.29,39.1,641300
2019-10-04,33.72,38.98,39.36,38.91,39.36,784000
2019-10-07,33.4,38.62,38.78,37.9,38.53,965900
2019-10-08,33.26,38.45,38.76,38.08,38.7,618600
2019-10-09,33.5,38.73,38.76,38.15,38.75,551400
2019-10-10,33.14,38.32,38.6,38.08,38.4,895900
2019-10-11,33.51,38.74,38.78,38.09,38.54,364000
2019-10-14,33.59,38.83,38.83,38.12,38.7,439500
2019-10-15,33.0,38.15,38.79,37.57,38.79,2708700
2019-10-16,33.6,38.85,39.0,37.65,38.1,606200
2019-10-17,33.73,39.0,39.0,38.41,38.56,470000
2019-10-18,34.17,39.5,39.5,38.64,39.0,1872100
2019-10-21,34.6,40.0,40.65,39.18,40.0,2960600
2019-10-22,34.01,39.32,40.19,39.11,39.95,1440500
2019-10-23,35.35,40.87,40.87,38.88,39.65,1367400
