Date,Adj Close,Close,High,Low,Open,Volume
2021-03-01,13.74,14.28,15.21,13.88,14.4,64088000
2021-03-02,13.95,14.5,14.8,13.7,14.08,14717000
2021-03-03,13.72,14.26,14.56,13.88,14.36,17545000
2021-03-04,14.09,14.64,14.79,14.16,14.25,12300000
2021-03-05,14.43,15.0,15.7,14.4,14.5,18499500
2021-03-08,13.67,14.2,15.06,13.75,14.97,12366000
2021-03-09,13.63,14.16,14.16,13.7,14.0,10167000
2021-03-10,13.66,14.2,14.7,13.94,14.2,15699500
2021-03-11,14.14,14.7,14.91,14.36,14.44,16646000
2021-03-12,14.01,14.56,14.81,14.3,14.3,7509000
2021-03-15,14.02,14.57,14.76,14.35,14.55,11593000
2021-03-16,13.77,14.31,14.65,14.21,14.58,7789500
2021-03-17,14.24,14.8,14.82,14.21,14.31,4753000
2021-03-18,14.1,14.65,14.76,14.42,14.42,2304000
2021-03-19,13.73,14.27,14.78,14.18,14.7,14098000
2021-03-22,13.47,14.0,14.36,13.86,14.36,5803000
2021-03-23,13.62,14.16,14.16,13.71,14.0,7916000
2021-03-24,13.18,13.7,14.19,13.55,14.02,12174500
2021-03-25,13.83,14.37,14.4,13.52,13.6,6602000
2021-03-26,13.99,14.54,14.88,14.21,14.27,4396500
2021-03-29,14.15,14.7,14.7,14.2,14.44,6557000
2021-03-30,14.15,14.7,14.83,14.5,14.5,8433000
2021-03-31,14.21,14.77,14.79,14.4,14.71,3663000
2021-04-01,14.45,15.01,15.17,14.77,14.84,9940000
2021-04-05,14.91,15.5,15.68,15.06,15.06,6073500
2021-04-06,14.78,15.36,15.5,15.3,15.5,5821500
2021-04-07,14.69,15.26,15.57,14.67,15.22,10992000
2021-04-08,14.9,15.48,15.52,15.02,15.2,6395000
2021-04-09,14.91,15.5,15.52,15.17,15.41,7012500
2021-04-12,14.9,15.48,15.59,15.3,15.48,4711000
2021-04-13,14.87,15.45,15.6,15.3,15.48,5449500
2021-04-14,15.14,15.73,15.74,15.4,15.43,5841000
2021-04-15,15.39,15.99,16.01,15.63,15.63,11554500
2021-04-16,15.35,15.95,16.56,15.8,16.56,13035000
2021-04-19,15.49,16.1,16.33,15.8,15.95,5017000
2021-04-20,15.68,16.3,16.49,15.87,16.18,6029000
2021-04-22,15.48,16.09,16.59,16.0,16.33,8470500
2021-04-23,15.62,16.23,16.36,16.03,16.28,4653000
2021-04-26,15.47,16.07,16.34,15.97,16.31,3662000
2021-04-27,15.33,15.93,16.11,15.9,16.06,4986500
2021-04-28,15.39,16.0,16.17,15.85,15.95,5371500
2021-04-29,15.42,15.96,16.07,15.64,16.01,5343000
2021-04-30,15.63,16.18,16.23,15.66,15.84,22683000
2021-05-03,15.74,16.29,16.44,16.04,16.2,8474000
2021-05-04,15.94,16.5,16.52,16.11,16.4,9407500
2021-05-05,16.54,17.12,17.4,16.8,16.87,17262500
