Date,Adj Close,Close,High,Low,Open,Volume
2022-03-28,12.77,16.4,16.8,15.46,16.8,5237900
2022-03-29,12.93,16.6,16.99,16.22,16.39,4714100
2022-03-30,12.4,15.92,16.77,15.82,16.62,4408600
2022-03-31,12.45,15.99,16.49,15.5,15.96,3876100
2022-04-01,12.53,16.09,16.65,15.83,15.99,4252000
2022-04-04,12.43,15.97,16.37,15.86,16.13,2842400
2022-04-05,12.17,15.63,16.07,15.5,15.91,3624900
2022-04-06,12.44,15.98,16.0,15.45,15.51,2914800
2022-04-07,12.46,16.0,16.35,15.69,15.84,3223900
2022-04-08,12.62,16.21,16.4,15.86,15.86,2049800
2022-04-11,12.39,15.91,16.58,15.91,16.19,2119500
2022-04-12,12.26,15.74,16.25,15.7,16.05,2267700
2022-04-13,12.12,15.56,16.14,15.54,15.93,4421300
2022-04-14,12.12,15.57,15.9,15.49,15.53,2077400
2022-04-18,12.47,16.01,16.01,15.33,15.56,3931100
2022-04-19,12.12,15.56,16.2,15.43,15.99,3118100
2022-04-20,12.07,15.5,15.7,15.37,15.52,2798400
2022-04-22,12.23,15.71,15.86,15.17,15.45,11382300
2022-04-25,12.4,15.93,15.93,15.3,15.58,2683100
2022-04-26,11.97,15.37,15.99,15.25,15.85,2627000
2022-04-27,12.07,15.5,15.51,15.21,15.49,2401400
2022-04-28,11.92,15.31,15.54,14.78,15.54,3489600
2022-04-29,11.41,14.66,15.38,14.66,15.38,10427400
2022-05-02,11.18,14.36,14.75,14.09,14.69,2883200
2022-05-03,11.28,14.49,14.6,14.16,14.34,1672900
2022-05-04,11.69,14.93,14.93,14.09,14.31,4400300
2022-05-05,11.29,14.41,14.84,14.23,14.83,3065700
2022-05-06,11.12,14.2,14.44,14.11,14.41,2813300
2022-05-09,11.08,14.14,14.21,13.8,14.04,1545300
2022-05-10,11.12,14.2,14.37,13.98,14.19,2338900
2022-05-11,11.07,14.13,14.54,14.06,14.2,1595100
2022-05-12,11.15,14.24,14.4,13.86,14.04,1884700
2022-05-13,11.33,14.46,14.53,14.19,14.28,1333500
2022-05-16,11.28,14.4,14.57,14.19,14.27,2419100
2022-05-17,11.56,14.76,15.0,14.5,14.5,1389700
2022-05-18,11.11,14.18,14.8,14.09,14.7,1959900
2022-05-19,11.22,14.33,14.37,14.01,14.19,2127500
2022-05-20,11.11,14.18,14.48,13.87,14.48,1777400
