Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,17.53,22.09,22.15,21.03,21.03,108500
2015-09-04,17.42,21.95,22.14,21.75,21.99,100800
2015-09-08,17.58,22.15,22.15,21.7,21.7,256000
2015-09-09,17.7,22.3,22.98,22.09,22.14,197000
2015-09-10,17.38,21.9,22.25,21.45,22.0,439300
2015-09-11,17.42,21.95,22.18,21.46,21.9,64000
2015-09-14,17.26,21.75,22.13,21.63,21.99,374400
2015-09-15,16.75,21.1,21.61,21.0,21.55,147900
2015-09-16,17.51,22.06,22.25,21.12,21.14,202700
2015-09-17,16.95,21.35,22.28,21.35,21.88,73900
2015-09-18,16.03,20.2,21.53,20.17,21.49,118100
2015-09-21,16.08,20.26,20.75,20.03,20.3,53400
2015-09-22,16.4,20.66,20.67,19.62,20.07,123200
2015-09-23,16.24,20.46,20.91,20.17,20.7,76100
2015-09-24,16.06,20.23,20.85,19.84,20.48,428000
2015-09-25,16.51,20.8,21.02,20.34,20.34,59400
2015-09-28,15.87,20.0,21.06,19.55,20.8,135200
2015-09-29,15.87,20.0,20.39,19.79,20.17,72000
2015-09-30,15.79,19.9,20.49,19.9,20.32,344800
2015-10-01,15.6,19.65,20.16,19.45,19.9,301500
2015-10-02,16.48,20.76,20.97,19.2,19.59,149100
2015-10-05,16.15,20.35,21.46,20.26,21.09,87200
2015-10-06,16.63,20.95,21.01,20.27,20.83,103700
2015-10-07,16.67,21.0,21.7,20.89,21.7,38300
2015-10-08,17.24,21.72,21.72,21.03,21.18,72400
2015-10-09,18.65,23.5,23.5,21.93,22.01,100800
2015-10-13,18.18,22.9,23.38,22.7,23.19,92400
2015-10-14,17.6,22.18,23.23,21.71,22.99,242500
2015-10-15,17.42,21.95,22.48,21.88,22.21,70600
2015-10-16,17.06,21.49,22.45,21.49,21.77,248600
2015-10-19,16.77,21.13,21.87,21.13,21.7,67600
2015-10-20,17.1,21.54,22.24,21.15,21.26,108100
2015-10-21,16.45,20.72,21.72,20.54,21.6,69400
2015-10-22,16.67,21.0,21.79,20.53,20.53,84100
2015-10-23,16.76,21.11,22.0,21.09,21.32,85400
2015-10-26,16.37,20.62,21.28,20.43,21.23,139900
2015-10-27,16.27,20.5,20.98,20.49,20.74,54400
2015-10-28,16.87,21.25,21.4,20.32,20.33,10900
2015-10-29,15.95,20.1,21.72,20.1,20.8,90400
2015-10-30,16.67,21.0,21.0,20.01,20.01,121900
2015-11-03,17.26,21.75,22.07,20.67,21.3,67000
2015-11-04,17.06,21.5,22.41,21.27,21.69,139800
2015-11-05,17.06,21.5,21.7,21.1,21.1,255000
2015-11-06,16.6,20.91,22.45,20.82,21.46,50000
2015-11-09,16.46,20.74,20.92,20.66,20.92,40700
2015-11-10,17.06,21.5,21.5,20.84,20.89,164000
2015-11-11,17.46,22.0,22.54,21.54,21.74,57900
2015-11-12,17.86,22.5,22.64,21.78,22.18,375600
2015-11-13,16.97,21.38,22.59,21.38,22.52,156900
2015-11-16,17.0,21.42,21.6,20.8,21.56,58900
2015-11-17,17.3,21.8,22.06,21.34,21.55,69400
2015-11-18,17.46,22.0,22.28,21.62,21.8,58400
2015-11-19,17.47,22.01,22.5,21.68,22.29,135900
2015-11-23,17.64,22.23,22.49,21.9,22.29,81300
2015-11-24,18.29,23.04,23.04,22.21,22.28,179300
2015-11-25,18.14,22.85,23.13,22.49,23.13,103700
2015-11-26,18.33,23.1,23.19,22.57,22.91,49400
2015-11-27,18.06,22.75,23.46,22.63,23.2,117800
2015-11-30,17.46,22.0,22.74,21.97,22.5,457000
2015-12-01,17.7,22.3,22.69,21.5,22.0,86500
2015-12-02,18.48,23.28,23.49,22.12,22.44,155700
2015-12-03,18.65,23.5,23.65,23.15,23.28,222600
2015-12-04,18.49,23.3,23.47,23.16,23.47,97100
2015-12-07,19.0,23.94,24.24,23.26,23.6,153200
2015-12-08,18.64,23.49,23.99,23.11,23.94,165800
2015-12-09,18.57,23.4,23.78,22.64,23.72,199000
2015-12-10,18.97,23.9,23.9,23.17,23.2,199600
2015-12-11,18.65,23.5,23.86,23.12,23.67,169500
2015-12-14,18.27,23.02,23.57,22.85,23.5,60100
