Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,2.52,3.51,3.57,3.39,3.51,31723500
2015-09-04,2.44,3.4,3.49,3.36,3.43,38226600
2015-09-08,2.45,3.41,3.48,3.39,3.48,25979400
2015-09-09,2.54,3.54,3.62,3.51,3.58,55248300
2015-09-10,2.58,3.6,3.6,3.41,3.41,47466000
2015-09-11,2.55,3.55,3.64,3.49,3.6,29342100
2015-09-14,2.64,3.68,3.74,3.49,3.57,37881900
2015-09-15,2.73,3.8,3.83,3.64,3.67,46962900
2015-09-16,2.84,3.96,3.98,3.81,3.83,59867100
2015-09-17,2.72,3.79,3.92,3.79,3.88,48745200
2015-09-18,2.67,3.72,3.82,3.68,3.77,25416000
2015-09-21,2.62,3.65,3.74,3.65,3.68,19284300
2015-09-22,2.65,3.7,3.71,3.58,3.6,20963400
2015-09-23,2.62,3.65,3.76,3.61,3.7,47576400
2015-09-24,2.66,3.7,3.77,3.49,3.55,44850000
2015-09-25,2.63,3.66,3.78,3.66,3.75,29395200
2015-09-28,2.58,3.59,3.69,3.58,3.62,22461300
2015-09-29,2.57,3.58,3.65,3.53,3.59,31294800
2015-09-30,2.65,3.69,3.69,3.58,3.66,52498800
2015-10-01,2.72,3.79,3.86,3.68,3.72,35781600
2015-10-02,2.82,3.93,3.94,3.75,3.76,31573500
2015-10-05,2.76,3.85,3.98,3.8,3.97,25147800
2015-10-06,2.76,3.85,3.89,3.78,3.84,22411500
2015-10-07,2.77,3.86,3.99,3.77,3.93,31295400
2015-10-08,2.79,3.89,3.93,3.82,3.83,19333800
2015-10-09,2.85,3.97,3.99,3.9,3.96,32949000
2015-10-13,2.82,3.92,4.0,3.88,3.94,41429400
2015-10-14,2.7,3.77,3.93,3.76,3.88,56097600
2015-10-15,2.76,3.84,3.86,3.76,3.78,16141200
2015-10-16,2.74,3.81,3.89,3.76,3.84,24971700
2015-10-19,2.74,3.82,3.87,3.78,3.81,15406800
2015-10-20,2.72,3.79,3.87,3.74,3.83,26403300
2015-10-21,2.72,3.79,3.82,3.77,3.79,16506900
2015-10-22,2.84,3.95,3.98,3.77,3.81,52311000
2015-10-23,2.88,4.02,4.09,3.96,3.99,58668300
2015-10-26,2.89,4.02,4.05,3.99,4.02,20624700
2015-10-27,2.86,3.98,4.03,3.95,4.01,24770100
2015-10-28,2.87,3.99,4.0,3.97,3.97,1564800
2015-10-29,2.76,3.84,3.96,3.84,3.94,14820000
2015-10-30,2.73,3.8,3.88,3.77,3.84,22705500
2015-11-03,2.97,4.13,4.21,3.94,3.96,82421100
2015-11-04,2.94,4.1,4.26,4.05,4.25,44352900
2015-11-05,2.93,4.08,4.15,4.05,4.13,16190100
2015-11-06,2.87,4.0,4.09,3.9,4.05,37511400
2015-11-09,2.89,4.03,4.08,3.97,4.0,21161100
2015-11-10,2.93,4.08,4.08,3.96,4.0,19486200
2015-11-11,2.99,4.17,4.2,4.1,4.1,30846300
2015-11-12,2.92,4.07,4.22,4.04,4.17,35934600
2015-11-13,2.87,4.0,4.08,3.96,4.07,44784600
2015-11-16,2.87,4.0,4.07,3.97,3.97,39994500
2015-11-17,2.89,4.03,4.11,4.02,4.05,44406600
2015-11-18,2.97,4.13,4.17,4.02,4.04,42590700
2015-11-19,2.92,4.07,4.19,4.05,4.19,45818700
2015-11-23,2.98,4.15,4.17,4.09,4.09,26338500
2015-11-24,2.95,4.05,4.12,4.03,4.08,28504200
2015-11-25,2.95,4.05,4.07,3.95,4.01,50548800
2015-11-26,2.92,4.01,4.08,4.0,4.04,22389300
2015-11-27,2.85,3.92,4.03,3.89,4.0,31810800
2015-11-30,2.76,3.79,3.93,3.79,3.85,86900400
2015-12-01,2.81,3.87,3.88,3.75,3.8,44334300
2015-12-02,2.8,3.84,3.9,3.79,3.83,50166000
2015-12-03,2.86,3.93,4.04,3.89,3.98,39812700
2015-12-04,2.81,3.85,3.9,3.79,3.88,47070600
2015-12-07,2.8,3.85,3.91,3.83,3.87,29971500
2015-12-08,2.75,3.78,3.87,3.77,3.85,22251000
2015-12-09,2.91,3.99,4.02,3.8,3.86,43242300
2015-12-10,2.9,3.99,4.02,3.93,4.02,30160500
2015-12-11,2.91,4.0,4.09,3.94,3.94,39437400
2015-12-14,2.91,3.91,3.95,3.85,3.95,20031000
2015-12-15,2.87,3.86,3.95,3.86,3.92,23567700
2015-12-16,2.88,3.87,3.88,3.76,3.83,44964600
2015-12-17,2.9,3.9,3.96,3.86,3.93,48750900
2015-12-18,2.78,3.74,3.85,3.73,3.8,40751700
2015-12-21,2.74,3.69,3.78,3.67,3.74,29202900
2015-12-22,2.75,3.7,3.73,3.67,3.69,16921800
2015-12-23,2.74,3.68,3.77,3.64,3.74,15818100
2015-12-28,2.7,3.64,3.71,3.62,3.69,15461400
2015-12-29,2.71,3.64,3.7,3.63,3.65,16468800
2015-12-30,2.7,3.63,3.69,3.61,3.63,21960900
2016-01-04,2.59,3.48,3.65,3.48,3.58,34184100
2016-01-05,2.69,3.62,3.64,3.5,3.5,32522700
2016-01-06,2.69,3.61,3.65,3.55,3.59,21549600
2016-01-07,2.58,3.46,3.59,3.44,3.58,43765500
2016-01-08,2.61,3.51,3.53,3.48,3.5,27389700
2016-01-11,2.6,3.5,3.59,3.5,3.53,41600400
2016-01-12,2.59,3.48,3.55,3.43,3.53,34346100
2016-01-13,2.58,3.47,3.53,3.42,3.5,19974000
2016-01-14,2.63,3.54,3.55,3.42,3.49,33691800
2016-01-15,2.58,3.47,3.52,3.44,3.48,40714800
2016-01-18,2.58,3.47,3.5,3.44,3.48,17318400
2016-01-19,2.61,3.51,3.55,3.48,3.54,27198600
2016-01-20,2.54,3.42,3.5,3.39,3.46,35180400
2016-01-21,2.5,3.36,3.43,3.36,3.42,33774000
2016-01-22,2.49,3.35,3.41,3.34,3.39,43074300
2016-01-26,2.47,3.32,3.34,3.24,3.33,55701300
2016-01-27,2.54,3.42,3.5,3.3,3.31,50339400
2016-01-28,2.57,3.46,3.48,3.39,3.45,24288000
2016-01-29,2.54,3.42,3.53,3.36,3.5,90249900
2016-02-01,2.6,3.49,3.49,3.38,3.38,24746400
2016-02-02,2.53,3.4,3.48,3.37,3.44,23735100
2016-02-03,2.57,3.46,3.46,3.35,3.42,33669600
2016-02-04,2.6,3.5,3.51,3.41,3.5,28668900
2016-02-05,2.56,3.44,3.51,3.42,3.49,15387300
2016-02-10,2.56,3.44,3.48,3.38,3.41,16766100
2016-02-11,2.53,3.4,3.41,3.33,3.39,14134800
2016-02-12,2.52,3.38,3.43,3.34,3.42,27318900
2016-02-15,2.57,3.46,3.46,3.39,3.44,10161000
2016-02-16,2.59,3.48,3.48,3.38,3.43,22791300
2016-02-17,2.61,3.51,3.6,3.44,3.48,33831000
2016-02-18,2.62,3.52,3.54,3.46,3.48,17698200
2016-02-19,2.62,3.52,3.57,3.44,3.48,20910000
2016-02-22,2.78,3.74,3.8,3.61,3.61,51062400
2016-02-23,2.76,3.72,3.78,3.66,3.72,38017200
2016-02-24,2.77,3.73,3.73,3.6,3.65,27858900
2016-02-25,2.75,3.7,3.75,3.66,3.68,17988000
2016-02-26,2.78,3.73,3.8,3.7,3.76,17298000
2016-02-29,2.88,3.87,3.9,3.73,3.8,31902000
2016-03-01,3.02,4.06,4.06,3.86,3.9,55152900
2016-03-02,3.11,4.18,4.21,4.0,4.06,67984800
2016-03-03,3.33,4.48,4.48,4.48,4.48,112233600
2016-03-04,3.67,4.93,4.98,4.48,4.48,226953000
2016-03-07,3.47,4.67,4.96,4.61,4.9,89811600
2016-03-08,3.49,4.69,4.81,4.62,4.63,104368200
2016-03-09,3.66,4.93,4.99,4.7,4.77,84384300
2016-03-10,3.83,5.15,5.26,4.94,5.0,106879800
2016-03-11,3.92,5.27,5.31,4.93,5.17,79500300
2016-03-14,3.79,5.1,5.47,5.09,5.33,75402000
2016-03-15,3.6,4.84,5.03,4.82,4.92,76559400
2016-03-16,3.69,4.96,4.96,4.75,4.78,46309500
2016-03-17,3.93,5.28,5.44,5.23,5.43,81017700
2016-03-18,3.84,5.17,5.36,5.12,5.33,44096400
2016-03-21,3.87,5.2,5.23,5.14,5.17,45069600
2016-03-22,3.84,5.16,5.3,5.13,5.16,25485300
2016-03-23,3.79,5.1,5.2,5.02,5.09,32026500
2016-03-24,3.8,5.11,5.13,4.96,5.01,23202300
2016-03-28,3.9,5.25,5.28,5.15,5.25,35325600
2016-03-29,3.86,5.19,5.31,5.17,5.28,28357500
2016-03-30,3.89,5.23,5.33,5.12,5.25,31637700
2016-03-31,3.8,5.12,5.12,5.12,5.12,10800
2016-04-01,3.87,5.2,5.2,5.2,5.2,24300
2016-04-04,3.79,5.1,5.1,5.1,5.1,34200
2016-04-05,3.86,5.19,5.19,5.19,5.19,42300
2016-04-06,3.66,4.93,4.93,4.93,4.93,791100
2016-04-07,3.75,5.04,5.04,5.04,5.04,127500
2016-04-08,3.94,5.3,5.49,5.2,5.27,37552200
2016-04-11,3.89,5.23,5.23,5.23,5.23,39600
2016-04-12,3.98,5.35,5.35,5.35,5.35,312000
2016-04-13,4.11,5.53,5.53,5.53,5.53,298500
2016-04-14,4.21,5.67,5.73,5.49,5.57,45677700
2016-04-15,4.24,5.7,5.77,5.64,5.69,45424800
2016-04-18,4.08,5.49,5.7,5.43,5.7,38249700
2016-04-19,4.14,5.57,5.57,5.57,5.57,81300
2016-04-20,4.25,5.72,5.74,5.5,5.5,49386000
2016-04-22,4.19,5.64,5.67,5.5,5.6,32942100
2016-04-25,4.14,5.56,5.63,5.52,5.63,20688900
2016-04-26,4.15,5.58,5.62,5.47,5.58,22889100
2016-04-27,4.37,5.88,5.91,5.55,5.56,37386600
2016-04-28,4.46,6.0,6.07,5.82,5.92,32123700
2016-04-29,4.26,5.73,6.02,5.67,6.0,48537000
2016-05-02,4.25,5.71,5.79,5.67,5.72,16167000
