Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.14,8.91,8.91,8.58,8.78,19712600
2015-09-04,4.91,8.52,8.82,8.52,8.7,14320600
2015-09-08,4.93,8.55,8.73,8.47,8.69,12073000
2015-09-09,4.94,8.57,8.87,8.55,8.7,12760600
2015-09-10,4.85,8.43,8.43,8.07,8.31,31669200
2015-09-11,4.72,8.2,8.48,8.2,8.41,15107400
2015-09-14,5.0,8.54,8.57,8.11,8.15,17450400
2015-09-15,5.18,8.85,8.94,8.35,8.51,17238000
2015-09-16,5.23,8.94,9.2,8.91,8.91,19304400
2015-09-17,5.22,8.91,9.15,8.9,8.99,20004000
2015-09-18,4.93,8.41,8.89,8.31,8.89,18609600
2015-09-21,4.77,8.15,8.54,8.15,8.46,13184800
2015-09-22,4.77,8.14,8.35,7.89,8.11,17388000
2015-09-23,4.6,7.85,8.23,7.83,8.2,19058600
2015-09-24,4.61,7.86,7.97,7.57,7.75,17517600
2015-09-25,4.47,7.62,8.1,7.62,8.01,14071800
2015-09-28,4.24,7.24,7.62,7.24,7.57,18993600
2015-09-29,4.2,7.16,7.34,7.15,7.26,17155800
2015-09-30,4.45,7.6,7.6,7.39,7.45,24571400
2015-10-01,4.37,7.45,7.66,7.36,7.6,18401200
2015-10-02,4.66,7.96,7.98,7.36,7.42,18160400
2015-10-05,4.73,8.08,8.24,7.97,8.04,14079400
2015-10-06,4.84,8.27,8.31,7.91,8.02,15421400
2015-10-07,5.25,8.97,8.97,8.37,8.37,44423400
2015-10-08,5.17,8.84,9.02,8.79,8.9,21626400
2015-10-09,5.42,9.26,9.26,8.88,9.0,22702600
2015-10-13,4.97,8.48,9.0,8.46,8.97,25355400
2015-10-14,4.92,8.4,8.64,8.39,8.45,23927200
2015-10-15,4.85,8.28,8.57,8.16,8.5,14000600
2015-10-16,4.77,8.14,8.39,8.1,8.28,16792000
2015-10-19,4.98,8.5,8.52,8.06,8.19,12667000
2015-10-20,4.82,8.23,8.59,8.18,8.51,13143600
2015-10-21,4.88,8.32,8.42,8.16,8.18,13895200
2015-10-22,4.95,8.45,8.55,8.27,8.32,13031600
2015-10-23,4.88,8.34,8.72,8.34,8.6,11692800
2015-10-26,4.78,8.17,8.57,8.15,8.38,11589400
2015-10-27,4.85,8.28,8.28,8.1,8.2,14602600
2015-10-28,4.77,8.14,8.49,8.06,8.25,664400
2015-10-29,4.54,7.75,8.12,7.75,8.06,17701400
2015-10-30,4.68,7.99,7.99,7.7,7.7,13145000
2015-11-03,5.09,8.69,8.71,8.05,8.14,21641600
2015-11-04,5.11,8.73,8.98,8.67,8.81,20221800
2015-11-05,5.36,9.15,9.15,8.67,8.68,18442800
2015-11-06,5.09,8.7,9.11,8.56,9.06,17396800
2015-11-09,5.02,8.58,8.79,8.43,8.6,10834400
2015-11-10,5.02,8.56,8.61,8.36,8.4,8170600
2015-11-11,5.05,8.63,8.89,8.62,8.67,20864800
2015-11-12,5.04,8.6,8.64,8.38,8.4,20191200
2015-11-13,5.0,8.53,8.59,8.43,8.52,9762400
2015-11-16,5.07,8.65,8.71,8.48,8.56,11374800
2015-11-17,5.16,8.81,8.95,8.7,8.75,12234400
2015-11-18,5.19,8.87,9.04,8.77,8.82,17309400
2015-11-19,5.48,9.36,9.41,8.98,9.02,24263800
2015-11-23,5.44,9.28,9.6,9.16,9.4,15854400
2015-11-24,5.5,9.3,9.38,9.01,9.15,11256800
2015-11-25,5.14,8.7,9.18,8.65,9.16,15856600
2015-11-26,5.28,8.93,9.01,8.75,8.81,8420000
2015-11-27,5.11,8.65,8.88,8.56,8.88,12930800
2015-11-30,4.81,8.15,8.6,8.15,8.56,26581800
2015-12-01,4.81,8.15,8.32,8.11,8.2,16068200
2015-12-02,4.85,8.21,8.4,8.06,8.19,17510000
2015-12-03,5.26,8.9,8.99,8.57,8.7,22065400
2015-12-04,5.12,8.66,8.85,8.53,8.84,14797600
2015-12-07,5.1,8.62,8.91,8.6,8.73,10459600
2015-12-08,5.05,8.54,8.69,8.46,8.62,12259200
2015-12-09,5.56,9.4,9.49,8.73,8.76,40847200
2015-12-10,5.32,9.0,9.36,8.98,9.32,25640600
2015-12-11,5.22,8.82,9.16,8.78,8.89,22480400
2015-12-14,5.0,8.32,8.69,8.31,8.68,16431200
2015-12-15,5.03,8.38,8.6,8.35,8.43,14395400
2015-12-16,4.95,8.25,8.38,8.0,8.3,19279000
2015-12-17,4.92,8.19,8.65,8.15,8.56,19358600
2015-12-18,4.79,7.97,8.11,7.8,7.95,25740600
2015-12-21,4.48,7.45,8.05,7.45,8.0,24011800
2015-12-22,4.5,7.5,7.76,7.47,7.57,24137200
2015-12-23,4.46,7.43,7.66,7.3,7.64,17237200
2015-12-28,4.5,7.49,7.53,7.43,7.43,11006400
2015-12-29,4.44,7.4,7.59,7.4,7.59,8813800
2015-12-30,4.42,7.37,7.47,7.3,7.45,9739000
2016-01-04,4.27,7.12,7.28,7.12,7.22,12181000
