Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,6.42,10.98,10.98,10.53,10.81,34269926
2015-09-04,6.15,10.52,10.84,10.52,10.69,27342130
2015-09-08,6.29,10.76,10.83,10.68,10.83,22185825
2015-09-09,6.36,10.89,11.17,10.87,10.88,32067521
2015-09-10,6.23,10.65,10.86,10.43,10.58,31780953
2015-09-11,6.16,10.54,10.65,10.49,10.6,20467056
2015-09-14,6.43,11.01,11.05,10.49,10.57,24505152
2015-09-15,6.56,11.22,11.3,10.95,10.99,23103564
2015-09-16,6.8,11.64,11.64,11.29,11.29,28177811
2015-09-17,6.78,11.6,11.89,11.43,11.52,28564507
2015-09-18,6.41,10.97,11.51,10.88,11.45,40512978
2015-09-21,6.21,10.64,11.05,10.55,10.93,27459478
2015-09-22,6.24,10.68,10.78,10.3,10.49,30349178
2015-09-23,6.03,10.32,10.8,10.32,10.65,25816604
2015-09-24,6.1,10.44,10.53,9.81,10.01,33828807
2015-09-25,5.96,10.2,10.65,10.12,10.57,21068041
2015-09-28,5.81,9.94,10.1,9.82,10.05,25345085
2015-09-29,5.77,9.88,10.17,9.86,9.96,26898886
2015-09-30,5.89,10.08,10.25,9.83,10.23,36160252
2015-10-01,5.97,10.21,10.28,10.03,10.11,21649467
2015-10-02,6.19,10.59,10.59,10.05,10.13,27506460
2015-10-05,6.37,10.9,11.15,10.7,10.81,26285784
2015-10-06,6.43,11.0,11.05,10.79,10.86,22642250
2015-10-07,6.67,11.4,11.65,11.09,11.24,35821601
2015-10-08,6.67,11.41,11.5,11.21,11.26,27302164
2015-10-09,6.6,11.28,11.61,11.1,11.58,26861470
2015-10-13,6.24,10.67,11.03,10.46,11.03,41135221
2015-10-14,6.21,10.61,10.81,10.49,10.6,51218025
2015-10-15,6.18,10.57,10.7,10.35,10.64,20802094
2015-10-16,6.07,10.37,10.57,10.28,10.56,29063450
2015-10-19,6.06,10.36,10.55,10.33,10.41,30396585
2015-10-20,5.91,10.11,10.46,10.05,10.42,28517100
2015-10-21,5.92,10.13,10.24,10.0,10.11,20449837
2015-10-22,6.01,10.28,10.4,10.17,10.2,22130127
2015-10-23,5.93,10.14,10.56,10.11,10.53,21532969
2015-10-26,5.88,10.06,10.3,9.91,10.21,23713477
2015-10-27,5.91,10.1,10.13,9.95,10.07,25977957
2015-10-28,6.17,10.55,10.57,10.46,10.51,3599953
2015-10-29,5.79,9.9,10.38,9.9,10.11,31270957
2015-10-30,5.78,9.88,10.04,9.81,9.99,29438879
2015-11-03,6.08,10.4,10.42,9.85,9.97,36077768
2015-11-04,5.96,10.18,10.61,10.1,10.59,36021220
2015-11-05,6.12,10.46,10.46,10.13,10.22,24549158
2015-11-06,6.04,10.31,10.41,10.18,10.4,30273072
2015-11-09,5.9,10.08,10.31,10.04,10.26,31971644
2015-11-10,5.87,10.03,10.07,9.76,10.07,23922663
2015-11-11,6.01,10.27,10.32,10.05,10.13,24212420
2015-11-12,6.01,10.27,10.33,9.92,10.17,25191597
2015-11-13,5.92,10.12,10.24,10.01,10.12,28948227
2015-11-16,5.97,10.2,10.2,10.0,10.13,35215939
2015-11-17,6.2,10.58,10.74,10.25,10.25,34828393
2015-11-18,6.24,10.67,10.85,10.52,10.58,24426708
2015-11-19,6.44,11.01,11.01,10.73,10.82,26817252
2015-11-23,6.38,10.9,11.21,10.77,11.15,32983560
2015-11-24,6.34,10.82,10.88,10.56,10.77,22931794
2015-11-25,6.03,10.3,10.67,10.28,10.63,36694059
2015-11-26,6.16,10.52,10.59,10.3,10.32,23376101
2015-11-27,5.93,10.14,10.45,10.09,10.43,29661245
2015-11-30,5.82,9.93,10.12,9.81,10.02,70247991
2015-12-01,5.78,9.88,10.05,9.79,9.93,29841732
2015-12-02,5.78,9.86,10.06,9.69,9.91,34518653
2015-12-03,6.03,10.3,10.65,10.21,10.3,46562575
2015-12-04,5.95,10.16,10.27,10.0,10.27,27758164
2015-12-07,5.89,10.05,10.42,10.03,10.25,17966604
2015-12-08,5.76,9.83,10.11,9.79,10.06,32786279
2015-12-09,6.05,10.33,10.41,9.97,9.99,51690181
2015-12-10,5.79,9.88,10.37,9.88,10.25,33822004
2015-12-11,5.74,9.79,10.03,9.75,9.77,35564583
2015-12-14,5.64,9.62,9.76,9.56,9.76,28639551
2015-12-15,5.72,9.77,9.92,9.68,9.69,19151991
2015-12-16,5.77,9.85,9.94,9.46,9.64,55544602
2015-12-17,5.9,9.66,9.86,9.6,9.81,38863513
2015-12-18,5.64,9.24,9.52,9.15,9.34,48042395
2015-12-21,5.48,8.98,9.38,8.95,9.33,26976267
2015-12-22,5.53,9.06,9.21,8.98,9.04,19094167
2015-12-23,5.57,9.13,9.2,9.01,9.2,14549901
2015-12-28,5.63,9.22,9.25,9.06,9.17,13078797
2015-12-29,5.65,9.26,9.31,9.19,9.3,11689538
2015-12-30,5.54,9.07,9.29,9.03,9.29,17977234
2016-01-04,5.46,8.94,9.07,8.83,8.95,22798501
2016-01-05,5.48,8.96,9.07,8.85,8.99,16877732
2016-01-06,5.4,8.83,8.94,8.68,8.83,31314962
2016-01-07,5.29,8.66,8.8,8.63,8.65,43702638
2016-01-08,5.19,8.49,8.79,8.47,8.76,26191820
2016-01-11,5.04,8.25,8.62,8.22,8.52,23604420
2016-01-12,5.01,8.2,8.37,8.15,8.35,24265567
2016-01-13,4.94,8.08,8.35,8.01,8.33,26244542
2016-01-14,5.09,8.33,8.33,8.01,8.14,26951607
2016-01-15,4.96,8.11,8.18,7.96,8.18,34419162
2016-01-18,4.92,8.04,8.18,8.04,8.12,19736394
2016-01-19,4.95,8.1,8.24,8.03,8.23,20056125
2016-01-20,4.96,8.12,8.15,7.96,8.01,34352410
2016-01-21,4.89,8.0,8.2,7.96,8.07,31875342
2016-01-22,4.99,8.17,8.18,8.01,8.07,28205447
2016-01-26,4.93,8.07,8.16,8.01,8.06,24044688
2016-01-27,4.99,8.17,8.27,8.04,8.06,42961133
2016-01-28,5.0,8.18,8.27,8.1,8.27,28774756
2016-01-29,5.22,8.54,8.54,8.17,8.23,45583398
2016-02-01,5.35,8.76,8.76,8.38,8.48,28885727
2016-02-02,5.14,8.4,8.66,8.36,8.51,53295853
2016-02-03,5.38,8.8,8.98,8.64,8.84,106029201
2016-02-04,5.68,9.28,9.53,8.74,8.92,68902314
2016-02-05,5.62,9.19,9.42,9.13,9.28,34412147
2016-02-10,5.68,9.29,9.31,9.04,9.04,16781855
2016-02-11,5.54,9.05,9.2,8.95,9.11,21285943
2016-02-12,5.55,9.08,9.16,8.93,9.16,20533171
2016-02-15,5.55,9.08,9.29,9.06,9.2,11267765
2016-02-16,5.75,9.4,9.48,9.04,9.1,26978819
2016-02-17,5.82,9.51,9.75,9.28,9.47,42743019
2016-02-18,5.7,9.31,9.45,9.21,9.45,27180564
2016-02-19,5.72,9.35,9.44,9.17,9.22,23900767
2016-02-22,6.02,9.84,9.92,9.56,9.59,37900279
2016-02-23,5.96,9.75,9.97,9.66,9.69,24877393
2016-02-24,5.95,9.73,9.74,9.42,9.62,20443247
2016-02-25,5.93,9.7,9.9,9.56,9.64,22469204
2016-02-26,5.95,9.73,9.93,9.61,9.9,18230213
2016-02-29,6.14,10.04,10.09,9.77,9.87,43985379
2016-03-01,6.31,10.32,10.39,10.09,10.1,34267587
2016-03-02,6.45,10.54,10.54,10.22,10.3,32723991
2016-03-03,7.03,11.48,11.48,11.48,11.48,58264657
2016-03-04,7.75,12.66,12.69,11.48,11.48,92716133
2016-03-07,7.53,12.31,12.65,12.04,12.65,35402166
2016-03-08,7.57,12.37,12.68,12.16,12.23,49113623
2016-03-09,7.23,11.81,12.79,11.81,12.57,51949750
2016-03-10,7.44,12.16,12.36,11.77,12.07,45017490
2016-03-11,7.71,12.59,12.64,12.13,12.16,41492367
2016-03-14,7.66,12.51,13.02,12.49,12.63,33809249
2016-03-15,7.26,11.85,12.22,11.68,12.05,33692539
2016-03-16,7.1,11.59,11.68,11.1,11.61,46399308
2016-03-17,8.02,13.1,13.16,12.17,12.79,71874072
