Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,13.73,28.47,28.6,27.61,27.97,4584500
2015-09-04,13.2,27.37,28.46,27.36,27.96,6116500
2015-09-08,12.83,26.6,27.9,26.33,27.9,6351200
2015-09-09,12.51,25.95,26.94,25.65,26.74,9333700
2015-09-10,12.29,25.48,25.67,24.75,24.95,9790300
2015-09-11,12.99,26.95,27.1,25.38,25.52,6724300
2015-09-14,13.48,27.95,28.26,26.52,26.95,9009500
2015-09-15,13.4,27.79,27.98,27.22,27.81,6649400
2015-09-16,13.83,28.69,28.87,27.87,28.0,5116800
2015-09-17,13.56,28.12,28.77,28.12,28.35,4017200
2015-09-18,12.93,26.81,28.26,26.58,27.99,4543000
2015-09-21,12.63,26.2,27.05,25.94,26.7,2666000
2015-09-22,12.32,25.56,25.83,24.9,25.62,6892400
2015-09-23,12.01,24.91,25.96,24.91,25.5,7256200
2015-09-24,12.13,25.15,25.55,23.92,24.22,8521000
2015-09-25,12.05,25.0,25.58,24.73,25.58,3663200
2015-09-28,11.76,24.38,24.88,24.33,24.6,3823000
2015-09-29,11.57,24.0,24.92,24.0,24.7,5068900
2015-09-30,11.96,24.81,24.82,24.02,24.79,8609200
2015-10-01,12.08,25.06,25.37,24.37,25.07,9785000
2015-10-02,12.86,26.67,26.69,24.71,24.93,6134300
2015-10-05,13.0,26.96,27.04,26.17,26.95,4739900
2015-10-06,13.01,26.98,27.28,26.54,26.89,5048600
2015-10-07,13.65,28.3,28.33,27.19,27.38,11045000
2015-10-08,13.63,28.26,28.99,28.03,28.2,6502100
2015-10-09,14.12,29.29,29.29,28.36,28.6,5753100
2015-10-13,13.91,28.85,29.29,28.62,29.12,6396700
2015-10-14,13.6,28.2,28.97,28.12,28.7,7993600
2015-10-15,13.6,28.21,28.8,27.59,28.62,6500700
2015-10-16,13.84,28.7,28.88,27.8,28.21,4071400
2015-10-19,14.06,29.16,29.27,28.34,28.56,2289300
2015-10-20,13.72,28.46,29.58,28.06,29.2,3535900
2015-10-21,13.71,28.44,28.79,28.24,28.4,4323600
2015-10-22,13.77,28.56,29.08,28.36,28.59,2951200
2015-10-23,13.72,28.45,29.64,28.3,29.15,4195300
2015-10-26,13.64,28.28,28.97,28.16,28.63,3347200
2015-10-27,13.33,27.64,28.44,27.4,28.4,4084000
2015-10-28,13.52,28.05,28.17,27.98,28.08,167800
2015-10-29,12.81,26.57,27.56,26.55,26.95,4374200
2015-10-30,12.83,26.6,26.67,26.03,26.5,7543400
2015-11-03,13.6,28.21,28.31,26.84,26.84,7355500
2015-11-04,13.57,28.15,29.29,28.03,28.49,3756000
2015-11-05,14.08,29.2,29.24,27.93,28.14,4547200
2015-11-06,13.76,28.54,29.46,27.81,29.03,3442100
2015-11-09,13.26,27.5,29.1,27.5,28.4,2512700
2015-11-10,13.52,28.04,28.04,26.47,27.56,3075700
2015-11-11,13.43,27.86,28.54,27.2,28.2,5722100
2015-11-12,13.48,27.96,28.4,27.57,28.02,6201600
2015-11-13,13.25,27.49,28.34,27.49,27.73,6535400
2015-11-16,13.56,28.12,28.39,27.31,27.5,3397900
2015-11-17,13.6,28.2,28.99,27.9,28.4,5052300
2015-11-18,13.73,28.47,28.98,28.17,28.3,2254900
2015-11-19,14.08,29.2,29.29,28.5,28.99,2824900
2015-11-23,13.74,28.5,29.99,28.5,29.4,2731300
2015-11-24,13.87,28.77,28.97,27.76,28.41,3255800
2015-11-25,13.5,28.0,28.4,27.61,28.33,4876000
2015-11-26,13.72,28.45,28.45,27.85,27.9,2162900
2015-11-27,13.07,27.1,28.25,26.7,28.05,3455500
2015-11-30,12.52,25.97,27.13,25.97,26.72,7560900
2015-12-01,12.87,26.69,26.69,26.01,26.14,4503300
2015-12-02,12.58,26.1,26.95,25.81,26.41,5669200
2015-12-03,13.65,28.3,28.35,26.62,26.62,6377300
2015-12-04,12.98,26.92,27.98,26.75,27.87,4565200
2015-12-07,13.28,27.55,27.74,26.98,27.14,2618700
2015-12-08,12.78,26.5,27.43,26.31,27.42,3705800
2015-12-09,13.74,28.5,28.82,26.83,27.0,6390600
2015-12-10,13.52,28.05,28.59,27.48,28.16,5419500
2015-12-11,13.55,28.1,28.38,27.33,27.55,3461800
2015-12-14,13.38,27.74,28.21,27.35,28.21,2949400
2015-12-15,12.89,26.73,27.8,26.72,27.75,6591000
2015-12-16,13.04,27.05,27.19,25.64,26.5,5010700
2015-12-17,13.13,27.24,27.98,27.18,27.57,3928200
2015-12-18,12.17,25.25,26.29,25.17,26.23,6692500
2015-12-21,11.88,24.63,25.87,24.38,25.3,5812700
2015-12-22,11.79,24.46,25.47,24.17,24.8,7138500
2015-12-23,11.97,24.83,25.19,24.6,24.73,3787500
2015-12-28,11.75,24.36,25.16,24.36,24.83,2886100
2015-12-29,11.62,24.1,24.65,23.9,24.44,3549600
2015-12-30,11.73,24.33,24.36,23.87,24.2,3582100
2016-01-04,11.01,22.83,24.15,22.58,23.85,6505000
2016-01-05,11.71,24.29,24.33,23.1,23.18,6276000
2016-01-06,11.62,24.1,24.61,23.77,24.05,4376300
2016-01-07,11.16,23.15,24.09,23.12,23.49,5940300
2016-01-08,11.37,23.59,23.82,23.3,23.42,4878400
2016-01-11,11.02,22.85,23.9,22.75,23.6,4818400
2016-01-12,11.2,23.23,23.97,22.91,23.02,4969100
2016-01-13,11.11,23.04,23.84,22.87,23.69,4123100
2016-01-14,11.48,23.8,23.8,22.75,23.21,3603600
2016-01-15,10.99,22.8,23.4,22.61,23.21,8038700
2016-01-18,10.73,22.25,22.98,22.22,22.97,2733900
2016-01-19,10.94,22.69,23.1,22.34,23.0,4163600
2016-01-20,11.06,22.94,23.16,21.83,22.24,7307300
2016-01-21,10.47,21.72,22.91,21.72,22.86,11771000
2016-01-22,10.6,21.98,22.55,21.86,22.09,6843600
2016-01-26,10.13,21.0,22.29,21.0,21.67,8309100
2016-01-27,10.15,21.06,21.43,20.9,21.0,11857200
2016-01-28,10.49,21.75,21.95,20.95,21.22,9863500
2016-01-29,11.15,23.13,23.13,21.96,22.05,11649200
2016-02-01,11.33,23.5,23.75,22.76,22.93,4832200
2016-02-02,10.85,22.5,23.35,22.32,23.18,4792300
2016-02-03,11.12,23.07,23.1,22.28,22.74,4600700
2016-02-04,11.3,23.44,23.85,23.09,23.27,6049300
2016-02-05,11.57,24.0,24.09,23.31,23.33,6683200
2016-02-10,11.57,24.0,24.0,23.34,23.7,4122400
2016-02-11,11.14,23.1,23.79,22.72,23.61,6032500
2016-02-12,11.14,23.1,23.4,22.83,23.4,4523200
2016-02-15,11.34,23.51,23.8,23.31,23.49,2311900
2016-02-16,11.43,23.7,23.87,23.37,23.39,3566000
2016-02-17,11.96,24.81,24.95,23.75,23.9,8100900
2016-02-18,11.6,24.05,24.81,23.94,24.81,4376100
2016-02-19,11.67,24.21,24.39,23.66,23.9,2704700
2016-02-22,12.17,25.25,25.41,24.55,24.83,7047600
2016-02-23,12.07,25.03,25.37,24.55,25.33,4042900
2016-02-24,11.67,23.4,23.76,22.62,23.67,6563500
2016-02-25,11.77,23.6,23.92,23.1,23.1,7305300
2016-02-26,11.77,23.6,24.4,23.6,23.9,4191100
2016-02-29,12.03,24.12,24.59,23.77,24.1,6126800
2016-03-01,12.69,25.44,25.52,24.21,24.3,6961200
2016-03-02,12.97,25.99,26.26,25.21,25.51,5980300
2016-03-03,13.42,26.9,27.7,26.05,26.2,8619200
2016-03-04,14.03,28.13,29.54,27.51,27.7,13672200
2016-03-07,14.01,28.09,28.5,27.11,28.5,7208700
2016-03-08,14.74,29.55,29.84,27.64,28.0,10022400
2016-03-09,14.86,29.79,30.0,29.16,29.8,6227300
2016-03-10,15.93,31.93,32.59,29.75,30.1,12471500
2016-03-11,15.66,31.39,31.76,30.53,31.7,9960600
2016-03-14,15.28,30.64,31.9,30.64,31.69,3820200
2016-03-15,13.77,27.6,29.74,27.58,29.38,8102300
2016-03-16,13.86,27.78,27.99,27.11,27.17,8322800
2016-03-17,15.37,30.81,31.15,29.84,31.05,8894600
2016-03-18,15.36,30.79,31.34,30.12,30.82,3534800
2016-03-21,15.39,30.85,30.98,30.13,30.98,4429000
2016-03-22,14.54,29.15,30.63,29.15,30.52,6205000
2016-03-23,14.4,28.86,29.52,28.15,29.08,4138100
2016-03-24,14.24,28.54,28.76,28.15,28.41,3809300
2016-03-28,14.99,30.04,30.1,29.11,29.11,4225000
