Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,9.37,11.8,12.29,11.64,12.0,1336425
2015-09-04,9.65,12.15,12.39,11.9,11.9,1330831
2015-09-08,9.75,12.27,12.63,11.77,12.34,1042413
2015-09-09,9.63,12.12,12.56,11.9,12.31,1210115
2015-09-10,9.61,12.09,12.26,11.65,11.67,1773832
2015-09-11,9.88,12.44,12.45,12.09,12.09,1796511
2015-09-14,10.0,12.59,12.74,12.46,12.58,524359
2015-09-15,10.07,12.68,12.78,12.37,12.62,432118
2015-09-16,10.23,12.88,13.18,12.57,12.74,982818
2015-09-17,10.35,13.03,13.11,12.69,12.77,1229234
2015-09-18,10.09,12.7,13.22,12.52,12.93,1038040
2015-09-21,10.13,12.75,13.08,12.59,12.76,1018514
2015-09-22,10.02,12.62,12.7,12.31,12.7,1152146
2015-09-23,10.18,12.81,13.06,12.45,12.58,1652708
2015-09-24,10.03,12.64,12.95,12.59,12.82,1090822
2015-09-25,10.12,12.74,12.79,12.56,12.66,630939
2015-09-28,10.11,12.73,12.76,12.42,12.76,220584
2015-09-29,9.94,12.52,12.7,12.44,12.7,594633
2015-09-30,10.42,13.12,13.13,12.61,12.67,1179503
2015-10-01,10.62,13.37,13.46,12.74,13.18,1071397
2015-10-02,10.74,13.52,13.67,13.37,13.37,1579078
2015-10-05,10.75,13.53,13.68,13.25,13.62,756741
2015-10-06,10.35,13.03,13.49,12.65,13.37,1855191
2015-10-07,10.39,13.08,13.16,12.72,13.1,988411
2015-10-08,10.0,12.59,13.33,12.54,13.07,1700609
2015-10-09,9.97,12.56,12.59,12.05,12.59,1637250
2015-10-13,10.03,12.63,12.77,12.43,12.59,1129061
2015-10-14,9.72,12.24,12.73,12.15,12.67,863525
2015-10-15,10.06,12.66,12.66,12.25,12.25,912239
2015-10-16,10.28,12.94,12.94,12.54,12.72,1757865
2015-10-19,10.32,12.99,13.18,12.77,12.92,1020345
2015-10-20,10.15,12.78,13.02,12.61,13.02,507884
2015-10-21,10.1,12.71,12.98,12.62,12.79,1064787
2015-10-22,10.23,12.88,12.98,12.68,12.8,1322797
2015-10-23,10.16,12.79,13.05,12.79,12.9,873288
2015-10-26,10.35,13.04,13.18,12.65,12.83,496290
2015-10-27,10.69,13.46,13.58,12.93,13.01,1190080
2015-10-28,10.49,13.21,13.21,13.13,13.14,53493
2015-10-29,10.19,12.83,13.37,12.74,13.21,1083703
2015-10-30,9.96,12.55,12.86,12.44,12.82,1098551
2015-11-03,10.11,12.73,12.81,12.45,12.56,981394
2015-11-04,10.38,13.07,13.23,12.72,12.72,673348
2015-11-05,10.11,12.73,13.2,12.6,13.07,776877
2015-11-06,10.11,12.73,12.8,12.36,12.72,1782171
2015-11-09,9.86,12.41,12.88,12.27,12.86,954037
2015-11-10,9.84,12.39,12.53,12.1,12.48,461001
2015-11-11,9.98,12.57,12.62,12.1,12.47,1239201
2015-11-12,9.73,12.25,12.64,12.07,12.64,1053092
2015-11-13,9.72,12.24,12.31,11.92,12.27,969800
2015-11-16,9.56,12.04,12.22,11.86,12.15,982207
2015-11-17,9.72,12.24,12.28,11.91,12.16,762538
2015-11-18,9.51,11.98,12.41,11.91,12.26,1082788
