Date,Adj Close,Close,High,Low,Open,Volume
2017-02-24,3.42,4.55,4.55,4.55,4.55,5200
2017-03-01,3.37,4.49,4.55,4.49,4.55,17200
2017-03-02,3.37,4.49,4.49,4.49,4.49,0
2017-03-03,3.52,4.69,4.75,4.62,4.75,7200
2017-03-06,3.61,4.8,4.88,4.62,4.7,22800
2017-03-07,3.45,4.59,4.75,4.53,4.53,13600
2017-03-08,3.47,4.62,4.75,4.47,4.55,16400
2017-03-09,3.57,4.75,4.75,4.41,4.47,6800
2017-03-10,3.51,4.67,4.74,4.5,4.53,26000
2017-03-13,3.46,4.6,4.6,4.6,4.6,2400
2017-03-14,3.49,4.65,4.75,4.62,4.7,3600
2017-03-15,3.51,4.67,4.67,4.62,4.62,6400
2017-03-16,3.49,4.65,4.75,4.62,4.62,3200
2017-03-17,3.49,4.65,4.72,4.62,4.62,4400
2017-03-20,3.29,4.38,4.57,4.38,4.57,8000
2017-03-21,3.19,4.25,4.38,4.25,4.38,10000
2017-03-22,3.49,4.65,4.65,4.45,4.45,623200
2017-03-23,3.36,4.47,4.64,4.47,4.55,12000
2017-03-24,3.35,4.47,4.57,4.46,4.48,46800
2017-03-27,3.34,4.45,4.47,4.45,4.47,1600
2017-03-28,3.51,4.68,4.68,4.49,4.49,61200
2017-03-29,3.53,4.7,4.75,4.66,4.7,85200
2017-03-30,3.55,4.72,4.76,4.62,4.7,349200
2017-03-31,3.57,4.75,4.77,4.7,4.7,390400
2017-04-03,3.62,4.81,4.81,4.68,4.72,105200
2017-04-04,3.74,4.97,4.97,4.72,4.72,24000
2017-04-05,3.68,4.89,4.96,4.81,4.81,18000
2017-04-06,3.47,4.62,4.79,4.62,4.76,74000
2017-04-07,3.58,4.76,4.76,4.71,4.72,9200
2017-04-10,3.57,4.75,4.81,4.67,4.68,19600
2017-04-11,3.52,4.68,4.75,4.63,4.75,11600
2017-04-12,3.59,4.77,4.77,4.62,4.62,27600
2017-04-13,3.46,4.6,4.65,4.53,4.65,39544400
2017-04-17,3.46,4.6,4.65,4.35,4.35,4008000
2017-04-18,3.38,4.5,4.6,4.47,4.6,3004400
2017-04-19,3.29,4.37,4.6,4.25,4.4,6914000
2017-04-20,3.29,4.38,4.49,4.27,4.27,2558400
2017-04-24,3.34,4.45,4.5,4.45,4.5,8001600
2017-04-25,3.34,4.45,4.45,4.45,4.45,0
2017-04-26,3.38,4.5,4.5,4.5,4.5,400
2017-04-27,3.38,4.5,4.5,4.5,4.5,0
2017-04-28,3.38,4.5,4.5,4.5,4.5,0
2017-05-02,3.44,4.57,4.57,4.43,4.5,51600
2017-05-03,3.57,4.75,4.75,4.56,4.65,6040400
2017-05-04,3.48,4.64,4.67,4.55,4.67,6047600
2017-05-05,3.49,4.65,4.65,4.57,4.62,11200
2017-05-08,3.49,4.65,4.65,4.5,4.5,1600
2017-05-09,3.52,4.69,4.69,4.58,4.65,21200
2017-05-10,3.52,4.69,4.84,4.69,4.69,6203200
2017-05-11,3.57,4.75,4.75,4.69,4.69,11200
2017-05-12,3.57,4.75,4.75,4.54,4.75,1600
2017-05-15,3.57,4.75,4.75,4.75,4.75,0
2017-05-16,3.53,4.7,4.7,4.7,4.7,400
2017-05-17,3.53,4.7,4.7,4.6,4.65,45200
2017-05-18,3.15,4.19,4.52,4.08,4.52,527200
2017-05-19,3.26,4.34,4.39,4.3,4.39,14400
2017-05-22,3.16,4.2,4.2,4.07,4.07,30000
2017-05-23,3.07,4.08,4.28,4.08,4.2,17200
2017-05-24,2.96,3.94,4.31,3.94,4.2,6968400
2017-05-25,2.96,3.94,4.05,3.94,4.05,8000
2017-05-26,2.95,3.93,3.93,3.93,3.93,800
2017-05-29,2.95,3.93,3.93,3.93,3.93,0
2017-05-30,2.86,3.81,3.88,3.75,3.88,114400
2017-05-31,2.66,3.54,3.81,3.54,3.8,43200
2017-06-01,2.63,3.5,3.54,3.5,3.54,8040000
2017-06-02,2.63,3.5,3.5,3.5,3.5,4000000
2017-06-05,2.63,3.5,3.65,3.5,3.65,2800
2017-06-06,2.67,3.56,3.56,3.56,3.56,400
2017-06-07,2.67,3.56,3.56,3.56,3.56,0
2017-06-08,2.58,3.44,3.49,3.44,3.49,800
2017-06-09,2.58,3.44,3.44,3.44,3.44,0
2017-06-12,2.58,3.44,3.44,3.44,3.44,0
2017-06-13,2.53,3.36,3.36,3.36,3.36,800
2017-06-14,2.54,3.38,3.52,3.38,3.49,59600
2017-06-15,2.54,3.38,3.38,3.38,3.38,0
2017-06-16,2.54,3.38,3.38,3.38,3.38,0
2017-06-19,2.54,3.38,3.38,3.38,3.38,0
2017-06-20,2.61,3.47,3.48,3.38,3.41,40400
2017-06-21,2.54,3.38,3.38,3.38,3.38,2400
2017-06-22,2.37,3.15,3.15,3.15,3.15,800
2017-06-23,2.53,3.36,3.38,3.35,3.35,6000
2017-06-26,2.62,3.49,3.49,3.35,3.35,9600
2017-06-27,2.57,3.41,3.5,3.41,3.49,28000
2017-06-28,2.63,3.5,3.5,3.5,3.5,9600
2017-06-29,2.63,3.5,3.5,3.45,3.45,6400
2017-06-30,2.71,3.61,3.62,3.53,3.62,13600
2017-07-03,2.71,3.61,3.61,3.61,3.61,0
2017-07-04,2.82,3.75,3.75,3.75,3.75,400
2017-07-05,2.94,3.91,3.91,3.88,3.88,312000
2017-07-06,2.87,3.65,3.78,3.65,3.78,12400
2017-07-07,2.89,3.67,3.67,3.67,3.67,400
2017-07-10,2.89,3.67,3.67,3.67,3.67,0
2017-07-11,2.89,3.67,3.67,3.67,3.67,0
2017-07-12,3.0,3.82,3.82,3.82,3.82,400
2017-07-13,3.0,3.82,3.82,3.82,3.82,0
