Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,1.38,4.52,4.65,4.38,4.46,7520572
2015-09-04,1.35,4.45,4.49,4.35,4.49,6395816
2015-09-08,1.42,4.68,4.68,4.54,4.56,5369327
2015-09-09,1.41,4.64,4.86,4.63,4.73,7428596
2015-09-10,1.49,4.88,4.88,4.45,4.45,4347610
2015-09-11,1.43,4.69,4.97,4.66,4.89,3448456
2015-09-14,1.38,4.52,4.74,4.45,4.68,9527128
2015-09-15,1.33,4.37,4.54,4.3,4.5,5726819
2015-09-16,1.34,4.4,4.49,4.34,4.39,5406855
2015-09-17,1.39,4.55,4.67,4.37,4.4,7623395
2015-09-18,1.39,4.58,4.61,4.46,4.5,11856469
2015-09-21,1.37,4.49,4.64,4.49,4.55,2395719
2015-09-22,1.31,4.3,4.42,4.23,4.42,4967582
2015-09-23,1.26,4.13,4.37,4.13,4.33,3718528
2015-09-24,1.25,4.1,4.23,4.03,4.06,4261491
2015-09-25,1.21,3.99,4.19,3.96,4.17,5425294
2015-09-28,1.15,3.76,3.9,3.74,3.9,5282340
2015-09-29,1.14,3.75,3.85,3.73,3.76,5189713
2015-09-30,1.15,3.78,3.88,3.73,3.86,5788426
2015-10-01,1.18,3.89,3.94,3.76,3.76,4173636
2015-10-02,1.23,4.06,4.06,3.84,3.87,3626552
2015-10-05,1.24,4.08,4.17,4.05,4.12,2721757
2015-10-06,1.26,4.13,4.18,4.05,4.1,2936730
2015-10-07,1.33,4.37,4.48,4.24,4.29,7245294
2015-10-08,1.32,4.33,4.41,4.29,4.39,5304033
2015-10-09,1.33,4.36,4.47,4.32,4.42,5448071
2015-10-13,1.2,3.93,4.24,3.91,4.22,7357444
2015-10-14,1.22,4.01,4.08,3.92,3.96,6557425
2015-10-15,1.25,4.11,4.11,3.94,4.03,3273398
2015-10-16,1.23,4.03,4.14,3.97,4.14,3717660
2015-10-19,1.19,3.9,4.07,3.88,4.07,3098122
2015-10-20,1.15,3.78,3.93,3.74,3.91,4410952
2015-10-21,1.17,3.84,3.89,3.77,3.79,6809058
2015-10-22,1.2,3.95,4.01,3.85,3.89,6134204
2015-10-23,1.2,3.94,4.09,3.88,4.06,5463689
2015-10-26,1.15,3.77,3.96,3.77,3.92,3734797
2015-10-27,1.12,3.69,3.78,3.67,3.77,6134421
2015-10-28,1.13,3.71,3.71,3.68,3.68,286124
2015-10-29,1.09,3.6,3.68,3.57,3.62,6135289
2015-10-30,1.16,3.8,3.8,3.6,3.62,5270626
2015-11-03,1.29,3.83,3.83,3.62,3.73,5733544
2015-11-04,1.27,3.76,3.96,3.72,3.87,4443925
2015-11-05,1.24,3.68,3.77,3.64,3.77,4492299
2015-11-06,1.17,3.48,3.57,3.44,3.56,7905831
2015-11-09,1.16,3.45,3.53,3.45,3.5,2999638
2015-11-10,1.14,3.39,3.45,3.37,3.45,5247198
2015-11-11,1.14,3.4,3.51,3.38,3.41,5180602
2015-11-12,1.11,3.3,3.42,3.3,3.4,16404301
2015-11-13,1.1,3.27,3.31,3.27,3.3,5134831
2015-11-16,1.06,3.16,3.33,3.16,3.29,5852853
2015-11-17,1.03,3.07,3.21,3.04,3.2,6622720
2015-11-18,1.04,3.09,3.13,3.04,3.08,5668033
2015-11-19,1.03,3.06,3.16,3.06,3.15,4755429
2015-11-23,0.98,2.91,3.05,2.91,3.04,5525296
2015-11-24,0.98,2.93,2.95,2.84,2.9,9615851
2015-11-25,0.94,2.78,2.92,2.78,2.9,8905855
2015-11-26,0.93,2.77,2.82,2.73,2.81,12931332
2015-11-27,0.86,2.56,2.74,2.56,2.74,10466413
2015-11-30,0.82,2.45,2.54,2.32,2.54,21917016
2015-12-01,0.83,2.47,2.49,2.42,2.47,13732219
2015-12-02,0.84,2.5,2.53,2.36,2.49,8031647
2015-12-03,0.85,2.52,2.58,2.47,2.58,8998048
2015-12-04,0.79,2.35,2.51,2.34,2.51,8199547
2015-12-07,0.78,2.33,2.38,2.32,2.35,5406855
2015-12-08,0.73,2.17,2.3,2.16,2.3,10883126
2015-12-09,0.77,2.28,2.32,2.19,2.19,6881728
2015-12-10,0.79,2.36,2.37,2.25,2.28,4783196
2015-12-11,0.77,2.3,2.32,2.25,2.28,8530792
2015-12-14,0.79,2.36,2.36,2.23,2.24,3230663
2015-12-15,0.82,2.44,2.46,2.38,2.38,4786883
2015-12-16,0.81,2.42,2.51,2.37,2.42,5558052
2015-12-17,0.79,2.35,2.51,2.35,2.48,3923305
2015-12-18,0.79,2.35,2.38,2.27,2.3,4949794
2015-12-21,0.76,2.25,2.42,2.25,2.37,4106173
2015-12-22,0.77,2.28,2.31,2.24,2.26,2788136
2015-12-23,0.81,2.41,2.46,2.34,2.35,6793223
2015-12-28,0.76,2.26,2.41,2.26,2.41,3522211
2015-12-29,0.76,2.27,2.29,2.23,2.26,2485092
2015-12-30,0.77,2.3,2.33,2.25,2.27,3982742
2016-01-04,0.73,2.17,2.31,2.17,2.23,4057798
2016-01-05,0.74,2.19,2.2,2.16,2.18,5392755
2016-01-06,0.69,2.04,2.14,2.02,2.14,4104871
2016-01-07,0.64,1.91,1.97,1.9,1.95,4193377
2016-01-08,0.63,1.89,1.98,1.85,1.95,2469257
2016-01-11,0.61,1.81,1.93,1.81,1.89,2491600
2016-01-12,0.56,1.65,1.84,1.65,1.82,4379064
2016-01-13,0.52,1.55,1.73,1.54,1.69,11057968
2016-01-14,0.54,1.61,1.65,1.53,1.56,7862880
2016-01-15,0.53,1.57,1.57,1.49,1.54,5045458
2016-01-18,0.52,1.55,1.61,1.55,1.58,3131312
2016-01-19,0.52,1.56,1.65,1.54,1.62,4523753
2016-01-20,0.5,1.48,1.52,1.46,1.5,11499410
2016-01-21,0.48,1.44,1.53,1.44,1.48,10317603
2016-01-22,0.49,1.45,1.5,1.4,1.48,24128133
2016-01-26,0.49,1.45,1.45,1.36,1.41,7546386
2016-01-27,0.5,1.5,1.52,1.41,1.44,10535179
2016-01-28,0.49,1.45,1.57,1.44,1.5,5031141
2016-01-29,0.51,1.53,1.53,1.42,1.47,5289282
2016-02-01,0.52,1.56,1.56,1.46,1.49,3974282
2016-02-02,0.48,1.43,1.54,1.42,1.5,3682952
2016-02-03,0.5,1.5,1.5,1.42,1.46,3518306
2016-02-04,0.57,1.71,1.73,1.53,1.54,8274603
2016-02-05,0.57,1.71,1.78,1.66,1.69,6543759
2016-02-10,0.56,1.65,1.71,1.62,1.67,2537154
2016-02-11,0.53,1.57,1.64,1.53,1.6,4328087
2016-02-12,0.56,1.65,1.65,1.59,1.61,3560606
2016-02-15,0.57,1.71,1.76,1.69,1.74,5960664
2016-02-16,0.62,1.84,1.84,1.66,1.68,11389863
2016-02-17,0.62,1.84,1.96,1.83,1.91,22255419
2016-02-18,0.6,1.78,1.88,1.76,1.84,5791463
2016-02-19,0.63,1.89,1.89,1.74,1.77,8093471
2016-02-22,0.71,2.11,2.12,1.96,2.0,8478296
2016-02-23,0.66,1.95,2.15,1.95,2.07,7238570
2016-02-24,0.65,1.92,1.92,1.81,1.89,4717033
2016-02-25,0.6,1.77,1.88,1.75,1.8,6579335
2016-02-26,0.61,1.81,1.84,1.75,1.83,5474319
2016-02-29,0.62,1.86,1.89,1.8,1.84,9838199
2016-03-01,0.67,2.0,2.0,1.88,1.91,6416207
2016-03-02,0.72,2.14,2.18,1.96,2.01,7842272
2016-03-03,0.78,2.33,2.33,2.33,2.33,9664225
2016-03-04,0.84,2.5,2.71,2.33,2.33,12770808
2016-03-07,0.92,2.72,2.84,2.62,2.67,12056040
2016-03-08,0.82,2.44,2.7,2.41,2.63,9075274
2016-03-09,0.78,2.3,2.54,2.25,2.45,11596159
2016-03-10,0.77,2.29,2.4,2.18,2.36,9788957
2016-03-11,0.8,2.38,2.43,2.29,2.3,13293163
2016-03-14,0.78,2.32,2.42,2.28,2.42,14587988
2016-03-15,0.77,2.29,2.34,2.22,2.24,15135290
2016-03-16,0.82,2.43,2.46,2.27,2.27,7281087
2016-03-17,0.88,2.63,2.64,2.47,2.56,8522549
