Date,Adj Close,Close,High,Low,Open,Volume
2020-11-10,21.0,21.0,21.0,21.0,21.0,0
2020-11-11,21.0,21.0,21.0,21.0,21.0,0
2020-11-12,20.9,20.9,22.38,20.25,20.65,2078600
2020-11-13,20.8,20.8,21.35,20.8,21.0,470000
2020-11-16,21.0,21.0,21.25,20.97,21.15,175800
2020-11-17,20.99,20.99,20.99,20.65,20.94,256600
2020-11-18,20.9,20.9,21.07,20.9,20.99,96600
2020-11-19,20.9,20.9,21.04,20.82,21.0,84300
2020-11-23,21.02,21.02,21.35,20.96,20.96,77700
2020-11-24,21.32,21.32,21.5,21.15,21.15,1043300
2020-11-25,23.12,23.12,23.24,21.6,21.6,467200
2020-11-26,23.8,23.8,23.8,23.21,23.21,71400
2020-11-27,24.0,24.0,24.5,23.0,24.0,70500
2020-11-30,23.95,23.95,24.2,23.85,24.0,69500
2020-12-01,24.0,24.0,24.1,23.96,24.06,91500
2020-12-02,24.05,24.05,24.2,24.0,24.0,37600
2020-12-03,24.5,24.5,26.5,24.04,25.0,477900
2020-12-04,25.24,25.24,26.39,24.7,24.76,801800
2020-12-07,26.43,26.43,26.69,24.67,25.24,73200
2020-12-08,27.4,27.4,27.65,26.6,26.6,123700
2020-12-09,27.92,27.92,28.89,27.33,27.56,208300
2020-12-10,28.11,28.11,28.89,27.89,28.75,100600
2020-12-11,29.46,29.46,30.9,27.57,28.15,105800
2020-12-14,32.0,32.0,35.0,31.27,31.95,294200
2020-12-15,34.34,34.34,35.35,32.22,32.93,868700
2020-12-16,34.0,34.0,35.84,33.4,34.98,368700
2020-12-17,33.4,33.4,35.0,32.92,34.98,252700
2020-12-18,34.05,34.05,34.8,32.96,34.8,346800
2020-12-21,33.48,33.48,34.68,30.3,33.15,250800
2020-12-22,34.5,34.5,34.82,33.91,34.55,163900
2020-12-23,36.0,36.0,37.23,34.52,34.53,442200
2020-12-28,37.67,37.67,38.14,37.0,37.0,442100
2020-12-29,37.55,37.55,38.56,37.4,38.0,329900
2020-12-30,37.2,37.2,38.1,37.0,37.53,181500
2021-01-04,36.41,36.41,38.1,36.39,38.0,324700
2021-01-05,37.59,37.59,37.79,36.0,36.88,321000
