Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,64.42,68.06,68.77,66.8,66.8,4161549
2015-09-04,64.46,68.11,68.88,67.25,68.06,5341919
2015-09-08,64.41,68.05,68.98,67.58,68.35,2341830
2015-09-09,63.47,67.06,68.68,66.85,68.52,2671380
2015-09-10,62.57,66.11,67.1,65.99,66.45,3151364
2015-09-11,63.05,66.61,66.87,65.69,65.69,2298023
2015-09-14,63.07,66.63,67.03,66.38,67.01,3074781
2015-09-15,63.34,66.92,67.49,66.49,67.11,2390259
2015-09-16,63.29,66.87,67.36,66.73,67.25,2641755
2015-09-17,64.08,67.71,68.25,66.4,66.88,2614861
2015-09-18,62.57,66.11,67.35,65.48,67.34,3577457
2015-09-21,61.92,65.42,66.24,65.11,65.21,1943261
2015-09-22,62.25,65.78,65.83,64.66,65.11,2141810
2015-09-23,62.25,65.78,66.14,65.19,65.64,1963431
2015-09-24,62.43,65.96,66.16,64.82,64.82,3858893
2015-09-25,62.67,66.21,66.81,65.77,66.4,3014586
2015-09-28,62.78,66.33,66.73,65.58,65.68,2291825
2015-09-29,63.25,66.83,66.83,65.88,66.16,2470204
2015-09-30,63.6,67.19,68.12,67.05,67.2,5363140
2015-10-01,63.09,66.66,67.35,66.27,66.83,4694796
2015-10-02,64.37,68.01,68.01,66.46,66.99,2732415
2015-10-05,64.25,67.89,68.34,67.21,68.3,2885897
2015-10-06,62.07,65.59,67.86,65.11,67.86,3111444
2015-10-07,59.89,63.27,64.63,62.36,64.25,5161649
2015-10-08,59.46,62.83,64.64,62.61,63.65,3179308
2015-10-09,60.02,63.42,63.76,62.46,62.83,3120479
2015-10-13,59.53,62.89,64.54,62.38,63.4,3572520
2015-10-14,57.84,61.11,63.02,60.92,62.36,5830623
2015-10-15,59.43,62.79,62.79,61.1,61.43,2757523
2015-10-16,60.63,64.06,64.39,62.54,62.83,2535547
2015-10-19,60.18,63.59,64.79,63.16,63.62,1904181
2015-10-20,60.98,64.43,64.43,63.18,63.66,1723176
2015-10-21,61.76,65.25,65.25,63.83,64.3,2828013
2015-10-22,62.77,66.32,66.62,65.1,65.32,2021420
2015-10-23,62.53,66.07,67.49,65.95,66.63,3211665
2015-10-26,62.06,65.57,66.68,65.16,65.86,2214821
2015-10-27,61.9,65.41,66.06,64.88,65.51,2138553
2015-10-28,61.91,65.41,65.94,64.77,65.02,165772
2015-10-29,59.87,63.25,64.54,63.08,64.39,2454551
2015-10-30,54.15,57.21,59.76,55.97,59.76,15887404
2015-11-03,52.09,55.04,56.58,54.77,55.7,10011398
2015-11-04,50.39,53.24,56.13,52.93,56.03,5722419
2015-11-05,52.38,55.34,55.34,53.27,53.27,6380888
2015-11-06,50.45,53.31,55.77,52.93,55.02,4219958
2015-11-09,50.18,53.02,53.75,52.51,53.5,3187292
2015-11-10,48.57,51.32,52.93,50.57,52.93,4000084
2015-11-11,50.28,53.13,53.65,51.29,51.32,3278268
2015-11-12,49.53,52.34,53.89,52.03,53.12,2345402
2015-11-13,50.07,52.9,53.47,51.63,51.75,3292450
2015-11-16,50.11,52.94,53.4,52.5,53.26,2269134
2015-11-17,50.86,53.74,54.92,52.93,53.4,2915206
2015-11-18,50.0,52.83,54.2,52.38,53.83,2069429
2015-11-19,50.67,53.54,54.23,53.22,53.22,2668753
2015-11-23,51.06,53.94,54.79,53.31,53.32,3000404
2015-11-24,50.47,53.33,54.29,52.47,53.56,1735047
2015-11-25,51.85,54.78,54.88,52.61,52.91,3327748
2015-11-26,51.39,54.3,54.73,53.72,54.73,1900714
2015-11-27,50.18,53.02,54.14,52.83,54.06,1932860
2015-11-30,49.59,52.39,53.93,51.77,52.74,6143995
2015-12-01,50.72,53.59,53.93,52.3,52.75,3764451
2015-12-02,50.65,53.52,54.13,52.22,53.83,5655606
2015-12-03,51.13,54.02,55.45,53.48,54.16,4139593
2015-12-04,51.55,54.47,54.72,53.14,53.54,3092220
2015-12-07,52.16,55.11,55.44,54.46,54.48,2864466
2015-12-08,51.92,54.86,55.31,53.66,55.11,2918988
2015-12-09,52.27,55.23,55.78,54.92,55.2,2963531
2015-12-10,51.89,54.83,56.05,54.14,55.69,2975086
2015-12-11,51.81,54.74,55.07,53.82,54.34,2634611
2015-12-14,51.44,54.35,55.33,54.02,54.35,3018473
2015-12-15,50.95,53.83,54.64,53.34,54.44,1918573
2015-12-16,51.32,54.22,54.22,52.5,53.27,2503926
2015-12-17,51.67,54.59,55.82,54.32,54.91,2343721
2015-12-18,51.56,54.48,55.16,53.74,53.91,3533335
2015-12-21,52.25,55.21,55.87,54.17,54.35,3925181
2015-12-22,53.17,56.18,56.67,54.94,55.3,3641855
2015-12-23,53.25,56.27,57.35,55.98,56.57,1605622
2015-12-28,53.18,56.19,56.42,55.36,56.4,1773076
2015-12-29,51.67,54.59,56.39,54.5,55.91,1159884
2015-12-30,49.91,52.74,54.96,52.74,54.59,5792489
2016-01-04,49.47,51.61,52.69,50.84,51.78,4188022
2016-01-05,50.41,52.59,52.64,51.5,51.6,2237513
2016-01-06,49.41,51.55,52.21,51.01,51.78,2330589
2016-01-07,47.46,49.52,51.13,49.52,50.9,3106717
2016-01-08,48.38,50.47,50.67,49.22,49.75,2748068
2016-01-11,47.25,49.29,51.76,49.29,50.45,2144856
2016-01-12,45.87,47.85,49.81,47.41,49.62,3054821
2016-01-13,45.24,47.2,48.33,47.07,48.19,2164186
2016-01-14,45.17,47.13,47.85,46.46,47.13,1303701
2016-01-15,43.84,45.74,46.58,44.95,46.17,3354326
2016-01-18,42.64,44.48,46.14,44.35,45.61,2048733
2016-01-19,43.02,44.88,45.52,44.11,45.41,2065647
2016-01-20,42.88,44.74,45.13,43.84,44.43,2468418
2016-01-21,42.88,44.74,44.98,43.84,44.88,1832535
2016-01-22,42.88,44.74,45.41,44.25,45.03,2382170
2016-01-26,41.62,43.43,44.67,43.43,44.67,2632930
2016-01-27,42.46,44.3,44.4,43.17,43.43,4277947
2016-01-28,42.11,43.93,44.91,43.53,44.52,1925087
2016-01-29,44.01,45.91,46.28,44.35,44.35,3292030
2016-02-01,44.37,46.29,46.6,45.51,45.59,1871405
2016-02-02,43.66,45.55,46.41,45.17,45.26,2230894
2016-02-03,45.03,46.98,47.2,45.58,45.94,2678103
2016-02-04,45.56,47.53,48.31,46.72,48.06,2819083
2016-02-05,46.36,48.37,49.22,47.03,47.51,2134456
2016-02-10,46.26,48.26,48.76,47.87,48.54,934967
2016-02-11,45.32,47.28,47.86,46.67,47.68,2416627
2016-02-12,46.26,48.26,48.48,46.96,47.83,1597743
2016-02-15,46.68,48.7,49.38,48.7,49.12,1094016
2016-02-16,47.55,49.6,49.73,48.16,48.7,1701850
2016-02-17,47.7,49.77,50.42,49.21,50.22,3112180
2016-02-18,48.6,50.7,51.18,49.17,49.76,2017743
2016-02-19,49.01,51.13,51.65,49.98,50.35,1559924
2016-02-22,50.64,52.83,53.22,52.04,52.06,3311780
2016-02-23,50.64,52.83,53.57,52.23,53.11,2368303
2016-02-24,50.13,52.3,52.3,51.14,51.88,1889054
2016-02-25,49.42,51.56,52.46,50.98,51.95,2291195
2016-02-26,45.62,47.6,49.46,46.81,49.4,5952484
2016-02-29,46.9,48.93,49.51,47.64,48.09,5707082
2016-03-01,48.28,50.37,50.99,49.02,49.02,2704576
2016-03-02,47.93,50.0,50.83,49.58,50.53,2556137
2016-03-03,48.1,50.18,50.84,49.51,50.69,3608553
2016-03-04,47.62,49.68,51.17,48.33,50.64,4607602
2016-03-07,48.23,50.32,51.39,49.63,50.15,3107768
2016-03-08,47.86,49.93,50.93,48.88,50.44,3700684
2016-03-09,48.81,50.93,50.93,49.61,50.4,3709088
2016-03-10,49.03,51.16,51.68,50.09,51.12,3241815
2016-03-11,48.01,49.98,51.53,49.93,50.94,2876442
2016-03-14,48.06,50.02,50.74,49.44,50.36,1605307
2016-03-15,47.92,49.88,50.18,49.24,49.48,1936012
2016-03-16,48.37,50.35,50.59,49.12,49.82,2015852
2016-03-17,49.65,51.68,52.55,50.66,50.93,4477652
2016-03-18,49.47,51.5,52.35,50.94,51.94,2534286
2016-03-21,50.58,52.65,52.65,51.49,51.53,1808793
2016-03-22,50.52,52.58,53.22,52.31,52.75,1820349
2016-03-23,47.94,49.9,52.55,49.9,51.98,2859739
2016-03-24,47.66,49.61,50.05,49.3,49.5,1370094
2016-03-28,48.72,50.72,51.14,50.0,50.45,1744606
2016-03-29,49.04,51.05,51.44,50.39,51.26,1582510
2016-03-30,48.48,50.46,51.62,50.15,51.56,2061340
2016-03-31,46.92,48.84,48.84,48.84,48.84,3256
2016-04-01,47.19,49.12,49.34,48.16,48.55,23846
2016-04-04,45.72,47.59,49.11,47.29,49.11,6723
2016-04-05,45.87,47.75,48.16,47.17,47.17,9034
2016-04-06,45.73,47.6,48.12,47.21,47.27,5042
2016-04-07,45.77,47.64,48.35,47.46,48.09,4517
2016-04-08,45.4,47.26,48.89,47.11,48.51,1935277
2016-04-11,44.24,46.05,46.05,46.05,46.05,15022
2016-04-12,44.16,45.97,46.95,45.64,46.12,3466
2016-04-13,43.96,45.76,46.92,45.74,46.92,26998
2016-04-14,43.93,45.73,46.63,45.6,45.86,3007232
2016-04-15,45.08,46.93,46.98,45.69,45.77,2859003
2016-04-18,45.17,47.01,47.42,46.54,46.98,1557403
2016-04-19,44.73,46.56,47.29,46.36,46.85,1050
2016-04-20,44.12,45.93,46.54,45.8,46.3,2224171
2016-04-22,43.9,45.69,46.19,45.36,45.93,3205466
2016-04-25,43.8,45.6,46.12,45.13,46.07,2199484
2016-04-26,44.87,46.7,46.81,45.81,45.98,1728218
2016-04-27,45.19,47.03,47.16,46.43,47.07,2258628
2016-04-28,44.81,46.64,47.11,46.48,47.01,2514221
2016-04-29,44.99,46.83,48.4,45.36,45.66,6899112
2016-05-02,44.32,46.13,47.07,46.07,46.62,2199799
2016-05-03,42.81,44.56,46.24,44.56,45.83,3039904
2016-05-04,42.69,44.43,44.82,43.74,44.63,3793971
2016-05-05,42.89,44.64,44.95,44.37,44.65,2104831
2016-05-06,42.75,44.5,44.85,44.27,44.64,1922565
2016-05-09,41.99,43.71,44.71,43.53,44.37,1698173
2016-05-10,45.08,46.93,47.13,45.86,46.18,6562944
2016-05-11,43.19,44.96,47.6,44.96,47.6,3091484
