Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,10.73,14.86,15.23,14.55,14.94,2536400
2015-09-04,11.2,15.51,15.63,14.42,14.55,3283900
2015-09-08,10.99,15.23,15.8,15.13,15.71,3396700
2015-09-09,11.12,15.41,15.84,15.15,15.49,2460300
2015-09-10,11.33,15.69,15.83,15.05,15.05,4409000
2015-09-11,11.01,15.25,15.85,15.14,15.78,1671600
2015-09-14,11.22,15.55,15.62,14.91,15.42,1652200
2015-09-15,11.01,15.25,15.5,15.06,15.39,2124200
2015-09-16,11.52,15.96,16.03,15.26,15.39,1806800
2015-09-17,11.12,15.4,16.06,15.35,15.7,2819400
2015-09-18,11.13,15.42,16.06,14.76,15.18,2953300
2015-09-21,11.34,15.71,16.25,15.24,15.42,1505000
2015-09-22,11.34,15.71,15.97,15.38,15.44,1485600
2015-09-23,11.77,16.31,16.57,15.47,15.68,2234800
2015-09-24,11.72,16.24,16.51,16.04,16.19,2499700
2015-09-25,12.13,16.8,16.95,16.16,16.49,1816700
2015-09-28,11.77,16.31,16.79,16.05,16.79,1419000
2015-09-29,11.72,16.23,16.52,16.14,16.21,1339800
2015-09-30,12.03,16.67,16.94,16.26,16.5,3292500
2015-10-01,12.6,17.45,17.57,16.7,16.87,3281400
2015-10-02,12.99,17.99,18.16,17.25,17.5,2811000
2015-10-05,13.04,18.07,18.29,17.55,18.29,2199000
2015-10-06,13.66,18.93,19.0,17.81,18.0,3031400
2015-10-07,13.67,18.94,19.47,18.57,18.99,2640900
2015-10-08,13.75,19.05,19.36,18.74,18.77,1620800
2015-10-09,13.68,18.95,19.13,18.31,19.13,2650600
2015-10-13,13.61,18.85,18.99,18.46,18.72,1727700
2015-10-14,13.66,18.92,19.25,18.67,18.67,3828000
2015-10-15,13.48,18.68,19.17,18.15,18.89,1842800
2015-10-16,14.3,19.81,20.26,18.52,18.68,2994000
2015-10-19,15.04,20.84,21.09,19.67,19.81,3616000
2015-10-20,14.7,20.37,20.9,19.88,20.9,3933500
2015-10-21,14.74,20.42,20.63,19.91,20.3,2839600
2015-10-22,14.96,20.72,21.03,20.41,20.52,2386800
2015-10-23,14.9,20.64,21.02,20.46,21.0,1904400
2015-10-26,15.3,21.2,21.3,20.45,20.51,2302000
2015-10-27,15.67,21.71,21.71,21.11,21.19,2147100
2015-10-28,15.49,21.46,22.19,21.25,21.71,364600
2015-10-29,15.3,21.19,21.75,20.93,21.25,2403200
2015-10-30,15.72,21.78,22.1,21.19,21.26,3929500
2015-11-03,15.51,21.49,21.89,21.2,21.74,2952700
2015-11-04,15.64,21.66,22.01,21.43,21.66,2124700
2015-11-05,15.74,21.81,22.17,21.6,21.7,2207300
2015-11-06,16.06,22.25,22.57,21.54,21.82,2091700
2015-11-09,16.11,22.32,23.05,22.14,22.26,2174200
2015-11-10,15.98,22.14,22.5,21.74,22.48,2537700
2015-11-11,17.04,23.61,23.64,22.01,22.01,3344600
2015-11-12,16.98,23.53,23.93,22.87,23.64,3072900
2015-11-13,16.83,23.32,23.48,22.72,23.45,3992000
2015-11-16,17.18,23.8,24.18,23.45,23.45,2005800
2015-11-17,18.14,25.13,25.68,23.48,24.05,4137800
2015-11-18,18.16,25.16,25.71,24.8,25.02,2907000
2015-11-19,19.12,26.49,26.49,25.2,25.37,2872200
2015-11-23,18.55,25.7,27.3,25.27,26.45,2316800
2015-11-24,18.47,25.59,26.28,24.9,25.83,2090800
2015-11-25,18.35,25.42,25.84,25.09,25.32,1803800
2015-11-26,18.3,25.35,25.74,25.15,25.55,895700
2015-11-27,18.51,25.64,26.09,25.0,25.08,1498700
2015-11-30,18.93,26.22,26.99,25.73,25.9,6145500
2015-12-01,18.53,25.67,26.74,25.01,26.25,2823600
2015-12-02,18.53,25.67,26.22,25.05,25.61,2381700
2015-12-03,18.81,26.06,26.49,25.5,26.15,1930800
2015-12-04,19.18,26.57,27.19,25.93,25.95,2412000
2015-12-07,19.49,27.0,28.38,26.6,26.65,3454000
2015-12-08,18.75,25.98,27.75,25.92,26.82,2188300
2015-12-09,18.96,26.27,27.15,25.8,26.42,3104500
2015-12-10,18.7,25.9,26.97,25.77,26.43,2078400
2015-12-11,18.49,25.61,26.36,25.12,26.0,2111800
2015-12-14,18.57,25.73,25.76,25.05,25.6,2083700
2015-12-15,18.74,25.96,26.26,25.61,25.61,1297900
2015-12-16,19.03,26.37,26.68,25.55,25.73,1508900
2015-12-17,19.14,26.51,27.8,26.51,26.93,2427400
2015-12-18,19.71,27.3,27.46,25.89,26.05,2925600
2015-12-21,20.03,27.75,28.1,27.15,27.15,2023900
2015-12-22,20.49,28.38,28.44,27.76,27.85,2168000
2015-12-23,20.9,28.95,29.0,28.19,28.4,1079000
2015-12-28,21.19,29.36,29.84,29.04,29.1,1297000
2015-12-29,20.85,28.89,29.55,28.7,29.24,778700
2015-12-30,19.94,27.62,28.89,27.37,28.61,2335400
2016-01-04,19.56,27.1,27.31,26.81,27.08,1533100
2016-01-05,18.72,25.93,27.48,25.82,27.23,2567900
2016-01-06,20.03,27.75,27.98,25.36,25.61,3389600
2016-01-07,19.49,27.0,28.17,27.0,27.47,2465800
2016-01-08,19.54,27.07,27.67,26.6,27.02,1520300
2016-01-11,20.04,27.76,27.93,27.25,27.48,1467300
2016-01-12,19.22,26.62,27.99,26.62,27.81,2340200
2016-01-13,18.76,25.99,26.9,25.4,26.9,2428700
2016-01-14,18.19,25.2,26.55,25.1,26.05,2297600
2016-01-15,18.15,25.14,25.66,24.71,25.2,2288500
2016-01-18,17.69,24.51,25.04,24.51,24.66,958300
