Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,1.52,3.77,3.77,3.64,3.71,16103652
2015-09-04,1.48,3.67,3.79,3.62,3.66,13307997
2015-09-08,1.4,3.48,3.73,3.48,3.73,11846825
2015-09-09,1.42,3.53,3.57,3.49,3.52,10173965
2015-09-10,1.45,3.59,3.59,3.42,3.42,17977473
2015-09-11,1.45,3.61,3.68,3.57,3.68,9148109
2015-09-14,1.44,3.57,3.66,3.47,3.61,9303941
2015-09-15,1.44,3.58,3.63,3.47,3.58,9718411
2015-09-16,1.48,3.67,3.71,3.64,3.64,29570111
2015-09-17,1.49,3.69,3.74,3.64,3.67,27248021
2015-09-18,1.4,3.47,3.66,3.42,3.66,17446432
2015-09-21,1.43,3.55,3.55,3.43,3.46,10773815
2015-09-22,1.41,3.49,3.52,3.39,3.48,12699445
2015-09-23,1.39,3.46,3.52,3.42,3.48,15112807
2015-09-24,1.37,3.39,3.44,3.34,3.4,9185347
2015-09-25,1.35,3.36,3.47,3.34,3.43,9703638
2015-09-28,1.33,3.31,3.34,3.2,3.32,8119218
2015-09-29,1.33,3.3,3.37,3.29,3.31,4975472
2015-09-30,1.39,3.45,3.49,3.37,3.37,9250310
2015-10-01,1.38,3.41,3.51,3.36,3.39,8645806
2015-10-02,1.4,3.47,3.49,3.35,3.41,7768496
2015-10-05,1.41,3.51,3.59,3.49,3.52,10655626
2015-10-06,1.39,3.44,3.6,3.44,3.5,14487053
2015-10-07,1.41,3.49,3.53,3.43,3.49,10795267
2015-10-08,1.4,3.48,3.54,3.47,3.5,19655797
2015-10-09,1.43,3.56,3.59,3.53,3.55,14184700
2015-10-13,1.44,3.58,3.63,3.51,3.56,15079415
2015-10-14,1.43,3.54,3.61,3.49,3.57,19446538
2015-10-15,1.45,3.59,3.61,3.54,3.54,11447128
2015-10-16,1.42,3.51,3.6,3.51,3.59,6749925
2015-10-19,1.42,3.53,3.54,3.45,3.53,13067166
2015-10-20,1.51,3.74,3.78,3.51,3.52,49274681
2015-10-21,1.53,3.78,3.97,3.74,3.78,21114742
2015-10-22,1.55,3.84,3.96,3.78,3.78,15090950
2015-10-23,1.49,3.71,3.98,3.71,3.95,11755755
2015-10-26,1.44,3.58,3.79,3.58,3.71,8253394
2015-10-27,1.41,3.49,3.62,3.48,3.59,10828457
2015-10-28,1.43,3.55,3.59,3.49,3.49,1017760
2015-10-29,1.4,3.47,3.58,3.47,3.5,7128373
2015-10-30,1.43,3.54,3.59,3.47,3.48,8268775
2015-11-03,1.51,3.74,3.74,3.59,3.63,10514973
