Date,Adj Close,Close,High,Low,Open,Volume
2021-02-22,5.25,9.29,9.3,8.67,8.92,10507000
2021-02-23,5.16,9.12,9.6,9.1,9.5,9243700
2021-02-24,5.18,9.15,9.28,9.07,9.16,6550600
2021-02-25,5.12,9.05,9.29,9.0,9.18,6054200
2021-02-26,5.05,8.93,9.17,8.9,9.15,4849000
2021-03-01,5.06,8.95,9.09,8.82,9.05,6578700
2021-03-02,4.98,8.8,9.05,8.51,8.97,6141500
2021-03-03,4.8,8.49,8.9,8.18,8.9,10191700
2021-03-04,4.78,8.45,8.55,8.09,8.51,17915200
2021-03-05,4.81,8.51,8.54,8.3,8.4,9965700
2021-03-08,4.81,8.51,8.52,8.35,8.4,4979600
2021-03-09,4.79,8.47,8.49,8.26,8.45,3953300
2021-03-10,4.75,8.39,8.5,8.2,8.5,9782800
2021-03-11,4.81,8.5,8.73,8.31,8.45,7448100
2021-03-12,4.8,8.49,8.51,8.36,8.46,2243400
2021-03-15,4.8,8.49,8.53,8.36,8.45,2556300
2021-03-16,4.81,8.5,8.65,8.47,8.49,2252700
2021-03-17,4.88,8.62,8.73,8.45,8.51,2550800
2021-03-18,4.8,8.49,8.66,8.42,8.6,4666500
2021-03-19,4.82,8.53,8.53,8.39,8.53,2795400
2021-03-22,4.75,8.4,8.48,8.31,8.44,2194800
2021-03-23,4.71,8.32,8.44,8.24,8.4,2289600
2021-03-24,4.73,8.36,8.41,8.31,8.38,1764200
2021-03-25,4.69,8.3,8.55,8.3,8.5,4809400
2021-03-26,4.73,8.36,8.5,8.31,8.45,4067400
2021-03-29,5.19,9.17,9.2,8.36,8.36,10506900
2021-03-30,5.1,9.02,9.44,9.0,9.15,8874400
2021-03-31,5.2,9.19,9.25,9.05,9.05,5409900
2021-04-01,5.12,9.05,9.42,9.02,9.3,6402600
2021-04-05,5.2,9.2,9.3,9.17,9.18,3784100
2021-04-06,5.23,9.25,9.37,9.21,9.22,4143800
2021-04-07,5.31,9.38,9.38,9.26,9.34,4412700
2021-04-08,5.26,9.3,9.5,9.3,9.39,4841100
2021-04-09,5.3,9.37,9.43,9.16,9.3,3099000
2021-04-12,5.33,9.43,9.5,9.32,9.38,4062100
2021-04-13,5.31,9.38,9.45,9.31,9.43,3709000
2021-04-14,5.36,9.47,9.48,9.3,9.37,10782400
2021-04-15,5.48,9.69,9.77,9.53,9.53,10601300
2021-04-16,5.41,9.57,9.83,9.47,9.69,7175300
2021-04-19,5.5,9.72,9.78,9.62,9.68,5841400
2021-04-20,5.46,9.66,10.07,9.65,9.79,7337800
2021-04-22,5.46,9.66,9.84,9.54,9.82,5257900
2021-04-23,5.51,9.75,9.86,9.68,9.75,4640400
2021-04-26,5.61,9.92,10.03,9.83,9.91,7569500
2021-04-27,5.8,10.25,10.4,9.95,9.98,10525600
2021-04-28,6.03,10.66,10.71,10.25,10.25,7548900
