Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,7.47,8.52,8.74,8.45,8.71,11234000
2015-09-04,7.33,8.35,8.55,8.1,8.44,18082300
2015-09-08,7.41,8.45,8.6,8.38,8.49,5937100
2015-09-09,7.55,8.61,8.8,8.48,8.54,19537100
2015-09-10,7.5,8.55,8.68,8.25,8.26,13245900
2015-09-11,7.55,8.61,8.7,8.31,8.6,7449100
2015-09-14,7.69,8.76,8.83,8.46,8.75,9532400
2015-09-15,7.53,8.58,8.9,8.55,8.85,15459100
2015-09-16,7.63,8.7,8.8,8.63,8.63,14164400
2015-09-17,8.05,9.18,9.3,8.63,8.7,11543500
2015-09-18,7.55,8.61,9.14,8.59,9.14,9767500
2015-09-21,7.28,8.3,8.71,8.2,8.65,6720000
2015-09-22,6.7,7.64,7.68,7.27,7.3,72481600
2015-09-23,6.83,7.78,8.11,7.64,7.67,18799600
2015-09-24,6.72,7.66,7.7,7.44,7.65,11104500
2015-09-25,6.67,7.6,7.9,7.56,7.77,4049700
2015-09-28,6.5,7.41,7.56,7.32,7.55,5972600
2015-09-29,6.71,7.65,7.83,7.41,7.41,10893200
2015-09-30,6.76,7.71,8.04,7.62,7.9,14608900
2015-10-01,6.78,7.73,7.92,7.73,7.8,26506700
2015-10-02,7.48,8.53,8.53,7.76,7.78,13183000
2015-10-05,7.73,8.81,8.83,8.55,8.7,7867100
2015-10-06,7.86,8.96,9.0,8.7,8.74,6064800
2015-10-07,8.27,9.43,9.55,9.02,9.21,12049500
2015-10-08,8.36,9.53,9.72,9.18,9.33,13429400
2015-10-09,8.65,9.86,9.86,9.54,9.74,10327800
2015-10-13,7.94,9.05,9.75,9.02,9.75,11403200
2015-10-14,7.81,8.9,9.29,8.89,9.05,23725800
2015-10-15,8.71,9.93,10.02,9.17,9.17,21583900
2015-10-16,8.77,10.0,10.09,9.61,9.93,16261900
2015-10-19,9.1,10.37,10.37,9.7,10.04,16540500
2015-10-20,9.16,10.44,10.95,10.12,10.49,15599800
2015-10-21,9.11,10.38,10.56,10.01,10.4,8384300
2015-10-22,8.96,10.21,10.5,10.13,10.5,6202400
2015-10-23,8.93,10.18,10.62,10.16,10.5,5373700
2015-10-26,8.8,10.03,10.25,9.89,10.25,5888400
2015-10-27,9.08,10.35,10.43,9.94,10.03,35788600
2015-10-28,9.09,10.36,10.37,10.22,10.22,799800
2015-10-29,8.49,9.68,10.24,9.6,10.0,7212100
2015-10-30,8.65,9.86,10.0,9.61,9.7,7466200
2015-11-03,9.43,10.75,10.75,10.04,10.04,16431400
2015-11-04,8.97,10.22,11.05,10.22,10.77,11119600
2015-11-05,9.31,10.61,10.7,10.25,10.26,9590700
2015-11-06,8.95,10.2,10.6,10.03,10.49,7546100
2015-11-09,8.89,10.13,10.47,10.13,10.25,7337900
2015-11-10,8.78,10.01,10.23,9.95,10.22,5658200
2015-11-11,9.3,10.6,10.77,10.13,10.18,9786700
2015-11-12,9.27,10.57,11.5,10.43,10.69,26403000
2015-11-13,9.02,10.24,10.63,10.16,10.55,14885900
2015-11-16,9.02,10.24,10.38,10.04,10.22,16970100
2015-11-17,9.31,10.57,10.62,10.33,10.38,9538500
2015-11-18,9.34,10.6,10.75,10.37,10.53,7056600
2015-11-19,9.42,10.69,10.89,10.62,10.75,15580800
2015-11-23,9.4,10.67,10.85,10.53,10.77,4626000
2015-11-24,9.33,10.59,10.74,10.33,10.65,4957500
2015-11-25,9.16,10.39,10.71,10.25,10.42,10521400
2015-11-26,8.37,9.5,10.4,9.45,10.39,20282500
2015-11-27,8.19,9.3,9.63,9.1,9.6,15770800
2015-11-30,8.15,9.25,9.63,8.97,9.21,14992100
2015-12-01,8.58,9.74,9.74,9.27,9.36,17693700
2015-12-02,8.62,9.78,9.94,9.56,9.71,11673500
2015-12-03,9.34,10.6,10.6,9.99,10.06,24331000
2015-12-04,9.11,10.34,10.51,9.98,10.5,14512900
2015-12-07,9.22,10.46,10.81,10.27,10.45,11155800
2015-12-08,9.27,10.52,10.6,10.11,10.4,9181200
2015-12-09,9.46,10.74,11.04,10.63,10.67,14362600
2015-12-10,9.22,10.46,10.79,10.37,10.79,10756700
2015-12-11,9.16,10.39,10.65,10.3,10.39,7525900
2015-12-14,9.03,10.25,10.41,10.06,10.31,6528100
2015-12-15,9.03,10.25,10.43,10.15,10.31,4374500
2015-12-16,9.08,10.3,10.39,10.12,10.2,9499900
2015-12-17,9.33,10.59,10.75,10.47,10.5,9511900
2015-12-18,8.56,9.72,10.31,9.72,10.26,17363200
2015-12-21,8.81,10.0,10.06,9.67,9.75,17669300
2015-12-22,8.73,9.91,10.15,9.83,10.06,11484900
2015-12-23,8.65,9.82,10.12,9.68,10.0,5064500
2015-12-28,8.7,9.87,10.07,9.8,9.88,5043900
2015-12-29,8.74,9.92,10.1,9.87,9.88,3467300
2015-12-30,8.4,9.53,9.97,9.4,9.97,7418000
2016-01-04,8.3,9.42,9.59,9.13,9.53,6564200
2016-01-05,8.11,9.2,9.66,9.15,9.45,10179800
2016-01-06,8.26,9.37,9.54,8.78,9.13,41927800
2016-01-07,8.17,9.27,9.47,9.2,9.45,28553400
2016-01-08,7.71,8.75,9.31,8.1,9.25,26915100
2016-01-11,7.67,8.7,8.88,8.55,8.8,23446100
2016-01-12,7.42,8.42,8.84,8.28,8.7,10252800
2016-01-13,7.2,8.17,8.7,8.17,8.45,12202200
2016-01-14,7.57,8.59,8.59,8.17,8.21,7243300
2016-01-15,7.51,8.52,8.58,8.2,8.4,6245200
2016-01-18,7.3,8.29,8.6,8.27,8.47,4139100
2016-01-19,7.35,8.34,8.58,8.28,8.54,4377500
2016-01-20,7.23,8.2,8.35,7.88,8.25,6016600
2016-01-21,7.09,8.05,8.28,7.98,8.13,7498300
2016-01-22,6.82,7.74,8.15,7.65,8.11,15097900
2016-01-26,7.05,8.0,8.04,7.43,7.69,13161100
2016-01-27,6.92,7.85,8.14,7.74,8.02,7489800
2016-01-28,6.9,7.83,8.04,7.57,7.9,8323700
2016-01-29,7.49,8.5,8.54,7.86,7.97,10568100
2016-02-01,7.85,8.91,8.94,8.32,8.4,14245500
2016-02-02,7.6,8.63,8.96,8.57,8.79,7815500
2016-02-03,7.65,8.68,8.87,8.38,8.8,6718500
2016-02-04,8.19,9.3,9.39,8.98,9.05,15415200
2016-02-05,8.31,9.43,9.57,9.23,9.29,8673600
2016-02-10,8.2,9.31,9.4,9.05,9.3,6901700
2016-02-11,8.0,9.08,9.13,8.83,9.05,13040500
2016-02-12,8.39,9.52,9.65,8.97,9.18,9390600
2016-02-15,8.49,9.64,9.76,9.49,9.76,5177300
2016-02-16,8.42,9.55,9.8,9.46,9.65,6996100
2016-02-17,8.72,9.9,10.02,9.49,9.6,17347400
2016-02-18,8.65,9.82,10.0,9.69,9.85,7675400
2016-02-19,8.4,9.53,9.74,9.46,9.71,13974000
2016-02-22,8.41,9.54,9.94,9.54,9.94,14118200
2016-02-23,8.31,9.43,9.66,9.33,9.57,24768600
2016-02-24,8.11,9.2,9.33,9.05,9.28,9304500
2016-02-25,8.03,9.11,9.25,8.97,9.1,8107900
2016-02-26,8.34,9.46,9.58,9.05,9.21,17714800
2016-02-29,8.79,9.97,10.12,9.42,9.61,9012400
2016-03-01,8.94,10.15,10.26,10.07,10.2,9398000
2016-03-02,8.76,9.94,10.25,9.84,10.2,8118200
2016-03-03,9.45,10.73,10.82,10.0,10.09,30859800
2016-03-04,9.73,11.04,11.6,10.68,11.6,18568800
2016-03-07,10.03,11.38,11.43,10.78,11.05,15783800
2016-03-08,9.89,11.22,11.6,11.12,11.37,19057400
2016-03-09,9.95,11.29,11.58,11.07,11.33,11987900
2016-03-10,10.18,11.55,11.92,10.85,11.5,10853700
2016-03-11,10.26,11.64,11.89,11.13,11.51,19649100
2016-03-14,9.82,11.15,11.83,10.8,11.83,18055400
2016-03-15,9.51,10.79,11.12,10.6,11.07,16361500
2016-03-16,9.3,10.51,10.64,10.33,10.6,14346900
2016-03-17,9.62,10.87,11.5,10.86,11.2,29478700
2016-03-18,9.63,10.89,11.13,10.78,11.07,21723200
2016-03-21,9.57,10.82,11.05,10.82,10.91,10642300
2016-03-22,10.09,11.4,11.6,10.87,10.87,18199000
2016-03-23,10.09,11.4,11.46,11.19,11.37,6751800
2016-03-24,10.37,11.72,11.84,11.11,11.27,19953200
2016-03-28,9.9,11.19,11.98,11.14,11.97,10538900
2016-03-29,10.04,11.35,11.65,11.1,11.19,9016300
2016-03-30,10.25,11.59,12.05,11.45,11.47,13080200
2016-03-31,10.16,11.48,11.48,11.48,11.48,8900
2016-04-01,10.46,11.82,11.82,11.82,11.82,3300
2016-04-04,10.19,11.52,11.52,11.52,11.52,24100
2016-04-05,10.25,11.59,11.59,11.59,11.59,14300
2016-04-06,10.34,11.69,11.69,11.69,11.69,12500
2016-04-07,10.24,11.58,11.58,11.58,11.58,2400
2016-04-08,10.54,11.91,12.15,11.75,11.94,8497800
2016-04-11,10.13,11.45,11.45,11.45,11.45,17000
2016-04-12,10.5,11.87,11.87,11.87,11.87,22500
2016-04-13,10.7,12.09,12.09,12.09,12.09,100500
2016-04-14,10.51,11.88,12.32,11.88,12.17,6121600
2016-04-15,10.75,12.15,12.44,11.94,12.02,5840300
2016-04-18,10.83,12.24,12.32,12.0,12.16,6650800
2016-04-19,11.01,12.44,12.44,12.44,12.44,4200
2016-04-20,11.05,12.49,12.67,12.32,12.41,12877500
2016-04-22,10.53,11.9,12.49,11.86,12.22,14188500
2016-04-25,10.54,11.91,12.03,11.7,11.94,4028000
2016-04-26,10.9,12.32,12.39,11.92,12.02,5857500
2016-04-27,11.15,12.6,12.65,12.19,12.39,9444400
2016-04-28,11.24,12.71,12.78,12.29,12.7,9536100
2016-04-29,11.32,12.8,13.04,12.65,12.72,14039400
2016-05-02,11.5,13.0,13.2,12.54,12.7,5753000
2016-05-03,11.1,12.55,13.1,12.55,12.88,13142000
2016-05-04,10.95,12.38,12.55,12.05,12.55,4901000
2016-05-05,10.4,11.76,12.48,11.67,12.41,7288400
2016-05-06,10.43,11.79,12.14,11.45,11.77,6393500
2016-05-09,10.57,11.95,12.2,11.61,11.75,7322800
2016-05-10,11.03,12.47,12.48,12.03,12.03,9526200
2016-05-11,10.62,12.0,12.75,11.91,12.62,9796100
2016-05-12,10.86,12.28,12.46,11.9,12.45,9397100
2016-05-13,10.4,11.64,12.34,11.32,12.15,15220300
2016-05-16,10.34,11.57,11.88,11.35,11.35,7550600
2016-05-17,9.92,11.1,11.75,10.98,11.57,7391400
2016-05-18,10.16,11.37,11.65,10.78,10.9,7726300
