Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,10.21,15.48,15.59,14.85,14.89,2149276
2015-09-04,9.73,14.76,15.51,14.75,15.37,1769178
2015-09-08,9.78,14.84,15.46,14.58,15.46,832976
2015-09-09,9.81,14.88,15.27,14.78,14.95,1451097
2015-09-10,9.8,14.87,15.11,14.54,14.54,1935035
2015-09-11,10.09,15.31,15.35,14.68,14.76,1033276
2015-09-14,10.29,15.61,15.61,15.15,15.35,1275604
2015-09-15,10.1,15.33,15.74,15.07,15.72,946247
2015-09-16,10.52,15.96,15.96,15.33,15.34,1042194
2015-09-17,10.44,15.84,16.16,15.57,15.81,1755340
2015-09-18,9.65,14.63,15.74,14.56,15.74,2632292
2015-09-21,9.7,14.71,14.89,14.46,14.54,941224
2015-09-22,9.41,14.27,14.6,13.98,14.54,2437118
2015-09-23,9.29,14.1,14.76,14.02,14.24,2026677
2015-09-24,9.19,13.94,14.18,13.42,13.76,1757185
2015-09-25,9.27,14.07,14.1,13.76,14.03,1564470
2015-09-28,9.11,13.82,13.97,13.7,13.97,1076842
2015-09-29,9.42,14.29,14.37,13.79,13.82,1355252
2015-09-30,9.56,14.51,14.83,14.37,14.38,1889215
2015-10-01,9.33,14.16,14.68,13.85,14.68,1316300
2015-10-02,9.67,14.67,14.67,13.98,14.25,1277757
2015-10-05,9.68,14.68,14.92,14.52,14.89,1210204
2015-10-06,9.58,14.54,14.83,14.3,14.68,1453147
2015-10-07,9.74,14.77,14.81,14.34,14.68,1392873
2015-10-08,10.08,15.3,15.3,14.64,14.65,1296516
2015-10-09,9.89,14.99,15.48,14.72,15.43,973207
2015-10-13,9.87,14.97,15.27,14.88,15.1,1023128
2015-10-14,9.55,14.49,15.07,14.49,14.87,3207565
2015-10-15,9.68,14.68,14.83,14.43,14.44,1003446
2015-10-16,9.45,14.34,14.83,14.34,14.63,2336558
2015-10-19,9.61,14.57,14.75,14.25,14.34,2549056
2015-10-20,9.82,14.9,15.19,14.57,14.57,1461143
2015-10-21,9.87,14.96,15.21,14.6,15.06,1053880
2015-10-22,10.21,15.49,15.49,14.92,14.95,1146752
2015-10-23,9.94,15.08,16.08,15.08,16.08,1205796
2015-10-26,9.87,14.97,15.37,14.89,14.95,1242084
2015-10-27,9.92,15.05,15.12,14.82,14.96,1210717
2015-10-28,9.92,15.04,15.05,14.92,14.95,80263
2015-10-29,9.81,14.88,15.1,14.56,14.56,1193598
2015-10-30,9.96,15.11,15.36,14.67,14.77,1829658
2015-11-03,10.34,15.69,15.94,15.03,15.12,2135438
2015-11-04,10.55,16.01,16.61,15.7,15.7,1901208
2015-11-05,10.35,15.71,16.12,15.5,15.92,1107799
2015-11-06,10.21,15.49,15.8,14.82,15.61,1173096
2015-11-09,9.92,15.04,15.5,15.01,15.41,1004266
2015-11-10,10.12,15.35,15.35,14.83,14.94,1597068
2015-11-11,10.29,15.61,15.91,15.43,15.5,1654677
2015-11-12,10.42,15.8,16.1,15.62,15.72,1609471
2015-11-13,10.52,15.95,16.38,15.74,16.09,1897005
2015-11-16,10.35,15.71,16.1,15.62,15.95,921235
2015-11-17,10.35,15.71,15.99,15.54,15.81,1652832
2015-11-18,10.73,16.28,16.44,15.76,15.87,1473239
2015-11-19,10.61,16.09,16.44,16.08,16.44,1814179
2015-11-23,10.72,16.26,16.47,16.06,16.2,1188780
2015-11-24,10.75,16.3,16.43,16.06,16.15,1022615
2015-11-25,10.49,15.91,16.29,15.83,16.24,1613059
2015-11-26,10.62,16.12,16.15,15.92,16.03,815037
2015-11-27,10.23,15.51,16.18,15.46,16.0,2273926
2015-11-30,10.12,15.35,15.58,15.13,15.4,1994285
2015-12-01,10.14,15.37,15.66,15.18,15.46,1127583
2015-12-02,9.85,14.95,15.92,14.92,15.48,1771946
2015-12-03,10.12,15.35,15.75,15.15,15.17,1758927
2015-12-04,10.06,15.26,15.44,14.91,15.25,1326653
2015-12-07,10.08,15.3,15.59,15.13,15.35,1104314
2015-12-08,9.81,14.88,15.41,14.77,15.3,1439514
2015-12-09,10.27,15.58,15.79,14.99,14.99,1800853
2015-12-10,10.07,15.27,15.76,14.86,15.69,1299181
2015-12-11,9.94,15.08,15.64,15.0,15.16,1624027
2015-12-14,9.92,15.04,15.33,14.82,14.97,1331676
2015-12-15,9.99,15.16,15.56,15.05,15.11,1469856
2015-12-16,10.14,15.37,15.52,14.83,15.05,1530540
2015-12-17,10.12,15.35,15.78,15.35,15.48,1361813
2015-12-18,9.74,14.78,15.24,14.64,15.21,1605166
2015-12-21,9.46,14.35,14.97,14.35,14.79,1802288
2015-12-22,9.71,14.72,14.91,14.39,14.45,1062798
2015-12-23,9.9,15.01,15.17,14.86,14.88,788898
2015-12-28,9.78,14.83,15.17,14.8,15.17,1063106
2015-12-29,9.68,14.68,15.09,14.58,14.77,540830
2015-12-30,9.76,14.81,14.95,14.58,14.58,1757697
2016-01-04,9.52,14.44,14.79,14.25,14.7,1466473
2016-01-05,9.65,14.63,14.63,14.29,14.34,1024563
2016-01-06,9.55,14.49,14.7,14.33,14.53,946862
2016-01-07,9.16,13.9,14.39,13.75,14.39,1365298
2016-01-08,9.14,13.86,14.19,13.73,13.75,1161206
2016-01-11,9.17,13.91,14.29,13.83,13.95,1004266
2016-01-12,9.05,13.73,14.24,13.64,14.0,1366221
2016-01-13,9.16,13.9,14.03,13.72,13.94,1532693
2016-01-14,9.15,13.87,14.22,13.8,14.1,2383814
2016-01-15,9.11,13.81,13.92,13.53,13.87,1418295
2016-01-18,8.94,13.56,13.86,13.51,13.84,794638
2016-01-19,9.05,13.73,13.96,13.6,13.73,1303486
2016-01-20,8.92,13.53,13.74,13.27,13.51,1559960
2016-01-21,9.06,13.74,13.8,13.36,13.56,1517625
2016-01-22,9.48,14.38,14.51,13.82,13.87,1268941
2016-01-26,9.27,14.07,14.6,14.0,14.49,1255615
2016-01-27,9.54,14.48,14.62,14.01,14.02,1367451
2016-01-28,10.01,15.19,15.21,14.46,14.63,1272836
2016-01-29,10.43,15.81,16.08,15.22,15.32,2519841
2016-02-01,10.61,16.09,16.18,15.55,15.55,1708904
2016-02-02,10.21,15.49,16.05,15.49,15.77,1326448
2016-02-03,10.36,15.72,15.9,15.37,15.68,2582781
2016-02-04,10.61,16.1,16.34,15.75,15.94,1706033
2016-02-05,10.68,16.19,16.29,15.78,15.92,2284484
2016-02-10,10.66,16.16,16.27,15.8,16.18,965519
2016-02-11,10.29,15.61,16.06,15.43,15.93,1561703
2016-02-12,10.23,15.52,15.9,15.24,15.88,1159976
2016-02-15,10.12,15.35,16.06,15.11,15.89,724318
2016-02-16,10.2,15.47,15.94,15.39,15.54,2004023
2016-02-17,10.68,16.2,16.55,15.44,15.71,2132978
2016-02-18,10.84,16.44,16.95,16.05,16.05,1685942
2016-02-19,10.59,16.07,16.38,15.92,16.18,920415
2016-02-22,11.03,16.73,16.77,16.49,16.61,1717002
2016-02-23,10.68,16.2,16.81,16.2,16.66,1076432
2016-02-24,10.63,16.13,16.24,15.82,15.92,1221685
2016-02-25,10.95,16.6,16.62,16.14,16.28,1064848
2016-02-26,10.48,15.89,16.96,15.82,16.78,1649244
2016-02-29,10.74,16.29,16.75,16.01,16.21,1802596
2016-03-01,11.03,16.73,16.78,16.5,16.55,1444229
2016-03-02,10.77,16.34,16.72,16.17,16.71,1785067
2016-03-03,11.15,16.92,17.16,16.38,16.52,2233435
2016-03-04,11.37,17.25,17.55,16.98,17.09,3393821
2016-03-07,11.29,17.12,17.5,16.86,17.48,1763233
2016-03-08,11.44,17.35,17.75,17.11,17.22,2729162
2016-03-09,11.97,18.15,18.42,17.61,17.61,3065182
2016-03-10,12.12,18.38,18.88,17.69,18.44,3894673
2016-03-11,12.06,18.29,18.51,17.89,18.31,3930756
2016-03-14,11.88,18.02,18.43,17.93,18.29,1375754
2016-03-15,11.28,17.11,17.75,16.85,17.75,1758825
2016-03-16,11.69,17.73,17.93,16.94,16.94,969824
2016-03-17,12.44,18.88,18.96,18.01,18.36,1919352
2016-03-18,12.44,18.88,19.04,18.58,19.02,1376062
2016-03-21,12.35,18.73,19.31,18.71,19.02,1527568
2016-03-22,12.34,18.71,19.09,18.61,18.8,1617262
2016-03-23,12.04,18.26,18.72,18.09,18.53,1614084
2016-03-24,12.52,18.98,18.98,18.08,18.08,959881
2016-03-28,12.98,19.69,19.83,18.93,19.33,1382212
2016-03-29,13.06,19.8,19.93,19.24,19.78,3021821
2016-03-30,12.81,19.42,19.99,19.28,19.99,1720180
2016-03-31,12.84,19.48,19.53,18.94,19.37,3334059
2016-04-01,12.64,19.18,19.18,19.18,19.18,2152
2016-04-04,12.32,18.68,18.68,18.68,18.68,1845
2016-04-05,12.21,18.52,18.52,18.52,18.52,2050
2016-04-06,11.95,18.13,18.13,18.13,18.13,3075
2016-04-07,11.98,18.17,18.17,18.17,18.17,410
2016-04-08,12.25,18.58,18.94,18.39,18.73,2111554
2016-04-11,12.11,18.37,19.11,18.37,18.82,1033686
2016-04-12,12.5,18.96,18.96,18.96,18.96,1640
2016-04-13,12.55,19.03,19.03,19.03,19.03,14351
2016-04-14,12.32,18.68,19.29,18.48,19.13,2667657
2016-04-15,12.55,19.03,19.34,18.69,18.87,1371244
2016-04-18,12.41,18.82,19.11,18.65,18.99,3020078
2016-04-19,12.48,18.93,19.07,18.75,19.0,1306151
2016-04-20,12.41,18.83,19.03,18.63,18.71,3782632
2016-04-22,12.39,18.79,18.82,18.37,18.46,2122932
2016-04-25,12.37,18.77,19.1,18.61,18.83,983970
2016-04-26,12.46,18.91,19.1,18.67,18.85,2085927
2016-04-27,13.06,19.8,20.02,18.93,19.09,2728444
2016-04-28,13.05,19.79,19.9,19.59,19.78,1054803
2016-04-29,12.77,19.36,19.8,19.29,19.8,2305190
2016-05-02,13.05,19.58,19.58,18.96,19.06,1150300
2016-05-03,13.05,19.58,19.61,19.11,19.34,1284100
2016-05-04,12.89,19.35,19.56,19.22,19.48,975300
2016-05-05,12.93,19.4,19.67,19.07,19.43,2040800
2016-05-06,13.03,19.55,19.69,19.06,19.39,3795300
2016-05-09,12.82,19.24,19.56,18.96,19.37,1358200
2016-05-10,13.16,19.75,19.9,19.2,19.52,2471800
2016-05-11,13.13,19.7,20.23,19.59,20.0,1862300
2016-05-12,13.33,20.0,20.38,19.86,19.86,2457800
2016-05-13,13.17,19.76,20.17,19.48,19.9,2451500
2016-05-16,13.0,19.51,19.78,19.48,19.53,1912800
2016-05-17,12.69,19.05,19.6,18.69,19.52,1757900
2016-05-18,12.39,18.6,19.09,18.52,19.0,2985200
2016-05-19,12.35,18.54,18.67,18.26,18.4,1367200
2016-05-20,12.45,18.68,18.89,18.5,18.54,1840100
2016-05-23,12.19,18.3,18.49,18.0,18.25,1692600
2016-05-24,12.33,18.51,18.62,18.15,18.35,1158300
2016-05-25,12.1,18.15,18.69,18.12,18.49,1306400
2016-05-27,12.23,18.36,18.59,18.04,18.04,1101400
2016-05-30,12.21,18.33,18.55,18.1,18.44,461800
2016-05-31,12.18,18.28,18.44,18.1,18.1,2052700
2016-06-01,12.35,18.53,18.53,18.18,18.41,2338800
2016-06-02,12.58,18.88,18.88,18.37,18.57,2198900
2016-06-03,12.76,19.15,19.3,18.8,19.0,2419300
2016-06-06,12.66,19.0,19.3,18.82,19.3,1394900
