Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,1.55,3.03,3.05,2.92,3.0,6512828
2015-09-04,1.52,2.97,3.03,2.94,2.96,10489945
2015-09-08,1.55,3.03,3.05,2.96,3.05,4996402
2015-09-09,1.56,3.05,3.09,3.0,3.08,11583252
2015-09-10,1.64,3.2,3.2,2.95,2.95,8121280
2015-09-11,1.65,3.22,3.26,3.16,3.18,4416240
2015-09-14,1.72,3.37,3.37,3.19,3.24,6639864
2015-09-15,1.72,3.36,3.42,3.27,3.38,5227467
2015-09-16,1.77,3.45,3.45,3.36,3.37,8741454
2015-09-17,1.76,3.44,3.48,3.38,3.4,10000808
2015-09-18,1.7,3.31,3.39,3.3,3.39,10414924
2015-09-21,1.68,3.27,3.37,3.26,3.35,8550400
2015-09-22,1.64,3.21,3.24,3.16,3.2,8449372
2015-09-23,1.63,3.18,3.22,3.15,3.19,6380791
2015-09-24,1.63,3.18,3.23,3.0,3.09,10361909
2015-09-25,1.62,3.15,3.24,3.13,3.23,3479977
2015-09-28,1.61,3.15,3.16,3.09,3.1,4939386
2015-09-29,1.63,3.18,3.2,3.12,3.15,6767900
2015-09-30,1.67,3.26,3.31,3.19,3.28,14185983
2015-10-01,1.63,3.18,3.3,3.13,3.26,13272726
2015-10-02,1.66,3.24,3.25,3.14,3.16,7722168
2015-10-05,1.68,3.28,3.3,3.25,3.28,4090148
2015-10-06,1.64,3.21,3.33,3.16,3.27,8025253
2015-10-07,1.62,3.17,3.25,3.13,3.24,9311614
2015-10-08,1.6,3.13,3.18,3.12,3.16,8633424
2015-10-09,1.62,3.17,3.21,3.12,3.17,15139250
2015-10-13,1.65,3.23,3.25,3.17,3.2,9937790
2015-10-14,1.63,3.19,3.31,3.18,3.21,14837166
2015-10-15,1.66,3.25,3.25,3.15,3.2,9500667
2015-10-16,1.67,3.27,3.28,3.19,3.25,6903938
2015-10-19,1.72,3.35,3.36,3.22,3.27,5353503
2015-10-20,1.7,3.33,3.41,3.29,3.33,8161291
2015-10-21,1.71,3.34,3.38,3.28,3.32,3509985
2015-10-22,1.74,3.39,3.48,3.34,3.34,6663871
2015-10-23,1.73,3.37,3.48,3.37,3.46,6222747
2015-10-26,1.63,3.17,3.4,3.14,3.37,13526798
2015-10-27,1.65,3.22,3.23,3.13,3.16,6043696
2015-10-28,1.64,3.2,3.2,3.18,3.19,494138
2015-10-29,1.6,3.12,3.18,3.11,3.12,6074705
2015-10-30,1.66,3.25,3.25,3.1,3.1,9658711
2015-11-03,1.72,3.36,3.39,3.19,3.24,9048540
2015-11-04,1.74,3.4,3.47,3.36,3.37,12003370
2015-11-05,1.78,3.47,3.47,3.36,3.39,7538116
2015-11-06,1.7,3.32,3.49,3.25,3.44,5875649
2015-11-09,1.66,3.23,3.32,3.21,3.27,5220465
2015-11-10,1.66,3.24,3.26,3.14,3.18,5468535
2015-11-11,1.7,3.33,3.35,3.24,3.27,8630423
2015-11-12,1.56,3.04,3.28,3.01,3.28,15533361
2015-11-13,1.55,3.03,3.09,3.02,3.02,6320774
2015-11-16,1.55,3.04,3.11,3.02,3.03,6360785
2015-11-17,1.55,3.03,3.09,3.0,3.06,6558841
2015-11-18,1.56,3.04,3.1,3.0,3.01,6449810
2015-11-19,1.56,3.04,3.1,3.01,3.07,4049136
2015-11-23,1.57,3.07,3.13,3.0,3.09,7228029
2015-11-24,1.55,3.03,3.05,2.97,3.05,5859645
2015-11-25,1.55,3.03,3.06,2.98,3.01,7130001
2015-11-26,1.56,3.04,3.06,3.01,3.01,2781781
2015-11-27,1.49,2.92,3.05,2.91,3.02,4613295
2015-11-30,1.47,2.87,2.93,2.86,2.91,12219430
2015-12-01,1.43,2.8,2.88,2.77,2.86,8856486
2015-12-02,1.4,2.73,2.82,2.69,2.81,7718167
2015-12-03,1.4,2.74,2.85,2.73,2.85,5096430
2015-12-04,1.38,2.7,2.73,2.65,2.73,5499544
2015-12-07,1.37,2.67,2.78,2.67,2.7,5386512
2015-12-08,1.34,2.62,2.7,2.6,2.69,4507265
2015-12-09,1.38,2.69,2.75,2.64,2.64,5493542
2015-12-10,1.35,2.63,2.73,2.59,2.72,4977397
2015-12-11,1.32,2.58,2.67,2.55,2.61,6764899
2015-12-14,1.25,2.44,2.57,2.42,2.56,10622982
2015-12-15,1.27,2.47,2.51,2.42,2.42,7870209
2015-12-16,1.32,2.57,2.57,2.43,2.45,8830479
2015-12-17,1.34,2.62,2.65,2.58,2.61,7473098
2015-12-18,1.27,2.49,2.57,2.44,2.54,8561403
2015-12-21,1.24,2.42,2.46,2.41,2.45,6160729
2015-12-22,1.23,2.4,2.44,2.38,2.42,3828074
2015-12-23,1.25,2.45,2.47,2.4,2.4,4047136
2015-12-28,1.21,2.37,2.47,2.35,2.47,5457532
2015-12-29,1.21,2.36,2.39,2.33,2.37,3162888
2015-12-30,1.24,2.43,2.43,2.34,2.34,7656149
2016-01-04,1.18,2.3,2.41,2.28,2.41,5983680
2016-01-05,1.15,2.25,2.36,2.24,2.33,6324775
2016-01-06,1.15,2.24,2.3,2.19,2.23,6507827
2016-01-07,1.09,2.13,2.2,2.12,2.2,5984680
2016-01-08,1.04,2.03,2.15,2.02,2.13,7851204
2016-01-11,1.05,2.05,2.11,2.01,2.06,6781904
2016-01-12,1.05,2.05,2.12,2.04,2.08,5923663
2016-01-13,1.02,1.99,2.08,1.98,2.07,6774902
2016-01-14,1.0,1.95,2.0,1.9,1.98,7668153
2016-01-15,0.98,1.91,1.93,1.87,1.9,6282764
2016-01-18,0.93,1.81,1.93,1.8,1.93,4381230
2016-01-19,0.91,1.78,1.87,1.77,1.84,7861207
2016-01-20,0.91,1.77,1.8,1.73,1.77,12236435
2016-01-21,0.92,1.79,1.82,1.74,1.77,16910748
2016-01-22,0.97,1.9,1.91,1.8,1.82,6987962
2016-01-26,0.96,1.87,1.95,1.84,1.9,7140004
2016-01-27,1.03,2.01,2.04,1.87,1.87,10015812
2016-01-28,1.06,2.06,2.06,1.94,2.02,7712165
2016-01-29,1.13,2.2,2.2,2.04,2.08,10777025
2016-02-01,1.13,2.2,2.25,2.17,2.21,4570283
2016-02-02,1.07,2.09,2.2,2.09,2.17,6532834
2016-02-03,1.12,2.19,2.22,2.09,2.11,5160448
