Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,3.45,4.65,4.65,4.46,4.5,8050800
2015-09-04,3.59,4.83,4.85,4.66,4.68,15505600
2015-09-08,3.67,4.95,5.0,4.8,4.93,8572000
2015-09-09,3.5,4.71,5.07,4.7,4.99,9999600
2015-09-10,3.51,4.73,4.79,4.53,4.53,5693600
2015-09-11,3.57,4.82,4.82,4.66,4.7,4306400
2015-09-14,3.74,4.94,4.96,4.7,4.82,7458400
2015-09-15,3.65,4.82,4.86,4.76,4.82,7940000
2015-09-16,3.79,5.0,5.07,4.84,4.84,5936000
2015-09-17,3.8,5.02,5.16,4.99,4.99,5044800
2015-09-18,3.69,4.88,5.01,4.78,5.01,6568400
2015-09-21,3.65,4.82,4.96,4.78,4.88,1932800
2015-09-22,3.68,4.86,4.89,4.64,4.68,3255200
2015-09-23,3.54,4.67,4.88,4.66,4.86,4916000
2015-09-24,3.56,4.7,4.84,4.51,4.59,3204400
2015-09-25,3.61,4.78,4.86,4.66,4.76,4079200
2015-09-28,3.58,4.73,4.78,4.57,4.7,4642400
2015-09-29,3.59,4.75,4.91,4.7,4.73,5531200
2015-09-30,3.81,5.03,5.22,4.96,5.03,18904800
2015-10-01,3.87,5.11,5.16,4.88,5.12,6712400
2015-10-02,4.03,5.33,5.35,5.05,5.14,7164400
2015-10-05,4.01,5.3,5.53,5.21,5.53,7806400
2015-10-06,4.21,5.56,5.6,5.3,5.3,6649200
2015-10-07,4.38,5.79,5.87,5.6,5.61,9107200
2015-10-08,4.27,5.64,5.86,5.6,5.79,5458400
2015-10-09,4.43,5.85,5.86,5.65,5.68,4439600
2015-10-13,4.25,5.61,5.77,5.56,5.76,8303600
2015-10-14,4.27,5.64,5.7,5.56,5.56,5856800
2015-10-15,4.2,5.55,5.7,5.45,5.64,4179200
2015-10-16,4.27,5.64,5.75,5.49,5.57,6300400
2015-10-19,4.31,5.7,5.76,5.53,5.65,2671600
2015-10-20,4.42,5.84,5.9,5.68,5.7,5465200
2015-10-21,4.36,5.76,5.97,5.73,5.79,3992800
2015-10-22,4.52,5.98,6.08,5.79,5.79,4365200
2015-10-23,4.48,5.92,6.12,5.9,6.07,3016000
2015-10-26,4.45,5.89,6.03,5.85,5.97,3578400
2015-10-27,4.49,5.93,5.98,5.86,5.92,4440400
2015-10-28,4.51,5.96,6.04,5.89,5.92,972400
2015-10-29,4.44,5.86,6.07,5.83,5.89,3636000
2015-10-30,4.67,6.18,6.18,5.84,5.86,8405200
2015-11-03,4.81,6.36,6.61,6.13,6.13,8862000
2015-11-04,4.78,6.31,6.55,6.25,6.38,4889600
2015-11-05,4.89,6.47,6.49,6.25,6.32,4122400
2015-11-06,4.8,6.34,6.45,6.18,6.44,3902000
2015-11-09,4.73,6.25,6.42,6.22,6.32,2254800
2015-11-10,4.8,6.34,6.34,6.15,6.19,3473600
2015-11-11,4.87,6.44,6.45,6.32,6.43,4252800
2015-11-12,5.01,6.62,6.74,6.41,6.43,5339200
2015-11-13,4.88,6.45,6.68,6.36,6.54,5809600
2015-11-16,4.84,6.4,6.52,6.36,6.49,3764400
2015-11-17,4.84,6.4,6.55,6.4,6.41,5928400
2015-11-18,4.85,6.41,6.43,6.35,6.38,4545200
2015-11-19,4.92,6.5,6.5,6.33,6.4,5540400
2015-11-23,4.93,6.52,6.7,6.51,6.54,3394400
2015-11-24,4.96,6.55,6.66,6.47,6.48,5941200
2015-11-25,4.75,6.28,6.47,6.23,6.47,9174800
2015-11-26,4.81,6.35,6.44,6.28,6.29,3039200
2015-11-27,4.76,6.29,6.45,6.17,6.3,3775600
2015-11-30,4.56,6.03,6.29,6.03,6.25,10964400
2015-12-01,4.68,6.19,6.22,5.89,5.96,3991200
2015-12-02,4.69,6.2,6.26,6.08,6.17,2721200
2015-12-03,4.81,6.36,6.42,6.22,6.3,3660800
2015-12-04,4.71,6.22,6.37,6.2,6.3,3544400
2015-12-07,4.75,6.28,6.44,6.22,6.32,5786000
2015-12-08,4.62,6.1,6.34,6.07,6.28,6945200
2015-12-09,4.85,6.41,6.56,6.14,6.14,9625600
2015-12-10,4.79,6.33,6.45,6.15,6.44,5315600
2015-12-11,4.73,6.25,6.42,6.2,6.24,2265600
2015-12-14,4.72,6.24,6.3,6.11,6.21,2049600
2015-12-15,4.72,6.24,6.37,6.2,6.32,1534800
2015-12-16,4.74,6.26,6.32,5.99,6.16,3678800
2015-12-17,4.78,6.32,6.51,6.29,6.36,2106400
2015-12-18,4.62,6.11,6.22,5.96,6.2,6510800
2015-12-21,4.62,6.1,6.2,5.95,6.07,3178800
2015-12-22,4.65,6.15,6.2,6.03,6.13,3742400
2015-12-23,4.69,6.2,6.26,6.1,6.22,2177200
2015-12-28,4.79,6.33,6.4,6.13,6.16,2667200
2015-12-29,4.81,6.36,6.47,6.33,6.33,1743600
2015-12-30,4.77,6.3,6.4,6.15,6.36,2965600
2016-01-04,4.54,6.0,6.26,5.92,6.23,3398400
2016-01-05,4.56,6.03,6.12,5.92,6.04,2979200
2016-01-06,4.48,5.91,6.0,5.78,5.96,4631600
2016-01-07,4.43,5.85,5.85,5.59,5.78,4624800
2016-01-08,4.43,5.85,5.95,5.75,5.84,4653600
2016-01-11,4.43,5.86,5.98,5.78,5.84,4982800
2016-01-12,4.2,5.55,5.91,5.41,5.83,8174400
2016-01-13,4.35,5.75,5.84,5.57,5.59,6355600
2016-01-14,4.37,5.78,5.79,5.49,5.75,5107200
2016-01-15,4.31,5.7,5.79,5.59,5.72,5773200
2016-01-18,4.2,5.55,5.7,5.55,5.64,2416000
2016-01-19,4.18,5.53,5.72,5.51,5.68,4041200
2016-01-20,4.28,5.66,5.66,5.4,5.45,6308000
2016-01-21,4.28,5.65,5.76,5.57,5.57,5328000
2016-01-22,4.44,5.86,5.93,5.71,5.71,6440400
2016-01-26,4.45,5.88,6.05,5.77,5.77,9073600
2016-01-27,4.54,6.0,6.1,5.86,5.95,10127600
2016-01-28,4.65,6.14,6.18,5.95,6.07,9838000
2016-01-29,4.76,6.28,6.37,6.13,6.2,7411200
2016-02-01,4.75,6.28,6.32,6.15,6.25,4465600
2016-02-02,4.65,6.15,6.31,6.11,6.2,6249600
2016-02-03,4.54,5.99,6.24,5.95,6.22,10612800
2016-02-04,4.55,6.01,6.12,5.95,6.06,8168400
2016-02-05,4.42,5.84,6.05,5.76,5.97,6723600
2016-02-10,4.46,5.89,5.92,5.68,5.68,3325600
2016-02-11,4.33,5.72,5.84,5.61,5.8,4632400
2016-02-12,4.45,5.89,5.97,5.72,5.72,6433600
2016-02-15,4.6,6.08,6.18,6.0,6.0,4018000
2016-02-16,4.64,6.13,6.23,6.05,6.08,4369200
2016-02-17,4.62,6.1,6.22,5.99,6.22,5200800
2016-02-18,4.62,6.1,6.15,6.0,6.02,3711600
2016-02-19,4.67,6.0,6.1,5.84,6.0,4954800
2016-02-22,4.84,6.21,6.29,6.11,6.12,9504800
2016-02-23,4.89,6.28,6.45,6.17,6.19,6569600
2016-02-24,5.05,6.48,6.49,6.13,6.23,9137200
2016-02-25,5.07,6.51,6.61,6.33,6.35,4508000
2016-02-26,5.07,6.51,6.73,6.44,6.57,3872800
2016-02-29,5.21,6.69,6.74,6.55,6.65,7758000
2016-03-01,5.34,6.85,6.96,6.7,6.72,6702000
2016-03-02,5.38,6.91,6.95,6.75,6.82,4508800
2016-03-03,5.48,7.03,7.09,6.93,6.95,6606000
2016-03-04,5.55,7.13,7.38,7.05,7.12,6614800
2016-03-07,5.49,7.04,7.2,6.95,7.16,4730000
2016-03-08,5.48,7.03,7.13,6.82,6.97,4738800
2016-03-09,5.52,7.09,7.24,6.95,7.03,4318800
2016-03-10,5.6,7.18,7.34,7.05,7.15,7490000
2016-03-11,5.6,7.19,7.32,7.13,7.18,4170000
2016-03-14,5.62,7.21,7.28,7.01,7.15,2790400
2016-03-15,5.55,7.13,7.27,7.01,7.07,4146400
2016-03-16,5.59,7.18,7.34,7.03,7.08,3640400
2016-03-17,5.9,7.57,7.76,7.28,7.28,9943600
2016-03-18,5.92,7.6,7.76,7.5,7.63,7488000
2016-03-21,5.97,7.66,7.89,7.63,7.65,5517200
2016-03-22,6.12,7.86,7.87,7.69,7.7,6536000
2016-03-23,6.14,7.88,7.88,7.63,7.85,4256400
2016-03-24,6.04,7.75,7.87,7.69,7.78,2700400
2016-03-28,6.16,7.91,7.97,7.84,7.87,2752000
2016-03-29,6.19,7.95,8.07,7.88,7.95,2665600
2016-03-30,6.18,7.93,8.22,7.89,8.0,4317600
2016-03-31,6.11,7.85,7.85,7.85,7.85,4800
2016-04-01,6.2,7.96,7.96,7.96,7.96,3600
2016-04-04,5.72,7.34,7.75,7.2,7.75,19600
2016-04-05,5.74,7.37,7.59,7.28,7.38,5600
2016-04-06,5.67,7.27,7.47,7.16,7.28,5600
2016-04-07,5.77,7.4,7.5,7.26,7.34,400
2016-04-08,5.86,7.53,7.71,7.53,7.59,4966800
2016-04-11,5.8,7.45,7.62,7.4,7.62,4000
2016-04-12,5.89,7.57,7.7,7.48,7.55,3600
2016-04-13,6.09,7.82,7.92,7.64,7.72,19200
2016-04-14,6.1,7.82,7.99,7.82,7.87,2556800
2016-04-15,6.19,7.95,8.09,7.74,7.95,3230000
2016-04-18,6.17,7.93,8.11,7.57,7.88,3373200
2016-04-19,6.36,8.16,8.33,7.95,7.95,22400
2016-04-20,6.3,8.09,8.12,7.88,8.11,3478400
2016-04-22,6.27,8.05,8.11,7.78,7.93,3887200
2016-04-25,6.07,7.8,8.05,7.74,8.05,3162000
2016-04-26,5.96,7.66,7.98,7.59,7.89,5314800
2016-04-27,6.35,8.15,8.2,7.71,7.72,5582800
2016-04-28,6.25,8.02,8.2,7.9,8.14,2832000
2016-04-29,6.2,7.96,8.07,7.88,8.01,2767200
2016-05-02,6.12,7.86,8.05,7.73,8.02,2752000
2016-05-03,6.07,7.79,7.85,7.68,7.79,2364800
2016-05-04,6.15,7.89,7.91,7.67,7.78,2814400
2016-05-05,6.09,7.82,7.96,7.72,7.95,2040800
2016-05-06,6.16,7.91,7.98,7.72,7.78,1882800
2016-05-09,6.05,7.77,7.87,7.54,7.85,2089600
2016-05-10,6.15,7.89,8.01,7.75,7.89,3727200
2016-05-11,6.27,8.05,8.11,7.82,8.0,3324800
2016-05-12,6.52,8.37,8.41,8.01,8.06,5900400
2016-05-13,6.67,8.57,8.61,8.33,8.38,5770000
2016-05-16,6.79,8.54,8.61,8.14,8.44,4948000
2016-05-17,7.01,8.81,8.82,8.5,8.62,14404400
2016-05-18,6.85,8.6,9.02,8.59,8.71,8064800
2016-05-19,6.67,8.38,8.58,8.2,8.56,4919600
2016-05-20,6.72,8.45,8.6,8.33,8.43,3744800
2016-05-23,6.72,8.45,8.57,8.24,8.27,2558800
2016-05-24,6.66,8.36,8.68,8.29,8.49,2881600
2016-05-25,6.68,8.4,8.48,8.39,8.41,3397600
2016-05-27,6.56,8.25,8.44,8.15,8.3,2187600
2016-05-30,6.54,8.22,8.36,8.19,8.21,1692400
2016-05-31,6.53,8.21,8.36,8.16,8.22,4957600
2016-06-01,6.62,8.32,8.35,8.04,8.21,3571600
2016-06-02,6.66,8.37,8.46,8.18,8.32,2863600
2016-06-03,6.69,8.4,8.45,8.28,8.4,3245600
2016-06-06,6.76,8.5,8.55,8.41,8.44,3534800
2016-06-07,6.73,8.46,8.56,8.37,8.49,2125600
2016-06-08,6.83,8.59,8.65,8.47,8.47,3340400
2016-06-09,6.73,8.45,8.6,8.36,8.6,1670400
2016-06-10,6.53,8.2,8.43,8.2,8.4,2868400
2016-06-13,6.57,8.26,8.27,7.95,8.1,3164800
2016-06-14,6.35,7.97,8.27,7.88,8.2,3780400
2016-06-15,6.4,8.04,8.2,7.9,7.96,3904800
2016-06-16,6.41,8.05,8.09,7.78,7.97,3176000
2016-06-17,6.51,8.19,8.3,8.06,8.1,4113600
2016-06-20,6.63,8.34,8.49,8.23,8.27,3672800
2016-06-21,6.69,8.41,8.42,8.12,8.37,2069200
2016-06-22,6.5,8.18,8.47,8.15,8.46,2603200
2016-06-23,6.55,8.23,8.35,8.09,8.2,4000800
2016-06-24,6.32,7.94,8.15,7.86,7.98,5747200
2016-06-27,6.46,8.12,8.17,7.86,7.88,3771200
2016-06-28,6.63,8.34,8.44,8.19,8.26,4194000
2016-06-29,6.57,8.26,8.63,8.16,8.42,6090000
2016-06-30,6.63,8.33,8.48,8.2,8.23,6387600
2016-07-01,6.7,8.42,8.52,8.29,8.43,3086400
2016-07-04,6.75,8.48,8.6,8.4,8.5,1376800
2016-07-05,6.71,8.43,8.51,8.33,8.45,2684000
2016-07-06,6.82,8.57,8.65,8.38,8.44,3020800
2016-07-07,6.8,8.55,8.71,8.5,8.55,3952400
2016-07-08,6.86,8.62,8.65,8.52,8.6,2885200
2016-07-11,6.91,8.69,8.69,8.61,8.63,2086400
2016-07-12,6.88,8.65,8.79,8.62,8.7,2493200
2016-07-13,6.84,8.6,8.71,8.55,8.65,3928800
2016-07-14,6.94,8.73,8.77,8.61,8.69,3166800
2016-07-15,6.73,8.45,8.79,8.43,8.68,5131600
2016-07-18,6.83,8.59,8.64,8.39,8.44,3817200
2016-07-19,6.86,8.62,8.74,8.54,8.58,7087200
2016-07-20,6.89,8.66,8.67,8.53,8.65,3176800
2016-07-21,6.81,8.56,8.69,8.47,8.62,3019600
2016-07-22,6.78,8.52,8.67,8.52,8.59,2570800
2016-07-25,6.67,8.39,8.57,8.29,8.55,3534400
2016-07-26,6.8,8.55,8.66,8.33,8.41,4047200
2016-07-27,6.77,8.5,8.62,8.49,8.59,2936400
2016-07-28,6.79,8.53,8.55,8.34,8.5,2060400
2016-07-29,6.77,8.51,8.61,8.45,8.53,3975600
2016-08-01,6.71,8.43,8.56,8.38,8.55,4074800
2016-08-02,6.56,8.25,8.48,8.11,8.43,3895600
2016-08-03,6.49,8.16,8.31,8.04,8.25,4408000
2016-08-04,6.42,8.06,8.25,7.99,8.19,7477600
2016-08-05,6.73,8.46,8.46,8.09,8.11,8614800
2016-08-08,6.66,8.38,8.48,8.26,8.46,3788800
2016-08-09,6.75,8.48,8.49,8.39,8.4,4683600
2016-08-10,6.79,8.54,8.54,8.37,8.48,3907600
2016-08-11,6.77,8.51,8.66,8.38,8.65,4290000
2016-08-12,6.78,8.52,8.7,8.39,8.51,3817200
2016-08-15,6.82,8.57,8.71,8.45,8.48,5506800
2016-08-16,6.96,8.75,8.83,8.51,8.52,4711200
2016-08-17,7.19,9.03,9.03,8.72,8.74,5518800
2016-08-18,7.21,9.06,9.1,8.89,9.03,3544400
2016-08-19,7.13,8.95,9.06,8.9,9.0,1807200
2016-08-22,6.99,8.78,8.97,8.71,8.95,1944400
2016-08-23,7.01,8.81,8.88,8.77,8.78,2098000
2016-08-24,7.13,8.96,9.06,8.73,8.8,2630800
2016-08-25,7.18,9.03,9.14,8.88,8.96,3875600
2016-08-26,7.2,9.05,9.12,8.97,9.04,3053200
2016-08-29,7.28,9.15,9.3,8.94,9.07,6044800
2016-08-30,7.67,9.64,9.64,9.1,9.16,7896400
2016-08-31,7.48,9.4,9.62,9.28,9.57,6855600
2016-09-01,7.49,9.41,9.63,9.34,9.4,4894800
2016-09-02,7.56,9.51,9.51,9.37,9.4,3232800
2016-09-05,7.61,9.56,9.66,9.45,9.5,2042400
2016-09-06,7.54,9.48,9.6,9.4,9.6,2577200
2016-09-08,7.51,9.44,9.47,9.29,9.45,4309200
2016-09-09,7.31,9.19,9.38,9.13,9.32,4458400
2016-09-12,7.34,9.23,9.31,9.03,9.19,4650000
2016-09-13,7.14,8.97,9.2,8.9,9.2,4693600
2016-09-14,7.06,8.88,9.02,8.84,8.93,2058800
2016-09-15,7.18,9.02,9.15,8.88,8.88,2402800
2016-09-16,7.03,8.84,8.97,8.84,8.97,4736000
2016-09-19,7.1,8.92,9.06,8.84,8.84,3308400
2016-09-20,7.37,9.26,9.32,8.99,8.99,7472000
2016-09-21,7.5,9.43,9.46,9.19,9.3,4236800
2016-09-22,7.45,9.36,9.59,9.3,9.5,3840800
2016-09-23,7.41,9.31,9.44,9.15,9.44,2451600
2016-09-26,7.26,9.12,9.27,9.1,9.27,2524800
2016-09-27,7.3,9.18,9.22,9.07,9.12,2082400
