Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,2.43,3.85,3.88,3.7,3.8,5735900
2015-09-04,2.54,4.03,4.03,3.68,3.68,10172200
2015-09-08,2.69,4.26,4.4,4.1,4.13,6149700
2015-09-09,2.73,4.33,4.56,4.3,4.44,6713700
2015-09-10,2.94,4.66,4.67,4.11,4.11,10697000
2015-09-11,3.24,5.13,5.18,4.66,4.7,12008900
2015-09-14,3.1,4.92,5.39,4.74,5.24,13217700
2015-09-15,3.1,4.92,5.0,4.66,4.83,10569700
2015-09-16,3.25,5.15,5.23,4.98,5.07,7065500
2015-09-17,3.42,5.42,5.48,5.08,5.13,8500200
2015-09-18,3.63,5.75,5.75,5.34,5.38,14050700
2015-09-21,3.57,5.66,5.85,5.66,5.84,5413400
2015-09-22,3.23,5.12,5.43,5.06,5.43,11067600
2015-09-23,2.57,4.07,5.12,4.07,5.12,13003800
2015-09-24,2.65,4.2,4.49,3.85,3.85,17095600
2015-09-25,2.53,4.01,4.44,3.92,4.31,11089500
2015-09-28,2.5,3.96,4.14,3.86,3.9,7211200
2015-09-29,2.48,3.93,4.13,3.93,4.02,5363300
2015-09-30,2.47,3.92,4.15,3.92,4.12,6939100
2015-10-01,2.33,3.69,4.09,3.69,3.94,9003600
2015-10-02,2.38,3.78,3.86,3.56,3.62,8487000
2015-10-05,2.58,4.09,4.15,3.85,3.87,6839000
2015-10-06,2.8,4.44,4.47,4.17,4.17,7173800
2015-10-07,2.96,4.7,4.95,4.56,4.65,8080900
2015-10-08,3.15,5.0,5.05,4.7,4.76,8094000
2015-10-09,3.36,5.33,5.49,5.15,5.2,12100400
2015-10-13,2.94,4.66,5.19,4.55,5.12,8759100
2015-10-14,2.8,4.44,4.91,4.44,4.76,21449200
2015-10-15,2.96,4.69,4.79,4.36,4.53,10290500
2015-10-16,3.17,5.02,5.04,4.71,4.85,17118700
2015-10-19,3.24,5.13,5.24,4.97,5.1,8415500
2015-10-20,3.03,4.8,5.2,4.75,5.2,8134200
2015-10-21,2.95,4.68,4.9,4.65,4.8,7580800
2015-10-22,3.03,4.8,4.98,4.66,4.66,7631600
2015-10-23,3.1,4.92,5.08,4.92,4.99,7253500
2015-10-26,3.13,4.96,5.04,4.88,5.0,4220700
2015-10-27,3.1,4.92,5.03,4.9,4.94,4697000
2015-10-28,3.05,4.84,4.84,4.76,4.77,489500
2015-10-29,2.72,4.31,4.65,4.29,4.49,5487500
2015-10-30,2.74,4.34,4.5,4.26,4.26,5295800
2015-11-03,3.19,5.06,5.17,4.41,4.5,12678800
2015-11-04,3.13,4.96,5.33,4.86,5.2,10575000
2015-11-05,3.12,4.95,5.06,4.87,4.96,5142900
2015-11-06,3.15,5.0,5.17,4.78,4.98,8940600
2015-11-09,3.19,5.06,5.23,4.98,4.99,6368600
2015-11-10,3.25,5.16,5.18,5.04,5.08,4466200
2015-11-11,3.37,5.34,5.46,5.23,5.23,6254000
2015-11-12,3.42,5.42,5.46,5.31,5.39,6377500
2015-11-13,3.09,4.9,5.25,4.9,5.25,7970300
2015-11-16,3.1,4.92,5.09,4.86,4.9,6379500
2015-11-17,3.1,4.91,5.04,4.81,5.0,5331400
2015-11-18,3.63,5.76,5.84,5.27,5.28,15426700
2015-11-19,3.7,5.86,6.14,5.69,5.91,9973300
2015-11-23,3.61,5.73,5.91,5.57,5.85,5987800
2015-11-24,3.8,6.03,6.1,5.58,5.72,6157900
2015-11-25,3.85,6.1,6.37,5.9,5.9,8377300
2015-11-26,3.8,6.02,6.35,6.02,6.15,4633700
2015-11-27,3.71,5.88,6.17,5.88,5.96,5768100
2015-11-30,3.47,5.5,6.17,5.5,5.94,12289700
2015-12-01,3.24,5.14,5.69,5.14,5.6,8039600
2015-12-02,3.14,4.98,5.25,4.87,5.11,8719900
2015-12-03,3.17,5.03,5.22,5.01,5.2,5331800
2015-12-04,3.07,4.87,5.13,4.81,5.04,5206600
2015-12-07,3.07,4.86,5.09,4.83,4.94,5886100
2015-12-08,2.87,4.55,4.91,4.55,4.85,6371500
2015-12-09,2.93,4.65,4.76,4.54,4.65,6311600
2015-12-10,2.91,4.62,4.85,4.59,4.62,5051300
2015-12-11,2.84,4.51,4.68,4.47,4.61,4771300
2015-12-14,2.8,4.44,4.55,4.4,4.51,3627200
2015-12-15,2.78,4.41,4.57,4.41,4.47,3039400
2015-12-16,2.71,4.29,4.45,4.29,4.37,4355000
2015-12-17,2.71,4.3,4.49,4.3,4.36,6757100
2015-12-18,2.64,4.19,4.32,4.13,4.25,6094300
2015-12-21,2.53,4.01,4.32,4.01,4.21,5193900
2015-12-22,2.54,4.02,4.11,3.95,4.03,3638900
2015-12-23,2.73,4.33,4.42,4.05,4.05,5438300
2015-12-28,2.67,4.24,4.47,4.22,4.35,3462000
2015-12-29,2.65,4.2,4.3,4.18,4.21,2452300
2015-12-30,2.52,4.0,4.22,4.0,4.15,4545700
2016-01-04,2.43,3.86,3.98,3.83,3.98,4417300
2016-01-05,2.31,3.67,3.9,3.67,3.86,4163300
2016-01-06,2.13,3.38,3.65,3.35,3.52,4565700
2016-01-07,2.08,3.3,3.37,3.14,3.17,6308300
2016-01-08,2.16,3.42,3.63,3.42,3.46,7965500
2016-01-11,2.13,3.37,3.55,3.31,3.44,4962200
2016-01-12,2.07,3.28,3.47,3.27,3.42,5125300
2016-01-13,2.02,3.2,3.42,3.19,3.32,5411800
2016-01-14,2.08,3.3,3.46,3.16,3.24,8097600
2016-01-15,2.0,3.17,3.26,3.09,3.19,5745100
2016-01-18,2.02,3.2,3.3,3.16,3.2,3302200
2016-01-19,2.07,3.28,3.39,3.27,3.35,4142100
2016-01-20,2.03,3.22,3.28,3.16,3.22,4358200
2016-01-21,2.09,3.32,3.44,3.17,3.17,4567900
2016-01-22,2.18,3.45,3.56,3.37,3.44,5386800
2016-01-26,2.16,3.42,3.49,3.32,3.35,3064700
2016-01-27,2.19,3.48,3.57,3.44,3.44,4563100
2016-01-28,2.18,3.45,3.63,3.35,3.51,4225600
2016-01-29,2.24,3.55,3.65,3.47,3.52,4600600
2016-02-01,2.37,3.75,3.88,3.46,3.53,6605300
2016-02-02,2.38,3.77,3.95,3.65,3.72,6921300
2016-02-03,2.39,3.79,3.94,3.73,3.87,4275100
2016-02-04,2.62,4.16,4.38,3.83,3.83,6666300
2016-02-05,2.76,4.38,4.5,4.23,4.28,7697500
2016-02-10,2.74,4.35,4.43,4.15,4.25,4492700
2016-02-11,2.45,3.88,4.33,3.88,4.27,7037500
2016-02-12,2.54,4.02,4.13,3.91,3.93,5393200
2016-02-15,2.59,4.1,4.21,4.09,4.2,2288200
2016-02-16,2.79,4.43,4.48,4.11,4.11,4644800
2016-02-17,2.87,4.55,4.89,4.48,4.57,10137700
2016-02-18,2.89,4.59,4.7,4.42,4.5,7731100
2016-02-19,2.92,4.63,4.7,4.52,4.6,4972400
2016-02-22,3.23,5.12,5.12,4.8,4.82,6321500
2016-02-23,3.29,5.22,5.28,5.04,5.09,7672300
2016-02-24,3.3,5.23,5.41,4.95,5.02,8301100
2016-02-25,3.29,5.22,5.45,5.06,5.1,5859700
2016-02-26,3.15,5.0,5.47,5.0,5.35,7686800
2016-02-29,3.28,5.2,5.37,5.06,5.07,9042300
2016-03-01,3.41,5.4,5.55,5.37,5.37,6772400
2016-03-02,3.56,5.65,5.7,5.4,5.46,9632400
2016-03-03,4.1,6.5,6.5,6.5,6.5,10046500
2016-03-04,4.77,7.56,7.72,6.88,7.01,15861000
2016-03-07,5.19,8.23,8.59,7.8,7.83,16131700
2016-03-08,4.48,7.11,8.15,7.03,7.8,10444400
2016-03-09,4.3,6.82,7.49,6.69,7.34,13920100
2016-03-10,4.62,7.33,7.49,6.76,7.1,11355700
2016-03-11,4.45,7.06,7.55,7.06,7.47,8235900
2016-03-14,4.36,6.92,7.3,6.85,7.14,9687100
2016-03-15,3.83,6.07,6.76,6.0,6.76,7854200
2016-03-16,4.23,6.71,6.75,5.91,5.95,8957200
2016-03-17,5.0,7.93,8.05,7.07,7.4,13552600
2016-03-18,4.99,7.92,8.16,7.62,7.97,13617600
2016-03-21,4.98,7.9,8.4,7.9,7.93,8893100
2016-03-22,5.13,8.14,8.24,7.78,7.78,6930000
2016-03-23,4.79,7.6,8.06,7.6,7.95,8347500
2016-03-24,4.91,7.79,7.87,7.21,7.46,6968900
2016-03-28,4.92,7.8,8.2,7.77,8.07,5155200
2016-03-29,4.67,7.4,7.98,7.4,7.71,8619100
2016-03-30,4.7,7.45,7.78,7.34,7.55,7736800
2016-03-31,4.5,7.13,7.13,7.13,7.13,78700
2016-04-01,4.64,7.35,7.35,7.35,7.35,63400
2016-04-04,4.38,6.95,6.95,6.95,6.95,99000
2016-04-05,4.79,7.6,7.6,7.6,7.6,117000
2016-04-06,4.84,7.68,7.68,7.68,7.68,48500
2016-04-07,4.79,7.59,7.59,7.59,7.59,84800
2016-04-08,5.2,8.25,8.33,7.8,7.85,8428700
2016-04-11,5.67,8.99,8.99,8.99,8.99,121500
2016-04-12,6.8,10.78,10.78,10.78,10.78,151200
2016-04-13,8.2,13.0,13.0,13.0,13.0,155300
2016-04-14,7.23,11.46,13.64,11.29,13.45,19745800
2016-04-15,7.52,11.92,12.1,11.25,11.53,8164800
2016-04-18,7.63,12.1,12.59,11.71,11.96,8483900
2016-04-19,8.39,13.3,13.3,13.3,13.3,92400
2016-04-20,8.62,13.66,14.12,13.02,13.4,13808500
2016-04-22,8.45,13.4,14.0,12.9,13.0,8801800
2016-04-25,7.68,12.17,13.37,12.1,13.21,9293600
2016-04-26,7.76,12.3,12.59,11.7,12.38,9272000
2016-04-27,8.17,12.95,13.1,12.06,12.34,8404000
2016-04-28,8.17,12.96,13.71,12.91,13.16,7640200
2016-04-29,8.29,13.14,13.65,13.12,13.17,10579300
2016-05-02,8.14,12.9,13.59,12.84,13.2,8599500
2016-05-03,7.71,12.22,12.62,12.22,12.48,6490700
2016-05-04,7.42,11.77,12.55,11.72,11.93,8427500
2016-05-05,6.95,11.02,12.29,11.02,12.29,8780500
2016-05-06,7.03,11.14,11.5,10.45,10.77,11041300
2016-05-09,6.32,10.02,10.9,9.95,10.9,10263000
2016-05-10,6.6,10.47,10.6,10.07,10.22,10057100
2016-05-11,6.28,9.95,10.83,9.95,10.75,10397800
2016-05-12,6.07,9.63,10.32,9.63,10.05,10452700
2016-05-13,5.3,8.4,9.7,8.39,9.61,11606600
2016-05-16,5.25,8.32,8.84,8.22,8.35,8908200
2016-05-17,5.2,8.25,8.63,8.0,8.55,9184700
2016-05-18,4.93,7.81,8.39,7.81,8.12,10758800
2016-05-19,4.7,7.45,7.77,7.4,7.65,9574800
2016-05-20,4.59,7.28,7.87,7.27,7.7,8420000
2016-05-23,4.56,7.23,7.49,7.05,7.11,7558900
2016-05-24,4.32,6.85,7.47,6.77,7.44,9866600
2016-05-25,4.26,6.75,7.17,6.75,6.96,8185800
2016-05-27,4.06,6.43,6.95,6.41,6.93,6803700
2016-05-30,4.09,6.49,6.56,6.42,6.47,2644100
2016-05-31,4.12,6.54,6.74,6.35,6.54,11110700
2016-06-01,4.02,6.37,6.67,6.26,6.5,8200800
2016-06-02,4.29,6.81,6.9,6.25,6.44,9832500
2016-06-03,4.63,7.34,7.45,6.89,7.0,13799000
2016-06-06,4.66,7.39,7.62,7.22,7.6,8587900
2016-06-07,4.41,6.99,7.53,6.95,7.24,9092000
2016-06-08,5.13,8.14,8.17,7.1,7.15,15755500
2016-06-09,4.76,7.54,8.03,7.41,7.98,11263500
2016-06-10,4.38,6.95,7.3,6.95,7.2,9147000
2016-06-13,4.41,7.0,7.23,6.71,6.83,7717900
2016-06-14,4.21,6.67,7.27,6.62,6.91,8151900
2016-06-15,4.44,7.04,7.2,6.74,6.75,12764300
2016-06-16,4.57,7.24,7.38,6.92,6.96,10124300
2016-06-17,4.62,7.33,7.62,7.33,7.49,9787700
2016-06-20,4.69,7.44,7.85,7.44,7.69,8243500
2016-06-21,4.72,7.48,7.5,7.15,7.44,8126100
2016-06-22,4.68,7.42,7.75,7.41,7.57,9059100
2016-06-23,5.1,8.08,8.08,7.55,7.68,7813300
2016-06-24,4.65,7.37,7.8,7.36,7.6,10645900
2016-06-27,4.6,7.3,7.55,7.07,7.5,9344000
2016-06-28,4.74,7.51,7.68,7.44,7.52,6907600
2016-06-29,4.93,7.82,7.94,7.67,7.7,8357300
2016-06-30,4.93,7.82,7.97,7.61,7.82,7676800
2016-07-01,5.52,8.76,8.76,7.78,7.88,11016300
2016-07-04,5.87,9.3,9.54,9.06,9.15,7606500
2016-07-05,5.43,8.61,9.23,8.58,9.02,12262800
2016-07-06,5.71,9.06,9.15,8.06,8.33,16078500
