Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,12.3,13.39,13.56,12.91,12.92,373336
2015-09-04,12.49,13.6,13.83,13.19,13.2,207355
2015-09-08,12.74,13.88,14.01,13.45,13.84,351860
2015-09-09,12.64,13.76,14.03,13.58,13.91,382314
2015-09-10,12.18,13.27,13.85,12.94,13.6,964947
2015-09-11,11.97,13.04,13.43,12.78,13.07,1153011
2015-09-14,11.81,12.86,13.09,12.69,12.9,408401
2015-09-15,11.84,12.9,12.94,12.67,12.92,419563
2015-09-16,12.07,13.15,13.3,12.77,12.77,512503
2015-09-17,12.14,13.22,13.86,12.87,13.07,334267
2015-09-18,12.37,13.48,13.48,12.9,13.11,916172
2015-09-21,11.82,12.87,13.32,12.82,13.29,404882
2015-09-22,11.35,12.36,12.77,11.99,12.77,639779
2015-09-23,10.84,11.81,12.45,11.68,12.38,371759
2015-09-24,10.59,11.54,11.8,11.33,11.69,416409
2015-09-25,10.48,11.42,11.7,11.42,11.6,247637
2015-09-28,10.29,11.21,11.45,11.13,11.23,214392
2015-09-29,10.06,10.96,11.48,10.91,11.48,363629
2015-09-30,10.44,11.37,11.37,10.96,11.04,334510
2015-10-01,10.44,11.37,11.37,10.72,11.27,516386
2015-10-02,10.37,11.29,11.45,10.88,11.17,363023
2015-10-05,10.3,11.22,11.31,11.17,11.17,187942
2015-10-06,10.46,11.39,11.39,11.13,11.17,401727
2015-10-07,10.47,11.4,11.74,11.17,11.5,489329
2015-10-08,10.65,11.6,11.78,11.34,11.34,1022580
2015-10-09,11.2,12.2,12.35,11.51,11.74,569893
2015-10-13,10.83,11.79,12.19,11.58,12.19,640022
2015-10-14,10.86,11.83,11.95,11.6,11.8,505466
2015-10-15,10.89,11.86,12.05,11.73,11.84,762445
2015-10-16,11.24,12.24,12.36,11.73,11.85,1647436
2015-10-19,11.5,12.53,12.58,12.12,12.25,208325
2015-10-20,12.07,13.15,13.26,12.42,12.54,650214
2015-10-21,11.62,12.66,13.23,12.66,13.19,603259
