Date,Adj Close,Close,High,Low,Open,Volume
2021-04-30,7.16,10.01,10.22,10.0,10.19,6254200
2021-05-03,7.07,9.88,10.15,9.73,10.1,6947800
2021-05-04,6.94,9.7,9.89,9.5,9.89,11185100
2021-05-05,7.11,9.94,9.94,9.6,9.74,4151800
2021-05-06,7.43,10.39,10.39,9.78,9.93,8034200
2021-05-07,7.83,10.95,10.95,10.12,10.27,8605000
2021-05-10,8.03,11.23,11.39,10.75,10.95,9466400
2021-05-11,8.46,11.83,11.99,11.05,11.08,11765200
2021-05-12,8.33,11.65,12.25,11.4,11.83,12877700
2021-05-13,8.68,12.14,12.2,11.72,11.75,8102600
2021-05-14,8.82,12.33,12.44,12.21,12.29,5249200
2021-05-17,8.8,12.3,12.95,12.2,12.45,5857800
2021-05-18,8.87,12.4,12.58,12.16,12.43,4891400
2021-05-19,8.78,12.28,12.4,11.89,12.3,5181300
2021-05-20,8.8,12.3,12.3,12.02,12.2,4082200
2021-05-21,8.58,11.99,12.39,11.99,12.32,2817700
2021-05-24,8.58,12.0,12.15,11.8,12.05,3721400
2021-05-25,8.69,12.15,12.15,11.88,12.01,3450400
2021-05-26,8.58,12.0,12.3,12.0,12.21,2363000
2021-05-27,8.72,12.19,12.19,12.04,12.04,1789300
2021-05-28,8.69,12.15,12.25,12.04,12.23,1658800
2021-05-31,8.79,12.29,12.29,12.05,12.17,2325600
2021-06-01,8.58,12.0,12.4,11.88,12.25,3233700
2021-06-02,8.54,11.94,12.13,11.82,12.03,3111800
2021-06-04,8.37,11.7,12.05,11.59,11.93,3727100
2021-06-07,8.43,11.78,11.82,11.65,11.72,1284400
2021-06-08,7.94,11.1,11.77,11.01,11.76,4315100
2021-06-09,7.97,11.14,11.24,10.96,11.14,1577700
2021-06-10,8.43,11.78,12.1,11.17,11.21,7858200
2021-06-11,8.53,11.93,12.28,11.81,12.13,6123700
2021-06-14,8.78,12.27,12.27,11.57,11.8,9065900
2021-06-15,8.53,11.93,12.25,11.87,12.16,5688200
2021-06-16,8.66,12.1,12.1,11.81,11.93,4024100
2021-06-17,8.97,12.54,12.7,12.03,12.05,11173200
2021-06-18,9.01,12.6,12.83,12.13,12.54,4925700
2021-06-21,9.19,12.84,12.84,12.49,12.59,4931300
2021-06-22,9.21,12.88,12.95,12.62,12.73,3175500
2021-06-23,9.25,12.93,13.23,12.83,12.85,3780500
2021-06-24,9.31,13.02,13.15,12.8,13.0,4380300
2021-06-25,9.26,12.94,13.09,12.7,13.0,3662900
2021-06-28,9.59,13.41,13.41,12.82,12.89,6771400
2021-06-29,9.39,13.13,13.25,12.62,13.25,10700000
2021-06-30,9.35,13.07,13.28,12.94,13.09,5437200
2021-07-01,9.17,12.82,13.06,12.81,13.0,2628700
2021-07-02,9.02,12.61,12.86,12.33,12.82,3817000
2021-07-05,8.8,12.3,12.58,12.19,12.5,3850700
2021-07-06,8.71,12.18,12.3,12.03,12.3,3531200
2021-07-07,8.71,12.18,12.24,11.96,12.18,3312000
2021-07-08,8.44,11.8,11.98,11.76,11.96,2772600
2021-07-12,8.37,11.7,11.93,11.52,11.8,4033600
2021-07-13,8.28,11.57,11.77,11.44,11.7,4737900
2021-07-14,8.16,11.41,11.66,11.33,11.55,3653200
2021-07-15,7.88,11.02,11.38,11.01,11.36,5089300
2021-07-16,7.63,10.66,11.14,10.6,11.04,8139300
2021-07-19,7.39,10.33,10.62,10.22,10.5,5436000
2021-07-20,7.43,10.38,10.5,10.05,10.35,6820800
2021-07-21,7.53,10.52,10.77,10.26,10.41,5611900
2021-07-22,7.72,10.79,10.93,10.56,10.56,4908200
2021-07-23,8.18,11.44,11.46,10.82,10.85,8481100
2021-07-26,8.53,11.92,12.1,11.25,11.47,10164900
2021-07-27,8.15,11.4,11.93,11.12,11.91,7195400
2021-07-28,8.06,11.27,11.39,11.0,11.39,4855400
2021-07-29,8.11,11.34,11.49,11.12,11.26,2709400
2021-07-30,7.84,10.96,11.37,10.96,11.26,3203000
2021-08-02,7.81,10.92,11.25,10.8,11.1,2930600
2021-08-03,7.78,10.88,10.9,10.62,10.89,1978800
2021-08-04,7.6,10.63,10.97,10.62,10.92,1654000
2021-08-05,7.48,10.46,10.7,10.36,10.65,2513900
2021-08-06,7.57,10.58,10.72,10.31,10.4,1800600
2021-08-09,7.5,10.48,10.57,10.4,10.47,1324900
2021-08-10,7.45,10.42,10.57,10.38,10.48,1535000
2021-08-11,7.48,10.46,10.59,10.32,10.44,1376900
2021-08-12,7.68,10.73,10.79,10.38,10.51,5339200
2021-08-13,7.58,10.6,10.78,10.45,10.78,2392300
2021-08-16,7.23,10.11,10.52,10.1,10.51,2371600
2021-08-17,6.93,9.69,10.11,9.67,10.07,3516100
2021-08-18,7.16,10.01,10.29,9.68,9.71,3561300
