Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.31,7.99,8.15,7.9,7.99,2173300
2015-09-04,5.31,7.99,7.99,7.77,7.88,2387700
2015-09-08,5.28,7.95,8.08,7.8,8.05,1571900
2015-09-09,5.16,7.77,8.0,7.7,7.94,3453100
2015-09-10,5.28,7.94,7.94,7.57,7.62,3915200
2015-09-11,5.16,7.76,7.94,7.72,7.94,1656300
2015-09-14,5.25,7.9,7.98,7.65,7.71,1882000
2015-09-15,5.32,8.01,8.22,7.77,7.77,1448200
2015-09-16,5.57,8.38,8.71,8.02,8.07,2954800
2015-09-17,5.61,8.44,8.63,8.19,8.32,2410100
2015-09-18,5.66,8.52,8.52,8.16,8.38,4973600
2015-09-21,5.64,8.49,8.58,8.37,8.48,1309500
2015-09-22,5.5,8.27,8.38,8.19,8.38,2061700
2015-09-23,5.48,8.25,8.33,7.92,8.21,2018900
2015-09-24,5.48,8.25,8.36,8.03,8.03,2806000
2015-09-25,5.52,8.3,8.39,8.2,8.31,1336500
2015-09-28,5.49,8.26,8.35,8.17,8.24,904100
2015-09-29,5.5,8.28,8.35,8.22,8.26,1074600
2015-09-30,5.5,8.27,8.58,8.27,8.42,4320400
2015-10-01,5.44,8.18,8.37,8.05,8.27,2232700
2015-10-02,5.54,8.33,8.43,8.04,8.14,1456400
2015-10-05,5.75,8.65,8.99,8.33,8.47,1458900
2015-10-06,5.85,8.8,9.06,8.69,8.71,1078200
2015-10-07,5.8,8.73,9.18,8.65,8.95,2019300
2015-10-08,5.85,8.81,8.93,8.61,8.79,847000
2015-10-09,6.01,9.05,9.19,8.9,8.9,1074600
2015-10-13,5.95,8.95,9.11,8.72,9.1,1057000
2015-10-14,5.92,8.91,9.11,8.81,8.89,2889300
2015-10-15,5.87,8.84,9.07,8.73,8.97,1230500
2015-10-16,6.04,9.09,9.19,8.78,8.89,1898600
2015-10-19,6.15,9.25,9.26,8.99,9.09,1329200
2015-10-20,6.11,9.2,9.48,9.02,9.24,2033000
2015-10-21,6.11,9.19,9.34,9.02,9.2,1371200
2015-10-22,6.25,9.4,9.46,9.2,9.21,1868900
2015-10-23,6.22,9.36,9.78,9.36,9.48,2766100
2015-10-26,6.17,9.29,9.43,9.19,9.25,1322900
2015-10-27,6.27,9.44,9.48,9.19,9.29,1922300
2015-10-28,6.3,9.48,9.59,9.26,9.42,167300
2015-10-29,6.15,9.25,9.53,9.13,9.36,1978700
2015-10-30,5.95,8.96,9.24,8.8,9.24,2103100
2015-11-03,6.15,9.26,9.46,8.83,8.83,1716300
2015-11-04,6.25,9.4,9.91,9.25,9.26,2304400
2015-11-05,6.37,9.59,9.77,9.36,9.41,1059000
2015-11-06,6.18,9.3,9.76,9.17,9.58,2076200
2015-11-09,6.03,9.07,9.33,8.96,9.25,2673400
2015-11-10,5.92,8.91,9.02,8.82,9.02,2863700
2015-11-11,6.05,9.1,9.34,8.86,8.9,8054700
2015-11-12,6.03,9.08,9.4,9.02,9.2,1347500
2015-11-13,6.01,9.04,9.3,8.65,9.02,2386800
2015-11-16,5.78,8.7,9.04,8.54,8.97,3873400
2015-11-17,5.7,8.58,8.87,8.5,8.73,3184600
2015-11-18,5.62,8.45,8.59,8.41,8.52,3994500
2015-11-19,5.62,8.45,8.55,8.41,8.44,2924400
2015-11-23,5.5,8.27,8.62,8.13,8.52,4270700
2015-11-24,5.41,8.14,8.3,8.12,8.21,2444200
2015-11-25,5.29,7.96,8.11,7.78,8.08,4870500
2015-11-26,5.39,8.11,8.19,7.91,7.91,1310800
2015-11-27,5.32,8.0,8.24,7.9,8.05,3264100
2015-11-30,4.91,7.39,8.02,7.39,7.94,44157000
2015-12-01,4.99,7.51,7.63,7.35,7.5,5621300
2015-12-02,5.23,7.87,7.92,7.46,7.46,3585700
2015-12-03,5.24,7.88,8.28,7.88,8.0,9274900
2015-12-04,5.12,7.71,7.98,7.62,7.98,4497900
2015-12-07,5.14,7.74,7.84,7.54,7.76,4981300
2015-12-08,5.15,7.75,7.89,7.62,7.69,11314500
2015-12-09,5.25,7.9,8.19,7.77,7.77,4830000
2015-12-10,5.24,7.89,7.96,7.72,7.85,3308900
2015-12-11,5.25,7.9,7.99,7.8,7.83,2714900
2015-12-14,5.12,7.71,7.93,7.61,7.86,2115800
2015-12-15,5.2,7.82,7.85,7.58,7.66,1701600
2015-12-16,5.19,7.81,7.83,7.52,7.75,2019500
2015-12-17,5.21,7.84,8.15,7.81,7.86,1396200
2015-12-18,5.02,7.56,7.85,7.45,7.78,3938800
2015-12-21,4.98,7.5,7.65,7.45,7.55,2000900
2015-12-22,4.93,7.42,7.58,7.35,7.46,1153300
2015-12-23,4.92,7.4,7.5,7.29,7.43,1482300
2015-12-28,4.94,7.43,7.5,7.38,7.43,807000
2015-12-29,4.92,7.4,7.48,7.34,7.41,680700
2015-12-30,4.98,7.5,7.5,7.09,7.36,2529700
2016-01-04,4.84,7.28,7.46,7.15,7.4,1277300
2016-01-05,5.06,7.61,7.61,7.25,7.25,1560700
2016-01-06,4.86,7.32,7.55,7.27,7.55,3183700
2016-01-07,4.89,7.36,7.39,7.06,7.27,5752100
2016-01-08,4.98,7.5,7.51,7.25,7.3,1059700
2016-01-11,4.98,7.49,7.52,7.35,7.5,1463300
2016-01-12,5.01,7.54,7.6,7.34,7.45,1932500
2016-01-13,5.04,7.59,7.74,7.49,7.51,1490500
2016-01-14,4.95,7.45,7.63,7.39,7.54,2466400
2016-01-15,4.82,7.25,7.44,7.12,7.39,2358400
2016-01-18,4.74,7.13,7.24,6.98,7.17,1618900
2016-01-19,4.85,7.3,7.38,7.18,7.2,1246100
2016-01-20,4.8,7.22,7.3,7.05,7.18,1046000
2016-01-21,4.85,7.3,7.46,7.14,7.17,2429100
2016-01-22,4.79,7.21,7.6,7.16,7.34,1621200
2016-01-26,4.62,6.95,7.2,6.95,7.16,1884900
2016-01-27,4.79,7.21,7.22,6.86,6.9,1504900
2016-01-28,4.68,7.05,7.2,6.94,7.16,1819900
2016-01-29,4.75,7.15,7.18,6.93,7.06,2957100
2016-02-01,4.85,7.3,7.34,7.11,7.2,1247900
2016-02-02,4.88,7.35,7.36,7.1,7.28,2160600
2016-02-03,4.88,7.35,7.53,7.25,7.4,2109000
2016-02-04,5.05,7.6,7.7,7.38,7.4,3053600
2016-02-05,5.26,7.91,7.93,7.55,7.55,2573200
2016-02-10,5.28,7.94,7.95,7.75,7.8,1691900
2016-02-11,5.16,7.77,7.93,7.69,7.88,1640200
2016-02-12,5.18,7.8,7.87,7.67,7.83,1156500
2016-02-15,5.25,7.9,8.01,7.83,7.84,946700
2016-02-16,5.42,8.15,8.18,7.91,7.93,2369200
2016-02-17,5.4,8.12,8.32,8.02,8.19,1798100
2016-02-18,5.32,8.0,8.18,7.93,8.06,1156800
2016-02-19,5.4,8.13,8.17,8.0,8.0,1091500
2016-02-22,5.46,8.22,8.4,8.19,8.24,1218800
2016-02-23,5.34,8.03,8.32,8.03,8.2,1263300
2016-02-24,5.32,8.0,8.07,7.85,7.96,1540800
2016-02-25,5.3,7.98,8.13,7.81,7.94,1184100
2016-02-26,5.42,8.15,8.34,7.95,8.04,1097500
2016-02-29,5.45,8.2,8.38,8.1,8.29,3025700
2016-03-01,5.58,8.39,8.44,8.21,8.26,2191200
2016-03-02,5.37,8.08,8.48,8.08,8.47,4445900
2016-03-03,5.66,8.51,8.87,8.12,8.12,6494700
2016-03-04,6.18,9.3,9.9,8.72,9.9,10292900
2016-03-07,6.31,9.5,9.56,9.25,9.37,4641300
2016-03-08,6.43,9.68,9.85,9.32,9.5,5110800
2016-03-09,6.41,9.65,10.16,9.55,9.75,6555400
2016-03-10,6.9,10.39,10.41,9.7,9.72,5108000
2016-03-11,6.81,10.25,10.38,10.16,10.31,3417200
2016-03-14,6.72,10.12,10.45,9.92,10.31,2299500
2016-03-15,6.25,9.4,9.98,9.26,9.98,5186800
2016-03-16,6.62,9.96,10.1,9.33,9.39,3863000
2016-03-17,7.29,10.97,10.97,10.48,10.68,7620900
2016-03-18,7.38,11.1,11.1,10.81,11.05,8642000
2016-03-21,7.34,11.05,11.18,10.87,11.18,2751700
2016-03-22,7.04,10.6,11.18,10.6,11.1,3185100
2016-03-23,6.88,10.35,10.54,10.2,10.48,3247500
2016-03-24,6.59,9.91,10.17,9.55,9.9,5811000
2016-03-28,6.98,10.5,10.55,10.01,10.01,4508900
