Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,0.29,1.12,1.13,1.04,1.07,3271181
2015-09-04,0.27,1.08,1.13,1.08,1.11,1717980
2015-09-08,0.27,1.05,1.09,1.03,1.08,2106883
2015-09-09,0.28,1.11,1.14,1.03,1.06,3086822
2015-09-10,0.28,1.08,1.11,1.06,1.07,1755334
2015-09-11,0.3,1.16,1.18,1.05,1.07,3113030
2015-09-14,0.29,1.15,1.21,1.1,1.16,1656226
2015-09-15,0.31,1.22,1.25,1.12,1.14,1594170
2015-09-16,0.32,1.26,1.27,1.22,1.24,1938790
2015-09-17,0.33,1.28,1.29,1.23,1.26,1547176
2015-09-18,0.32,1.23,1.27,1.21,1.27,2972049
2015-09-21,0.31,1.21,1.24,1.2,1.24,2734670
2015-09-22,0.3,1.19,1.22,1.18,1.2,1766179
2015-09-23,0.3,1.17,1.21,1.16,1.2,1863781
2015-09-24,0.3,1.17,1.2,1.14,1.18,1348055
2015-09-25,0.31,1.21,1.23,1.14,1.18,1364925
2015-09-28,0.31,1.22,1.23,1.2,1.2,1113087
2015-09-29,0.31,1.22,1.24,1.2,1.24,932643
2015-09-30,0.31,1.2,1.27,1.2,1.22,2433730
2015-10-01,0.31,1.2,1.22,1.17,1.21,2531633
2015-10-02,0.31,1.2,1.22,1.17,1.18,1307388
2015-10-05,0.33,1.28,1.3,1.21,1.21,2301786
2015-10-06,0.32,1.26,1.32,1.25,1.29,2418969
2015-10-07,0.33,1.3,1.34,1.27,1.29,3708885
2015-10-08,0.35,1.37,1.39,1.3,1.3,2871434
2015-10-09,0.35,1.35,1.41,1.32,1.39,3163939
2015-10-13,0.34,1.34,1.37,1.3,1.35,2290640
2015-10-14,0.35,1.35,1.36,1.31,1.35,935355
2015-10-15,0.33,1.29,1.41,1.27,1.36,2000243
2015-10-16,0.32,1.27,1.32,1.24,1.29,2676832
2015-10-19,0.33,1.28,1.28,1.24,1.26,656706
2015-10-20,0.32,1.27,1.3,1.25,1.28,777203
2015-10-21,0.31,1.23,1.27,1.21,1.27,1746899
2015-10-22,0.32,1.25,1.26,1.23,1.24,749790
2015-10-23,0.32,1.26,1.27,1.21,1.25,887758
2015-10-26,0.31,1.22,1.27,1.21,1.25,2184001
2015-10-27,0.31,1.21,1.23,1.19,1.21,1405894
2015-10-28,0.32,1.25,1.26,1.24,1.24,267201
2015-10-29,0.3,1.17,1.22,1.15,1.22,3321188
2015-10-30,0.3,1.18,1.21,1.16,1.17,894687
2015-11-03,0.31,1.21,1.24,1.17,1.17,1434512
2015-11-04,0.32,1.25,1.28,1.21,1.21,1127245
2015-11-05,0.34,1.32,1.32,1.24,1.25,1229667
2015-11-06,0.32,1.25,1.32,1.25,1.32,1013677
2015-11-09,0.32,1.26,1.28,1.24,1.25,480781
2015-11-10,0.32,1.23,1.25,1.2,1.25,1102544
2015-11-11,0.33,1.31,1.31,1.22,1.24,701892
2015-11-12,0.33,1.3,1.33,1.24,1.3,667250
2015-11-13,0.33,1.28,1.36,1.28,1.29,807929
2015-11-16,0.33,1.29,1.3,1.25,1.26,580793
2015-11-17,0.34,1.33,1.36,1.28,1.29,1682132
2015-11-18,0.32,1.26,1.34,1.26,1.34,1552297
2015-11-19,0.33,1.29,1.29,1.21,1.28,1073022
2015-11-23,0.32,1.25,1.28,1.24,1.28,568442
2015-11-24,0.31,1.21,1.26,1.19,1.25,1148935
2015-11-25,0.31,1.21,1.21,1.17,1.19,872395
2015-11-26,0.31,1.21,1.21,1.19,1.2,459393
2015-11-27,0.3,1.18,1.22,1.18,1.2,884445
2015-11-30,0.29,1.15,1.25,1.08,1.18,5539229
2015-12-01,0.31,1.2,1.2,1.12,1.16,1851129
2015-12-02,0.3,1.16,1.21,1.15,1.21,1057960
2015-12-03,0.32,1.23,1.24,1.16,1.19,675383
2015-12-04,0.32,1.25,1.25,1.17,1.21,790457
2015-12-07,0.32,1.27,1.28,1.23,1.28,990180
2015-12-08,0.32,1.26,1.26,1.22,1.25,597964
2015-12-09,0.31,1.22,1.29,1.21,1.28,1273348
2015-12-10,0.31,1.2,1.22,1.18,1.21,387697
2015-12-11,0.31,1.21,1.22,1.18,1.19,885650
2015-12-14,0.3,1.18,1.23,1.17,1.21,662128
2015-12-15,0.3,1.18,1.19,1.15,1.19,608206
2015-12-16,0.3,1.18,1.18,1.14,1.17,378961
2015-12-17,0.3,1.19,1.2,1.16,1.18,381070
2015-12-18,0.3,1.18,1.19,1.13,1.18,696771
2015-12-21,0.3,1.16,1.2,1.16,1.17,497048
2015-12-22,0.3,1.18,1.18,1.15,1.17,356971
2015-12-23,0.3,1.19,1.21,1.16,1.21,299434
2015-12-28,0.31,1.21,1.22,1.17,1.18,293108
2015-12-29,0.3,1.18,1.23,1.18,1.2,441318
2015-12-30,0.3,1.17,1.2,1.13,1.18,1217015
2016-01-04,0.29,1.14,1.17,1.1,1.16,433185
2016-01-05,0.29,1.13,1.13,1.1,1.13,520545
2016-01-06,0.27,1.07,1.12,1.06,1.12,1002833
2016-01-07,0.26,1.03,1.05,1.02,1.05,9527065
2016-01-08,0.28,1.08,1.08,1.03,1.05,263887
2016-01-11,0.29,1.13,1.13,1.05,1.08,391915
2016-01-12,0.29,1.13,1.14,1.1,1.13,420231
2016-01-13,0.29,1.12,1.14,1.11,1.14,288288
2016-01-14,0.28,1.1,1.14,1.1,1.14,362092
2016-01-15,0.28,1.08,1.14,1.06,1.1,1144416
2016-01-18,0.27,1.05,1.09,1.05,1.09,326244
2016-01-19,0.28,1.09,1.1,1.05,1.06,559405
2016-01-20,0.27,1.04,1.07,1.04,1.05,532896
2016-01-21,0.26,1.03,1.07,1.03,1.04,574768
2016-01-22,0.28,1.11,1.11,1.05,1.05,789855
2016-01-26,0.28,1.1,1.1,1.07,1.09,452163
2016-01-27,0.28,1.09,1.12,1.08,1.11,769069
2016-01-28,0.27,1.07,1.11,1.07,1.08,441921
2016-01-29,0.28,1.1,1.14,1.08,1.08,1047416
2016-02-01,0.27,1.08,1.13,1.06,1.12,826908
2016-02-02,0.27,1.05,1.08,1.03,1.08,1160984
2016-02-03,0.29,1.14,1.14,1.07,1.07,665743
2016-02-04,0.31,1.2,1.22,1.14,1.14,1152851
2016-02-05,0.31,1.21,1.23,1.16,1.21,361188
2016-02-10,0.31,1.21,1.21,1.16,1.21,683215
2016-02-11,0.3,1.18,1.19,1.16,1.19,185263
2016-02-12,0.3,1.18,1.23,1.18,1.18,393421
2016-02-15,0.31,1.2,1.21,1.17,1.2,294312
2016-02-16,0.32,1.27,1.27,1.2,1.2,769672
2016-02-17,0.33,1.29,1.3,1.26,1.26,2183097
2016-02-18,0.33,1.29,1.29,1.26,1.28,296421
2016-02-19,0.33,1.3,1.31,1.28,1.29,221412
2016-02-22,0.35,1.36,1.37,1.31,1.31,834439
2016-02-23,0.35,1.38,1.41,1.37,1.37,1118208
2016-02-24,0.37,1.43,1.43,1.32,1.36,1489036
2016-02-25,0.38,1.49,1.49,1.42,1.44,2970844
2016-02-26,0.4,1.56,1.57,1.48,1.51,4380955
2016-02-29,0.4,1.58,1.58,1.51,1.58,1675505
