Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,14.36,26.33,26.57,25.52,25.9,1212750
2015-09-04,13.96,25.6,26.49,25.53,25.6,1709500
2015-09-08,14.16,25.97,26.38,25.42,26.38,1011625
2015-09-09,14.24,26.12,26.24,25.82,25.98,993375
2015-09-10,14.29,26.2,26.58,25.4,25.4,1058875
2015-09-11,14.42,26.45,26.74,25.9,26.02,1316000
2015-09-14,15.2,27.88,28.27,26.32,26.32,1448750
2015-09-15,14.85,27.23,27.84,26.79,27.57,1089875
2015-09-16,15.06,27.61,28.03,27.4,27.42,1107125
2015-09-17,15.14,27.76,28.29,27.05,27.24,1077375
2015-09-18,14.7,26.96,27.82,26.74,27.38,1136125
2015-09-21,14.65,26.86,27.27,26.47,26.74,1088125
2015-09-22,14.48,26.55,26.7,26.1,26.54,767500
2015-09-23,14.24,26.11,26.6,26.01,26.5,852625
2015-09-24,14.2,26.04,26.48,24.99,25.33,1138000
2015-09-25,14.25,26.14,26.56,25.94,26.39,2200500
2015-09-28,14.05,25.76,26.3,25.59,26.3,854375
2015-09-29,14.31,26.24,26.59,25.76,25.76,770375
2015-09-30,14.73,27.01,27.3,26.28,27.16,1392000
2015-10-01,14.4,26.4,27.15,26.33,27.06,1048625
2015-10-02,14.59,26.76,26.9,25.99,26.22,1197000
2015-10-05,14.48,26.56,27.1,26.15,26.77,862375
2015-10-06,14.38,26.36,26.81,26.23,26.56,645875
2015-10-07,14.34,26.3,26.81,26.13,26.71,876125
2015-10-08,14.48,26.56,26.72,26.31,26.45,1266625
2015-10-09,14.35,26.32,27.09,26.18,26.95,975750
2015-10-13,14.33,26.28,27.06,26.09,26.44,698000
2015-10-14,14.2,26.04,26.6,25.83,26.1,2242625
2015-10-15,14.49,26.57,26.7,25.94,26.1,857250
2015-10-16,14.69,26.94,26.94,26.09,26.57,1968875
2015-10-19,14.78,27.1,27.29,26.48,26.81,1649625
2015-10-20,14.92,27.36,27.45,26.97,27.08,716375
2015-10-21,14.75,27.06,27.6,26.74,27.34,843500
2015-10-22,14.81,27.16,27.82,27.01,27.19,679500
2015-10-23,14.66,26.88,28.08,26.71,27.56,994750
2015-10-26,14.72,27.0,27.43,26.82,26.82,768625
2015-10-27,14.79,27.13,27.39,26.86,27.01,955375
2015-10-28,14.78,27.1,27.5,27.0,27.0,80125
2015-10-29,14.7,26.96,27.21,26.8,26.8,939625
2015-10-30,14.78,27.1,27.11,26.8,26.8,1744750
2015-11-03,15.75,28.88,29.06,26.9,26.9,2740375
2015-11-04,15.79,28.96,29.98,28.66,29.17,1337500
2015-11-05,15.82,29.01,29.2,28.47,28.8,1356250
2015-11-06,15.37,28.19,29.11,27.77,29.0,1577875
2015-11-09,15.26,27.98,28.49,27.65,28.4,566000
2015-11-10,15.18,27.84,28.0,27.22,27.98,917375
2015-11-11,15.36,28.16,28.58,27.97,28.08,933250
2015-11-12,15.49,28.41,28.62,27.83,28.5,1668875
2015-11-13,15.36,28.17,28.6,27.95,28.21,918375
2015-11-16,15.48,28.38,28.41,27.84,27.97,990125
2015-11-17,15.42,28.28,28.72,28.02,28.58,782875
2015-11-18,15.84,29.04,29.54,28.19,28.4,1056250
2015-11-19,15.97,29.28,29.68,28.96,29.14,1282875
2015-11-23,15.88,29.12,29.78,28.92,29.78,898750
2015-11-24,15.69,28.38,28.91,28.17,28.78,2513875
2015-11-25,15.43,27.92,28.62,27.8,28.18,1068125
2015-11-26,15.5,28.06,28.6,27.86,28.02,562875
2015-11-27,15.05,27.24,28.3,27.24,27.92,747875
2015-11-30,14.79,26.77,27.42,26.53,27.34,2844750
2015-12-01,14.86,26.88,27.08,26.5,26.58,1147125
2015-12-02,14.93,27.01,27.25,26.72,26.72,1102750
2015-12-03,15.14,27.4,27.85,27.2,27.3,885375
2015-12-04,15.03,27.2,27.63,26.74,27.3,1463375
2015-12-07,15.01,27.16,28.02,27.01,27.33,1080625
2015-12-08,14.83,26.84,27.36,26.5,27.18,1099500
2015-12-09,15.42,27.9,28.27,26.76,27.06,1669750
2015-12-10,15.15,27.41,28.3,26.87,28.03,1360500
2015-12-11,15.47,28.0,28.1,27.12,27.21,1606250
2015-12-14,15.15,27.42,28.05,27.28,27.8,917000
2015-12-15,14.97,27.08,27.91,27.08,27.68,1000625
2015-12-16,14.86,26.88,27.3,26.54,26.98,1219625
2015-12-17,14.99,27.12,27.95,27.12,27.34,1781875
2015-12-18,14.79,26.77,27.15,26.18,26.93,2006000
2015-12-21,14.42,26.09,26.88,25.87,26.77,1153125
2015-12-22,14.74,26.68,26.9,26.09,26.22,901250
2015-12-23,14.83,26.84,27.36,26.7,26.9,329125
2015-12-28,15.03,27.2,27.58,26.84,27.02,560125
2015-12-29,14.94,27.04,27.38,26.92,27.01,318125
2015-12-30,14.81,26.79,27.36,26.79,27.36,886000
2016-01-04,14.44,26.13,26.94,26.13,26.62,876500
2016-01-05,14.61,26.44,26.78,26.14,26.17,795125
2016-01-06,14.4,26.05,26.42,25.92,26.12,2028000
2016-01-07,14.06,25.44,25.86,25.39,25.86,1415500
2016-01-08,13.86,25.08,25.74,25.0,25.74,1157750
2016-01-11,13.88,25.12,25.83,24.84,24.84,1605625
2016-01-12,13.93,25.21,25.8,25.1,25.12,1090875
2016-01-13,13.86,25.08,25.59,25.06,25.35,878000
2016-01-14,13.6,24.6,25.25,24.54,25.25,1735000
2016-01-15,13.15,23.8,24.64,23.54,24.42,1248500
2016-01-18,13.27,24.01,24.29,23.85,23.95,850625
2016-01-19,13.44,24.32,24.75,24.06,24.4,953250
2016-01-20,13.36,24.18,24.43,23.87,24.05,1535875
2016-01-21,13.35,24.16,24.3,23.98,23.98,868750
2016-01-22,13.62,24.64,24.8,24.31,24.31,927375
2016-01-26,13.66,24.72,24.96,24.34,24.34,889625
2016-01-27,13.86,25.08,25.54,24.52,24.8,1043500
2016-01-28,14.15,25.6,25.78,24.86,25.26,1135625
2016-01-29,14.96,27.07,27.07,25.74,25.78,1744125
2016-02-01,14.97,27.09,27.61,26.4,26.4,1204500
2016-02-02,14.59,26.41,27.23,26.18,26.9,1427375
2016-02-03,14.6,26.42,26.9,26.38,26.58,729875
2016-02-04,15.01,27.15,27.52,26.61,26.66,1275000
2016-02-05,14.95,27.06,27.86,27.06,27.19,1107875
2016-02-10,15.03,27.2,27.66,27.07,27.12,545125
2016-02-11,15.03,27.2,27.2,26.52,27.01,2158000
2016-02-12,14.89,26.94,27.56,26.71,27.02,1040625
2016-02-15,14.94,27.04,27.6,26.85,27.08,567500
2016-02-16,15.21,27.53,28.02,26.77,26.77,1255625
2016-02-17,15.43,27.92,28.62,27.62,27.79,1622750
2016-02-18,15.31,27.71,28.41,27.62,27.9,1043125
2016-02-19,15.26,27.61,28.11,27.35,27.52,841250
2016-02-22,15.58,28.2,28.58,27.87,27.94,1724875
2016-02-23,15.47,27.98,28.56,27.82,28.3,1433375
2016-02-24,15.37,27.82,28.18,27.5,27.78,916250
2016-02-25,15.47,27.99,28.23,27.7,27.74,1269125
2016-02-26,15.38,27.82,28.6,27.5,28.16,1259125
2016-02-29,15.61,28.24,28.48,27.86,28.03,2317250
2016-03-01,15.91,28.79,29.25,28.34,28.47,1230125
2016-03-02,15.7,28.41,29.08,28.33,28.65,2100625
2016-03-03,16.0,28.95,29.26,27.95,28.42,1865500
2016-03-04,16.2,29.32,30.11,29.14,29.6,2759875
2016-03-07,16.25,29.4,30.14,29.32,29.57,1250875
2016-03-08,16.65,30.12,30.59,29.34,29.45,1853750
2016-03-09,16.54,29.92,30.78,29.52,30.33,2298500
2016-03-10,16.46,29.79,30.5,29.51,30.2,2200875
2016-03-11,16.4,29.67,30.1,29.57,29.94,1823125
2016-03-14,16.16,29.24,29.95,29.02,29.53,1817375
2016-03-15,15.97,28.9,29.4,28.46,29.12,1335000
2016-03-16,16.04,29.02,29.61,28.64,28.7,1131750
2016-03-17,16.55,29.95,30.21,29.25,29.44,2384250
2016-03-18,16.5,29.86,30.55,29.86,30.2,2182125
2016-03-21,16.89,30.56,30.79,29.9,29.93,1717375
2016-03-22,16.62,30.08,30.56,29.62,30.34,1849375
2016-03-23,16.46,29.79,30.04,29.54,29.92,846750
2016-03-24,16.4,29.68,29.9,29.08,29.49,1011000
2016-03-28,16.38,29.65,30.21,29.44,30.04,783500
2016-03-29,16.5,29.85,30.3,29.76,29.76,1193500
2016-03-30,16.67,30.16,30.47,29.85,30.15,1049750
2016-03-31,16.22,29.34,30.1,29.06,29.96,2052250
2016-04-01,16.45,29.77,29.82,28.94,28.98,125
2016-04-04,16.03,29.0,29.6,28.66,29.6,3250
2016-04-05,15.9,28.78,29.12,28.53,28.77,1500
2016-04-06,15.63,28.29,28.79,28.1,28.49,1750
2016-04-07,15.73,28.47,28.47,28.47,28.47,1125
2016-04-08,15.98,28.92,29.22,28.58,29.1,1315875
2016-04-11,16.0,28.96,29.34,28.94,29.21,250
2016-04-12,16.14,29.21,29.6,28.73,29.21,1250
2016-04-13,16.36,29.6,29.98,29.18,29.18,9000
2016-04-14,16.45,29.76,30.17,29.5,29.75,1545625
2016-04-15,16.63,30.09,30.38,29.72,30.0,1549625
2016-04-18,16.71,30.24,30.78,30.02,30.03,1293500
2016-04-19,16.99,30.74,31.02,30.24,30.24,1466625
2016-04-20,16.83,30.45,30.78,30.28,30.75,1000875
2016-04-22,16.69,30.2,30.29,29.9,30.14,963125
2016-04-25,16.8,30.4,30.67,30.16,30.21,928500
2016-04-26,16.78,30.37,30.82,30.37,30.66,696000
2016-04-27,17.15,31.04,31.25,30.56,30.57,1212500
2016-04-28,17.13,31.0,31.26,30.75,31.16,567250
2016-04-29,16.87,30.52,31.11,30.26,30.9,1886250
2016-05-02,16.71,30.24,30.63,30.11,30.41,594875
2016-05-03,16.56,29.97,30.24,29.62,30.11,775375
2016-05-04,16.78,30.36,30.46,29.28,30.03,1027875
2016-05-05,16.73,30.26,30.46,30.11,30.39,479625
2016-05-06,16.56,29.96,30.22,29.79,30.1,819250
2016-05-09,16.36,29.6,30.09,29.21,29.83,1534625
2016-05-10,16.51,29.88,30.21,29.67,29.9,929375
2016-05-11,16.31,29.26,30.38,29.26,29.93,1188625
2016-05-12,16.41,29.44,30.19,29.27,29.27,1669125
2016-05-13,16.14,28.96,29.91,28.72,29.27,1581750
2016-05-16,16.15,28.98,29.21,28.69,28.69,612000
2016-05-17,15.97,28.65,29.25,28.26,28.98,1871500
2016-05-18,16.14,28.95,29.05,28.2,28.65,1273500
2016-05-19,15.96,28.62,29.05,28.31,28.66,710625
2016-05-20,16.24,29.13,29.59,28.64,28.64,1270125
2016-05-23,16.03,28.76,28.92,28.46,28.49,799875
2016-05-24,16.19,29.04,29.38,28.66,28.84,948750
2016-05-25,15.91,28.54,29.66,28.54,29.21,990500
2016-05-27,15.92,28.56,29.11,28.54,28.63,695250
2016-05-30,15.88,28.48,28.87,28.42,28.58,229000
2016-05-31,15.82,28.38,29.0,28.24,28.42,1877250
2016-06-01,16.01,28.71,28.78,28.22,28.24,758000
2016-06-02,15.98,28.67,28.78,28.39,28.78,611000
2016-06-03,16.25,29.14,29.22,28.64,28.75,524375
2016-06-06,16.1,28.88,29.44,28.57,29.44,769500
2016-06-07,16.08,28.84,29.1,28.66,28.76,692625
2016-06-08,16.45,29.5,29.85,28.87,28.87,1010125
2016-06-09,16.32,29.28,29.62,29.09,29.43,588000
2016-06-10,16.07,28.83,29.44,28.83,29.19,709000
2016-06-13,16.27,29.18,29.4,28.55,28.6,687750
2016-06-14,16.1,28.88,29.37,28.35,29.1,608125
2016-06-15,16.09,28.87,29.24,27.98,28.8,1086375
2016-06-16,16.08,28.84,29.1,28.44,28.58,746375
2016-06-17,16.18,29.02,29.3,28.76,28.81,983750
2016-06-20,16.3,29.24,29.69,29.05,29.32,1124875
2016-06-21,16.28,29.21,29.44,28.86,29.1,946500
2016-06-22,16.17,29.02,29.59,28.9,29.15,1139500
2016-06-23,16.54,29.68,29.8,28.98,28.98,1087750
2016-06-24,16.23,29.11,29.42,28.61,29.15,1031625
2016-06-27,16.38,29.38,29.59,28.8,28.98,899000
2016-06-28,16.88,30.28,30.48,29.35,29.72,1972875
2016-06-29,17.15,30.76,31.0,30.33,30.47,1705000
2016-06-30,17.08,30.65,30.9,30.28,30.64,2300125
2016-07-01,17.02,30.54,30.93,30.28,30.78,790500
2016-07-04,17.18,30.82,31.12,30.62,30.78,537625
2016-07-05,17.28,31.0,31.11,30.53,30.53,906250
2016-07-06,17.39,31.19,31.19,30.68,30.98,927125
2016-07-07,17.49,31.37,31.82,30.86,31.39,1164125
2016-07-08,17.54,31.46,31.7,31.34,31.53,1035875
2016-07-11,17.93,32.16,32.39,31.54,31.55,2282375
2016-07-12,17.85,32.02,32.5,31.92,32.12,1982625
2016-07-13,17.96,32.22,32.55,31.95,32.03,983500
2016-07-14,18.17,32.59,32.87,32.11,32.61,1484375
2016-07-15,17.97,32.24,32.75,31.78,32.58,2224250
2016-07-18,18.04,32.36,32.59,32.08,32.14,1831000
2016-07-19,18.35,32.91,33.07,32.22,32.47,817625
2016-07-20,18.46,33.11,33.34,32.73,33.18,944000
2016-07-21,18.57,33.32,34.01,32.67,33.11,936625
2016-07-22,18.69,33.52,33.8,33.02,33.55,812375
2016-07-25,18.77,33.68,34.16,33.44,33.7,1389750
2016-07-26,18.59,33.35,33.98,33.35,33.68,1150250
2016-07-27,18.67,33.49,33.89,33.35,33.35,738375
2016-07-28,18.42,33.04,33.88,33.04,33.38,1082500
2016-07-29,18.82,33.77,34.29,33.37,33.37,1266125
2016-08-01,18.75,33.64,34.15,33.5,33.76,631875
2016-08-02,18.73,33.6,34.17,33.3,33.58,1207000
2016-08-03,19.06,34.2,34.3,33.22,33.27,1501375
2016-08-04,19.3,34.62,35.12,33.93,34.0,985250
2016-08-05,19.18,34.41,34.88,34.0,34.62,1147750
2016-08-08,19.09,34.24,34.51,34.04,34.12,470625
2016-08-09,18.99,33.28,33.58,33.02,33.51,519500
2016-08-10,18.72,32.81,33.41,32.81,33.29,390000
2016-08-11,18.94,33.2,33.34,32.34,32.81,1072875
2016-08-12,18.91,33.14,33.64,32.9,33.38,594125
2016-08-15,18.95,33.21,33.57,32.93,32.95,476000
2016-08-16,18.51,32.44,33.5,32.44,32.9,1074750
2016-08-17,19.1,33.48,33.81,32.23,32.34,821250
2016-08-18,18.35,32.16,34.16,32.16,34.16,949625
2016-08-19,18.43,32.3,32.56,31.95,32.33,913500
2016-08-22,18.19,31.88,32.36,31.54,31.82,903125
2016-08-23,17.87,31.32,32.01,31.32,31.88,950625
2016-08-24,18.12,31.76,32.16,31.21,31.22,825500
2016-08-25,18.03,31.6,31.93,31.32,31.45,750250
2016-08-26,17.78,31.15,31.93,30.61,31.93,1230000
2016-08-29,18.18,31.86,32.51,30.97,31.42,696750
2016-08-30,18.13,31.77,32.28,31.27,31.83,756750
2016-08-31,17.8,31.2,32.04,31.01,31.68,1293500
2016-09-01,18.16,31.83,32.09,31.11,31.28,979750
2016-09-02,18.51,32.44,32.44,31.68,31.92,1044750
2016-09-05,18.45,32.34,32.75,32.16,32.46,479875
2016-09-06,18.46,32.35,32.74,32.02,32.52,683125
2016-09-08,18.2,31.9,32.42,31.7,32.01,1534625
2016-09-09,17.75,31.11,31.64,31.03,31.29,1043000
2016-09-12,17.85,31.28,31.48,30.8,30.8,632375
2016-09-13,17.69,31.0,31.4,30.8,31.15,1019000
2016-09-14,17.76,31.13,31.47,30.9,31.3,596250
2016-09-15,17.87,31.31,31.41,30.88,31.04,408875
2016-09-16,17.72,31.05,31.3,30.83,31.02,717625
2016-09-19,17.8,31.2,31.53,30.85,31.34,660000
2016-09-20,17.9,31.37,31.66,31.12,31.12,1101625
2016-09-21,18.05,31.64,31.82,31.16,31.16,973125
2016-09-22,18.16,31.82,32.3,31.26,31.96,1371000
2016-09-23,18.1,31.72,32.26,31.42,31.9,501000
2016-09-26,18.08,31.68,31.82,31.25,31.82,607250
2016-09-27,18.01,31.56,31.97,31.42,31.83,616875
2016-09-28,18.18,31.86,32.12,31.45,31.81,741625
2016-09-29,17.93,31.42,32.27,31.42,31.64,769875
2016-09-30,17.57,30.8,31.91,30.8,31.62,1767375
2016-10-03,17.86,31.3,31.77,30.51,30.8,1291250
2016-10-04,17.63,30.9,31.5,30.78,31.3,1111125
2016-10-05,17.84,31.26,31.48,31.02,31.21,747125
2016-10-06,17.76,31.12,31.37,30.94,31.37,628500
2016-10-07,17.84,31.27,31.44,30.98,31.28,784750
2016-10-10,17.83,31.24,31.82,31.14,31.45,710000
2016-10-11,17.71,31.04,31.54,31.04,31.37,827875
2016-10-13,17.99,31.52,32.18,31.08,31.08,2280625
2016-10-14,18.01,31.56,32.4,31.56,31.57,751750
2016-10-17,18.28,32.04,32.22,31.19,31.57,1028250
2016-10-18,18.54,32.49,32.7,31.84,32.1,1386125
2016-10-19,18.35,32.15,32.55,31.98,32.39,963750
2016-10-20,18.48,32.39,32.55,31.98,32.15,1201500
2016-10-21,18.56,32.53,32.96,32.38,32.55,1100875
2016-10-24,18.51,32.43,32.87,32.24,32.56,1184375
2016-10-25,18.49,32.4,32.58,32.22,32.4,661375
2016-10-26,18.47,32.36,32.73,31.79,32.38,1212500
2016-10-27,18.53,32.48,32.95,32.1,32.45,911750
2016-10-28,18.49,32.4,32.71,31.92,32.66,3408000
2016-10-31,18.51,32.44,32.97,32.03,32.51,1317500
2016-11-01,17.94,31.44,32.92,31.36,32.46,1421000
2016-11-03,17.6,30.85,31.85,30.8,31.44,1502625
2016-11-04,17.46,30.6,31.42,30.5,30.86,1225875
2016-11-07,17.84,31.27,31.62,30.72,30.72,851875
2016-11-08,17.94,31.44,31.75,31.2,31.37,866375
2016-11-09,17.64,30.92,31.46,30.31,30.81,1132750
2016-11-10,16.9,29.62,31.24,29.02,31.0,1874500
2016-11-11,16.34,28.12,29.25,27.93,28.62,1636375
2016-11-14,16.45,28.32,28.79,27.82,27.92,1340125
2016-11-16,16.78,28.88,29.04,28.12,28.41,1362000
2016-11-17,16.69,28.72,29.52,28.7,28.82,1424000
2016-11-18,16.71,28.77,28.8,27.99,28.5,1125125
2016-11-21,16.59,28.56,29.0,28.44,28.66,880750
2016-11-22,16.58,28.54,29.21,28.47,28.8,1340375
2016-11-23,16.55,28.49,28.58,28.18,28.54,834375
2016-11-24,16.5,28.4,28.59,28.26,28.49,177000
2016-11-25,16.47,28.34,28.56,27.96,28.11,452250
2016-11-28,16.7,28.74,28.88,28.16,28.16,526375
2016-11-29,16.5,28.4,28.83,28.27,28.57,1040125
2016-11-30,16.66,28.68,28.84,28.42,28.79,1270375
2016-12-01,15.9,27.37,28.74,26.99,28.53,2345125
2016-12-02,15.95,27.46,27.72,26.62,26.98,1132500
2016-12-05,15.81,27.21,27.81,26.94,27.46,629250
2016-12-06,15.99,27.53,27.67,26.61,26.95,1235250
2016-12-07,15.88,27.34,28.0,27.09,27.68,1015000
2016-12-08,15.81,27.21,27.79,27.17,27.48,1117625
2016-12-09,15.85,27.28,27.52,27.15,27.34,851500
2016-12-12,15.65,26.93,27.18,26.64,27.14,874500
2016-12-13,15.8,27.2,27.22,26.63,26.66,1350500
2016-12-14,15.74,27.09,27.26,26.82,27.22,1412750
2016-12-15,15.8,27.19,27.19,26.7,26.87,772125
2016-12-16,15.83,27.25,27.58,27.03,27.2,1103375
2016-12-19,15.8,27.2,27.44,26.99,27.34,504250
2016-12-20,15.58,26.82,27.45,26.62,27.45,942875
2016-12-21,15.63,26.9,26.9,26.9,26.9,959500
2016-12-22,15.82,27.22,27.36,26.73,26.9,768750
2016-12-23,15.87,27.31,27.49,27.14,27.14,638750
2016-12-26,15.91,27.38,27.62,27.2,27.46,236375
2016-12-27,15.9,27.36,27.7,27.22,27.63,404875
2016-12-28,16.18,27.84,27.93,27.28,27.3,533250
2016-12-29,16.27,28.0,28.3,27.6,27.88,954625
2017-01-02,16.2,27.88,28.03,27.53,28.02,490250
2017-01-03,16.83,28.96,29.06,27.9,28.04,1567250
