Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.01,7.95,8.05,7.67,7.76,1404000
2015-09-04,5.32,8.44,8.68,7.96,7.96,10295600
2015-09-08,5.14,8.16,8.69,8.05,8.69,2225400
2015-09-09,5.15,8.18,8.32,8.07,8.16,1708200
2015-09-10,5.27,8.36,8.36,7.86,7.87,1075000
2015-09-11,5.34,8.47,8.62,8.22,8.35,1134200
2015-09-14,5.48,8.69,8.82,8.37,8.59,904500
2015-09-15,5.48,8.7,8.87,8.57,8.73,1148100
2015-09-16,5.67,9.0,9.0,8.7,8.7,1458300
2015-09-17,5.73,9.1,9.2,8.85,8.92,1387300
2015-09-18,5.51,8.75,9.11,8.7,9.02,2112900
2015-09-21,5.55,8.81,9.06,8.62,8.76,1748200
2015-09-22,5.38,8.54,8.69,8.29,8.67,1191600
2015-09-23,5.39,8.56,8.68,8.41,8.52,1770600
2015-09-24,5.3,8.41,8.53,8.17,8.46,1347600
2015-09-25,5.31,8.42,8.68,8.41,8.46,1177900
2015-09-28,5.27,8.36,8.44,8.22,8.3,1094800
2015-09-29,5.36,8.5,8.57,8.27,8.27,1124900
2015-09-30,5.51,8.75,8.89,8.58,8.58,2708900
2015-10-01,5.42,8.6,8.84,8.59,8.76,3536500
2015-10-02,5.77,9.15,9.19,8.47,8.49,1766000
2015-10-05,6.12,9.71,9.81,9.27,9.3,1603700
2015-10-06,6.11,9.7,9.94,9.55,9.75,1293600
2015-10-07,6.11,9.7,9.94,9.57,9.76,2214400
2015-10-08,6.07,9.63,9.77,9.45,9.77,1256300
2015-10-09,6.42,10.19,10.35,9.58,9.78,2067600
2015-10-13,6.31,10.02,10.19,9.69,10.19,1676800
2015-10-14,6.21,9.85,10.05,9.62,9.98,1434400
2015-10-15,6.24,9.9,9.96,9.66,9.86,663800
2015-10-16,6.17,9.8,10.0,9.69,10.0,1488800
2015-10-19,6.29,9.99,10.02,9.72,9.81,757900
2015-10-20,6.34,10.06,10.11,9.83,10.06,1217700
2015-10-21,6.18,9.81,10.22,9.76,10.14,804600
2015-10-22,6.26,9.94,10.07,9.83,9.83,516300
2015-10-23,6.14,9.74,10.14,9.74,10.02,1185600
2015-10-26,6.0,9.53,9.81,9.25,9.75,917700
2015-10-27,6.06,9.61,9.72,9.45,9.45,734700
2015-10-28,6.05,9.6,9.68,9.58,9.66,46100
2015-10-29,5.87,9.31,9.56,9.22,9.34,900500
2015-10-30,5.94,9.43,9.59,9.27,9.3,1538700
2015-11-03,6.26,9.93,10.09,9.6,9.6,2097300
2015-11-04,6.4,10.15,10.2,9.93,10.03,2022300
2015-11-05,6.91,10.96,11.2,10.2,10.2,3922800
2015-11-06,6.76,10.73,11.46,10.55,10.95,2549300
2015-11-09,6.65,10.55,10.74,10.38,10.49,1557000
2015-11-10,6.77,10.75,11.27,10.21,10.35,3242400
2015-11-11,6.79,10.77,11.26,10.6,10.81,1846800
2015-11-12,6.69,10.62,11.0,10.53,10.87,1691400
2015-11-13,6.69,10.62,10.85,9.75,10.25,4628100
2015-11-16,6.7,10.63,10.89,10.5,10.5,1562800
2015-11-17,6.59,10.46,10.79,10.26,10.63,1792700
2015-11-18,6.7,10.64,10.82,10.26,10.33,1786400
2015-11-19,6.98,11.08,11.08,10.68,10.68,1892600
2015-11-23,6.88,10.92,11.16,10.82,11.05,1467400
2015-11-24,7.04,11.17,11.33,10.83,10.96,3004700
