Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,22.92,23.65,24.07,23.44,23.81,3171200
2015-09-04,23.15,23.89,23.89,23.13,23.3,3213700
2015-09-08,22.91,23.64,24.19,23.37,24.1,2099100
2015-09-09,22.57,23.29,23.97,23.18,23.88,3007700
2015-09-10,23.06,23.8,24.21,23.56,23.99,3574900
2015-09-11,22.92,23.65,23.95,23.5,23.56,1488600
2015-09-14,23.55,24.3,24.45,23.6,23.78,2357000
2015-09-15,24.22,24.99,25.1,24.24,24.47,2413000
2015-09-16,24.86,25.66,25.87,24.84,24.99,2729000
2015-09-17,25.15,25.95,26.46,25.43,25.66,2543700
2015-09-18,25.21,26.02,26.15,25.41,25.72,2960600
2015-09-21,25.35,26.16,26.41,25.56,25.8,1178100
2015-09-22,25.6,26.42,26.55,25.81,25.9,1642300
2015-09-23,25.2,26.01,26.48,25.89,26.48,2588700
2015-09-24,24.47,25.25,25.86,25.09,25.25,4088800
2015-09-25,24.47,25.25,25.74,25.0,25.45,2907200
2015-09-28,24.64,25.43,25.59,24.94,25.07,1635100
2015-09-29,24.68,25.47,25.7,25.21,25.43,1205300
2015-09-30,24.71,25.5,25.85,25.1,25.85,2480100
2015-10-01,24.56,25.35,25.73,25.21,25.4,1539800
2015-10-02,24.52,25.3,25.66,24.93,25.29,3113400
2015-10-05,24.94,25.74,26.02,25.58,25.65,2127300
2015-10-06,24.61,25.4,25.92,25.4,25.75,1680700
2015-10-07,25.47,26.28,26.28,25.09,25.63,2444100
2015-10-08,25.44,26.25,26.4,25.89,26.1,1410200
2015-10-09,25.69,26.51,26.51,25.96,26.25,1518200
2015-10-13,24.86,25.66,26.38,25.66,26.0,1776900
2015-10-14,24.3,25.08,26.14,25.08,25.65,5592700
2015-10-15,25.11,25.91,25.96,25.06,25.31,1562500
2015-10-16,25.63,26.45,26.6,25.74,25.91,1689700
2015-10-19,25.63,26.45,26.79,26.17,26.6,1136500
2015-10-20,25.58,26.4,26.67,26.12,26.45,1095300
2015-10-21,25.73,26.55,27.02,26.36,26.36,1134200
2015-10-22,26.09,26.93,26.99,26.42,26.68,1820000
2015-10-23,26.37,27.21,27.94,27.06,27.94,1979900
2015-10-26,25.76,26.58,27.36,26.41,27.36,1713500
2015-10-27,26.99,27.85,27.95,26.14,26.57,2713500
2015-10-28,26.96,27.82,28.06,27.29,27.76,188000
2015-10-29,27.17,28.04,28.6,27.5,27.5,1908300
2015-10-30,27.4,28.28,28.98,27.95,28.05,1843700
2015-11-03,28.51,29.42,29.48,28.24,28.3,2945200
2015-11-04,27.42,28.3,29.9,28.2,29.43,1906500
2015-11-05,27.68,28.57,28.78,28.21,28.3,1201500
2015-11-06,27.24,28.11,28.61,27.83,28.4,1279700
2015-11-09,26.89,27.75,28.58,27.55,28.3,961000
2015-11-10,26.89,27.75,27.98,27.3,27.47,1104600
2015-11-11,26.95,27.81,28.52,27.57,27.57,2111300
2015-11-12,26.54,27.39,28.12,27.38,27.81,2132000
2015-11-13,27.5,28.38,28.55,27.18,27.55,2072100
2015-11-16,27.95,28.84,29.1,28.09,28.51,1895500
2015-11-17,27.83,28.72,29.4,28.53,29.24,1749100
2015-11-18,27.85,28.74,29.0,28.55,29.0,1803800
2015-11-19,28.25,29.15,29.19,28.76,29.0,2017600
2015-11-23,28.59,29.5,29.69,28.93,29.13,3671000
2015-11-24,28.67,29.59,29.85,29.04,29.66,1167400
2015-11-25,28.45,29.36,29.76,28.83,29.25,1745000
2015-11-26,28.44,29.35,29.54,28.59,29.2,1406800
2015-11-27,28.33,29.24,29.48,28.93,29.13,1323400
2015-11-30,29.46,30.4,30.76,28.98,29.0,4493800
2015-12-01,28.81,29.73,30.26,29.51,30.26,2295100
2015-12-02,29.07,30.0,30.14,29.06,29.51,2775900
2015-12-03,29.16,30.09,30.81,30.09,30.21,5009400
2015-12-04,29.02,29.95,30.3,29.6,29.89,1402800
2015-12-07,29.19,30.12,30.67,29.98,30.15,1541000
2015-12-08,28.99,29.92,30.2,29.81,30.12,1539000
2015-12-09,28.38,29.29,30.18,29.25,30.01,2876400
2015-12-10,28.76,29.68,30.23,29.45,29.6,1457300
2015-12-11,28.49,29.4,29.86,29.13,29.53,2369800
2015-12-14,28.29,29.2,29.82,29.01,29.19,1317200
2015-12-15,28.1,29.0,29.86,29.0,29.27,1529500
2015-12-16,28.56,29.47,29.59,28.7,28.9,1552600
2015-12-17,28.34,29.25,29.95,29.08,29.71,1470000
2015-12-18,27.52,28.4,29.24,28.25,28.95,2874800
2015-12-21,27.73,28.62,29.08,28.4,28.55,1403600
2015-12-22,28.4,29.27,29.33,28.3,28.72,1174300
2015-12-23,28.22,29.08,29.67,28.8,29.67,1117700
2015-12-28,27.79,28.64,29.3,28.63,29.2,897900
2015-12-29,28.2,29.06,29.17,28.48,28.48,1197900
2015-12-30,29.29,30.19,30.19,28.82,28.84,4668700
2016-01-04,28.45,29.32,29.92,29.09,29.6,1904900
2016-01-05,28.45,29.32,29.67,29.06,29.4,1928200
2016-01-06,28.04,28.9,29.31,28.85,29.02,1237200
2016-01-07,27.43,28.27,29.0,28.02,28.7,2084600
2016-01-08,27.53,28.37,28.66,28.19,28.51,1356400
2016-01-11,27.42,28.26,28.74,28.02,28.3,1126900
2016-01-12,28.04,28.9,29.0,28.13,28.4,1297600
2016-01-13,27.41,28.25,29.31,28.13,29.0,1418800
2016-01-14,27.28,28.11,28.54,27.67,28.25,1382600
2016-01-15,26.2,27.0,28.06,26.39,27.91,2962800
2016-01-18,26.12,26.92,27.67,26.57,26.8,657500
2016-01-19,26.61,27.42,27.62,26.95,27.44,1431600
2016-01-20,26.1,26.9,27.15,26.41,27.15,1312500
2016-01-21,26.29,27.09,27.37,26.74,26.77,1485500
2016-01-22,27.08,27.91,27.94,27.0,27.12,1378700
2016-01-26,26.53,27.34,27.6,26.99,27.44,904600
2016-01-27,27.24,28.07,28.25,27.09,27.31,1919500
2016-01-28,26.13,26.93,28.27,26.82,28.27,1883300
2016-01-29,27.91,28.76,28.76,27.04,27.14,2594900
2016-02-01,27.88,28.73,28.73,27.85,28.3,1203300
2016-02-02,26.45,27.26,28.53,27.26,28.53,1135300
2016-02-03,26.6,27.41,27.87,26.86,27.44,1064600
