Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,3.85,3.85,3.99,3.85,3.99,8331
2015-09-04,3.85,3.85,3.99,3.85,3.99,117295
2015-09-08,4.25,4.25,5.0,4.0,4.5,136312
2015-09-09,4.0,4.0,4.25,3.75,4.0,20944
2015-09-10,4.0,4.0,4.25,3.75,4.0,41620
2015-09-11,4.0,4.0,4.25,3.75,4.0,30916
2015-09-14,4.0,4.0,4.0,3.75,4.0,10204
2015-09-15,3.75,3.75,4.0,3.75,4.0,16084
2015-09-16,3.75,3.75,4.0,3.75,4.0,6284
2015-09-17,3.75,3.75,4.0,3.75,4.0,15444
2015-09-18,4.0,4.0,4.0,3.75,3.75,98892
2015-09-21,3.75,3.75,4.0,3.75,4.0,15868
2015-09-22,4.0,4.0,4.0,3.75,3.75,18636
2015-09-23,3.75,3.75,4.0,3.75,4.0,23568
2015-09-24,3.75,3.75,4.0,3.5,4.0,82916
2015-09-25,3.5,3.5,3.75,3.25,3.75,43308
2015-09-28,3.5,3.5,3.5,3.5,3.5,1104
2015-09-29,3.5,3.5,3.75,3.5,3.75,17804
2015-09-30,3.75,3.75,3.75,3.5,3.5,20984
2015-10-01,3.75,3.75,3.75,3.5,3.5,9856
2015-10-02,3.25,3.25,3.75,3.0,3.5,367460
2015-10-05,3.5,3.5,3.5,3.0,3.5,84572
2015-10-06,3.75,3.75,4.0,3.5,3.75,233736
2015-10-07,4.0,4.0,4.0,3.75,4.0,42200
2015-10-08,4.0,4.0,4.25,3.75,4.0,27568
2015-10-09,4.75,4.75,5.0,4.25,4.25,130756
2015-10-13,4.5,4.5,5.0,4.25,4.75,45528
2015-10-14,4.25,4.25,4.5,4.25,4.5,45336
2015-10-15,4.5,4.5,4.5,4.0,4.25,7432
2015-10-16,4.25,4.25,4.25,4.0,4.25,6040
2015-10-19,4.0,4.0,4.25,3.75,4.0,28708
2015-10-20,4.0,4.0,4.25,3.75,4.25,11120
2015-10-21,4.0,4.0,4.25,4.0,4.0,10096
2015-10-22,4.0,4.0,4.5,4.0,4.0,19148
2015-10-23,4.25,4.25,4.5,4.0,4.25,80964
2015-10-26,4.75,4.75,5.0,4.25,4.25,63920
2015-10-27,4.25,4.25,4.75,4.0,4.75,90316
2015-10-28,4.25,4.25,4.5,4.25,4.25,300
2015-10-29,4.5,4.5,4.5,4.25,4.25,10252
2015-10-30,4.5,4.5,4.75,4.25,4.25,40148
2015-11-03,4.25,4.25,4.5,4.0,4.25,79588
2015-11-04,4.25,4.25,4.25,4.0,4.25,53856
2015-11-05,4.25,4.25,4.5,4.25,4.25,75324
2015-11-06,4.75,4.75,5.0,4.25,4.25,102132
2015-11-09,4.75,4.75,5.0,4.5,4.75,42572
2015-11-10,4.75,4.75,5.0,4.5,4.75,9128
2015-11-11,5.0,5.0,5.75,4.75,4.75,207756
2015-11-12,5.25,5.25,5.75,5.0,5.25,308556
2015-11-13,4.75,4.75,5.25,4.75,5.25,60648
2015-11-16,4.75,4.75,5.25,4.75,5.0,3073308
2015-11-17,4.5,4.5,5.0,4.5,4.75,145640
2015-11-18,4.5,4.5,4.75,4.25,4.5,40800
2015-11-19,4.25,4.25,4.5,4.25,4.5,4156
2015-11-23,4.25,4.25,4.5,4.25,4.5,40076
2015-11-24,4.25,4.25,4.5,4.25,4.5,8212
2015-11-25,4.25,4.25,4.5,4.25,4.25,4748
2015-11-26,4.25,4.25,4.5,4.0,4.25,19308
2015-11-27,3.5,3.5,4.0,3.5,4.0,321852
2015-11-30,3.75,3.75,3.75,3.5,3.75,26320
2015-12-01,3.5,3.5,3.75,3.5,3.75,24808
2015-12-02,3.75,3.75,3.75,3.5,3.75,3684
2015-12-03,3.75,3.75,3.75,3.5,3.75,29520
2015-12-04,3.5,3.5,3.75,3.5,3.5,26440
2015-12-07,3.5,3.5,3.75,3.25,3.5,35816
2015-12-08,3.25,3.25,3.5,3.25,3.5,31264
2015-12-09,3.5,3.5,3.5,3.25,3.5,5172
2015-12-10,3.25,3.25,3.5,3.25,3.5,11016
2015-12-11,3.25,3.25,3.5,3.25,3.25,10144
2015-12-14,3.25,3.25,3.25,3.25,3.25,3280
2015-12-15,3.25,3.25,3.5,3.25,3.25,13000
2015-12-16,3.25,3.25,3.5,3.25,3.5,2980
2015-12-17,3.25,3.25,3.5,3.25,3.25,7108
2015-12-18,3.75,3.75,3.75,3.25,3.5,142404
2015-12-21,3.5,3.5,4.25,3.5,3.75,82560
2015-12-22,3.5,3.5,3.75,3.5,3.75,6320
2015-12-23,3.5,3.5,3.75,3.5,3.5,34840
2015-12-28,3.25,3.25,3.5,3.25,3.5,15384
2015-12-29,3.25,3.25,3.5,3.25,3.5,5868
2015-12-30,3.5,3.5,3.5,3.25,3.5,7768
2016-01-04,3.25,3.25,3.5,3.25,3.5,4980
2016-01-05,3.25,3.25,3.5,3.25,3.25,3968
2016-01-06,3.5,3.5,3.5,3.25,3.25,3296
2016-01-07,3.5,3.5,3.5,3.0,3.25,48512
2016-01-08,3.5,3.5,3.5,3.25,3.25,5196
2016-01-11,3.25,3.25,3.25,3.0,3.25,14912
2016-01-12,3.25,3.25,3.25,3.0,3.25,10252
2016-01-13,3.25,3.25,3.25,3.0,3.25,42144
2016-01-14,3.0,3.0,3.25,2.75,3.0,34492
2016-01-15,3.0,3.0,3.0,2.75,3.0,9524
2016-01-18,3.5,3.5,3.75,3.0,3.0,247976
2016-01-19,3.0,3.0,3.5,3.0,3.5,42696
2016-01-20,3.0,3.0,3.25,2.75,3.0,34676
2016-01-21,3.25,3.25,3.25,3.0,3.0,508
