Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,8.93,12.96,12.96,12.96,12.96,0
2015-09-04,8.93,12.96,12.96,12.96,12.96,0
2015-09-08,8.93,12.96,12.96,12.96,12.96,0
2015-09-09,9.27,13.46,13.85,13.46,13.46,1905
2015-09-10,9.27,13.46,13.46,13.46,13.46,0
2015-09-11,9.27,13.46,13.46,13.46,13.46,0
2015-09-14,9.27,13.46,13.46,13.46,13.46,0
2015-09-15,9.27,13.46,13.46,13.46,13.46,0
2015-09-16,9.27,13.46,13.46,13.46,13.46,0
2015-09-17,9.27,13.46,13.46,13.46,13.46,0
2015-09-18,9.27,13.46,13.46,13.46,13.46,0
2015-09-21,9.27,13.46,13.46,13.46,13.46,0
2015-09-22,9.27,13.46,13.46,13.46,13.46,2006
2015-09-23,9.27,13.46,13.46,13.46,13.46,0
2015-09-24,9.27,13.46,13.46,13.46,13.46,0
2015-09-25,9.27,13.46,13.46,13.46,13.46,0
2015-09-28,9.27,13.46,13.46,13.46,13.46,0
2015-09-29,9.27,13.46,13.46,13.46,13.46,0
2015-09-30,9.45,13.71,13.71,13.71,13.71,601
2015-10-01,9.45,13.71,13.71,13.71,13.71,0
2015-10-02,9.27,13.46,13.96,13.46,13.96,39318
2015-10-05,9.27,13.46,13.46,13.46,13.46,5015
2015-10-06,9.38,13.61,13.96,13.61,13.96,40422
2015-10-07,9.38,13.61,13.61,13.61,13.61,6820
2015-10-08,9.38,13.61,13.61,13.61,13.61,14243
2015-10-09,9.38,13.61,13.61,13.61,13.61,0
2015-10-13,9.38,13.61,13.61,13.61,13.61,0
2015-10-14,9.38,13.61,13.61,13.61,13.61,0
2015-10-15,9.27,13.46,13.61,13.46,13.61,34303
2015-10-16,9.27,13.46,13.47,13.36,13.36,4012
2015-10-19,9.27,13.46,13.46,13.46,13.46,0
2015-10-20,9.24,13.41,13.61,13.41,13.61,12337
2015-10-21,9.34,13.56,13.56,13.46,13.46,30692
2015-10-22,9.24,13.41,13.56,13.41,13.46,3109
2015-10-23,9.24,13.41,13.41,13.41,13.41,0
2015-10-26,9.24,13.41,13.41,13.41,13.41,0
2015-10-27,9.41,13.66,13.66,13.48,13.48,65096
2015-10-28,9.41,13.66,13.66,13.66,13.66,0
2015-10-29,9.41,13.66,13.66,13.66,13.66,0
2015-10-30,9.41,13.66,13.66,13.66,13.66,0
2015-11-03,9.41,13.66,13.66,13.66,13.66,0
2015-11-04,9.41,13.66,13.66,13.66,13.66,0
2015-11-05,9.41,13.66,13.66,13.66,13.66,0
2015-11-06,9.41,13.66,13.66,13.66,13.66,0
2015-11-09,9.31,13.51,13.51,13.51,13.51,501
2015-11-10,9.31,13.51,13.51,13.51,13.51,0
2015-11-11,9.31,13.51,13.51,13.51,13.51,0
2015-11-12,9.31,13.51,13.51,13.51,13.51,0
2015-11-13,9.31,13.51,13.51,13.51,13.51,0
2015-11-16,9.31,13.51,13.51,13.51,13.51,0
2015-11-17,9.31,13.51,13.51,13.51,13.51,0
2015-11-18,9.62,13.96,13.96,13.56,13.56,2106
2015-11-19,9.27,13.46,13.46,13.46,13.46,5316
2015-11-23,9.27,13.46,13.46,13.46,13.46,0
2015-11-24,9.45,13.71,13.71,13.71,13.71,802
2015-11-25,9.48,13.76,13.76,13.76,13.76,1003
2015-11-26,9.48,13.76,13.76,13.76,13.76,1103
2015-11-27,9.27,13.46,13.47,13.46,13.47,7021
2015-11-30,9.27,13.46,13.46,13.46,13.46,100
2015-12-01,9.27,13.46,13.71,13.46,13.71,25075
2015-12-02,9.27,13.46,13.46,13.46,13.46,12437
2015-12-03,9.48,13.76,13.76,13.76,13.76,21063
2015-12-04,9.48,13.76,13.76,13.76,13.76,0
2015-12-07,9.48,13.76,13.76,13.76,13.76,0
2015-12-08,9.34,13.56,13.56,13.56,13.56,2908
2015-12-09,9.34,13.56,13.56,13.56,13.56,0
2015-12-10,9.45,13.71,13.76,13.71,13.76,1203
2015-12-11,9.45,13.71,13.71,13.71,13.71,0
2015-12-14,9.45,13.71,13.71,13.71,13.71,0
2015-12-15,9.45,13.71,13.71,13.71,13.71,0
2015-12-16,9.45,13.71,13.71,13.71,13.71,0
2015-12-17,9.45,13.71,13.71,13.71,13.71,0
2015-12-18,9.45,13.71,13.71,13.71,13.71,200
2015-12-21,9.45,13.72,13.72,13.71,13.71,1604
2015-12-22,9.48,13.76,13.76,13.76,13.76,200
2015-12-23,9.27,13.46,13.71,13.46,13.71,8726
2015-12-28,9.48,13.76,13.76,13.76,13.76,100
2015-12-29,9.62,13.96,13.96,13.96,13.96,2407
2015-12-30,9.62,13.96,13.96,13.96,13.96,0
2016-01-04,9.62,13.96,13.96,13.96,13.96,0
2016-01-05,9.62,13.96,13.96,13.96,13.96,0
2016-01-06,9.62,13.96,13.96,13.96,13.96,0
2016-01-07,9.62,13.96,13.96,13.96,13.96,0
2016-01-08,9.62,13.96,13.96,13.96,13.96,0
2016-01-11,9.27,13.46,13.46,13.46,13.46,100
2016-01-12,9.27,13.46,13.46,13.46,13.46,0
2016-01-13,9.27,13.46,13.46,13.46,13.46,0
2016-01-14,8.99,13.05,13.05,13.05,13.05,75929
2016-01-15,8.99,13.05,13.05,13.05,13.05,0
2016-01-18,9.0,13.06,13.06,13.06,13.06,6018
2016-01-19,9.0,13.06,13.06,13.06,13.06,0
2016-01-20,9.36,13.59,13.59,12.96,12.96,2106
2016-01-21,9.27,13.46,13.46,13.46,13.46,2106
2016-01-22,9.27,13.46,13.46,13.46,13.46,0
2016-01-26,9.27,13.46,13.46,13.46,13.46,100
2016-01-27,9.27,13.46,13.46,13.46,13.46,3109
2016-01-28,8.93,12.96,13.46,12.96,13.46,3811
2016-01-29,9.36,13.59,13.59,13.59,13.59,2306
2016-02-01,9.48,13.76,13.96,13.76,13.96,4112
