Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.58,6.74,6.89,6.63,6.64,13168060
2015-09-04,5.41,6.53,6.72,6.49,6.62,39411072
2015-09-08,5.38,6.49,6.67,6.44,6.67,8382906
2015-09-09,5.4,6.51,6.64,6.45,6.6,7420268
2015-09-10,5.3,6.4,6.55,6.3,6.3,9400108
2015-09-11,5.52,6.66,6.67,6.34,6.34,8613178
2015-09-14,5.7,6.88,6.93,6.65,6.78,8049512
2015-09-15,5.68,6.86,6.98,6.64,6.91,7311640
2015-09-16,5.86,7.07,7.1,6.86,6.86,8144624
2015-09-17,5.88,7.09,7.21,6.92,6.94,10656592
2015-09-18,5.68,6.86,7.09,6.77,6.98,25059112
2015-09-21,5.62,6.79,6.92,6.76,6.76,5871438
2015-09-22,5.7,6.89,6.93,6.62,6.62,21745696
2015-09-23,5.66,6.83,6.99,6.76,6.88,13477426
2015-09-24,5.63,6.79,6.87,6.61,6.63,27823879
2015-09-25,5.55,6.7,6.91,6.7,6.87,6420086
2015-09-28,5.51,6.65,6.81,6.64,6.73,5535040
2015-09-29,5.61,6.78,6.86,6.65,6.65,5925001
2015-09-30,5.6,6.76,6.97,6.75,6.95,10298669
2015-10-01,5.56,6.71,6.9,6.61,6.83,5501501
2015-10-02,5.7,6.89,6.95,6.65,6.65,7485846
2015-10-05,5.64,6.8,7.02,6.8,6.99,7300126
2015-10-06,5.63,6.79,6.94,6.74,6.8,6457130
2015-10-07,5.71,6.89,6.96,6.81,6.93,6546736
2015-10-08,5.68,6.86,6.96,6.84,6.89,8859969
2015-10-09,5.72,6.91,6.98,6.84,6.94,6173294
2015-10-13,5.71,6.89,7.08,6.84,6.9,5119049
2015-10-14,5.65,6.82,6.99,6.74,6.85,8601664
2015-10-15,5.73,6.91,7.0,6.79,6.82,6243878
2015-10-16,5.69,6.87,6.98,6.82,6.91,5937516
2015-10-19,5.81,7.02,7.02,6.82,6.87,7246062
2015-10-20,5.78,6.97,7.08,6.84,7.01,5270728
2015-10-21,5.57,6.72,7.02,6.7,6.97,14935148
2015-10-22,5.66,6.84,6.93,6.75,6.78,5763811
2015-10-23,5.66,6.83,6.97,6.83,6.84,4567897
2015-10-26,5.74,6.93,7.01,6.76,6.79,6171292
2015-10-27,5.82,7.03,7.14,6.9,6.9,6697914
2015-10-28,5.89,7.11,7.12,7.08,7.09,496586
2015-10-29,5.74,6.93,6.99,6.84,6.85,4507326
2015-10-30,5.69,6.87,7.01,6.87,6.9,7186492
2015-11-03,5.79,6.98,7.11,6.87,6.87,6737962
2015-11-04,5.95,7.18,7.3,7.05,7.05,16059978
2015-11-05,6.0,7.24,7.3,7.18,7.19,10197049
2015-11-06,6.02,7.26,7.41,7.17,7.2,8590150
2015-11-09,5.94,7.18,7.3,7.11,7.29,6034631
2015-11-10,6.07,7.32,7.36,7.11,7.17,10754208
2015-11-11,6.1,7.36,7.49,7.36,7.38,4946845
2015-11-12,6.16,7.43,7.57,7.29,7.36,5412896
2015-11-13,6.21,7.5,7.59,7.37,7.37,8075542
2015-11-16,6.19,7.48,7.53,7.46,7.46,4628469
2015-11-17,6.13,7.4,7.57,7.38,7.57,5242194
2015-11-18,6.14,7.41,7.57,7.35,7.45,2936970
2015-11-19,6.12,7.39,7.52,7.32,7.48,8346362
2015-11-23,6.11,7.38,7.57,7.38,7.45,5212159
2015-11-24,6.18,7.46,7.47,7.32,7.34,3657321
2015-11-25,6.02,7.27,7.39,7.17,7.33,12522297
2015-11-26,6.03,7.28,7.35,7.2,7.32,3524665
2015-11-27,5.76,6.96,7.28,6.95,7.28,17588784
2015-11-30,5.81,7.01,7.14,6.91,6.91,16338306
2015-12-01,5.68,6.86,7.05,6.85,6.99,10252615
2015-12-02,5.64,6.81,7.04,6.75,6.85,24471417
2015-12-03,5.82,7.02,7.11,6.87,6.95,8457994
2015-12-04,5.78,6.98,7.05,6.84,6.97,7745152
2015-12-07,5.85,7.06,7.17,6.98,7.01,4240511
2015-12-08,5.86,7.07,7.15,6.93,7.06,5580094
2015-12-09,6.01,7.25,7.38,7.1,7.14,12951805
2015-12-10,5.92,7.14,7.28,7.0,7.28,4108855
2015-12-11,5.93,7.16,7.34,7.07,7.09,4708063
2015-12-14,5.81,7.01,7.19,6.94,7.13,5161098
2015-12-15,5.8,7.0,7.21,6.99,7.0,3279375
2015-12-16,5.79,6.99,7.06,6.87,6.95,8030489
2015-12-17,5.8,7.0,7.24,7.0,7.04,4055792
2015-12-18,5.74,6.93,6.99,6.8,6.95,12817646
2015-12-21,5.78,6.97,7.0,6.8,6.9,8061025
2015-12-22,5.72,6.91,7.01,6.88,7.01,5911986
2015-12-23,5.85,7.06,7.09,6.91,6.97,4664011
2015-12-28,5.83,6.96,7.2,6.96,7.05,3167242
2015-12-29,5.79,6.92,7.04,6.9,6.96,4660006
2015-12-30,5.72,6.84,6.97,6.76,6.92,8706788
2016-01-04,5.52,6.59,6.82,6.56,6.77,10547463
2016-01-05,5.78,6.91,6.91,6.58,6.58,7537406
2016-01-06,5.82,6.95,7.04,6.8,6.8,6275415
2016-01-07,5.66,6.76,6.96,6.69,6.86,8771365
2016-01-08,5.73,6.85,6.93,6.78,6.83,6257894
2016-01-11,5.72,6.84,6.98,6.83,6.83,8195684
2016-01-12,5.76,6.89,7.0,6.8,6.83,9932236
2016-01-13,5.78,6.91,6.98,6.83,6.92,4975880
2016-01-14,5.66,6.76,6.97,6.74,6.9,5256211
2016-01-15,5.56,6.64,6.76,6.63,6.63,7173977
2016-01-18,5.56,6.64,6.8,6.61,6.61,6158777
2016-01-19,5.56,6.64,6.85,6.63,6.78,3684353
2016-01-20,5.54,6.62,6.78,6.52,6.61,5635659
2016-01-21,5.65,6.75,6.79,6.59,6.61,5193637
2016-01-22,5.72,6.83,6.95,6.78,6.78,6466641
2016-01-26,5.67,6.78,6.87,6.65,6.81,5591107
2016-01-27,5.74,6.86,6.98,6.79,6.81,6568762
2016-01-28,5.79,6.92,6.97,6.75,6.89,4841220
2016-01-29,6.05,7.23,7.32,6.96,6.96,9223899
2016-02-01,6.08,7.26,7.36,7.1,7.18,5660188
2016-02-02,5.96,7.12,7.3,7.06,7.23,4814689
2016-02-03,6.0,7.17,7.25,7.02,7.17,6693409
2016-02-04,6.09,7.28,7.31,7.17,7.22,6925684
2016-02-05,6.09,7.27,7.37,7.24,7.3,3822016
2016-02-10,6.03,7.21,7.36,7.21,7.3,3402520
2016-02-11,5.99,7.16,7.29,7.11,7.16,6536223
2016-02-12,5.99,7.16,7.26,7.11,7.21,5962545
2016-02-15,6.03,7.21,7.26,7.15,7.2,3600755
2016-02-16,6.04,7.22,7.26,7.11,7.18,3908618
2016-02-17,6.13,7.33,7.47,7.22,7.27,7006779
2016-02-18,6.17,7.37,7.47,7.26,7.29,4775142
2016-02-19,6.18,7.38,7.46,7.27,7.27,4637480
2016-02-22,6.23,7.45,7.72,7.44,7.48,6545735
2016-02-23,6.2,7.41,7.51,7.27,7.46,8007462
2016-02-24,6.23,7.45,7.47,7.31,7.38,3726403
2016-02-25,6.35,7.59,7.6,7.39,7.41,7145944
2016-02-26,6.36,7.6,7.73,7.48,7.62,5123554
2016-02-29,6.4,7.65,7.73,7.58,7.71,7030808
2016-03-01,6.35,7.59,7.72,7.47,7.7,6741466
2016-03-02,6.36,7.6,7.62,7.46,7.6,5465959
2016-03-03,6.56,7.84,7.99,7.58,7.65,9238417
2016-03-04,6.62,7.91,8.14,7.87,7.87,13260169
2016-03-07,6.57,7.86,8.01,7.78,8.01,6319467
2016-03-08,6.65,7.95,7.96,7.83,7.87,8843950
2016-03-09,6.66,7.96,8.08,7.9,8.01,4037270
2016-03-10,6.77,8.09,8.2,7.96,8.01,5201146
2016-03-11,6.79,8.11,8.14,7.99,8.13,13512467
2016-03-14,6.54,7.81,8.15,7.69,8.05,10240100
2016-03-15,6.52,7.79,7.81,7.66,7.79,3590743
2016-03-16,6.57,7.85,7.88,7.64,7.74,6708927
2016-03-17,6.66,7.96,8.15,7.94,8.09,8420951
2016-03-18,6.75,8.07,8.12,7.98,8.03,8953580
2016-03-21,6.76,8.07,8.16,8.05,8.11,4669517
2016-03-22,6.82,8.16,8.23,8.07,8.13,4894784
2016-03-23,6.8,8.13,8.17,8.07,8.12,4705059
2016-03-24,6.76,8.07,8.14,7.95,8.04,3091152
2016-03-28,6.85,8.18,8.26,8.12,8.16,3378492
2016-03-29,6.79,8.11,8.3,8.11,8.17,7707608
2016-03-30,6.88,8.22,8.29,8.14,8.16,3579730
2016-03-31,6.86,8.2,8.2,8.2,8.2,9010
2016-04-01,6.77,8.09,8.24,8.06,8.08,5730271
2016-04-04,6.56,7.84,7.84,7.84,7.84,5005
2016-04-05,6.54,7.82,7.82,7.82,7.82,6007
2016-04-06,6.49,7.76,7.76,7.76,7.76,7508
2016-04-07,6.58,7.86,7.86,7.86,7.86,25029
2016-04-08,6.65,7.95,8.07,7.92,7.92,4862746
2016-04-11,6.6,7.89,7.89,7.89,7.89,1001
2016-04-12,6.77,8.09,8.09,8.09,8.09,5005
2016-04-13,6.7,8.0,8.0,8.0,8.0,24028
2016-04-14,6.72,8.03,8.19,7.95,8.15,5948529
2016-04-15,6.73,8.05,8.2,7.94,7.94,6905159
2016-04-18,6.87,8.08,8.18,7.89,7.96,4844224
2016-04-19,7.12,8.37,8.37,8.37,8.37,500
2016-04-20,7.08,8.33,8.37,8.18,8.31,4924319
2016-04-22,7.08,8.33,8.34,8.2,8.29,4718575
2016-04-25,7.01,8.24,8.43,8.17,8.35,4279056
2016-04-26,7.05,8.29,8.37,8.26,8.28,4596932
2016-04-27,7.2,8.46,8.5,8.27,8.33,4685536
2016-04-28,7.25,8.52,8.55,8.42,8.42,3788476
2016-04-29,7.23,8.5,8.54,8.38,8.47,5778828
2016-05-02,7.21,8.47,8.52,8.38,8.46,2808318
2016-05-03,7.2,8.47,8.59,8.36,8.38,4966368
2016-05-04,7.26,8.54,8.54,8.37,8.48,3378992
2016-05-05,7.21,8.48,8.6,8.48,8.54,2962000
2016-05-06,7.31,8.6,8.63,8.45,8.45,4000727
2016-05-09,7.47,8.79,8.81,8.54,8.54,14691360
2016-05-10,7.58,8.91,8.93,8.67,8.87,5469463
2016-05-11,7.61,8.95,9.09,8.9,9.03,8468006
2016-05-12,7.72,9.08,9.32,8.93,8.94,8648720
2016-05-13,7.56,8.89,9.06,8.74,8.87,12124827
2016-05-16,7.69,9.05,9.18,8.84,8.85,6708427
2016-05-17,7.58,8.91,9.14,8.87,9.03,5576589
2016-05-18,7.58,8.91,9.0,8.82,8.91,4825201
2016-05-19,7.7,9.06,9.12,8.85,8.87,5848411
2016-05-20,7.76,9.13,9.23,9.08,9.13,4549876
2016-05-23,7.74,9.1,9.17,8.97,9.04,4861745
2016-05-24,7.68,9.03,9.29,8.97,9.14,5390369
2016-05-25,7.7,9.05,9.19,9.0,9.04,4259032
2016-05-27,7.7,9.06,9.3,9.01,9.07,3509647
2016-05-30,7.72,9.08,9.2,9.03,9.03,2759260
2016-05-31,7.75,9.11,9.2,9.02,9.05,12814142
2016-06-01,7.75,9.11,9.28,9.08,9.14,3803995
2016-06-02,7.8,9.17,9.25,9.09,9.15,5720760
2016-06-03,7.9,9.29,9.36,9.15,9.21,3361472
2016-06-06,7.87,9.26,9.39,9.15,9.27,6206334
2016-06-07,7.9,9.29,9.43,9.2,9.32,4350140
2016-06-08,7.92,9.32,9.42,9.3,9.34,6896649
2016-06-09,7.98,9.38,9.42,9.25,9.32,4002730
2016-06-10,7.85,9.24,9.39,9.24,9.35,3781468
2016-06-13,7.95,9.34,9.37,9.14,9.16,2709702
2016-06-14,7.84,9.22,9.45,9.08,9.34,5303266
2016-06-15,7.84,9.22,9.34,9.13,9.17,4426731
2016-06-16,8.06,9.47,9.53,9.16,9.21,4183443
2016-06-17,8.07,9.49,9.54,9.44,9.48,7229543
2016-06-20,8.17,9.6,9.69,9.52,9.55,4696049
2016-06-21,8.03,9.44,9.67,9.33,9.61,5642667
2016-06-22,8.06,9.48,9.61,9.31,9.43,9264948
2016-06-23,8.07,9.49,9.6,9.45,9.51,5807362
2016-06-24,7.92,9.31,9.43,9.21,9.3,4812687
2016-06-27,7.78,9.15,9.35,9.08,9.28,6578774
2016-06-28,8.0,9.41,9.49,9.23,9.26,10051377
2016-06-29,8.15,9.59,9.67,9.48,9.48,5530535
2016-06-30,8.26,9.72,9.91,9.54,9.54,8077545
2016-07-01,8.29,9.75,9.84,9.64,9.77,5555064
2016-07-04,8.27,9.73,9.97,9.66,9.75,4731090
2016-07-05,8.41,9.88,9.94,9.62,9.67,6400563
2016-07-06,8.34,9.8,9.93,9.68,9.91,5410894
2016-07-07,8.44,9.93,9.94,9.71,9.83,5963547
2016-07-08,8.43,9.91,10.04,9.89,9.93,7514379
2016-07-11,8.43,9.92,10.04,9.87,9.93,5171611
2016-07-12,8.48,9.97,10.09,9.93,10.03,5356830
2016-07-13,8.52,10.02,10.12,9.92,9.92,8125101
2016-07-14,8.43,9.92,10.12,9.78,10.09,6893145
2016-07-15,8.34,9.81,9.93,9.76,9.87,6492672
2016-07-18,8.56,10.07,10.23,9.75,9.86,16931007
2016-07-19,8.67,10.19,10.24,10.01,10.01,9042685
2016-07-20,8.45,9.93,10.26,9.93,10.22,6467142
2016-07-21,8.39,9.87,10.05,9.85,9.94,4964866
2016-07-22,8.68,10.21,10.24,9.87,9.87,8341857
2016-07-25,9.04,10.63,10.68,10.21,10.23,8465003
2016-07-26,9.19,10.81,10.85,10.57,10.66,6791525
2016-07-27,9.11,10.72,10.9,10.64,10.78,5786337
2016-07-28,9.33,10.98,10.98,10.66,10.66,8132109
2016-07-29,9.43,11.09,11.17,10.88,10.95,5347819
2016-08-01,9.24,10.87,11.12,10.82,11.1,5022935
2016-08-02,9.15,10.76,10.91,10.67,10.86,6626830
2016-08-03,9.11,10.71,10.84,10.62,10.68,3114180
2016-08-04,9.36,11.0,11.0,10.64,10.75,4192454
2016-08-05,9.32,10.96,11.04,10.89,11.02,4134886
2016-08-08,9.17,10.79,11.04,10.73,10.91,2496450
2016-08-09,9.04,10.64,10.87,10.61,10.85,3840538
2016-08-10,9.0,10.59,10.8,10.56,10.7,3355965
2016-08-11,9.04,10.63,10.69,10.55,10.56,4938836
2016-08-12,8.88,10.45,10.75,10.36,10.68,2730726
2016-08-15,8.88,10.44,10.51,10.3,10.45,4569399
2016-08-16,8.78,10.33,10.5,10.18,10.34,5533038
2016-08-17,8.86,10.42,10.43,10.13,10.25,5281240
2016-08-18,8.81,10.36,10.45,10.19,10.42,6022616
2016-08-19,8.81,10.36,10.41,10.18,10.27,7094383
2016-08-22,8.58,10.09,10.38,10.06,10.29,4299080
2016-08-23,8.66,10.19,10.33,10.1,10.11,3309410
2016-08-24,8.56,10.07,10.2,10.02,10.07,2630608
2016-08-25,8.7,10.23,10.27,10.07,10.07,2678164
2016-08-26,8.57,10.08,10.53,9.93,10.27,7333165
2016-08-29,8.77,10.31,10.44,10.1,10.1,5795848
2016-08-30,8.74,10.28,10.28,10.13,10.25,3164239
2016-08-31,8.59,10.1,10.33,9.91,10.24,9977290
2016-09-01,8.74,10.28,10.28,10.01,10.14,5438426
2016-09-02,8.77,10.31,10.41,10.23,10.26,6930189
2016-09-05,8.73,10.27,10.39,10.2,10.35,1501274
2016-09-06,8.86,10.42,10.42,10.17,10.36,3254846
2016-09-08,8.83,10.38,10.44,10.29,10.43,5112541
2016-09-09,8.53,10.03,10.34,9.95,10.29,6534722
2016-09-12,8.61,10.13,10.2,9.91,9.95,3640802
2016-09-13,8.45,9.94,10.06,9.9,10.02,8700781
2016-09-14,8.41,9.89,10.03,9.87,9.9,4291070
2016-09-15,8.56,10.07,10.13,9.88,9.88,3616273
2016-09-16,8.43,9.91,10.08,9.9,10.07,3659824
