Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.07,7.8,7.96,7.69,7.87,667028
2015-09-04,4.84,7.44,7.82,7.44,7.81,621217
2015-09-08,5.0,7.69,7.72,7.4,7.4,908601
2015-09-09,5.04,7.75,7.9,7.63,7.86,737867
2015-09-10,5.29,8.13,8.13,7.51,7.62,1452405
2015-09-11,5.1,7.84,8.09,7.83,8.02,209122
2015-09-14,5.16,7.94,7.96,7.79,7.88,307957
2015-09-15,5.18,7.97,7.97,7.65,7.91,358859
2015-09-16,5.27,8.11,8.31,7.93,8.09,465329
2015-09-17,5.21,8.02,8.12,8.02,8.09,417396
2015-09-18,5.15,7.92,8.0,7.87,7.96,905632
2015-09-21,5.03,7.73,8.0,7.73,7.88,520049
2015-09-22,4.98,7.66,7.76,7.53,7.68,641153
2015-09-23,4.97,7.64,7.72,7.57,7.62,712840
2015-09-24,4.99,7.67,7.78,7.43,7.59,474449
2015-09-25,4.92,7.57,7.81,7.46,7.46,259176
2015-09-28,4.86,7.47,7.61,7.41,7.59,368403
2015-09-29,4.9,7.53,7.58,7.33,7.45,322167
2015-09-30,4.98,7.66,7.78,7.54,7.59,378796
2015-10-01,5.0,7.69,7.74,7.59,7.68,194912
2015-10-02,5.12,7.87,7.94,7.6,7.69,869788
2015-10-05,5.02,7.72,7.94,7.54,7.87,793859
2015-10-06,4.94,7.59,7.74,7.47,7.74,1015283
2015-10-07,5.0,7.69,7.9,7.55,7.64,635215
2015-10-08,5.12,7.87,7.87,7.61,7.72,552287
2015-10-09,4.98,7.66,7.94,7.66,7.79,1310515
2015-10-13,4.96,7.63,7.74,7.55,7.56,316228
2015-10-14,4.93,7.59,7.7,7.48,7.7,343376
2015-10-15,4.93,7.58,7.62,7.39,7.52,483993
2015-10-16,4.87,7.5,7.62,7.39,7.52,1408714
2015-10-19,4.96,7.63,7.64,7.45,7.54,258539
2015-10-20,5.06,7.78,7.78,7.54,7.59,377523
2015-10-21,4.9,7.54,7.84,7.54,7.76,896300
2015-10-22,5.08,7.81,7.81,7.49,7.5,555680
2015-10-23,4.91,7.56,7.88,7.56,7.74,462148
2015-10-26,5.03,7.73,7.73,7.53,7.55,394490
2015-10-27,4.95,7.61,7.78,7.61,7.62,279749
2015-10-28,4.96,7.62,7.74,7.6,7.6,53659
2015-10-29,4.89,7.52,7.79,7.52,7.54,377311
2015-10-30,5.02,7.73,7.79,7.54,7.59,710719
2015-11-03,5.06,7.78,7.87,7.71,7.71,367555
2015-11-04,5.21,8.01,8.01,7.77,7.81,321107
2015-11-05,5.04,7.76,8.05,7.76,8.02,414215
2015-11-06,5.02,7.72,7.9,7.61,7.61,216757
2015-11-09,5.05,7.77,7.78,7.64,7.65,197033
2015-11-10,4.94,7.6,7.76,7.56,7.74,366706
2015-11-11,4.97,7.64,7.68,7.53,7.54,293323
2015-11-12,4.98,7.66,7.66,7.55,7.63,222060
2015-11-13,4.9,7.54,7.64,7.51,7.59,326409
2015-11-16,4.91,7.55,7.65,7.55,7.56,196609
2015-11-17,4.95,7.61,7.61,7.34,7.53,418245
2015-11-18,4.88,7.51,7.7,7.5,7.7,995771
2015-11-19,5.0,7.69,7.69,7.5,7.54,188549
2015-11-23,4.97,7.65,7.69,7.49,7.61,344861
2015-11-24,4.9,7.54,7.66,7.47,7.6,310078
