Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,3.01,4.71,4.96,4.6,4.81,13698216
2015-09-04,3.08,4.82,4.85,4.57,4.62,10352916
2015-09-08,3.18,4.98,5.05,4.84,4.93,12480678
2015-09-09,3.16,4.95,5.22,4.93,5.21,10904796
2015-09-10,3.41,5.33,5.33,4.71,4.71,17138772
2015-09-11,3.39,5.3,5.5,5.17,5.34,11959164
2015-09-14,3.19,5.0,5.43,4.85,5.32,12702060
2015-09-15,3.24,5.06,5.19,4.76,4.98,11135502
2015-09-16,3.29,5.14,5.23,5.06,5.13,9894780
2015-09-17,3.28,5.13,5.26,5.02,5.08,11464740
2015-09-18,3.24,5.07,5.22,4.85,5.1,19230750
2015-09-21,3.15,4.94,5.13,4.94,5.04,8929368
2015-09-22,3.1,4.86,4.94,4.78,4.82,10815588
2015-09-23,2.99,4.68,4.9,4.65,4.84,14235858
2015-09-24,3.09,4.84,4.99,4.44,4.5,13764240
2015-09-25,3.1,4.85,5.02,4.75,4.94,8511300
2015-09-28,2.98,4.67,4.86,4.66,4.77,5909400
2015-09-29,2.88,4.51,4.81,4.49,4.65,12374082
2015-09-30,2.77,4.34,4.66,4.18,4.64,29410794
2015-10-01,2.76,4.33,4.47,4.21,4.4,16823016
2015-10-02,2.87,4.49,4.53,4.21,4.25,10966662
2015-10-05,3.02,4.73,4.75,4.48,4.54,8972334
2015-10-06,3.05,4.77,4.88,4.67,4.72,8181936
2015-10-07,3.26,5.1,5.19,4.9,4.9,14764932
2015-10-08,3.38,5.29,5.38,5.05,5.15,10611090
2015-10-09,3.4,5.33,5.46,5.33,5.34,10004148
2015-10-13,3.19,5.0,5.21,4.94,5.17,10969434
2015-10-14,3.2,5.01,5.14,4.94,4.97,15676794
2015-10-15,3.24,5.07,5.17,4.89,5.08,8038170
2015-10-16,3.14,4.92,5.15,4.92,5.1,8941338
2015-10-19,3.1,4.85,4.98,4.77,4.97,10374336
2015-10-20,3.08,4.82,4.92,4.76,4.85,7585704
2015-10-21,3.16,4.94,5.05,4.81,4.81,9360540
2015-10-22,3.05,4.77,5.03,4.77,4.95,13143564
2015-10-23,2.92,4.57,4.91,4.57,4.86,13777596
2015-10-26,2.9,4.53,4.67,4.49,4.63,4872672
2015-10-27,2.86,4.48,4.6,4.47,4.56,7825734
2015-10-28,2.86,4.48,4.49,4.46,4.48,624834
2015-10-29,2.75,4.31,4.69,4.31,4.4,19152630
2015-10-30,2.75,4.31,4.44,4.25,4.31,7868070
2015-11-03,2.98,4.67,4.76,4.38,4.38,15391278
2015-11-04,2.88,4.51,4.81,4.49,4.73,13293504
2015-11-05,2.94,4.6,4.67,4.45,4.49,7165116
2015-11-06,2.87,4.49,4.61,4.4,4.6,12031236
2015-11-09,2.82,4.41,4.56,4.41,4.46,8458380
2015-11-10,2.84,4.4,4.44,4.34,4.4,6654942
2015-11-11,2.84,4.41,4.56,4.4,4.48,9480114
2015-11-12,2.67,4.15,4.46,4.14,4.46,19561626
2015-11-13,2.67,4.15,4.27,4.06,4.11,16045596
2015-11-16,2.57,4.0,4.25,4.0,4.17,12295458
2015-11-17,2.69,4.18,4.24,3.81,4.05,26502084
2015-11-18,2.73,4.25,4.62,4.22,4.33,33165090
2015-11-19,2.98,4.63,4.64,4.3,4.35,25019820
2015-11-23,2.94,4.56,4.78,4.52,4.65,18702054
2015-11-24,3.13,4.87,4.9,4.5,4.55,16110612
2015-11-25,3.19,4.96,5.12,4.76,4.8,15778098
2015-11-26,3.12,4.84,5.12,4.83,4.98,7750008
2015-11-27,3.08,4.79,4.91,4.72,4.8,11984112
2015-11-30,3.12,4.84,4.94,4.69,4.76,17342514
2015-12-01,3.02,4.7,4.95,4.7,4.89,13619466
2015-12-02,3.02,4.7,4.79,4.5,4.76,19393290
2015-12-03,3.08,4.78,4.93,4.67,4.9,10836630
2015-12-04,2.78,4.32,4.76,4.3,4.75,18490500
2015-12-07,2.71,4.21,4.46,4.14,4.36,9606114
2015-12-08,2.55,3.96,4.21,3.95,4.21,9876888
2015-12-09,2.52,3.92,4.15,3.92,4.06,12160512
2015-12-10,2.55,3.97,4.02,3.86,3.92,9317070
2015-12-11,2.5,3.88,3.99,3.83,3.94,9268686
2015-12-14,2.47,3.84,3.9,3.73,3.88,7458066
2015-12-15,2.5,3.89,3.98,3.86,3.88,6567624
2015-12-16,2.49,3.87,3.94,3.82,3.87,7048692
2015-12-17,2.48,3.85,4.02,3.85,3.92,7861014
2015-12-18,2.52,3.91,3.91,3.76,3.77,12009312
2015-12-21,2.38,3.69,4.06,3.69,3.94,14004900
2015-12-22,2.41,3.75,3.83,3.7,3.74,9878652
2015-12-23,2.47,3.83,3.9,3.81,3.87,6707484
2015-12-28,2.43,3.78,3.9,3.73,3.83,4772250
2015-12-29,2.37,3.68,3.82,3.68,3.79,5000688
2015-12-30,2.38,3.69,3.78,3.65,3.67,6534360
2016-01-04,2.32,3.6,3.71,3.58,3.65,6373836
