Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,1.98,3.54,3.7,3.39,3.61,12095300
2015-09-04,1.98,3.54,3.54,3.38,3.51,5312700
2015-09-08,2.07,3.7,3.74,3.61,3.74,6112500
2015-09-09,2.05,3.67,3.87,3.66,3.82,6677500
2015-09-10,2.16,3.87,3.87,3.45,3.5,7835700
2015-09-11,2.16,3.86,4.05,3.84,3.88,6840000
2015-09-14,2.02,3.62,3.96,3.53,3.9,5351500
2015-09-15,2.04,3.64,3.72,3.48,3.56,5164800
2015-09-16,2.09,3.73,3.78,3.65,3.72,3918000
2015-09-17,2.07,3.71,3.81,3.66,3.74,5773500
2015-09-18,2.07,3.7,3.74,3.47,3.7,11757800
2015-09-21,2.02,3.62,3.75,3.62,3.68,3488700
2015-09-22,1.96,3.51,3.59,3.42,3.55,3301200
2015-09-23,1.88,3.37,3.54,3.35,3.53,5372900
2015-09-24,1.9,3.4,3.53,3.15,3.32,5296300
2015-09-25,1.86,3.32,3.51,3.24,3.49,4385500
2015-09-28,1.78,3.18,3.34,3.17,3.33,1868200
2015-09-29,1.73,3.09,3.27,3.09,3.17,3233600
2015-09-30,1.63,2.92,3.22,2.92,3.17,7799000
2015-10-01,1.57,2.81,3.04,2.81,2.88,5696100
2015-10-02,1.68,3.01,3.05,2.71,2.82,5647000
2015-10-05,1.76,3.14,3.19,3.02,3.06,3648200
2015-10-06,1.8,3.21,3.29,3.13,3.16,3143600
2015-10-07,1.89,3.38,3.48,3.28,3.28,7410600
2015-10-08,1.95,3.48,3.51,3.24,3.43,7613500
2015-10-09,1.87,3.35,3.61,3.34,3.54,7657200
2015-10-13,1.71,3.06,3.26,3.06,3.26,5518200
2015-10-14,1.69,3.02,3.11,2.97,3.05,6287900
2015-10-15,1.69,3.02,3.1,2.9,3.08,5356900
2015-10-16,1.7,3.04,3.1,2.98,3.04,3013900
2015-10-19,1.65,2.95,3.1,2.94,3.05,5110700
2015-10-20,1.64,2.94,3.02,2.91,2.95,3082300
2015-10-21,1.63,2.92,3.05,2.92,2.96,4426400
2015-10-22,1.62,2.9,3.0,2.9,2.95,3628900
2015-10-23,1.58,2.82,2.99,2.81,2.98,5249100
2015-10-26,1.55,2.78,2.87,2.77,2.84,3384400
2015-10-27,1.49,2.66,2.8,2.66,2.8,5714600
2015-10-28,1.45,2.59,2.61,2.58,2.58,728000
2015-10-29,1.4,2.51,2.72,2.47,2.48,7248200
2015-10-30,1.45,2.6,2.6,2.5,2.56,4143700
2015-11-03,1.57,2.81,2.86,2.56,2.66,4871300
2015-11-04,1.52,2.71,2.98,2.69,2.85,5681900
2015-11-05,1.52,2.71,2.76,2.65,2.72,4608500
2015-11-06,1.46,2.61,2.69,2.51,2.69,7101500
2015-11-09,1.47,2.63,2.63,2.54,2.6,5937500
2015-11-10,1.43,2.55,2.63,2.55,2.6,4088700
2015-11-11,1.45,2.6,2.72,2.58,2.58,6518900
2015-11-12,1.37,2.45,2.64,2.43,2.6,9376600
2015-11-13,1.36,2.44,2.5,2.39,2.46,3979900
2015-11-16,1.28,2.29,2.48,2.27,2.43,9866300
2015-11-17,1.17,2.09,2.35,2.09,2.3,25280400
2015-11-18,1.15,2.06,2.28,2.03,2.18,61152600
2015-11-19,1.15,2.05,2.1,1.93,2.02,60076000
2015-11-23,1.05,1.88,2.04,1.87,2.02,23039500
2015-11-24,1.08,1.93,1.95,1.82,1.87,41878700
2015-11-25,1.11,1.98,2.06,1.88,1.9,27300800
2015-11-26,1.12,2.0,2.08,1.98,2.01,13410400
2015-11-27,1.11,1.98,2.01,1.96,2.0,12551500
2015-11-30,1.11,1.98,1.98,1.86,1.98,20564000
2015-12-01,1.07,1.92,2.04,1.88,1.99,11541800
2015-12-02,1.04,1.86,1.93,1.83,1.91,12327100
2015-12-03,1.06,1.9,1.96,1.88,1.91,13024800
2015-12-04,0.97,1.73,1.89,1.71,1.88,16901700
2015-12-07,0.93,1.66,1.78,1.61,1.75,11889900
2015-12-08,0.87,1.56,1.66,1.5,1.64,20588400
2015-12-09,0.88,1.58,1.65,1.55,1.58,14720400
