Date,Adj Close,Close,High,Low,Open,Volume
2018-04-26,81.54,83.52,87.75,81.51,87.0,1956933
2018-04-27,82.01,84.0,85.95,82.5,83.97,932166
2018-04-30,80.98,82.95,84.0,82.65,83.55,370366
2018-05-02,79.98,81.93,83.85,81.0,81.0,428333
2018-05-03,80.51,82.47,83.7,80.4,81.33,790600
2018-05-04,78.34,80.25,83.01,79.2,83.01,632800
2018-05-07,79.08,81.0,81.0,79.8,79.95,375200
2018-05-08,79.08,81.0,81.9,80.4,81.45,315733
2018-05-09,78.78,80.7,81.27,79.71,81.0,333066
2018-05-10,79.66,81.6,82.92,80.34,81.3,396433
2018-05-11,80.83,82.8,84.6,82.44,82.47,586000
2018-05-14,80.01,81.96,83.82,81.96,83.67,350433
2018-05-15,84.79,86.85,87.3,84.0,84.3,900866
2018-05-16,87.31,89.43,89.43,85.65,86.85,589600
2018-05-17,88.74,90.9,92.94,90.0,90.0,520533
2018-05-18,86.69,88.8,90.9,87.69,90.9,980066
2018-05-21,90.21,92.4,93.27,87.0,89.1,633933
2018-05-22,95.92,98.25,98.4,92.4,92.4,462766
2018-05-23,95.74,98.07,98.25,93.0,98.25,487666
2018-05-24,89.33,91.5,96.06,91.26,95.4,822100
2018-05-25,90.76,92.97,93.09,90.09,90.93,562433
2018-05-28,86.4,88.5,92.97,87.09,92.97,427433
2018-05-29,87.16,89.28,91.05,86.55,89.4,175300
2018-05-30,87.86,90.0,92.25,87.57,90.3,493866
2018-06-01,87.54,89.67,92.97,86.97,91.89,391033
2018-06-04,88.74,90.9,92.4,88.83,90.6,304000
2018-06-05,85.73,87.81,90.3,86.4,90.3,239700
2018-06-06,83.41,85.44,87.54,83.7,87.06,443766
2018-06-07,80.83,82.8,85.44,80.55,85.44,547066
2018-06-08,80.98,82.95,85.17,81.0,81.69,443000
2018-06-11,81.42,83.4,84.75,80.85,83.46,202266
2018-06-12,82.24,84.24,85.41,82.02,83.4,203566
2018-06-13,78.32,80.22,84.33,79.59,84.33,786033
2018-06-14,79.14,81.06,82.17,79.8,80.1,536566
2018-06-15,79.08,81.0,81.15,76.95,81.06,389566
2018-06-18,77.26,79.14,81.0,78.6,81.0,465333
