Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,11.31,15.85,16.42,15.6,16.39,3108100
2015-09-04,10.82,15.16,15.88,14.82,15.68,4299100
2015-09-08,10.96,15.36,15.46,15.21,15.3,2556100
2015-09-09,10.72,15.02,15.52,15.01,15.52,2717700
2015-09-10,10.53,14.75,14.9,14.43,14.7,3930000
2015-09-11,10.17,14.25,14.64,14.24,14.57,4639800
2015-09-14,10.38,14.55,14.65,14.3,14.3,3392000
2015-09-15,10.21,14.3,14.6,14.1,14.39,1727800
2015-09-16,10.63,14.9,15.07,14.35,14.42,2995100
2015-09-17,11.1,15.56,15.78,14.78,14.78,3409600
2015-09-18,10.67,14.95,15.43,14.69,15.25,3355100
2015-09-21,10.56,14.8,14.96,14.53,14.75,1746800
2015-09-22,10.85,15.2,15.33,14.31,14.62,2885600
2015-09-23,10.49,14.7,15.32,14.7,15.17,4047800
2015-09-24,10.27,14.39,14.63,14.06,14.36,2907800
2015-09-25,10.69,14.98,15.35,14.68,14.7,2923700
2015-09-28,10.56,14.8,15.0,14.64,14.98,1437500
2015-09-29,10.5,14.71,14.95,14.65,14.9,1882600
2015-09-30,10.91,15.28,15.28,14.83,15.13,2892400
2015-10-01,10.76,15.07,15.39,14.76,15.39,4088700
2015-10-02,11.3,15.83,15.83,14.99,15.04,3754100
2015-10-05,11.41,15.99,16.27,15.93,16.15,1428900
2015-10-06,11.8,16.53,16.6,15.87,15.92,3969600
2015-10-07,12.31,17.25,17.46,16.54,16.73,3271800
2015-10-08,12.31,17.25,17.6,17.13,17.25,2168600
2015-10-09,12.62,17.69,17.87,17.3,17.43,2984800
2015-10-13,11.83,16.57,17.64,16.57,17.41,1858700
2015-10-14,11.72,16.42,17.02,15.97,16.56,4821800
2015-10-15,11.74,16.45,17.21,16.26,16.41,3787700
2015-10-16,11.56,16.2,16.5,15.94,16.49,5110500
2015-10-19,11.91,16.69,16.78,16.05,16.36,3969800
2015-10-20,11.74,16.45,16.85,16.2,16.69,2195200
2015-10-21,11.71,16.41,16.55,16.21,16.4,1837700
2015-10-22,11.65,16.33,16.62,16.3,16.52,2399500
2015-10-23,12.06,16.9,17.18,16.47,16.54,7613300
2015-10-26,12.13,17.0,17.09,16.9,16.96,1675400
2015-10-27,12.15,17.03,17.36,16.9,17.0,2882900
2015-10-28,12.95,18.15,18.5,17.95,17.96,1039800
2015-10-29,12.45,17.45,17.77,17.23,17.71,3640000
2015-10-30,12.49,17.5,17.8,17.31,17.5,4539000
2015-11-03,15.13,21.2,21.5,20.42,20.79,12010800
2015-11-04,15.34,21.5,22.04,20.59,21.44,5040100
2015-11-05,15.27,21.4,21.87,21.21,21.49,1981400
2015-11-06,15.37,21.53,21.8,21.06,21.39,2516300
2015-11-09,15.27,21.4,21.6,21.22,21.38,1716800
2015-11-10,15.16,21.24,21.47,20.98,21.15,3959900
2015-11-11,15.21,21.31,21.61,21.02,21.26,3423400
