Date,Adj Close,Close,High,Low,Open,Volume
2021-11-22,18.48,20.46,21.0,19.5,20.6,311000
2021-11-23,17.93,19.85,21.85,19.7,20.5,2311000
2021-11-24,17.93,19.84,20.24,19.49,20.24,2758000
2021-11-25,18.85,20.86,21.08,20.06,20.3,1303000
2021-11-26,17.79,19.69,21.0,19.25,21.0,1679000
2021-11-29,18.08,20.01,20.4,19.9,19.91,817000
2021-11-30,17.03,18.86,20.0,18.25,19.9,2747000
2021-12-01,16.17,17.9,19.52,17.85,19.0,1714000
2021-12-02,16.89,18.7,18.75,17.5,17.61,2618000
2021-12-03,17.57,19.45,20.63,18.8,18.8,3741000
2021-12-06,18.34,20.3,20.39,19.81,20.06,1985000
2021-12-07,18.43,20.4,20.75,19.98,20.75,711000
2021-12-08,18.71,20.71,20.74,19.95,20.4,3294000
2021-12-09,17.94,19.86,20.7,19.85,20.5,695000
2021-12-10,18.52,20.5,20.58,20.1,20.1,1502000
2021-12-13,18.35,20.31,20.66,20.2,20.41,856000
2021-12-14,17.79,19.7,20.67,19.39,20.35,1549000
2021-12-15,17.65,19.53,19.77,19.2,19.65,1319000
2021-12-16,17.05,18.87,19.5,18.87,19.36,1387000
2021-12-17,17.02,18.84,19.01,18.53,18.7,2095000
2021-12-20,16.46,18.23,18.94,18.08,18.7,3039000
2021-12-21,16.38,18.13,18.4,17.67,18.36,2284000
2021-12-22,16.35,18.1,18.3,17.71,18.08,1219000
2021-12-23,16.44,18.2,18.3,18.02,18.09,985000
2021-12-27,16.17,17.9,18.79,17.86,18.47,977200
2021-12-28,16.79,18.59,18.65,18.02,18.2,558900
2021-12-29,16.31,18.06,18.89,18.01,18.78,1602200
2021-12-30,16.49,18.25,18.48,17.82,18.28,1367400
2022-01-03,15.64,17.31,18.36,16.93,18.07,1398600
2022-01-04,15.07,16.68,17.28,16.14,17.04,2336500
2022-01-05,14.27,15.8,16.72,15.77,16.54,3006300
2022-01-06,13.75,15.22,15.7,14.76,15.56,4011300
2022-01-07,13.87,15.35,15.6,14.65,15.03,2789100
2022-01-10,13.69,15.15,15.45,14.72,15.01,1713700
2022-01-11,14.59,16.15,16.26,15.24,15.39,1330500
2022-01-12,15.67,17.35,17.49,16.13,16.14,3658000
