Date,Adj Close,Close,High,Low,Open,Volume
2017-07-31,207.82,224.58,226.96,215.23,216.69,1448107
2017-08-01,208.61,225.43,227.73,224.58,226.81,496061
2017-08-02,208.96,225.81,226.04,223.05,225.43,146838
2017-08-03,208.18,224.97,225.89,223.43,224.28,88032
2017-08-04,202.22,218.53,229.72,217.91,226.96,302702
2017-08-07,202.57,218.91,223.13,218.53,221.59,212322
2017-08-08,199.74,215.84,220.67,214.77,220.67,262129
2017-08-09,196.9,212.78,216.99,209.4,216.23,202188
2017-08-10,200.37,216.53,217.84,211.47,212.32,83768
2017-08-11,201.51,217.76,218.99,214.69,217.84,48476
2017-08-14,201.51,217.76,218.91,215.15,218.91,42790
2017-08-15,201.51,217.76,218.91,217.07,218.91,72604
2017-08-16,202.22,218.53,219.22,214.0,217.76,141908
2017-08-17,200.45,216.61,218.76,216.23,218.53,247261
2017-08-18,202.22,218.53,218.91,214.77,216.99,326986
2017-08-21,203.07,219.45,219.98,213.47,218.6,257303
2017-08-22,202.22,218.53,220.06,217.3,219.45,46233
2017-08-23,199.17,215.23,218.6,214.39,218.53,69265
2017-08-24,205.77,222.36,222.36,212.62,216.84,496726
2017-08-25,211.44,228.49,228.49,220.52,221.75,198745
2017-08-28,214.64,231.94,232.56,226.19,228.95,228259
2017-08-29,214.07,231.33,235.93,226.96,231.33,110895
2017-08-30,214.99,232.33,232.94,227.88,232.71,64518
2017-08-31,212.86,230.03,232.56,229.11,230.64,24192
2017-09-01,211.16,228.19,230.79,227.11,230.1,102209
2017-09-04,212.86,230.03,231.18,227.73,228.49,26931
2017-09-05,214.99,232.33,233.78,229.41,230.03,252530
2017-09-06,218.4,236.01,237.7,233.86,233.86,109786
2017-09-07,218.4,236.01,236.01,236.01,236.01,0
2017-09-08,223.51,241.53,243.75,237.54,238.85,291538
2017-09-11,224.07,242.14,243.83,240.07,241.53,119189
2017-09-12,223.51,241.53,245.13,241.53,241.99,116385
2017-09-13,221.31,239.15,242.53,237.7,241.61,61349
2017-09-14,221.02,238.85,242.3,238.08,238.08,51645
2017-09-15,225.21,243.37,243.52,238.54,238.54,102613
2017-09-18,223.51,241.53,246.13,240.07,243.83,190750
2017-09-19,223.22,241.22,245.36,239.69,241.53,22405
2017-09-20,221.59,239.46,243.45,239.31,242.91,64974
2017-09-21,223.51,241.53,242.37,238.39,240.15,89480
2017-09-22,226.27,244.52,244.6,239.84,241.3,36999
2017-09-25,222.44,240.38,246.05,239.31,244.75,77912
2017-09-26,220.74,238.54,242.14,237.01,240.99,43625
2017-09-27,217.83,235.4,240.46,234.71,239.23,41486
2017-09-28,215.7,233.09,240.3,230.03,236.39,111156
