Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,1.77,8.98,9.32,8.89,9.03,1932400
2015-09-04,1.78,9.0,9.06,8.78,8.95,1220000
2015-09-08,1.78,9.0,9.13,8.89,9.07,1328800
2015-09-09,1.85,9.38,9.43,8.88,8.96,1514000
2015-09-10,1.85,9.38,9.57,9.14,9.24,2005600
2015-09-11,1.94,9.81,9.86,9.27,9.32,1981200
2015-09-14,1.97,10.0,10.02,9.69,9.74,1666800
2015-09-15,2.01,10.18,10.2,9.81,10.06,1659600
2015-09-16,2.06,10.45,10.57,10.12,10.25,2545200
2015-09-17,2.07,10.49,10.53,10.2,10.48,3705600
2015-09-18,2.03,10.27,10.63,10.27,10.63,1616000
2015-09-21,2.02,10.23,10.4,10.11,10.25,976400
2015-09-22,2.07,10.5,10.52,9.88,10.32,1483200
2015-09-23,2.0,10.12,10.51,10.11,10.5,1733600
2015-09-24,1.98,10.03,10.1,9.77,10.1,2044800
2015-09-25,1.99,10.07,10.16,9.89,9.94,1782800
2015-09-28,1.94,9.85,10.08,9.7,10.0,1760000
2015-09-29,1.95,9.88,10.05,9.77,9.78,1132000
2015-09-30,2.01,10.2,10.25,9.82,9.95,1248400
2015-10-01,1.99,10.08,10.38,9.97,10.24,1084400
2015-10-02,2.04,10.34,10.34,10.05,10.05,924400
2015-10-05,2.03,10.3,10.45,10.23,10.34,1034800
2015-10-06,2.05,10.38,10.44,10.2,10.32,2860800
2015-10-07,2.09,10.58,10.6,10.19,10.38,1199600
2015-10-08,2.06,10.45,10.57,10.23,10.51,1164400
2015-10-09,2.05,10.4,10.51,10.09,10.39,1846800
2015-10-13,2.07,10.48,10.48,10.23,10.4,1248800
2015-10-14,1.99,10.09,10.54,10.05,10.52,1022000
2015-10-15,2.01,10.2,10.27,10.08,10.13,1264800
2015-10-16,2.01,10.18,10.29,10.02,10.2,927200
2015-10-19,1.98,10.04,10.26,10.04,10.1,853600
2015-10-20,1.94,9.85,10.17,9.84,10.08,815600
2015-10-21,1.94,9.85,9.9,9.65,9.75,1260000
2015-10-22,2.02,10.24,10.34,9.81,9.82,1159200
2015-10-23,1.97,10.01,10.43,9.98,10.28,797200
2015-10-26,1.96,9.94,10.09,9.85,10.07,750400
2015-10-27,2.01,10.2,10.3,9.86,9.92,733600
2015-10-28,2.05,10.37,10.51,10.2,10.2,845200
2015-10-29,2.08,10.54,10.6,10.32,10.32,1080400
2015-10-30,2.19,11.1,11.18,10.58,10.61,3052800
2015-11-03,2.22,11.27,11.47,11.07,11.1,2516000
2015-11-04,2.29,11.61,11.63,11.27,11.27,2755200
2015-11-05,2.28,11.57,11.74,11.43,11.57,1383600
2015-11-06,2.24,11.35,11.62,11.16,11.57,2234400
2015-11-09,2.14,10.86,11.49,10.8,11.49,2448000
2015-11-10,2.24,11.38,11.38,10.86,10.86,2461600
2015-11-11,2.26,11.46,11.67,11.08,11.48,1822000
2015-11-12,2.27,11.5,11.65,11.35,11.52,4519600
2015-11-13,2.29,11.62,11.69,11.43,11.59,2255200
2015-11-16,2.26,11.47,11.83,11.47,11.67,2417200
2015-11-17,2.28,11.57,11.7,11.03,11.39,3212400
2015-11-18,2.3,11.68,11.76,11.6,11.62,1538800
2015-11-19,2.29,11.62,11.68,11.34,11.52,2453600
2015-11-23,2.26,11.45,11.74,11.4,11.54,2065200
2015-11-24,2.25,11.39,11.51,11.22,11.41,1805200
2015-11-25,2.21,11.19,11.4,11.08,11.3,1519200
2015-11-26,2.5,11.1,11.15,10.82,10.9,897200
2015-11-27,2.44,10.84,11.09,10.78,11.09,797200
2015-11-30,2.47,10.97,11.03,10.75,10.93,1691200
2015-12-01,2.42,10.73,11.25,10.57,11.05,1818000
2015-12-02,2.42,10.75,10.88,10.61,10.66,1145200
2015-12-03,2.46,10.9,11.0,10.73,10.88,1162000
2015-12-04,2.35,10.41,10.87,10.41,10.87,2119200
2015-12-07,2.35,10.45,10.61,10.39,10.39,930800
2015-12-08,2.42,10.75,10.75,10.3,10.45,31817600
2015-12-09,2.49,11.07,11.07,10.7,10.76,2023600
2015-12-10,2.5,11.11,11.22,10.95,11.01,1187200
2015-12-11,2.49,11.07,11.23,10.93,11.03,1436400
2015-12-14,2.49,11.06,11.18,10.94,11.18,825600
2015-12-15,2.49,11.07,11.26,10.98,11.05,1241200
2015-12-16,2.48,11.0,11.26,10.89,11.12,884000
2015-12-17,2.51,11.16,11.21,10.96,11.08,1360400
2015-12-18,2.45,10.9,11.09,10.8,11.08,1226000
2015-12-21,2.42,10.75,11.1,10.52,10.98,1605600
2015-12-22,2.46,10.9,10.96,10.64,10.75,666800
2015-12-23,2.49,11.06,11.09,10.78,10.98,1037200
2015-12-28,2.53,11.25,11.35,10.88,11.0,936400
2015-12-29,2.55,11.32,11.48,11.1,11.17,739200
2015-12-30,2.57,11.43,11.43,11.13,11.24,1506400
2016-01-04,2.5,11.1,11.3,10.96,11.3,1499600
2016-01-05,2.5,11.1,11.38,10.9,11.18,2736400
2016-01-06,2.47,10.98,11.1,10.9,11.1,1889600
2016-01-07,2.38,10.59,10.95,10.59,10.95,1890400
2016-01-08,2.44,10.85,10.85,10.62,10.62,945600
2016-01-11,2.46,10.9,11.17,10.78,10.87,1646800
2016-01-12,2.5,11.09,11.27,10.98,10.98,842800
2016-01-13,2.46,10.93,11.2,10.89,11.18,726000
2016-01-14,2.45,10.86,11.06,10.73,10.93,1372000
2016-01-15,2.42,10.75,11.19,10.63,10.83,1707200
2016-01-18,2.36,10.48,10.98,10.47,10.75,971200
2016-01-19,2.35,10.41,10.68,10.35,10.55,934000
2016-01-20,2.32,10.3,10.4,10.11,10.4,1267200
2016-01-21,2.31,10.24,10.43,10.2,10.36,1365200
2016-01-22,2.39,10.62,10.62,10.19,10.29,3966400
2016-01-26,2.32,10.28,10.62,10.28,10.55,1113200
2016-01-27,2.36,10.47,10.47,10.18,10.27,3001200
2016-01-28,2.45,10.86,10.94,10.31,10.47,4665600
2016-01-29,2.57,11.42,11.56,10.9,10.9,4408400
2016-02-01,2.58,11.45,11.65,11.27,11.39,2501600
2016-02-02,2.53,11.25,11.51,11.15,11.43,1933600
2016-02-03,2.58,11.44,11.46,11.13,11.24,2073200
2016-02-04,2.53,11.25,11.62,11.16,11.47,1983600
2016-02-05,2.58,11.45,11.47,11.18,11.19,884000
2016-02-10,2.61,11.57,11.61,11.36,11.44,1305600
2016-02-11,2.56,11.36,11.58,11.25,11.52,1704400
2016-02-12,2.58,11.44,11.44,11.21,11.43,985600
2016-02-15,2.6,11.53,11.57,11.36,11.43,848000
2016-02-16,2.6,11.53,11.74,11.44,11.52,1072800
2016-02-17,2.65,11.75,11.82,11.57,11.6,1268400
2016-02-18,2.63,11.69,11.81,11.54,11.81,1787200
2016-02-19,2.63,11.68,11.77,11.6,11.6,2050800
2016-02-22,2.65,11.77,11.96,11.63,11.77,1543200
2016-02-23,2.62,11.65,11.74,11.62,11.7,719200
2016-02-24,2.58,11.44,11.6,11.31,11.6,1546400
2016-02-25,2.65,11.77,11.77,11.33,11.36,1482800
2016-02-26,2.59,11.51,11.94,11.4,11.77,1406400
2016-02-29,2.63,11.68,11.68,11.36,11.44,1593600
2016-03-01,2.61,11.6,11.71,11.49,11.57,3099200
2016-03-02,2.6,11.55,11.74,11.47,11.6,3226000
2016-03-03,2.63,11.67,11.8,11.53,11.56,3196800
2016-03-04,2.66,11.79,11.87,11.6,11.82,3248000
2016-03-07,2.62,11.64,11.87,11.62,11.73,2342000
2016-03-08,2.64,11.7,11.76,11.62,11.64,1509200
2016-03-09,2.67,11.84,11.98,11.67,11.77,2384800
2016-03-10,2.71,12.04,12.19,11.8,11.8,3958400
2016-03-11,2.73,12.11,12.14,11.92,12.05,1478000
2016-03-14,2.66,11.81,12.36,11.59,12.18,5041200
2016-03-15,2.68,11.91,11.92,11.53,11.73,2259200
2016-03-16,2.7,11.99,12.05,11.8,11.91,612800
2016-03-17,2.74,12.14,12.24,11.98,12.18,1144800
2016-03-18,2.74,12.17,12.22,11.97,12.15,1046400
2016-03-21,2.74,12.17,12.31,12.09,12.18,606400
2016-03-22,2.77,12.3,12.4,12.07,12.19,1044000
2016-03-23,2.77,12.29,12.44,12.1,12.31,1090400
2016-03-24,2.72,12.06,12.34,11.84,12.28,1592800
2016-03-28,2.77,12.29,12.38,12.15,12.15,934800
2016-03-29,2.76,12.27,12.34,12.19,12.29,1584000
2016-03-30,2.75,12.2,12.32,12.1,12.3,2801200
2016-03-31,2.72,12.09,12.21,11.99,12.2,1671200
2016-04-01,2.72,12.06,12.21,11.93,11.95,1024000
2016-04-04,2.69,11.94,12.01,11.72,11.97,899200
2016-04-05,2.69,11.92,12.04,11.75,11.89,970400
2016-04-06,2.65,11.77,11.97,11.7,11.86,596000
2016-04-07,2.63,11.66,12.09,11.6,11.73,2018000
2016-04-08,2.72,12.07,12.07,11.67,11.8,3121600
2016-04-11,2.74,12.15,12.16,12.02,12.16,866800
2016-04-12,2.77,12.3,12.32,12.11,12.15,1876000
2016-04-13,2.78,12.34,12.46,12.14,12.4,3952400
2016-04-14,2.71,12.05,12.37,12.02,12.37,1940800
2016-04-15,2.78,12.34,12.36,12.06,12.06,774400
2016-04-18,2.77,12.28,12.34,12.1,12.25,2637600
2016-04-19,2.84,12.61,12.61,12.22,12.28,1866800
2016-04-20,2.82,12.51,12.57,12.36,12.5,10046000
2016-04-22,3.11,13.79,13.85,12.51,12.52,5964000
2016-04-25,3.04,13.49,13.93,13.38,13.8,7899200
2016-04-26,3.11,13.78,13.9,13.03,13.6,3344000
