Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,2.54,4.8,4.85,4.62,4.71,34405434
2015-09-04,2.48,4.69,4.77,4.69,4.73,28162913
2015-09-08,2.5,4.71,4.82,4.71,4.82,17966697
2015-09-09,2.52,4.76,4.9,4.75,4.78,33163596
2015-09-10,2.45,4.62,4.71,4.57,4.59,50452758
2015-09-11,2.52,4.75,4.77,4.6,4.62,64357043
2015-09-14,2.64,4.98,5.0,4.75,4.79,52430852
2015-09-15,2.62,4.95,5.03,4.87,4.94,76586958
2015-09-16,2.68,5.05,5.08,4.96,5.0,61852185
2015-09-17,2.68,5.07,5.21,5.0,5.02,45563752
2015-09-18,2.57,4.85,5.08,4.8,5.01,33676655
2015-09-21,2.5,4.73,4.88,4.68,4.83,29687447
2015-09-22,2.53,4.78,4.89,4.62,4.68,33397230
2015-09-23,2.45,4.62,4.83,4.62,4.74,39883508
2015-09-24,2.43,4.59,4.65,4.44,4.58,55418085
2015-09-25,2.38,4.49,4.71,4.48,4.68,47376433
2015-09-28,2.39,4.51,4.55,4.42,4.47,34864134
2015-09-29,2.39,4.51,4.57,4.48,4.51,26201174
2015-09-30,2.43,4.58,4.65,4.51,4.62,39260953
2015-10-01,2.45,4.64,4.68,4.57,4.6,25349815
2015-10-02,2.52,4.76,4.8,4.58,4.63,35967973
2015-10-05,2.58,4.87,4.94,4.81,4.83,38696652
2015-10-06,2.62,4.94,4.94,4.83,4.85,30865425
2015-10-07,2.7,5.1,5.16,4.98,5.03,58776950
2015-10-08,2.71,5.12,5.14,5.02,5.08,37663682
2015-10-09,2.73,5.16,5.2,5.08,5.18,38875926
2015-10-13,2.62,4.96,5.06,4.86,5.06,44912850
2015-10-14,2.56,4.84,4.98,4.84,4.94,62480814
2015-10-15,2.55,4.82,4.91,4.77,4.86,34243604
2015-10-16,2.51,4.74,4.82,4.71,4.82,45093838
2015-10-19,2.56,4.83,4.86,4.73,4.74,27609514
2015-10-20,2.52,4.76,4.91,4.71,4.83,34981574
2015-10-21,2.52,4.76,4.8,4.72,4.77,25709143
2015-10-22,2.56,4.83,4.83,4.74,4.78,25175525
2015-10-23,2.54,4.8,4.97,4.76,4.92,31474896
2015-10-26,2.5,4.73,4.85,4.69,4.82,21945158
2015-10-27,2.48,4.69,4.73,4.67,4.72,23159894
2015-10-28,2.47,4.65,4.77,4.64,4.7,3756508
2015-10-29,2.43,4.58,4.71,4.58,4.62,29610971
2015-10-30,2.45,4.62,4.65,4.58,4.6,27448931
2015-11-03,2.55,4.82,4.86,4.66,4.69,45011287
2015-11-04,2.57,4.85,4.94,4.8,4.91,33788487
2015-11-05,2.61,4.93,4.93,4.82,4.85,19809284
2015-11-06,2.55,4.82,4.91,4.76,4.91,17639922
2015-11-09,2.5,4.72,4.81,4.65,4.81,19621131
2015-11-10,2.5,4.72,4.72,4.63,4.69,23176560
2015-11-11,2.55,4.82,4.88,4.76,4.78,34126165
2015-11-12,2.57,4.85,4.89,4.78,4.83,21182112
2015-11-13,2.52,4.75,4.85,4.72,4.79,26013956
2015-11-16,2.53,4.78,4.83,4.75,4.78,29858467
2015-11-17,2.57,4.85,4.94,4.83,4.84,38922497
2015-11-18,2.59,4.9,4.97,4.85,4.87,31909454
2015-11-19,2.64,4.98,5.01,4.88,4.97,59852130
2015-11-23,2.63,4.96,5.07,4.94,5.03,31927522
2015-11-24,2.64,4.98,4.98,4.82,4.93,44878116
2015-11-25,2.51,4.74,4.92,4.71,4.91,53914578
2015-11-26,2.56,4.83,4.88,4.74,4.76,25371776
2015-11-27,2.5,4.72,4.83,4.69,4.81,40545312
2015-11-30,2.47,4.65,4.8,4.65,4.69,58684899
2015-12-01,2.53,4.77,4.77,4.66,4.7,41927797
2015-12-02,2.49,4.69,4.8,4.65,4.75,48967007
2015-12-03,2.59,4.88,5.09,4.83,4.85,59180357
2015-12-04,2.56,4.83,4.88,4.76,4.86,30415915
2015-12-07,2.53,4.78,4.9,4.77,4.86,30607650
2015-12-08,2.52,4.74,4.8,4.69,4.78,30308288
2015-12-09,2.64,4.98,5.0,4.79,4.82,51526224
2015-12-10,2.64,4.89,4.96,4.84,4.92,26558944
2015-12-11,2.62,4.86,4.92,4.82,4.82,25492798
2015-12-14,2.54,4.71,4.84,4.7,4.84,20643042
2015-12-15,2.55,4.74,4.83,4.73,4.75,19516931
2015-12-16,2.54,4.71,4.77,4.62,4.72,40736113
2015-12-17,2.6,4.82,4.87,4.78,4.84,28482212
2015-12-18,2.47,4.59,4.74,4.59,4.71,43317914
2015-12-21,2.43,4.51,4.62,4.5,4.62,38651327
2015-12-22,2.44,4.53,4.57,4.5,4.55,20617654
2015-12-23,2.42,4.49,4.59,4.49,4.57,16668787
2015-12-28,2.42,4.48,4.55,4.47,4.49,16480168
2015-12-29,2.42,4.48,4.53,4.46,4.53,15518534
2015-12-30,2.38,4.42,4.5,4.38,4.48,24747353
2016-01-04,2.28,4.24,4.39,4.24,4.37,35392768
2016-01-05,2.32,4.31,4.33,4.25,4.3,19374570
2016-01-06,2.34,4.35,4.43,4.22,4.24,42067977
2016-01-07,2.31,4.28,4.33,4.23,4.26,28855713
2016-01-08,2.31,4.28,4.36,4.26,4.33,18187714
2016-01-11,2.28,4.23,4.31,4.2,4.3,29096823
2016-01-12,2.25,4.18,4.33,4.18,4.29,30118890
2016-01-13,2.26,4.19,4.27,4.15,4.25,22512574
2016-01-14,2.27,4.21,4.24,4.11,4.21,39127159
2016-01-15,2.23,4.14,4.17,4.1,4.16,32291210
2016-01-18,2.22,4.12,4.17,4.1,4.14,27241620
2016-01-19,2.2,4.08,4.21,4.08,4.19,17438063
2016-01-20,2.17,4.03,4.08,4.01,4.03,32757231
2016-01-21,2.18,4.04,4.08,4.02,4.03,21511534
2016-01-22,2.21,4.11,4.13,4.07,4.09,24402355
2016-01-26,2.25,4.17,4.17,4.01,4.07,35066305
2016-01-27,2.25,4.18,4.26,4.11,4.13,35582011
2016-01-28,2.3,4.27,4.27,4.16,4.2,40012006
2016-01-29,2.38,4.42,4.43,4.28,4.28,44406333
2016-02-01,2.39,4.44,4.44,4.34,4.41,28133008
2016-02-02,2.2,4.08,4.26,4.08,4.21,48289471
2016-02-03,2.31,4.29,4.3,4.13,4.15,28401375
2016-02-04,2.35,4.36,4.46,4.22,4.33,52869615
2016-02-05,2.35,4.35,4.42,4.33,4.35,28360723
2016-02-10,2.35,4.36,4.38,4.28,4.29,10283127
2016-02-11,2.3,4.26,4.31,4.21,4.31,22276449
2016-02-12,2.3,4.27,4.31,4.22,4.3,17806892
