Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,9.72,15.17,15.17,14.47,14.7,47192359
2015-09-04,9.32,14.56,14.98,14.56,14.81,42809679
2015-09-08,9.42,14.72,14.9,14.66,14.9,18966931
2015-09-09,9.53,14.88,15.29,14.83,14.93,30998022
2015-09-10,9.34,14.58,14.84,14.33,14.33,48666502
2015-09-11,9.36,14.61,14.61,14.41,14.55,34356861
2015-09-14,9.73,15.2,15.21,14.49,14.71,35077779
2015-09-15,9.97,15.58,15.68,15.09,15.09,39754489
2015-09-16,10.14,15.83,16.03,15.65,15.7,44780769
2015-09-17,10.23,15.97,16.26,15.69,15.72,35946438
2015-09-18,9.83,15.34,15.98,15.21,15.76,51475215
2015-09-21,9.61,15.0,15.45,14.89,15.32,28104730
2015-09-22,9.7,15.15,15.27,14.57,14.83,34482640
2015-09-23,9.31,14.55,15.26,14.55,15.12,29121675
2015-09-24,9.42,14.71,14.8,13.88,14.11,53650674
2015-09-25,9.19,14.35,15.04,14.28,14.9,23769784
2015-09-28,9.18,14.34,14.46,14.07,14.23,28948342
2015-09-29,9.14,14.28,14.52,14.25,14.36,22541211
2015-09-30,9.35,14.61,14.71,14.2,14.64,42592786
2015-10-01,9.49,14.81,14.91,14.48,14.6,22731967
2015-10-02,9.87,15.41,15.41,14.63,14.69,36159337
2015-10-05,10.08,15.74,15.98,15.56,15.62,29305897
2015-10-06,10.17,15.88,15.95,15.58,15.59,29033466
2015-10-07,10.46,16.33,16.69,15.9,16.14,45932205
2015-10-08,10.5,16.39,16.46,16.08,16.23,32518629
2015-10-09,10.43,16.28,16.64,15.97,16.63,45669211
2015-10-13,9.87,15.41,15.92,15.24,15.81,48392074
2015-10-14,9.78,15.27,15.58,15.16,15.31,58466595
2015-10-15,9.62,15.01,15.4,14.8,15.33,43590310
2015-10-16,9.47,14.79,15.18,14.71,14.93,36518707
2015-10-19,9.7,15.14,15.18,14.77,14.85,26747655
2015-10-20,9.5,14.83,15.34,14.72,15.23,33235009
2015-10-21,9.43,14.72,14.96,14.6,14.9,27173091
2015-10-22,9.63,15.03,15.07,14.74,14.78,33391462
2015-10-23,9.57,14.93,15.48,14.92,15.34,31717851
2015-10-26,9.42,14.71,15.13,14.66,15.01,21916488
2015-10-27,9.37,14.63,14.8,14.5,14.71,22113960
2015-10-28,9.44,14.73,15.11,14.52,14.64,2860803
2015-10-29,9.18,14.33,14.95,14.33,14.53,29777979
2015-10-30,9.34,14.58,14.61,14.34,14.47,21866575
2015-11-03,9.95,15.52,15.52,14.69,14.71,45368284
2015-11-04,9.97,15.55,15.87,15.41,15.75,33198891
2015-11-05,10.09,15.74,15.76,15.39,15.55,17824933
2015-11-06,9.94,15.5,15.7,15.32,15.7,23989036
2015-11-09,9.68,15.11,15.47,15.06,15.42,19905831
2015-11-10,9.74,15.2,15.2,14.82,15.07,19001416
2015-11-11,10.01,15.61,15.7,15.31,15.34,26051784
2015-11-12,10.04,15.66,15.7,15.39,15.61,21212449
2015-11-13,9.76,15.22,15.56,15.22,15.52,23577757
2015-11-16,10.03,15.65,15.65,15.26,15.29,30687475
2015-11-17,10.1,15.76,16.07,15.67,15.76,25901502
2015-11-18,10.08,15.72,16.02,15.66,15.75,29619711
2015-11-19,10.36,16.15,16.19,15.65,15.98,34950184
2015-11-23,10.35,16.15,16.38,16.06,16.32,24677466
2015-11-24,10.37,16.17,16.18,15.77,16.01,17725290
2015-11-25,9.86,15.38,15.88,15.32,15.84,41247145
2015-11-26,10.0,15.6,15.76,15.37,15.43,19031727
2015-11-27,9.74,15.19,15.55,15.15,15.49,27123360
2015-11-30,9.82,15.31,15.45,14.94,15.1,50328861
2015-12-01,9.89,15.42,15.48,15.11,15.34,23938216
2015-12-02,9.58,14.93,15.45,14.85,15.36,38321910
