Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,10.47,13.02,13.04,12.55,12.75,7315415
2015-09-04,10.14,12.62,13.07,12.61,12.84,6291965
2015-09-08,10.02,12.47,12.96,12.45,12.89,4802170
2015-09-09,10.05,12.51,13.13,12.41,12.67,9736423
2015-09-10,10.33,12.85,12.85,12.17,12.17,6509642
2015-09-11,10.36,12.89,12.91,12.62,12.84,2486680
2015-09-14,10.75,13.37,13.44,12.84,12.96,4429537
2015-09-15,10.62,13.21,13.54,12.95,13.45,5607943
2015-09-16,11.02,13.71,13.75,13.24,13.24,8070274
2015-09-17,10.95,13.63,14.09,13.51,13.63,9022886
2015-09-18,10.55,13.12,13.67,13.12,13.42,11442419
2015-09-21,10.68,13.29,13.53,13.08,13.1,4393381
2015-09-22,10.47,13.03,13.25,12.73,13.12,6096425
2015-09-23,10.32,12.84,13.25,12.74,13.07,4636884
2015-09-24,10.17,12.62,13.04,12.41,12.67,3625830
2015-09-25,10.25,12.72,12.99,12.51,12.64,3585394
2015-09-28,9.99,12.4,12.83,12.26,12.71,3740646
2015-09-29,10.04,12.46,12.64,12.28,12.36,3220435
2015-09-30,10.04,12.47,12.92,12.38,12.81,8766692
2015-10-01,10.13,12.57,12.77,12.18,12.52,3893684
2015-10-02,10.59,13.14,13.25,12.49,12.52,9027609
2015-10-05,10.45,12.98,13.48,12.92,13.38,3898554
2015-10-06,10.65,13.21,13.27,12.89,12.94,5665056
2015-10-07,10.92,13.55,13.65,13.09,13.45,7458270
2015-10-08,10.91,13.55,13.84,13.36,13.42,5557620
2015-10-09,10.66,13.23,13.91,13.13,13.76,6077240
2015-10-13,10.45,12.98,13.4,12.77,13.15,3883943
2015-10-14,10.37,12.87,13.34,12.85,12.85,10123962
2015-10-15,10.65,13.21,13.32,12.84,12.94,6175231
2015-10-16,10.97,13.61,13.81,13.01,13.21,6300082
2015-10-19,11.15,13.84,13.84,13.38,13.7,3357977
2015-10-20,10.95,13.59,14.09,13.39,13.92,5042722
2015-10-21,10.81,13.42,13.61,13.21,13.49,11772402
2015-10-22,11.08,13.76,13.88,13.33,13.48,4609287
2015-10-23,10.44,12.96,13.93,12.83,13.89,11295579
2015-10-26,10.24,12.71,13.07,12.67,13.06,9717829
2015-10-27,10.43,12.94,12.94,12.6,12.71,7689081
2015-10-28,10.18,12.64,13.3,12.47,12.93,444208
2015-10-29,9.93,12.33,12.66,12.3,12.47,3458182
2015-10-30,10.1,12.54,12.54,12.18,12.37,4495062
2015-11-03,10.26,12.73,12.92,12.37,12.54,6023817
2015-11-04,10.44,12.96,13.28,12.78,12.78,5574739
2015-11-05,10.38,12.88,13.11,12.78,12.96,3103406
2015-11-06,10.2,12.66,13.03,12.28,12.81,3482680
2015-11-09,9.88,12.26,12.71,12.2,12.6,3014269
2015-11-10,10.14,12.58,12.67,11.8,12.2,7013324
2015-11-11,10.54,13.08,13.27,12.51,12.61,5203729
2015-11-12,10.51,13.04,13.47,12.93,13.08,3138234
2015-11-13,10.49,13.02,13.15,12.81,12.88,3151812
2015-11-16,10.37,12.87,13.11,12.75,13.03,6037542
2015-11-17,10.6,13.16,13.4,12.89,13.01,3764258
2015-11-18,10.67,13.24,13.31,12.97,13.25,4489897
2015-11-19,10.77,13.37,13.57,13.23,13.29,5468483
2015-11-23,10.84,13.45,13.72,13.35,13.57,2737266
2015-11-24,10.84,13.46,13.63,13.17,13.38,4622126
2015-11-25,10.38,12.88,13.46,12.77,13.28,8928879
2015-11-26,10.26,12.74,13.04,12.69,12.88,5660776
2015-11-27,9.96,12.37,12.89,12.24,12.67,3656674
2015-11-30,9.55,11.86,12.43,11.86,12.26,23243599
2015-12-01,9.55,11.86,12.01,11.57,11.86,14575193
