Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,0.71,0.75,0.78,0.72,0.73,2083899
2015-09-04,0.68,0.72,0.78,0.72,0.76,1977497
2015-09-08,0.66,0.7,0.75,0.7,0.74,2950851
2015-09-09,0.67,0.71,0.71,0.7,0.7,1679162
2015-09-10,0.66,0.7,0.71,0.68,0.69,1500571
2015-09-11,0.63,0.67,0.7,0.66,0.7,2261463
2015-09-14,0.6,0.64,0.67,0.63,0.67,2364102
2015-09-15,0.58,0.61,0.64,0.61,0.64,2056529
2015-09-16,0.61,0.65,0.66,0.62,0.62,2015474
2015-09-17,0.63,0.67,0.72,0.65,0.67,4053528
2015-09-18,0.57,0.6,0.66,0.6,0.66,8104662
2015-09-21,0.55,0.58,0.61,0.58,0.61,4536612
2015-09-22,0.53,0.56,0.58,0.55,0.58,4589984
2015-09-23,0.53,0.56,0.56,0.56,0.56,2847186
2015-09-24,0.54,0.57,0.59,0.55,0.55,1470806
2015-09-25,0.52,0.55,0.6,0.55,0.58,1127652
2015-09-28,0.5,0.53,0.57,0.51,0.56,1954233
2015-09-29,0.49,0.52,0.54,0.51,0.53,1017487
2015-09-30,0.5,0.53,0.54,0.51,0.53,1367142
2015-10-01,0.46,0.48,0.51,0.47,0.5,10113294
2015-10-02,0.45,0.47,0.49,0.46,0.49,24422442
2015-10-05,0.48,0.51,0.53,0.47,0.48,18253195
2015-10-06,0.5,0.53,0.55,0.51,0.51,3569075
2015-10-07,0.54,0.57,0.58,0.53,0.53,4228698
2015-10-08,0.55,0.58,0.58,0.56,0.56,2066451
2015-10-09,0.53,0.56,0.59,0.56,0.58,2118454
2015-10-13,0.48,0.51,0.56,0.51,0.56,6311571
2015-10-14,0.47,0.5,0.53,0.49,0.5,6432000
2015-10-15,0.47,0.49,0.5,0.49,0.5,5389195
2015-10-16,0.45,0.47,0.49,0.47,0.49,5602682
2015-10-19,0.44,0.47,0.47,0.47,0.47,6295149
2015-10-20,0.43,0.46,0.47,0.45,0.47,4693991
2015-10-21,0.42,0.44,0.46,0.44,0.46,6445685
2015-10-22,0.42,0.44,0.45,0.43,0.45,5553416
2015-10-23,0.41,0.43,0.44,0.43,0.44,5687530
2015-10-26,0.43,0.45,0.45,0.42,0.43,10800286
2015-10-27,0.45,0.47,0.5,0.46,0.46,11744558
2015-10-28,0.42,0.45,0.45,0.44,0.45,1259029
2015-10-29,0.41,0.43,0.45,0.43,0.43,6133664
2015-10-30,0.41,0.43,0.44,0.43,0.43,5827118
2015-11-03,0.39,0.41,0.44,0.41,0.44,7836092
2015-11-04,0.41,0.43,0.45,0.41,0.41,8317808
2015-11-05,0.41,0.43,0.45,0.42,0.43,8098846
