Date,Adj Close,Close,High,Low,Open,Volume
2025-04-23,12.86,13.04,13.18,12.77,12.88,10389500
2025-04-24,12.89,13.07,13.14,12.8,12.91,13570900
2025-04-25,13.01,13.2,13.29,12.9,13.04,12037200
2025-04-28,12.97,13.15,13.38,13.14,13.2,9287100
2025-04-29,13.1,13.29,13.53,13.24,13.28,18775100
2025-04-30,13.26,13.45,13.5,13.18,13.28,11705900
2025-05-02,13.78,13.98,13.98,13.07,13.27,6073600
2025-05-05,13.25,13.44,13.93,13.44,13.87,5714300
2025-05-06,13.18,13.37,13.76,13.31,13.57,6970100
2025-05-07,13.13,13.32,13.49,13.08,13.4,5765200
2025-05-08,13.21,13.4,13.8,13.32,13.8,6414500
2025-05-09,12.99,13.18,13.57,13.0,13.51,13163800
2025-05-12,12.81,12.99,13.34,12.91,13.34,4669900
2025-05-13,13.18,13.37,13.45,13.0,13.07,13502900
2025-05-14,13.23,13.42,13.58,13.23,13.23,9021300
2025-05-15,13.05,13.24,13.88,13.22,13.88,10896800
2025-05-16,13.32,13.51,13.51,13.05,13.17,7660500
2025-05-19,13.42,13.61,13.76,13.38,13.7,6438600
2025-05-20,13.61,13.8,13.8,13.28,13.66,12709700
2025-05-21,13.23,13.42,13.75,13.34,13.61,11565200
2025-05-22,13.15,13.34,13.6,13.24,13.34,6420300
2025-05-23,13.28,13.47,13.55,12.94,13.26,8264600
2025-05-26,13.37,13.56,13.86,13.46,13.47,3243300
2025-05-27,13.71,13.91,14.1,13.86,14.0,5045500
2025-05-28,13.77,13.97,14.0,13.75,14.0,3570800
2025-05-29,13.49,13.68,14.1,13.46,14.1,10106200
2025-05-30,13.29,13.48,13.74,13.35,13.68,13033500
2025-06-02,13.21,13.4,13.77,13.25,13.68,6052000
2025-06-03,13.29,13.48,13.48,13.21,13.36,5749700
2025-06-04,13.34,13.53,13.67,13.41,13.5,6327900
2025-06-05,13.31,13.5,13.74,13.46,13.61,10445400
2025-06-06,13.16,13.35,13.56,13.21,13.56,4050100
2025-06-09,13.11,13.3,13.42,13.06,13.34,3968500
2025-06-10,13.21,13.4,13.53,13.35,13.39,5694600
2025-06-11,13.29,13.48,13.62,13.16,13.24,3061700
2025-06-12,13.21,13.4,13.58,13.31,13.32,2919200
2025-06-13,13.18,13.37,13.37,13.15,13.25,4207300
2025-06-16,13.43,13.62,13.77,13.42,13.55,6606200
2025-06-17,13.51,13.7,13.83,13.53,13.75,5680400
2025-06-18,13.53,13.72,13.84,13.63,13.73,6395400
2025-06-20,13.32,13.51,13.79,13.49,13.53,7445600
2025-06-23,13.24,13.43,13.57,13.3,13.45,8986800
2025-06-24,13.54,13.73,13.97,13.27,13.51,8162000
2025-06-25,13.29,13.48,13.63,13.38,13.45,6138100
2025-06-26,13.41,13.6,13.66,13.3,13.59,6322700
2025-06-27,13.32,13.51,13.78,13.48,13.49,5900300
2025-06-30,13.6,13.79,13.94,13.56,13.65,8433500
2025-07-01,13.64,13.83,14.01,13.78,13.82,3762300
2025-07-02,13.4,13.59,13.87,13.42,13.8,5527000
2025-07-03,13.52,13.71,13.8,13.5,13.6,3447500
2025-07-04,13.6,13.79,13.91,13.6,13.65,1660100
2025-07-07,13.5,13.69,13.99,13.58,13.65,5761500
2025-07-08,13.4,13.59,13.77,13.52,13.68,5164700
2025-07-09,13.25,13.44,13.65,13.35,13.48,8883100
2025-07-10,13.01,13.2,13.33,13.07,13.3,11365100
2025-07-11,12.76,12.94,13.22,12.94,13.01,6987400
2025-07-14,12.71,12.89,12.95,12.77,12.9,12782300
2025-07-15,13.05,13.24,13.33,12.93,13.06,8174000
2025-07-16,12.82,13.0,13.39,12.95,13.39,9002800
2025-07-17,12.78,12.96,13.12,12.9,13.0,4518100
2025-07-18,12.37,12.55,12.98,12.5,12.69,10566200
2025-07-21,12.25,12.42,12.63,12.3,12.56,8788800
2025-07-22,12.17,12.34,12.57,12.28,12.44,6207400
2025-07-23,12.35,12.53,12.62,12.24,12.26,8936900
2025-07-24,12.28,12.46,12.66,12.38,12.5,5741300
2025-07-25,12.23,12.4,12.5,12.3,12.46,7083800
2025-07-28,12.13,12.3,12.5,12.25,12.45,5543100
2025-07-29,12.18,12.35,12.44,12.23,12.4,11194600
2025-07-30,12.18,12.35,12.55,12.07,12.3,13230400
2025-07-31,12.14,12.31,12.44,12.14,12.21,8381000
2025-08-01,12.32,12.5,12.7,12.38,12.49,11069800
2025-08-04,12.46,12.64,12.81,12.53,12.64,8177700
2025-08-05,12.58,12.76,13.18,12.7,12.7,11537800
2025-08-06,12.7,12.7,13.01,12.6,12.62,10130800
2025-08-07,12.85,12.85,12.9,12.65,12.65,3791000
2025-08-08,12.84,12.84,13.01,12.78,12.85,5440500
2025-08-11,12.85,12.85,12.97,12.77,12.8,4331400
2025-08-12,13.1,13.1,13.22,12.93,12.99,7020400
2025-08-13,13.09,13.09,13.19,12.95,12.95,5928600
2025-08-14,13.16,13.16,13.37,12.9,12.92,5830000
2025-08-15,13.3,13.3,13.42,13.08,13.16,5443500
2025-08-18,13.34,13.34,13.54,13.32,13.36,5222300
2025-08-19,12.9,12.9,13.24,12.85,13.19,7238500
2025-08-20,13.0,13.0,13.33,12.83,13.05,9075800
2025-08-21,13.25,13.25,13.44,12.87,12.89,7832400
2025-08-22,13.9,13.9,14.04,13.23,13.33,15616500
2025-08-25,13.78,13.78,14.07,13.78,13.91,8194000
2025-08-26,13.7,13.7,13.85,13.63,13.85,9690800
2025-08-27,14.05,14.05,14.12,13.55,13.56,6715800
2025-08-28,14.36,14.36,14.55,14.13,14.23,8639600
2025-08-29,14.4,14.4,14.49,14.26,14.35,8333900
