Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,4.06,6.6,6.75,6.5,6.55,2934437
2015-09-04,4.07,6.61,6.76,6.51,6.61,2162661
2015-09-08,4.15,6.74,6.85,6.61,6.71,1973589
2015-09-09,3.95,6.42,6.88,6.41,6.82,4405980
2015-09-10,3.94,6.4,6.5,6.14,6.16,3646675
2015-09-11,4.06,6.59,6.66,6.34,6.34,1738758
2015-09-14,4.17,6.77,6.88,6.6,6.65,2701416
2015-09-15,4.11,6.68,7.08,6.66,6.76,3335310
2015-09-16,4.22,6.86,6.99,6.72,6.75,2812948
2015-09-17,4.29,6.97,7.01,6.78,6.78,3200043
2015-09-18,4.17,6.77,6.98,6.74,6.88,1651262
2015-09-21,4.11,6.68,6.87,6.54,6.72,1618878
2015-09-22,4.09,6.65,6.74,6.49,6.49,2058772
2015-09-23,4.11,6.67,6.9,6.53,6.71,2986834
2015-09-24,4.2,6.82,6.97,6.47,6.67,2474429
2015-09-25,4.09,6.64,6.95,6.57,6.9,1870706
2015-09-28,4.1,6.66,6.79,6.59,6.66,4086067
2015-09-29,4.16,6.76,6.8,6.63,6.8,4075909
2015-09-30,4.39,7.13,7.21,6.84,6.86,5643597
2015-10-01,3.95,6.41,6.93,6.13,6.76,10431946
2015-10-02,4.18,6.79,6.79,6.18,6.46,4842455
2015-10-05,4.2,6.82,7.08,6.67,6.83,3304234
2015-10-06,4.27,6.94,6.99,6.78,6.84,2198364
2015-10-07,4.17,6.77,7.01,6.54,6.94,2866351
2015-10-08,4.21,6.84,6.94,6.78,6.78,2375770
2015-10-09,4.08,6.62,6.82,6.33,6.79,5001658
2015-10-13,3.97,6.45,6.73,6.42,6.61,3105809
2015-10-14,3.82,6.2,6.53,6.2,6.51,5214364
2015-10-15,3.93,6.39,6.44,6.17,6.26,2673759
2015-10-16,3.97,6.44,6.54,6.29,6.35,1762392
2015-10-19,3.92,6.37,6.52,6.31,6.42,1716130
2015-10-20,3.86,6.26,6.43,6.19,6.37,1622499
2015-10-21,3.82,6.21,6.33,6.14,6.25,1501814
2015-10-22,3.92,6.36,6.37,6.24,6.28,1615056
2015-10-23,3.95,6.42,6.55,6.32,6.43,1784819
2015-10-26,3.96,6.43,6.53,6.36,6.36,1097019
2015-10-27,4.02,6.53,6.64,6.38,6.43,1645429
2015-10-28,4.0,6.5,6.52,6.46,6.47,182736
2015-10-29,4.0,6.49,6.64,6.34,6.45,1498093
2015-10-30,3.9,6.33,6.55,6.3,6.46,2551063
2015-11-03,3.97,6.44,6.54,6.31,6.33,5650738
2015-11-04,3.92,6.36,6.62,6.29,6.46,2363701
2015-11-05,3.89,6.32,6.46,6.31,6.37,2048414
2015-11-06,3.94,6.4,6.51,6.36,6.41,3323744
2015-11-09,3.93,6.38,6.46,6.14,6.42,3007652
2015-11-10,3.89,6.31,6.45,6.16,6.41,1865275
2015-11-11,3.97,6.44,6.46,6.32,6.32,1506139
2015-11-12,3.94,6.4,6.54,6.4,6.43,1145796
2015-11-13,3.82,6.21,6.38,6.21,6.31,1567487
2015-11-16,3.91,6.35,6.39,6.23,6.23,1264066
2015-11-17,4.01,6.52,6.56,6.38,6.38,1479488
2015-11-18,3.98,6.46,6.59,6.46,6.56,1603290
2015-11-19,3.89,6.31,6.55,6.27,6.55,1630142
2015-11-23,4.03,6.55,6.55,6.39,6.51,1740568
2015-11-24,4.12,6.69,6.74,6.46,6.47,1995815
2015-11-25,3.97,6.45,6.7,6.19,6.68,3969003
2015-11-26,3.87,6.29,6.57,6.29,6.51,2222299
2015-11-27,3.87,6.29,6.41,6.1,6.33,2184686
2015-11-30,3.6,5.85,6.25,5.85,6.25,3231723
2015-12-01,3.57,5.81,5.96,5.45,5.88,6862307
2015-12-02,3.76,6.11,6.2,5.72,5.77,2409561
2015-12-03,3.79,6.15,6.32,6.13,6.2,1835406
2015-12-04,3.73,6.06,6.18,5.97,6.1,1664436
2015-12-07,3.82,6.21,6.36,6.08,6.09,2044089
2015-12-08,3.81,6.19,6.29,5.97,6.24,1737350
2015-12-09,3.88,6.3,6.41,6.19,6.27,1733629
2015-12-10,3.89,6.31,6.41,6.19,6.32,1165910
2015-12-11,3.93,6.38,6.48,6.22,6.22,2766887
2015-12-14,3.83,6.22,6.45,6.22,6.35,1270805
2015-12-15,3.86,6.27,6.36,6.15,6.23,1210664
2015-12-16,3.81,6.18,6.29,6.11,6.23,1867186
2015-12-17,3.81,6.18,6.41,6.17,6.23,2033127
2015-12-18,3.82,6.21,6.41,6.01,6.14,2707148
2015-12-21,3.76,6.11,6.35,5.99,6.25,2008185
2015-12-22,3.79,6.16,6.18,6.07,6.14,1151730
2015-12-23,3.89,6.31,6.41,6.18,6.2,2331720
2015-12-28,3.89,6.31,6.48,6.3,6.32,775396
2015-12-29,3.81,6.19,6.41,6.12,6.35,1072681
2015-12-30,3.89,6.31,6.38,6.16,6.23,2339363
2016-01-04,3.81,6.19,6.31,6.09,6.27,1541339
2016-01-05,3.64,5.92,6.28,5.92,6.21,1758268
2016-01-06,3.62,5.89,6.0,5.79,5.92,2113281
2016-01-07,3.47,5.64,5.86,5.58,5.86,2501080
2016-01-08,3.61,5.87,5.99,5.62,5.65,8107467
2016-01-11,3.67,5.97,6.06,5.83,5.83,4184223
2016-01-12,3.57,5.81,6.1,5.72,6.0,3223878
2016-01-13,3.51,5.7,6.0,5.69,5.89,2222601
2016-01-14,3.53,5.74,5.88,5.53,5.67,1973388
2016-01-15,3.43,5.57,5.76,5.46,5.66,2800478
2016-01-18,3.43,5.57,5.66,5.38,5.63,1768426
2016-01-19,3.43,5.57,5.87,5.54,5.63,4631057
2016-01-20,3.35,5.45,5.6,5.29,5.47,3465045
2016-01-21,3.44,5.59,5.59,5.39,5.46,2324982
2016-01-22,3.58,5.82,5.82,5.53,5.63,3249624
2016-01-26,3.5,5.69,5.91,5.44,5.78,4511076
2016-01-27,3.43,5.57,5.75,5.5,5.69,4509869
