Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,4.64,5.7,5.8,5.49,5.56,4453847
2015-09-04,4.63,5.69,5.75,5.6,5.7,2820916
2015-09-08,4.68,5.75,5.91,5.64,5.64,3586287
2015-09-09,4.7,5.77,6.0,5.69,5.83,5129129
2015-09-10,4.53,5.56,5.73,5.55,5.59,4396868
2015-09-11,4.66,5.73,5.85,5.51,5.51,2397311
2015-09-14,4.71,5.79,5.95,5.64,5.74,2982504
2015-09-15,4.89,6.02,6.25,5.69,5.69,5069180
2015-09-16,5.12,6.3,6.45,6.06,6.13,8614548
2015-09-17,5.07,6.24,6.34,6.13,6.22,4537886
2015-09-18,4.91,6.04,6.18,5.86,6.15,4585185
2015-09-21,4.75,5.85,6.15,5.85,6.15,3415569
2015-09-22,4.74,5.83,5.92,5.64,5.73,3101743
2015-09-23,4.67,5.74,5.89,5.67,5.83,3365960
2015-09-24,4.77,5.86,5.96,5.53,5.56,3999552
2015-09-25,4.6,5.65,6.01,5.65,6.01,2282033
2015-09-28,4.58,5.63,5.72,5.56,5.59,918709
2015-09-29,4.65,5.72,5.75,5.53,5.71,1248595
2015-09-30,4.5,5.54,5.86,5.54,5.77,4679784
2015-10-01,4.73,5.82,5.82,5.55,5.55,3065663
2015-10-02,4.88,6.0,6.02,5.74,5.78,3466609
2015-10-05,4.96,6.1,6.29,5.95,5.96,3147502
2015-10-06,4.96,6.1,6.31,6.04,6.04,2958085
2015-10-07,5.16,6.35,6.43,6.12,6.12,4678794
2015-10-08,5.12,6.3,6.4,6.23,6.4,2062255
2015-10-09,5.31,6.53,6.61,6.31,6.31,3564507
2015-10-13,5.24,6.45,6.69,6.45,6.48,8027375
2015-10-14,5.22,6.42,6.57,6.35,6.4,4891202
2015-10-15,5.35,6.57,6.59,6.45,6.45,3420409
2015-10-16,5.37,6.6,6.62,6.47,6.56,3581777
2015-10-19,5.57,6.85,6.93,6.47,6.55,8365841
2015-10-20,5.43,6.68,6.94,6.61,6.82,3045424
2015-10-21,5.49,6.75,6.85,6.61,6.71,1317564
2015-10-22,5.46,6.71,6.94,6.67,6.82,1566601
2015-10-23,5.37,6.6,6.87,6.56,6.79,1591791
2015-10-26,5.39,6.63,6.7,6.51,6.55,902759
2015-10-27,5.35,6.57,6.65,6.46,6.6,1174016
2015-10-28,5.5,6.76,6.77,6.75,6.76,166978
2015-10-29,5.38,6.61,6.8,6.54,6.64,2589809
2015-10-30,5.49,6.75,6.85,6.54,6.6,3034754
2015-11-03,5.76,7.08,7.25,6.71,6.73,2849406
2015-11-04,5.87,7.22,7.42,7.12,7.13,2847096
2015-11-05,6.0,7.37,7.46,7.22,7.22,1848418
2015-11-06,5.87,7.22,7.42,7.13,7.35,2304692
2015-11-09,5.96,7.33,7.53,7.15,7.18,2142334
2015-11-10,5.93,7.29,7.37,7.16,7.27,1999666
2015-11-11,6.16,7.57,7.67,7.35,7.35,3241001
2015-11-12,6.14,7.55,7.7,7.45,7.59,1622920
2015-11-13,6.3,7.75,7.83,7.47,7.5,3994492
2015-11-16,6.43,7.91,7.91,7.74,7.74,2961934
2015-11-17,6.65,8.18,8.32,7.96,7.96,5029470
2015-11-18,6.37,7.83,8.3,7.83,8.13,8338231
2015-11-19,6.54,8.04,8.11,7.85,7.85,3336040
2015-11-23,6.5,7.99,8.16,7.95,8.16,1733469
2015-11-24,6.51,8.0,8.05,7.89,7.94,2473870
2015-11-25,6.35,7.81,7.99,7.77,7.95,2733027
2015-11-26,6.51,8.01,8.04,7.75,7.76,2026286
2015-11-27,6.34,7.8,8.12,7.76,7.95,2266633
2015-11-30,6.11,7.51,7.82,7.38,7.77,3006044
2015-12-01,6.36,7.82,8.0,7.34,7.55,8612128
2015-12-02,6.18,7.6,7.95,7.58,7.78,2432731
2015-12-03,6.52,8.02,8.08,7.82,7.82,2788907
2015-12-04,6.47,7.95,8.08,7.89,7.96,2024196
2015-12-07,6.63,8.15,8.22,8.01,8.01,2426681
2015-12-08,6.43,7.91,8.27,7.79,8.25,1720269
2015-12-09,6.56,8.06,8.15,7.95,7.96,2628858
2015-12-10,6.43,7.91,8.09,7.75,8.09,2249693
2015-12-11,6.48,7.96,8.13,7.75,7.84,5240008
2015-12-14,6.43,7.9,8.09,7.84,7.91,3205472
2015-12-15,6.38,7.85,8.08,7.83,7.91,2509840
2015-12-16,6.25,7.68,7.88,7.53,7.79,2511600
2015-12-17,6.62,8.14,8.16,7.76,7.76,5266077
2015-12-18,6.47,7.95,8.08,7.9,8.05,2940925
2015-12-21,6.39,7.85,8.05,7.76,7.92,1035967
2015-12-22,6.32,7.77,7.96,7.71,7.9,914199
2015-12-23,6.36,7.82,7.89,7.74,7.83,1411503
2015-12-28,6.54,8.04,8.12,7.8,7.82,2347482
2015-12-29,6.47,7.95,8.15,7.95,8.09,1403803
2015-12-30,6.42,7.89,7.97,7.68,7.95,1771529
2016-01-04,6.16,7.57,7.82,7.55,7.79,1943787
2016-01-05,6.28,7.72,7.76,7.59,7.65,2804086
2016-01-06,6.13,7.54,7.68,7.44,7.65,3042454
2016-01-07,6.1,7.5,7.54,7.32,7.48,3400279
2016-01-08,6.11,7.51,7.61,7.41,7.41,1802108
2016-01-11,6.22,7.65,7.8,7.52,7.58,2937405
2016-01-12,6.35,7.81,7.85,7.7,7.73,2746337
2016-01-13,6.21,7.64,7.89,7.58,7.85,2538000
2016-01-14,6.21,7.64,7.67,7.45,7.63,3954893
2016-01-15,6.14,7.55,7.63,7.35,7.63,2529860
2016-01-18,6.03,7.42,7.55,7.4,7.49,1299634
2016-01-19,6.03,7.42,7.63,7.38,7.54,1553071
2016-01-20,5.99,7.36,7.47,7.3,7.36,5241988
2016-01-21,6.12,7.53,7.6,7.31,7.36,4853692
2016-01-22,6.36,7.82,7.82,7.58,7.58,5350116
2016-01-26,6.38,7.85,7.96,7.66,7.75,5376956
2016-01-27,6.57,8.07,8.21,7.84,7.85,4514786
2016-01-28,6.57,8.07,8.15,7.9,8.15,4065331
2016-01-29,6.77,8.32,8.43,8.05,8.13,7680219
2016-02-01,6.77,8.32,8.43,8.2,8.31,2909025
2016-02-02,6.73,8.27,8.35,8.15,8.3,4215700
2016-02-03,6.76,8.31,8.45,8.19,8.33,5138149
2016-02-04,6.77,8.32,8.4,8.27,8.35,3296881
2016-02-05,6.77,8.32,8.39,8.25,8.38,2196674
2016-02-10,6.63,8.15,8.2,8.03,8.03,1380483
2016-02-11,6.73,8.27,8.33,7.95,8.14,3277521
2016-02-12,6.57,8.08,8.38,8.02,8.27,1504782
2016-02-15,6.68,8.21,8.3,8.07,8.07,963588
2016-02-16,6.69,8.23,8.33,8.15,8.15,3194142
2016-02-17,6.84,8.41,8.44,8.16,8.31,4245839
2016-02-18,6.97,8.57,8.64,8.41,8.45,5656243
2016-02-19,7.22,8.87,8.95,8.46,8.63,7561200
2016-02-22,7.45,9.15,9.22,9.02,9.02,5584524
2016-02-23,7.29,8.96,9.38,8.93,9.09,5603553
2016-02-24,7.53,9.26,9.42,8.77,8.86,8092054
