Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,10.63,13.83,13.97,13.36,13.69,3474000
2015-09-04,10.23,13.32,13.74,13.32,13.57,2614500
2015-09-08,10.38,13.51,13.69,13.24,13.57,1378800
2015-09-09,10.51,13.68,13.87,13.59,13.74,3044100
2015-09-10,10.3,13.4,13.4,13.13,13.29,4479600
2015-09-11,10.72,13.95,14.03,13.29,13.33,2647800
2015-09-14,11.01,14.33,14.33,13.67,14.0,2200200
2015-09-15,10.9,14.18,14.41,13.74,14.41,2008800
2015-09-16,11.11,14.46,14.78,14.18,14.18,1908900
2015-09-17,10.86,14.14,14.62,14.04,14.18,2503500
2015-09-18,10.77,14.02,14.27,13.71,13.94,3024600
2015-09-21,10.56,13.75,14.02,13.58,13.92,1252500
2015-09-22,10.85,14.11,14.13,13.42,13.52,3230400
2015-09-23,10.69,13.91,14.13,13.78,13.94,3660900
2015-09-24,10.54,13.72,13.9,13.17,13.37,5400600
2015-09-25,10.59,13.78,14.21,13.78,13.88,3420900
2015-09-28,10.39,13.53,14.19,13.53,13.78,3114300
2015-09-29,10.7,13.92,14.07,13.5,13.5,6002100
2015-09-30,10.86,14.13,14.46,13.92,14.45,3427500
2015-10-01,10.77,14.02,14.33,13.58,14.33,2146200
2015-10-02,11.18,14.54,14.69,13.88,14.0,2970000
2015-10-05,11.17,14.54,15.0,14.37,14.83,1718100
2015-10-06,11.19,14.56,14.92,14.39,14.56,2510700
2015-10-07,11.11,14.45,15.09,14.43,14.79,3440100
2015-10-08,11.65,15.16,15.36,14.4,14.4,3204900
2015-10-09,11.64,15.14,15.57,14.63,15.43,3852900
2015-10-13,11.5,14.96,15.35,14.82,15.04,1847400
2015-10-14,11.28,14.68,15.19,14.48,14.86,3450600
2015-10-15,11.17,14.54,15.04,14.47,14.5,1892700
2015-10-16,11.33,14.74,15.0,14.4,14.63,1685700
2015-10-19,11.37,14.79,15.0,14.54,14.84,1575300
2015-10-20,11.07,14.4,14.98,14.29,14.78,2088000
2015-10-21,11.14,14.5,14.76,14.39,14.47,1626000
2015-10-22,11.38,14.81,15.1,14.57,14.57,1202100
2015-10-23,11.39,14.82,15.24,14.77,15.04,1708200
2015-10-26,11.26,14.66,15.1,14.56,14.93,1053000
2015-10-27,11.48,14.93,15.05,14.52,14.65,2198700
2015-10-28,11.41,14.85,14.87,14.75,14.77,142500
2015-10-29,10.71,13.93,14.51,13.87,14.37,3244200
2015-10-30,10.78,14.02,14.19,13.86,13.92,2970300
2015-11-03,11.19,14.56,14.75,13.81,14.02,2615100
2015-11-04,11.26,14.65,15.09,14.53,14.66,3993900
2015-11-05,11.67,15.18,15.23,14.62,14.65,2444400
2015-11-06,11.32,14.73,15.24,14.48,15.18,2939700
2015-11-09,11.17,14.53,14.78,14.42,14.53,1567800
2015-11-10,11.3,14.7,14.7,14.22,14.48,2370300
2015-11-11,11.43,14.88,15.2,14.8,14.8,2347200
2015-11-12,11.43,14.88,15.35,14.72,15.0,2103300
2015-11-13,11.55,15.03,15.1,14.62,14.78,2368200
2015-11-16,11.45,14.9,15.15,14.8,14.97,1272600
2015-11-17,11.74,15.28,15.36,14.97,14.99,3039600
2015-11-18,11.78,15.32,15.46,15.19,15.31,1668300
2015-11-19,11.67,15.18,15.52,15.0,15.4,2947800
