Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,21.97,22.5,23.68,21.97,23.03,852100
2015-09-04,20.99,21.5,22.54,21.5,22.1,1908200
2015-09-08,20.78,21.29,21.95,21.02,21.72,1307400
2015-09-09,20.52,21.02,21.71,21.0,21.5,1021900
2015-09-10,20.26,20.75,21.0,20.3,20.35,1440500
2015-09-11,20.26,20.75,21.09,20.37,20.56,2212700
2015-09-14,20.5,21.0,21.18,20.68,20.8,699800
2015-09-15,19.92,20.4,21.19,20.4,21.19,524800
2015-09-16,20.3,20.79,20.97,20.4,20.53,1568800
2015-09-17,20.75,21.25,21.48,20.85,20.89,1984600
2015-09-18,20.24,20.73,21.42,20.48,21.38,1372100
2015-09-21,19.5,19.97,20.91,19.89,20.9,752300
2015-09-22,19.16,19.63,20.0,19.62,20.0,778600
2015-09-23,19.03,19.49,19.94,19.49,19.8,1265300
2015-09-24,18.71,19.17,19.45,18.76,19.45,1129500
2015-09-25,18.57,19.02,19.67,19.02,19.42,703200
2015-09-28,18.34,18.79,19.14,18.67,19.14,1329600
2015-09-29,18.45,18.9,19.25,18.79,18.79,847800
2015-09-30,19.04,19.5,19.79,19.14,19.48,2354900
2015-10-01,19.09,19.55,19.97,19.26,19.6,5319100
2015-10-02,19.52,20.0,20.19,19.4,19.64,1146200
2015-10-05,20.18,20.67,21.0,20.38,20.38,1089700
2015-10-06,20.55,21.05,21.29,20.62,20.76,1464900
2015-10-07,21.65,22.18,23.3,21.2,21.31,2244300
2015-10-08,22.11,22.65,22.97,22.23,22.25,1112200
2015-10-09,22.89,23.45,23.71,22.9,23.0,1980400
2015-10-13,21.68,22.21,23.87,22.0,23.47,1447100
2015-10-14,22.06,22.6,23.34,22.05,22.5,2173200
2015-10-15,22.43,22.98,23.42,22.79,22.97,1280200
2015-10-16,22.07,22.61,23.35,22.22,23.35,1420600
2015-10-19,22.4,22.95,23.16,22.4,22.57,596800
2015-10-20,22.26,22.8,23.39,22.75,23.13,816000
2015-10-21,22.4,22.95,23.2,22.82,22.83,626300
2015-10-22,21.67,22.2,22.74,21.71,22.7,2402400
2015-10-23,21.52,22.04,22.88,22.04,22.4,832100
2015-10-26,22.21,22.75,22.9,22.13,22.13,890600
2015-10-27,22.46,23.01,23.25,22.62,22.8,761200
2015-10-28,22.73,23.28,23.43,22.99,23.22,105400
2015-10-29,21.92,22.45,23.73,22.45,23.02,797500
2015-10-30,22.36,22.9,23.09,22.48,22.58,935100
2015-11-03,24.62,25.22,25.39,22.94,22.94,2067900
2015-11-04,25.06,25.67,26.1,25.1,25.19,1829200
2015-11-05,24.39,24.98,26.06,24.75,25.68,1832100
2015-11-06,23.41,23.98,25.22,23.93,24.98,1633100
2015-11-09,23.3,23.87,24.59,23.75,24.0,724600
2015-11-10,22.83,23.39,24.21,23.25,23.76,742100
2015-11-11,23.19,23.75,24.33,23.4,23.7,1231100
2015-11-12,23.08,23.64,24.4,23.64,24.1,1513200
2015-11-13,22.8,23.35,23.84,23.31,23.71,869300
2015-11-16,23.04,23.6,23.69,23.3,23.49,825500
2015-11-17,23.71,24.29,24.58,23.78,23.8,1653600
2015-11-18,24.06,24.65,25.15,24.3,24.3,1817000
2015-11-19,23.43,24.0,25.36,23.78,25.17,1788700
2015-11-23,23.72,24.3,24.89,23.9,24.29,1296800
2015-11-24,23.31,23.88,24.62,23.84,24.06,1629900
2015-11-25,22.51,23.06,23.99,23.02,23.85,1494600
2015-11-26,22.78,23.33,23.7,23.1,23.1,756900
2015-11-27,21.93,22.46,23.63,22.46,23.44,800100
2015-11-30,20.68,21.18,22.59,21.18,22.47,2306000
2015-12-01,21.0,21.51,21.79,21.22,21.4,1178000
2015-12-02,21.35,21.87,22.41,21.33,21.56,940400
2015-12-03,22.45,23.0,23.57,22.34,22.5,1653200
2015-12-04,22.65,23.2,23.45,22.73,23.01,1439700
2015-12-07,23.0,23.56,24.25,23.39,23.39,944000
2015-12-08,22.65,23.2,24.01,23.07,23.68,995100
2015-12-09,23.88,24.46,24.9,23.41,23.48,1574300
2015-12-10,24.39,24.98,24.99,24.36,24.62,1832700
2015-12-11,25.17,25.78,25.87,24.39,24.89,1792600
2015-12-14,25.06,25.67,26.17,25.3,25.61,1118500
2015-12-15,26.71,27.36,27.8,25.87,25.93,1587400
2015-12-16,26.85,27.5,27.85,26.71,27.15,1878000
2015-12-17,27.19,27.85,28.22,27.26,27.85,2234500
2015-12-18,26.43,27.07,28.11,26.52,27.38,1805800
2015-12-21,24.41,25.0,27.44,25.0,26.8,1818200
2015-12-22,23.78,24.36,25.98,24.08,25.37,1211200
2015-12-23,24.26,24.85,24.97,24.26,24.66,864600
2015-12-28,23.55,24.12,25.16,24.12,24.86,734700
2015-12-29,22.85,23.41,24.5,23.41,24.12,994400
2015-12-30,22.93,23.49,24.09,23.25,23.45,1025400
2016-01-04,23.15,23.71,24.01,23.0,23.39,1080300
2016-01-05,23.39,23.96,24.48,23.52,23.85,870000
2016-01-06,23.67,24.25,24.49,23.6,23.85,720900
2016-01-07,22.75,23.3,24.2,23.3,24.0,1322900
2016-01-08,22.19,22.73,23.83,22.73,23.36,1011400
2016-01-11,22.14,22.68,23.53,22.55,22.93,1037600
2016-01-12,22.27,22.81,23.35,22.71,23.0,562700
2016-01-13,22.26,22.8,23.28,22.71,23.04,988400
2016-01-14,22.21,22.75,23.45,22.75,22.81,966600
2016-01-15,22.21,22.75,23.39,22.2,22.71,1173800
2016-01-18,22.12,22.66,23.28,22.66,22.98,472700
2016-01-19,21.48,22.0,23.29,21.74,23.01,1451700
2016-01-20,20.89,21.4,21.96,20.88,21.48,1596500
2016-01-21,20.79,21.3,21.59,21.0,21.19,946500
2016-01-22,21.09,21.6,22.09,21.41,21.41,750300
2016-01-26,20.99,21.5,21.88,21.12,21.59,1015500
2016-01-27,21.67,22.2,22.92,21.3,21.3,1187700
2016-01-28,21.27,21.79,22.61,21.7,22.31,926800
2016-01-29,21.88,22.41,22.8,21.9,21.9,1683600
2016-02-01,22.7,23.25,23.4,22.42,22.42,831800
2016-02-02,22.93,23.49,23.87,22.88,22.99,1151900
2016-02-03,24.06,24.65,24.7,23.61,23.75,974000
2016-02-04,25.38,26.0,26.89,24.71,24.71,1966000
2016-02-05,25.98,26.61,26.99,25.94,26.0,964500
2016-02-10,25.43,26.05,26.24,25.33,26.2,929600
2016-02-11,25.68,26.3,26.49,25.71,25.83,989400
2016-02-12,25.88,26.51,27.16,26.1,26.3,890500
2016-02-15,25.72,26.35,27.26,26.35,27.01,894900
2016-02-16,25.87,26.5,26.79,26.23,26.49,990000
2016-02-17,24.94,25.55,27.0,25.55,26.7,1254200
2016-02-18,26.07,26.7,27.09,24.59,24.85,1552300
2016-02-19,25.66,26.28,26.74,26.21,26.36,749200
