Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,7.0,9.68,9.68,9.68,9.68,0
2015-09-04,7.0,9.68,9.68,9.68,9.68,0
2015-09-08,7.0,9.68,9.68,9.68,9.68,0
2015-09-09,7.0,9.68,9.68,9.68,9.68,0
2015-09-10,7.0,9.68,9.68,9.68,9.68,0
2015-09-11,7.0,9.68,9.68,9.68,9.68,0
2015-09-14,7.0,9.68,9.68,9.68,9.68,0
2015-09-15,7.0,9.68,9.68,9.68,9.68,0
2015-09-16,7.0,9.68,9.68,9.68,9.68,0
2015-09-17,7.0,9.68,9.68,9.68,9.68,0
2015-09-18,7.0,9.68,9.68,9.68,9.68,0
2015-09-21,7.0,9.68,9.68,9.68,9.68,0
2015-09-22,7.0,9.68,9.68,9.68,9.68,0
2015-09-23,7.0,9.68,9.68,9.68,9.68,0
2015-09-24,7.0,9.68,9.68,9.68,9.68,0
2015-09-25,7.0,9.68,9.68,9.68,9.68,0
2015-09-28,7.0,9.68,9.68,9.68,9.68,0
2015-09-29,7.0,9.68,9.68,9.68,9.68,0
2015-09-30,7.0,9.68,9.68,9.68,9.68,0
2015-10-01,7.0,9.68,9.68,9.68,9.68,0
2015-10-02,7.0,9.68,9.68,9.68,9.68,0
2015-10-05,7.0,9.68,9.68,9.68,9.68,0
2015-10-06,7.0,9.68,9.68,9.68,9.68,0
2015-10-07,7.0,9.68,9.68,9.68,9.68,0
2015-10-08,5.29,7.32,7.32,7.32,7.32,755
2015-10-09,5.29,7.32,7.32,7.32,7.32,0
2015-10-13,5.29,7.32,7.32,7.32,7.32,0
2015-10-14,5.29,7.32,7.32,7.32,7.32,0
2015-10-15,5.29,7.32,7.32,7.32,7.32,0
2015-10-16,5.29,7.32,7.32,7.32,7.32,0
2015-10-19,5.29,7.32,7.32,7.32,7.32,0
2015-10-20,5.29,7.32,7.32,7.32,7.32,0
2015-10-21,5.29,7.32,7.32,7.32,7.32,0
2015-10-22,5.29,7.32,7.32,7.32,7.32,0
2015-10-23,5.29,7.32,7.32,7.32,7.32,0
2015-10-26,5.29,7.32,7.32,7.32,7.32,0
2015-10-27,5.29,7.32,7.32,7.32,7.32,0
2015-10-28,5.29,7.32,7.32,7.32,7.32,0
2015-10-29,5.29,7.32,7.32,7.32,7.32,0
