Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,3.01,10.24,10.83,10.04,10.33,29821100
2015-09-04,2.91,9.9,10.33,9.9,10.1,16385300
2015-09-08,2.95,10.05,10.27,9.94,10.17,16840600
2015-09-09,2.84,9.68,10.39,9.68,10.2,28047900
2015-09-10,2.73,9.31,9.57,9.15,9.15,24682100
2015-09-11,2.59,8.81,9.3,8.81,9.2,16753500
2015-09-14,2.59,8.83,9.0,8.57,8.84,16543500
2015-09-15,2.56,8.73,9.03,8.64,8.9,12618000
2015-09-16,2.78,9.48,9.57,8.84,8.88,18979000
2015-09-17,2.73,9.28,9.6,9.22,9.39,19159500
2015-09-18,2.62,8.91,9.25,8.8,9.2,19306000
2015-09-21,2.53,8.62,9.05,8.62,8.97,8479000
2015-09-22,2.45,8.35,8.52,8.16,8.51,10890500
2015-09-23,2.43,8.26,8.59,8.06,8.4,20278100
2015-09-24,2.44,8.3,8.6,8.0,8.06,18437200
2015-09-25,2.37,8.08,8.61,7.98,8.4,16702000
2015-09-28,2.25,7.67,8.05,7.66,8.01,11763500
2015-09-29,2.31,7.85,8.17,7.71,7.71,19091900
2015-09-30,2.51,8.54,8.62,8.2,8.6,32369200
2015-10-01,2.46,8.37,8.86,8.29,8.7,15479600
2015-10-02,2.69,9.15,9.38,8.27,8.34,21661700
2015-10-05,2.76,9.4,9.77,9.27,9.36,16608900
2015-10-06,2.9,9.89,10.13,9.5,9.58,15749600
2015-10-07,3.05,10.4,11.0,10.18,10.45,30096000
2015-10-08,3.16,10.75,10.95,10.14,10.44,18560100
2015-10-09,3.15,10.71,11.18,10.58,11.08,27296100
2015-10-13,2.89,9.84,10.33,9.78,10.23,17862500
2015-10-14,2.81,9.56,10.0,9.5,9.76,29349200
2015-10-15,2.84,9.66,9.71,9.23,9.68,14049600
2015-10-16,2.85,9.7,9.87,9.43,9.65,11176500
2015-10-19,2.84,9.67,9.71,9.43,9.69,11924800
2015-10-20,2.88,9.8,10.0,9.63,9.8,12460400
2015-10-21,2.79,9.49,9.79,9.4,9.7,9749100
2015-10-22,2.87,9.78,9.91,9.54,9.55,10755200
2015-10-23,2.85,9.69,10.05,9.64,10.05,12267300
2015-10-26,2.82,9.61,9.88,9.51,9.75,7240100
2015-10-27,2.71,9.24,9.63,9.22,9.6,9332100
2015-10-28,2.76,9.4,9.72,9.2,9.21,1022500
2015-10-29,2.73,9.3,9.8,9.28,9.28,13885300
2015-10-30,2.75,9.38,9.53,9.18,9.25,9324600
2015-11-03,3.1,10.56,10.56,9.51,9.58,19280400
2015-11-04,2.9,9.89,10.8,9.87,10.57,13726800
2015-11-05,2.91,9.9,10.1,9.66,9.9,9185400
2015-11-06,2.81,9.58,9.94,9.41,9.84,10719800
2015-11-09,2.72,9.27,9.74,9.26,9.53,14441800
2015-11-10,2.7,9.21,9.34,9.09,9.23,12190600
2015-11-11,2.72,9.26,9.52,9.16,9.31,16809600
2015-11-12,2.65,9.02,9.31,9.02,9.17,11921000
2015-11-13,2.58,8.78,9.1,8.67,8.9,31428600
2015-11-16,2.75,9.38,9.4,8.84,8.84,16794400
2015-11-17,2.77,9.42,9.64,9.3,9.5,13719700
2015-11-18,2.8,9.52,9.8,9.43,9.45,12316400
2015-11-19,2.79,9.51,9.73,9.23,9.73,17951800
2015-11-23,2.89,9.85,9.87,9.5,9.65,14279900
2015-11-24,3.07,10.45,10.58,9.8,9.81,16262500
2015-11-25,2.84,9.66,10.28,9.66,10.17,18576000
2015-11-26,2.85,9.7,9.88,9.59,9.69,6929600
2015-11-27,2.74,9.33,9.69,9.33,9.6,12721400
2015-11-30,2.76,9.41,9.71,9.12,9.25,31244800
2015-12-01,2.71,9.24,9.56,9.21,9.35,13847500
2015-12-02,2.78,9.47,9.47,9.1,9.27,18471600
2015-12-03,2.88,9.8,10.3,9.62,9.94,25525400
2015-12-04,2.68,9.13,10.0,9.05,9.75,22133300
2015-12-07,2.54,8.64,9.27,8.62,9.21,15425300
2015-12-08,2.51,8.54,8.74,8.36,8.65,12474800
2015-12-09,2.78,9.46,9.65,8.78,8.9,23192200
2015-12-10,2.7,9.2,9.46,9.07,9.3,23037500
2015-12-11,2.6,8.85,9.39,8.84,9.02,20315400
2015-12-14,2.58,8.77,8.93,8.61,8.79,12345400
2015-12-15,2.67,9.1,9.14,8.88,8.89,8283500
2015-12-16,2.63,8.95,9.09,8.74,8.99,9814000
2015-12-17,2.59,8.82,9.36,8.82,9.2,11469100
2015-12-18,2.54,8.66,8.84,8.51,8.51,16447100
2015-12-21,2.44,8.31,8.75,8.18,8.67,10087400
2015-12-22,2.51,8.54,8.6,8.19,8.41,7498300
2015-12-23,2.61,8.88,8.98,8.7,8.74,11095900
2015-12-28,2.53,8.61,8.87,8.57,8.87,5461400
2015-12-29,2.52,8.57,8.89,8.51,8.71,5183400
2015-12-30,2.52,8.57,8.63,8.37,8.57,8649000
2016-01-04,2.55,8.67,8.96,8.31,8.31,16912500
2016-01-05,2.48,8.45,8.89,8.35,8.73,9146500
2016-01-06,2.37,8.06,8.25,8.06,8.22,9908400
2016-01-07,2.3,7.83,8.07,7.65,7.72,10777500
2016-01-08,2.31,7.86,8.04,7.68,8.0,10759800
2016-01-11,2.23,7.58,7.89,7.52,7.89,8459800
2016-01-12,2.06,7.0,7.64,6.83,7.62,15797700
2016-01-13,2.0,6.8,7.28,6.8,7.18,14299300
2016-01-14,2.12,7.23,7.28,6.6,6.8,14608000
2016-01-15,1.97,6.71,7.04,6.61,6.94,16477400
2016-01-18,1.85,6.3,6.77,6.3,6.76,5738000
2016-01-19,1.81,6.15,6.68,6.15,6.68,13364200
2016-01-20,1.74,5.93,5.99,5.67,5.93,12696100
2016-01-21,1.85,6.29,6.47,5.91,5.94,19709900
2016-01-22,1.82,6.21,6.76,6.21,6.6,26399700
2016-01-26,1.75,5.96,6.24,5.86,6.1,13040400
2016-01-27,1.92,6.54,6.79,5.9,5.98,21493300
2016-01-28,1.91,6.52,7.36,6.23,6.7,25596800
2016-01-29,2.04,6.93,6.97,6.41,6.61,29053400
2016-02-01,1.93,6.58,7.04,6.55,6.81,17751700
2016-02-02,1.77,6.02,6.55,6.02,6.38,13664300
2016-02-03,1.81,6.18,6.32,5.93,6.1,15966400
2016-02-04,1.96,6.67,7.0,6.06,6.3,27839800
2016-02-05,1.88,6.39,6.82,6.39,6.61,14089800
2016-02-10,1.8,6.12,6.21,6.02,6.04,11824000
2016-02-11,1.74,5.91,6.05,5.78,5.89,12812600
2016-02-12,1.85,6.31,6.42,6.06,6.17,14200200
2016-02-15,1.89,6.43,6.6,6.43,6.52,3822100
2016-02-16,1.85,6.29,6.66,6.29,6.44,13694000
2016-02-17,1.99,6.78,6.97,6.41,6.41,24782600
2016-02-18,1.94,6.6,7.07,6.58,6.8,14730400
2016-02-19,1.87,6.38,6.55,6.31,6.53,10001500
2016-02-22,2.18,7.41,7.42,6.65,6.71,22126000
2016-02-23,2.08,7.08,7.75,7.03,7.26,20439100
2016-02-24,2.06,7.03,7.15,6.74,6.83,14172300
2016-02-25,2.05,6.98,7.3,6.85,6.96,13320200
2016-02-26,2.02,6.89,7.35,6.87,7.24,10907400
2016-02-29,2.16,7.35,7.48,7.1,7.15,17867800
2016-03-01,2.22,7.57,7.67,7.21,7.59,21920700
2016-03-02,2.38,8.1,8.14,7.38,7.47,19386300
2016-03-03,2.68,9.11,9.36,8.23,8.3,50863300
2016-03-04,2.93,9.98,10.51,9.11,9.11,52918800
2016-03-07,2.91,9.91,10.4,9.67,10.2,22803500
2016-03-08,2.83,9.65,10.52,9.37,9.9,35828200
2016-03-09,2.81,9.56,10.09,9.4,9.96,28823300
2016-03-10,2.88,9.81,9.94,9.23,9.83,31324900
2016-03-11,2.96,10.09,10.25,9.57,9.8,14230000
2016-03-14,2.8,9.54,10.19,9.52,10.16,16408600
2016-03-15,2.62,8.91,9.17,8.71,8.99,26944700
2016-03-16,2.82,9.6,9.69,8.77,8.91,21836600
2016-03-17,3.07,10.44,10.66,10.02,10.52,36588400
2016-03-18,3.02,10.3,10.59,9.84,10.55,27464600
2016-03-21,3.01,10.25,10.49,10.03,10.19,10381000
2016-03-22,3.08,10.48,10.59,9.85,10.0,21415900
2016-03-23,2.91,9.92,10.33,9.86,10.2,14058300
2016-03-24,2.93,9.99,10.18,9.36,9.66,14529800
2016-03-28,3.12,10.63,10.73,9.99,10.45,12959100
2016-03-29,3.12,10.63,10.94,10.23,10.5,14787100
2016-03-30,3.14,10.7,11.29,10.63,10.9,20811100
2016-03-31,3.12,10.63,10.9,10.48,10.63,24100
2016-04-01,3.09,10.53,10.53,10.53,10.53,63500
2016-04-04,2.82,9.6,10.45,9.52,10.16,25100
2016-04-05,2.88,9.82,10.07,9.39,9.52,48700
2016-04-06,2.86,9.73,10.16,9.71,9.76,64400
2016-04-07,2.92,9.94,10.06,9.73,9.99,29500
2016-04-08,3.08,10.49,10.67,10.38,10.4,17219200
2016-04-11,3.06,10.42,10.75,10.36,10.6,227200
2016-04-12,3.33,11.35,11.52,10.55,10.62,30000
2016-04-13,3.47,11.83,12.07,11.39,11.71,140600
2016-04-14,3.37,11.47,12.11,11.31,11.95,16036300
2016-04-15,3.51,11.95,12.25,11.29,11.59,16220900
2016-04-18,3.46,11.77,12.3,11.09,11.88,15257500
2016-04-19,3.63,12.36,12.48,11.8,11.92,16100
2016-04-20,3.62,12.34,12.61,12.03,12.1,22798700
2016-04-22,3.79,12.9,13.21,12.14,12.14,17158500
2016-04-25,3.63,12.36,13.1,12.23,12.8,8756900
2016-04-26,3.75,12.78,12.94,12.39,12.48,9609100
2016-04-27,3.94,13.4,13.47,12.91,12.98,19030200
2016-04-28,3.99,13.57,13.97,13.28,13.46,13095600
2016-04-29,3.9,13.27,13.84,13.11,13.75,11832800
2016-05-02,3.9,13.27,13.53,12.84,13.33,7876000
2016-05-03,3.76,12.82,13.2,12.69,13.2,8180300
2016-05-04,3.81,12.96,13.3,12.8,12.9,9468600
2016-05-05,3.71,12.64,13.54,12.35,13.43,8752100
2016-05-06,3.8,12.93,13.13,12.27,12.35,6254900
2016-05-09,3.54,12.07,12.94,11.64,12.93,14992000
2016-05-10,3.77,12.85,12.85,12.27,12.43,8368300
2016-05-11,3.79,12.91,13.34,12.56,13.05,8727600
2016-05-12,3.73,12.71,13.35,12.6,13.06,8719800
2016-05-13,3.56,12.12,12.96,11.91,12.78,12468200
2016-05-16,3.68,12.54,12.92,12.24,12.24,7985200
2016-05-17,3.64,12.4,12.78,12.23,12.66,9704800
2016-05-18,3.53,12.01,12.54,12.01,12.2,11337000
2016-05-19,3.38,11.51,11.91,11.12,11.9,9408400
2016-05-20,3.33,11.33,12.15,11.33,11.76,11506700
2016-05-23,3.24,11.04,11.23,10.84,10.9,10352100
2016-05-24,3.26,11.09,11.5,10.92,11.3,9698200
