Date,Adj Close,Close,High,Low,Open,Volume
2020-09-15,14.4,15.45,15.9,14.77,15.75,11936590
2020-09-16,14.35,15.4,15.77,15.31,15.45,2705932
2020-09-17,14.49,15.55,15.82,14.96,15.16,3840257
2020-09-18,14.16,15.2,15.94,15.16,15.36,5386389
2020-09-21,13.89,14.91,15.28,14.77,15.11,3374090
2020-09-22,14.4,15.45,15.55,14.74,14.91,2823376
2020-09-23,13.75,14.76,15.71,14.76,15.31,5034257
2020-09-24,14.15,15.19,15.21,14.46,14.76,4994540
2020-09-25,13.93,14.96,15.15,14.76,15.07,2067861
2020-09-28,13.66,14.66,15.27,14.46,15.12,2581768
2020-09-29,13.28,14.26,14.71,14.11,14.71,1718938
2020-09-30,13.28,14.26,14.66,14.13,14.38,3062677
2020-10-01,13.84,14.86,14.86,13.98,14.39,4789138
2020-10-02,13.49,14.48,14.94,14.2,14.66,2131046
2020-10-05,13.01,13.96,14.65,13.96,14.49,3256345
2020-10-06,13.01,13.96,14.19,13.68,14.1,4663570
2020-10-07,13.36,14.34,14.36,13.76,13.97,3248723
2020-10-08,13.22,14.19,14.34,13.97,14.34,1682933
2020-10-09,13.66,14.66,14.66,13.94,14.16,3881377
2020-10-13,14.12,15.16,15.16,14.54,14.66,4008149
2020-10-14,14.36,15.41,15.63,14.8,15.16,3156151
2020-10-15,14.72,15.8,16.08,15.01,15.21,3911064
2020-10-16,14.84,15.92,16.0,15.51,15.9,1854235
2020-10-19,14.58,15.65,15.93,15.44,15.93,1683535
2020-10-20,15.19,16.3,16.39,15.65,15.65,4404110
2020-10-21,15.33,16.45,16.72,16.16,16.3,3293253
2020-10-22,15.36,16.49,17.14,16.3,16.43,4255273
2020-10-23,15.37,16.5,17.1,15.93,16.65,4797663
2020-10-26,15.78,16.94,16.99,15.97,16.15,3332268
2020-10-27,16.28,17.48,17.64,16.67,17.17,8857464
2020-10-28,15.98,17.15,17.15,16.4,17.13,4825545
2020-10-29,16.72,17.95,18.15,16.7,17.14,4665275
2020-10-30,16.49,17.7,18.29,17.46,18.08,4802477
2020-11-03,17.25,18.52,18.89,17.68,18.22,5969298
2020-11-04,17.57,18.85,19.73,18.7,18.71,6910758
2020-11-05,17.27,18.54,19.41,18.54,19.1,4321568
2020-11-06,16.86,18.1,18.8,17.95,18.4,4920022
2020-11-09,16.72,17.95,18.94,17.83,18.65,4173433
2020-11-10,16.4,17.6,18.15,17.23,18.0,5019514
2020-11-11,16.27,17.46,18.01,17.31,17.51,2663507
2020-11-12,16.8,18.03,18.09,17.47,17.54,3745780
2020-11-13,17.65,18.94,18.94,18.12,18.21,4420859
2020-11-16,17.42,18.7,19.34,18.63,19.15,4073240
2020-11-17,17.16,18.42,19.04,17.96,18.74,2670829
2020-11-18,16.72,17.95,18.62,17.79,18.47,2949044
2020-11-19,17.08,18.34,18.39,17.81,17.94,1767782
2020-11-23,17.72,19.02,19.02,18.15,18.33,2044894
2020-11-24,17.34,18.62,19.09,18.49,19.03,2659997
2020-11-25,17.28,18.55,18.94,18.35,18.67,2605638
2020-11-26,17.65,18.94,18.94,18.47,18.6,1481743
2020-11-27,17.88,19.19,19.74,18.66,19.0,4455560
2020-11-30,17.65,18.94,19.57,18.7,19.19,2366436
2020-12-01,16.88,18.12,19.14,17.97,18.94,4379237
2020-12-02,17.36,18.64,18.64,17.85,18.19,2332537
2020-12-03,17.42,18.7,18.84,18.35,18.64,2725288
2020-12-04,17.54,18.82,18.86,18.41,18.7,1766478
2020-12-07,16.67,17.9,18.84,17.9,18.82,4568993
2020-12-08,16.91,18.15,18.25,17.95,17.96,2403345
2020-12-09,16.58,17.8,18.26,17.6,18.24,2010694
2020-12-10,16.21,17.4,17.95,17.24,17.82,3527339
2020-12-11,16.45,17.66,17.95,17.35,17.4,5264131
2020-12-14,16.68,17.91,18.06,17.44,17.83,1234518
2020-12-15,16.81,18.05,18.07,17.47,17.91,2078392
2020-12-16,16.71,17.94,18.16,17.76,18.04,4435100
2020-12-17,16.91,18.15,18.43,17.92,17.97,4845403
2020-12-18,17.41,18.69,19.02,18.48,18.61,25877857
2020-12-21,17.05,18.3,18.72,17.84,18.2,2712752
2020-12-22,17.56,18.84,19.01,18.22,18.39,2560806
2020-12-23,17.68,18.94,18.98,18.46,18.82,1925243
2020-12-28,18.02,19.3,19.42,18.75,18.97,1757852
2020-12-29,18.2,19.5,19.93,19.16,19.29,3056158
2020-12-30,17.77,19.04,19.79,19.04,19.52,2970006
2021-01-04,17.29,18.53,19.36,18.27,19.34,2176480
2021-01-05,17.3,18.54,18.72,18.07,18.55,2383286
2021-01-06,16.42,17.59,18.71,17.51,18.53,4747015
2021-01-07,16.3,17.47,17.99,17.35,17.75,6137691
2021-01-08,16.87,18.08,18.29,17.38,17.55,5652168
2021-01-11,17.63,18.89,18.89,17.85,17.95,5795187
2021-01-12,18.75,20.09,20.43,18.68,18.97,9303973
2021-01-13,20.07,21.51,21.61,19.65,20.24,7669883
2021-01-14,20.47,21.94,21.94,21.07,21.57,3756311
2021-01-15,20.24,21.69,21.98,21.28,21.94,2845541
2021-01-18,20.01,21.44,21.93,21.16,21.79,1938582
2021-01-19,19.92,21.35,21.74,20.59,21.74,2488294
2021-01-20,20.28,21.73,22.65,21.29,21.63,3536065
2021-01-21,20.75,22.23,22.4,21.35,21.73,3511393
2021-01-22,20.5,21.97,22.21,21.6,22.03,2044693
2021-01-26,21.03,22.53,22.98,21.8,21.96,5183695
2021-01-27,19.64,21.04,22.8,21.04,22.58,4411431
2021-01-28,20.29,21.74,22.15,21.19,21.54,2492606
2021-01-29,20.01,21.44,21.82,20.79,21.55,2316590
2021-02-01,20.1,21.54,22.07,21.24,21.24,2547367
2021-02-02,20.29,21.74,22.07,21.56,21.75,2517178
2021-02-03,20.44,21.91,22.52,21.56,21.85,3924103
2021-02-04,20.15,21.59,22.04,21.14,21.9,2193229
2021-02-05,20.16,21.6,21.78,21.26,21.69,1559471
2021-02-08,20.5,21.97,22.15,21.37,21.6,1526675
2021-02-09,21.08,22.58,22.62,21.68,21.84,3253437
2021-02-10,20.81,22.29,22.77,21.99,22.64,3575982
2021-02-11,20.7,22.17,22.53,22.02,22.29,1598184
2021-02-12,20.8,22.28,22.52,21.72,22.11,2407958
2021-02-17,21.56,23.1,23.55,22.01,22.42,3850186
2021-02-18,21.51,23.05,23.53,22.94,23.33,3719102
2021-02-19,22.15,23.73,24.03,23.05,23.11,5803010
2021-02-22,21.72,23.27,23.68,22.34,23.03,4702083
2021-02-23,21.22,22.73,23.82,22.68,23.46,2732710
2021-02-24,20.6,22.08,23.06,21.76,22.93,10712703
2021-02-25,19.91,21.34,22.47,21.29,22.2,4519448
2021-02-26,19.52,20.92,21.67,20.65,21.48,4126095
2021-03-01,20.16,21.6,21.93,20.82,21.12,2521792
2021-03-02,20.77,22.25,22.39,20.7,21.54,3290345
2021-03-03,20.29,21.74,22.32,21.19,22.32,2511963
2021-03-04,19.91,21.34,22.11,21.28,22.11,1427685
2021-03-05,19.89,21.31,21.49,20.19,21.3,3286634
2021-03-08,18.83,20.17,21.48,19.77,21.05,4198206
2021-03-09,20.0,21.43,21.43,20.15,20.53,4886724
2021-03-10,19.08,20.44,21.59,20.44,21.5,19611990
2021-03-11,18.85,20.2,20.86,19.69,20.63,5629000
2021-03-12,18.27,19.57,20.24,19.23,20.14,3949978
2021-03-15,18.98,20.34,20.36,19.32,19.55,3128370
2021-03-16,18.61,19.94,20.53,19.94,20.17,2034463
2021-03-17,19.0,20.36,20.43,19.7,19.79,2048003
2021-03-18,18.58,19.91,20.53,19.91,20.35,1454864
2021-03-19,18.96,20.31,20.59,19.72,19.89,7845197
2021-03-22,18.97,20.32,20.78,20.07,20.17,2701920
2021-03-23,18.66,19.99,20.44,19.99,20.24,1318063
2021-03-24,18.52,19.84,20.36,19.6,20.1,2325216
2021-03-25,18.55,19.87,20.09,19.77,19.9,1649635
2021-03-26,17.95,19.23,20.06,18.74,19.92,2524199
2021-03-29,17.9,19.18,19.66,18.8,19.33,3152039
2021-03-30,17.82,19.09,19.29,18.87,19.14,2870715
2021-03-31,18.42,19.73,19.89,18.78,19.05,6469364
2021-04-01,18.39,19.7,19.87,19.34,19.34,2760792
2021-04-05,18.92,20.27,20.41,19.8,19.84,2526706
2021-04-06,19.17,20.54,20.68,20.02,20.24,2618876
2021-04-07,18.8,20.14,20.7,20.0,20.44,2503438
2021-04-08,20.07,21.51,21.82,20.35,20.42,4937473
2021-04-09,20.75,22.23,22.23,21.21,21.44,3584407
2021-04-12,20.3,21.75,22.26,21.4,22.22,2882148
2021-04-13,20.05,21.49,21.84,21.07,21.74,2363327
2021-04-14,20.36,21.82,21.82,21.12,21.55,1842300
2021-04-15,20.14,21.58,22.13,21.28,21.83,3162269
2021-04-16,21.02,22.52,22.64,21.3,21.36,3581599
2021-04-19,20.9,22.39,22.77,21.86,22.66,3703857
2021-04-20,20.9,22.39,22.81,22.05,22.52,1488463
2021-04-22,20.29,21.74,23.13,21.56,22.51,3196269
2021-04-23,20.77,22.25,22.25,21.69,21.88,2430324
2021-04-26,20.83,22.31,22.54,21.94,22.23,2683065
2021-04-27,21.4,22.93,22.93,22.14,22.23,2695702
2021-04-28,21.77,23.32,23.32,22.57,22.93,3113526
2021-04-29,22.24,23.83,24.25,23.24,23.33,3399565
2021-04-30,22.49,24.1,24.1,23.3,23.84,8416672
2021-05-03,22.04,23.61,24.41,23.5,24.09,2339758
2021-05-04,22.15,23.73,24.01,23.09,23.61,3933330
2021-05-05,22.54,24.14,24.27,23.38,23.74,3892711
2021-05-06,23.06,24.7,24.7,23.68,24.09,3136293
2021-05-07,23.14,24.79,25.1,24.45,24.73,2257617
2021-05-10,22.92,24.55,25.35,24.34,24.79,5349180
2021-05-11,21.73,23.28,24.21,22.82,24.21,10160484
2021-05-12,19.79,21.2,23.33,21.18,23.09,7932051
2021-05-13,20.03,21.46,21.92,21.24,21.41,3368975
2021-05-14,20.17,21.61,22.13,21.24,21.64,4343031
2021-05-17,20.94,22.43,22.53,21.76,21.79,3005510
2021-05-18,20.93,22.42,22.9,22.14,22.51,2887865
2021-05-19,20.11,21.54,22.58,21.3,22.07,3454325
2021-05-20,20.44,21.9,21.9,21.26,21.71,5041679
2021-05-21,19.78,21.19,21.99,20.81,21.84,2713554
2021-05-24,20.03,21.46,21.72,21.11,21.21,7713711
2021-05-25,20.59,22.06,22.63,21.48,21.5,5150899
2021-05-26,20.67,22.14,22.65,21.86,22.27,2751164
2021-05-27,21.43,22.95,23.02,22.27,22.37,8725678
2021-05-28,21.45,22.97,23.33,22.65,23.06,2788875
2021-05-31,21.73,23.27,23.44,22.96,22.97,1941190
2021-06-01,21.6,23.13,23.57,22.69,23.39,2365534
2021-06-02,21.6,23.13,23.79,22.85,23.38,2135158
2021-06-04,21.36,22.88,23.39,22.51,23.14,2498423
2021-06-07,21.41,22.93,23.18,22.52,22.88,2775435
2021-06-08,22.16,23.74,24.12,22.93,22.93,3695031
2021-06-09,22.46,24.06,24.23,23.38,23.74,2866803
2021-06-10,22.0,23.56,24.17,23.19,24.06,2630009
2021-06-11,22.31,23.9,23.91,23.23,23.56,3045828
2021-06-14,21.97,23.53,24.17,23.49,24.03,3783290
2021-06-15,21.87,23.42,23.92,23.29,23.64,2962985
2021-06-16,22.17,23.75,24.02,23.29,23.47,2390106
2021-06-17,22.71,24.33,24.53,23.57,23.75,2828290
2021-06-18,22.95,24.58,25.09,23.73,24.33,7572497
2021-06-21,22.75,24.37,25.01,24.35,24.73,2251199
2021-06-22,22.63,24.24,24.82,23.99,24.73,2599720
2021-06-23,23.18,24.83,25.03,24.15,24.33,3031586
2021-06-24,22.76,24.38,24.98,24.21,24.93,1774802
2021-06-25,23.15,24.8,24.8,24.04,24.44,2877033
2021-06-28,23.9,25.6,25.6,24.43,24.92,2793889
2021-06-29,24.05,25.76,25.87,24.97,25.78,2573443
2021-06-30,23.98,25.68,25.8,25.17,25.65,2723182
2021-07-01,23.19,24.83,25.75,24.63,25.74,3905949
2021-07-02,23.5,25.16,25.5,24.86,24.93,2579661
2021-07-05,22.97,24.59,25.26,24.15,25.16,2327221
2021-07-06,22.71,24.32,24.76,24.05,24.63,2700817
2021-07-07,22.74,24.35,24.58,23.84,24.11,3696535
2021-07-08,23.17,24.81,24.83,23.56,23.95,2523597
2021-07-12,22.86,24.48,24.98,24.09,24.85,3278009
2021-07-13,22.44,24.03,24.62,23.93,24.46,5040274
2021-07-14,22.3,23.87,24.35,23.78,24.18,3633852
2021-07-15,22.31,23.89,24.15,23.67,23.88,3693426
2021-07-16,21.89,23.44,24.3,23.44,23.96,2515473
2021-07-19,21.78,23.32,23.51,22.78,23.44,3158558
2021-07-20,21.56,23.08,23.46,22.88,23.28,1837386
2021-07-21,21.33,22.83,23.27,22.57,23.08,3117538
2021-07-22,21.79,23.33,23.35,22.79,22.98,2562210
2021-07-23,21.96,23.51,23.51,23.02,23.25,1582438
2021-07-26,21.5,23.02,23.47,22.73,23.43,3141508
2021-07-27,20.94,22.41,22.99,22.1,22.95,3119243
2021-07-28,20.84,22.31,22.63,22.14,22.31,2650369
2021-07-29,20.92,22.39,22.55,21.97,22.22,2647761
2021-07-30,21.27,22.77,23.49,22.11,22.27,6870239
2021-08-02,21.99,23.54,23.71,23.08,23.22,5162132
2021-08-03,23.23,24.87,25.52,24.51,24.93,12106990
2021-08-04,23.79,25.47,26.02,24.71,24.71,8625885
2021-08-05,24.12,25.82,26.09,25.22,25.47,6236080
2021-08-06,24.54,26.27,26.31,25.58,26.04,3687609
2021-08-09,24.96,26.72,27.11,26.11,26.24,3039209
2021-08-10,24.44,26.16,27.22,26.16,26.9,4723446
2021-08-11,24.21,25.92,26.1,25.01,26.06,6221738
2021-08-12,23.73,25.41,26.31,25.21,25.87,2785064
2021-08-13,23.9,25.58,25.77,25.08,25.41,3309501
2021-08-16,23.6,25.27,26.14,24.95,25.57,4424971
2021-08-17,24.47,26.2,26.3,24.34,25.2,10039730
2021-08-18,24.15,25.85,26.62,25.7,26.19,5194125
2021-08-19,25.14,26.91,26.91,25.32,25.66,7431183
2021-08-20,25.99,27.83,27.94,26.62,26.62,6716488
2021-08-23,25.52,27.32,27.96,27.2,27.84,4859444
2021-08-24,25.74,27.56,27.93,27.31,27.56,4659659
2021-08-25,26.4,28.27,28.58,27.6,27.65,7526864
2021-08-26,25.61,27.42,28.7,26.84,28.27,6708765
2021-08-27,25.84,27.67,28.07,27.21,27.48,5756374
2021-08-30,25.14,26.92,27.58,26.14,27.52,8300331
2021-08-31,24.66,26.4,27.62,26.07,26.91,6894309
2021-09-01,23.9,25.58,27.01,25.53,26.46,6735343
2021-09-02,24.26,25.97,26.36,25.45,25.84,5953652
2021-09-03,24.77,26.52,27.29,26.01,26.3,15602637
2021-09-06,24.78,26.53,27.06,26.16,26.52,3660630
2021-09-08,23.81,25.5,26.41,25.33,26.34,4039641
2021-09-09,25.13,26.9,27.57,25.23,25.38,4367402
2021-09-10,24.63,26.37,27.02,25.98,27.02,4651033
2021-09-13,24.2,25.91,26.96,25.89,26.87,3878870
2021-09-14,25.14,26.92,27.2,25.99,26.05,4581931
2021-09-15,25.05,26.82,27.18,26.48,26.87,3778576
2021-09-16,24.96,26.72,26.91,26.29,26.68,2140073
2021-09-17,24.9,26.66,26.82,26.21,26.61,3414108
2021-09-20,23.75,25.43,26.53,25.18,26.22,4953821
2021-09-21,24.47,26.19,26.55,25.62,25.62,2843435
2021-09-22,24.64,26.38,26.77,26.11,26.37,2983445
2021-09-23,24.39,26.11,27.25,26.06,26.38,6875153
2021-09-24,24.03,25.72,26.27,25.39,25.96,3610082
2021-09-27,24.03,25.72,25.99,25.06,25.64,4934765
2021-09-28,22.61,24.21,25.57,23.74,25.46,8884644
2021-09-29,22.26,23.83,24.72,23.6,24.59,5315782
2021-09-30,21.85,23.39,24.22,23.03,24.04,6787095
2021-10-01,22.35,23.93,24.09,22.59,23.36,7917810
2021-10-04,21.39,22.9,23.93,22.68,23.93,3478697
2021-10-05,21.7,23.23,23.43,22.57,23.03,4944293
2021-10-06,21.34,22.84,23.03,22.02,22.53,6861413
2021-10-07,21.54,23.06,23.3,22.66,23.05,4253167
2021-10-08,21.79,23.33,24.0,23.26,23.34,4255975
2021-10-11,20.48,21.93,23.48,21.35,23.32,8491491
2021-10-13,21.86,23.4,23.72,22.19,22.19,6170287
2021-10-14,22.22,23.79,24.16,22.95,23.44,5809028
2021-10-15,22.14,23.7,23.98,23.2,23.98,5251293
2021-10-18,21.84,23.38,23.78,22.97,23.49,5030847
2021-10-19,20.87,22.34,23.3,22.05,23.15,4322972
2021-10-20,19.91,21.32,22.61,21.25,22.57,9054642
2021-10-21,18.72,20.04,21.23,19.26,20.74,11220692
2021-10-22,18.2,19.48,19.96,18.76,19.59,17051785
2021-10-25,18.55,19.86,20.35,19.53,19.84,6680884
2021-10-26,17.69,18.94,19.7,18.67,19.5,4155381
2021-10-27,17.54,18.77,19.48,18.75,18.95,4402104
2021-10-28,17.68,18.92,19.19,18.4,18.7,5033454
2021-10-29,17.48,18.71,19.28,18.47,18.92,6137992
2021-11-01,17.98,19.25,19.86,18.92,18.98,5082498
2021-11-03,19.39,20.76,21.0,18.97,19.12,7062502
2021-11-04,19.22,20.58,21.62,20.18,20.54,6892805
2021-11-05,19.04,20.39,21.14,20.3,21.14,5431321
2021-11-08,18.26,19.55,20.26,19.34,20.24,6825708
