Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,1.44,2.08,2.15,2.04,2.07,6854079
2015-09-04,1.5,2.17,2.17,2.04,2.06,20036063
2015-09-08,1.4,2.03,2.26,2.02,2.26,4607783
2015-09-09,1.37,1.99,2.07,1.98,2.06,6902252
2015-09-10,1.32,1.92,1.97,1.91,1.97,5813117
2015-09-11,1.3,1.89,1.93,1.83,1.92,6122211
2015-09-14,1.28,1.86,1.92,1.83,1.89,6043199
2015-09-15,1.24,1.81,1.86,1.79,1.85,8203731
2015-09-16,1.24,1.81,1.86,1.79,1.82,6891670
2015-09-17,1.25,1.82,1.84,1.8,1.82,4139456
2015-09-18,1.2,1.75,1.82,1.74,1.81,6607771
2015-09-21,1.17,1.7,1.76,1.64,1.75,4585914
2015-09-22,1.16,1.66,1.69,1.62,1.67,2823767
2015-09-23,1.16,1.66,1.72,1.63,1.65,3655811
2015-09-24,1.14,1.63,1.66,1.6,1.66,4443410
2015-09-25,1.16,1.66,1.67,1.62,1.63,2923641
2015-09-28,1.11,1.59,1.66,1.59,1.65,3798919
2015-09-29,1.18,1.69,1.69,1.58,1.59,4289115
2015-09-30,1.11,1.59,1.72,1.59,1.7,6062146
2015-10-01,1.14,1.63,1.65,1.59,1.62,2184013
2015-10-02,1.11,1.6,1.65,1.59,1.65,3997054
2015-10-05,1.14,1.63,1.67,1.61,1.61,2671891
2015-10-06,1.24,1.78,1.79,1.62,1.65,9542297
2015-10-07,1.29,1.86,1.92,1.8,1.81,8621063
2015-10-08,1.36,1.95,1.95,1.85,1.87,2211123
2015-10-09,1.26,1.81,2.0,1.81,1.96,4487552
2015-10-13,1.32,1.9,1.91,1.82,1.84,2915679
2015-10-14,1.3,1.87,1.93,1.85,1.89,2846040
2015-10-15,1.29,1.86,1.89,1.83,1.89,1769402
2015-10-16,1.32,1.9,1.91,1.84,1.84,1881571
2015-10-19,1.32,1.89,1.9,1.84,1.9,2958511
2015-10-20,1.32,1.9,1.91,1.87,1.88,2381643
2015-10-21,1.27,1.82,1.9,1.82,1.9,6954658
2015-10-22,1.28,1.84,1.85,1.78,1.8,3289071
2015-10-23,1.29,1.85,1.89,1.84,1.88,1648365
2015-10-26,1.28,1.84,1.9,1.83,1.88,2111552
2015-10-27,1.34,1.92,1.92,1.83,1.84,3338957
2015-10-28,1.37,1.96,1.99,1.96,1.99,468729
2015-10-29,1.34,1.92,1.99,1.92,1.96,2127979
2015-10-30,1.35,1.93,1.95,1.87,1.92,2695978
2015-11-03,1.36,1.95,2.01,1.92,1.92,2244380
2015-11-04,1.47,2.11,2.12,1.97,1.97,6353805
2015-11-05,1.62,2.32,2.32,2.09,2.11,10996660
2015-11-06,1.58,2.26,2.33,2.22,2.31,4922017
2015-11-09,1.56,2.23,2.31,2.2,2.27,1919263
2015-11-10,1.52,2.18,2.26,2.18,2.23,3294513
2015-11-11,1.66,2.38,2.4,2.2,2.2,4842501
2015-11-12,1.63,2.34,2.4,2.24,2.4,2766927
2015-11-13,1.62,2.32,2.39,2.31,2.32,1030883
2015-11-16,1.6,2.29,2.33,2.27,2.32,791227
2015-11-17,1.56,2.24,2.32,2.22,2.28,1567740
2015-11-18,1.59,2.27,2.31,2.15,2.24,2893507
2015-11-19,1.68,2.41,2.46,2.29,2.31,3274760
2015-11-23,1.72,2.46,2.5,2.4,2.42,1858492
2015-11-24,1.68,2.41,2.47,2.36,2.46,1880865
2015-11-25,1.69,2.42,2.5,2.36,2.41,2085450
2015-11-26,1.66,2.38,2.46,2.37,2.45,827004
2015-11-27,1.66,2.38,2.41,2.36,2.37,972229
2015-11-30,1.56,2.23,2.39,2.23,2.37,2490990
2015-12-01,1.56,2.23,2.3,2.21,2.21,2936641
2015-12-02,1.49,2.13,2.29,2.1,2.26,5362830
2015-12-03,1.59,2.28,2.3,2.16,2.18,6054487
2015-12-04,1.53,2.19,2.3,2.16,2.28,3522781
2015-12-07,1.52,2.18,2.22,2.15,2.19,3835603
2015-12-08,1.5,2.14,2.2,2.13,2.17,2290336
2015-12-09,1.52,2.18,2.2,2.15,2.16,4606171
2015-12-10,1.5,2.14,2.19,2.07,2.19,1995755
2015-12-11,1.41,2.01,2.15,2.01,2.11,1968947
2015-12-14,1.36,1.94,2.01,1.93,2.01,6612911
2015-12-15,1.36,1.95,2.02,1.91,1.95,6320849
2015-12-16,1.34,1.92,1.95,1.86,1.93,7030344
2015-12-17,1.37,1.96,1.99,1.93,1.96,2164462
2015-12-18,1.32,1.9,1.95,1.86,1.95,1891246
2015-12-21,1.33,1.91,1.92,1.81,1.89,2893507
2015-12-22,1.31,1.88,1.92,1.84,1.89,3249162
2015-12-23,1.31,1.88,1.91,1.86,1.88,1354489
2015-12-28,1.27,1.82,1.91,1.82,1.89,1941031
2015-12-29,1.27,1.82,1.84,1.78,1.84,1416066
2015-12-30,1.28,1.84,1.88,1.81,1.81,1532064
2016-01-04,1.2,1.72,1.85,1.71,1.83,2525256
2016-01-05,1.22,1.75,1.77,1.69,1.74,1849422
2016-01-06,1.24,1.78,1.82,1.69,1.75,2268568
2016-01-07,1.22,1.75,1.76,1.72,1.76,1199992
2016-01-08,1.22,1.75,1.79,1.74,1.76,926777
2016-01-11,1.2,1.73,1.85,1.73,1.76,1998577
2016-01-12,1.21,1.74,1.8,1.72,1.73,1993941
2016-01-13,1.27,1.82,1.92,1.76,1.76,4769233
2016-01-14,1.27,1.83,1.87,1.8,1.84,1019797
2016-01-15,1.27,1.83,1.85,1.79,1.81,1380793
2016-01-18,1.33,1.91,1.92,1.82,1.83,1634155
2016-01-19,1.38,1.97,2.04,1.92,1.93,3754777
2016-01-20,1.35,1.93,1.98,1.92,1.97,2384465
2016-01-21,1.35,1.93,1.94,1.88,1.93,2083636
2016-01-22,1.38,1.97,2.02,1.93,1.94,3860798
2016-01-26,1.4,2.0,2.01,1.96,1.97,2069123
2016-01-27,1.43,2.04,2.08,1.99,2.0,3190407
