Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,0.25,0.25,0.28,0.25,0.26,1770000
2015-09-04,0.24,0.24,0.25,0.24,0.25,1715000
2015-09-08,0.22,0.22,0.24,0.22,0.24,1688000
2015-09-09,0.2,0.2,0.22,0.19,0.22,3013000
2015-09-10,0.19,0.19,0.2,0.17,0.19,2580000
2015-09-11,0.18,0.18,0.2,0.18,0.2,2965000
2015-09-14,0.19,0.19,0.19,0.17,0.18,1375000
2015-09-15,0.21,0.21,0.21,0.19,0.19,1323000
2015-09-16,0.23,0.23,0.24,0.21,0.21,3590000
2015-09-17,0.23,0.23,0.26,0.22,0.24,2256000
2015-09-18,0.22,0.22,0.23,0.21,0.22,1035000
2015-09-21,0.21,0.21,0.23,0.21,0.22,1340000
2015-09-22,0.2,0.2,0.21,0.2,0.21,1579000
2015-09-23,0.19,0.19,0.21,0.19,0.2,1769000
2015-09-24,0.18,0.18,0.19,0.18,0.19,1406000
2015-09-25,0.19,0.19,0.2,0.19,0.2,1191000
2015-09-28,0.18,0.18,0.19,0.18,0.19,1795000
2015-09-29,0.18,0.18,0.19,0.18,0.18,1637000
2015-09-30,0.17,0.17,0.19,0.17,0.18,2507000
2015-10-01,0.18,0.18,0.18,0.17,0.18,1620000
2015-10-02,0.19,0.19,0.19,0.17,0.18,1416000
2015-10-05,0.19,0.19,0.2,0.19,0.19,944000
2015-10-06,0.22,0.22,0.22,0.19,0.19,2446000
2015-10-07,0.22,0.22,0.24,0.21,0.22,2009000
2015-10-08,0.21,0.22,0.23,0.21,0.23,920000
2015-10-09,0.21,0.21,0.22,0.2,0.22,2515000
2015-10-13,0.2,0.2,0.21,0.2,0.2,1645000
2015-10-14,0.2,0.2,0.21,0.2,0.2,575000
2015-10-15,0.22,0.22,0.22,0.2,0.2,1004000
2015-10-16,0.21,0.21,0.22,0.2,0.22,505000
2015-10-19,0.2,0.2,0.21,0.2,0.21,651000
2015-10-20,0.2,0.2,0.21,0.2,0.2,380000
2015-10-21,0.21,0.21,0.21,0.2,0.2,906000
2015-10-22,0.21,0.21,0.21,0.2,0.21,390000
2015-10-23,0.2,0.2,0.22,0.2,0.21,718000
2015-10-26,0.2,0.2,0.21,0.2,0.21,1063000
2015-10-27,0.2,0.2,0.21,0.2,0.2,863000
2015-10-28,0.21,0.21,0.21,0.21,0.21,39000
2015-10-29,0.2,0.2,0.21,0.2,0.2,716000
2015-10-30,0.21,0.21,0.21,0.2,0.2,518000
2015-11-03,0.22,0.22,0.22,0.21,0.21,2748000
2015-11-04,0.21,0.21,0.23,0.21,0.23,1408000
2015-11-05,0.2,0.2,0.22,0.2,0.21,1003000
2015-11-06,0.2,0.2,0.21,0.2,0.2,1178000
2015-11-09,0.2,0.2,0.21,0.2,0.2,286000
2015-11-10,0.2,0.2,0.2,0.2,0.2,791000
2015-11-11,0.21,0.21,0.21,0.2,0.2,1632000
2015-11-12,0.2,0.2,0.21,0.2,0.21,306000
2015-11-13,0.2,0.2,0.21,0.2,0.2,806000
2015-11-16,0.2,0.2,0.21,0.2,0.2,355000
2015-11-17,0.2,0.2,0.21,0.2,0.2,331000
2015-11-18,0.2,0.2,0.2,0.2,0.2,987000
2015-11-19,0.19,0.19,0.2,0.19,0.2,747000
2015-11-23,0.19,0.19,0.2,0.19,0.2,936000
2015-11-24,0.19,0.19,0.2,0.19,0.19,364000
2015-11-25,0.19,0.19,0.21,0.19,0.19,768000
2015-11-26,0.19,0.19,0.2,0.19,0.19,301000
2015-11-27,0.2,0.2,0.2,0.19,0.2,995000
2015-11-30,0.2,0.2,0.2,0.19,0.2,619000
2015-12-01,0.2,0.2,0.21,0.19,0.2,1468000
2015-12-02,0.22,0.22,0.25,0.2,0.2,3650000
2015-12-03,0.22,0.22,0.23,0.21,0.22,1249000
2015-12-04,0.21,0.22,0.22,0.2,0.22,1316000
2015-12-07,0.21,0.21,0.22,0.2,0.22,859000
2015-12-08,0.2,0.2,0.21,0.2,0.21,469000
2015-12-09,0.21,0.21,0.21,0.2,0.2,480000
2015-12-10,0.21,0.21,0.21,0.21,0.21,42000
2015-12-11,0.2,0.2,0.21,0.2,0.2,609000
2015-12-14,0.21,0.21,0.21,0.2,0.2,228000
2015-12-15,0.21,0.21,0.21,0.21,0.21,1253000
2015-12-16,0.21,0.21,0.21,0.21,0.21,280000
2015-12-17,0.21,0.22,0.22,0.21,0.21,3363000
2015-12-18,0.21,0.21,0.21,0.2,0.21,305000
2015-12-21,0.22,0.22,0.22,0.21,0.21,405000
2015-12-22,0.23,0.23,0.23,0.22,0.22,1436000
2015-12-23,0.23,0.23,0.23,0.22,0.22,384000
2015-12-28,0.22,0.22,0.23,0.22,0.23,724000
2015-12-29,0.22,0.22,0.23,0.22,0.23,55000
2015-12-30,0.24,0.25,0.25,0.22,0.22,1294000
2016-01-04,0.23,0.23,0.24,0.23,0.23,378000
2016-01-05,0.22,0.22,0.25,0.22,0.25,414000
2016-01-06,0.22,0.22,0.22,0.22,0.22,419000
2016-01-07,0.22,0.22,0.22,0.21,0.22,657000
2016-01-08,0.21,0.22,0.23,0.22,0.23,180000
2016-01-11,0.21,0.21,0.22,0.21,0.21,455000
2016-01-12,0.18,0.18,0.21,0.17,0.21,1650000
2016-01-13,0.18,0.18,0.2,0.18,0.19,1566000
2016-01-14,0.19,0.19,0.19,0.18,0.19,678000
2016-01-15,0.2,0.2,0.2,0.17,0.18,2592000
2016-01-18,0.19,0.19,0.19,0.19,0.19,951000
2016-01-19,0.17,0.17,0.2,0.17,0.19,1750000
2016-01-20,0.16,0.16,0.18,0.16,0.17,835000
2016-01-21,0.16,0.16,0.17,0.16,0.17,1260000
2016-01-22,0.15,0.15,0.17,0.15,0.17,703000
2016-01-26,0.14,0.14,0.15,0.14,0.15,982000
2016-01-27,0.15,0.15,0.16,0.14,0.14,1102000
2016-01-28,0.14,0.14,0.16,0.14,0.15,515000
2016-01-29,0.15,0.15,0.15,0.14,0.15,399000
2016-02-01,0.15,0.15,0.16,0.14,0.15,792000
2016-02-02,0.14,0.14,0.16,0.14,0.14,1579000
2016-02-03,0.14,0.14,0.15,0.14,0.14,763000
2016-02-04,0.16,0.16,0.16,0.14,0.15,913000
2016-02-05,0.15,0.15,0.17,0.15,0.16,798000
2016-02-10,0.15,0.15,0.15,0.14,0.15,416000
2016-02-11,0.14,0.14,0.16,0.14,0.15,287000
2016-02-12,0.16,0.16,0.16,0.15,0.15,1003000
2016-02-15,0.16,0.16,0.17,0.16,0.17,211000
2016-02-16,0.15,0.15,0.16,0.15,0.16,483000
2016-02-17,0.17,0.17,0.19,0.15,0.16,861000
2016-02-18,0.17,0.17,0.19,0.17,0.18,692000
2016-02-19,0.17,0.17,0.17,0.17,0.17,538000
2016-02-22,0.18,0.19,0.2,0.18,0.18,1167000
2016-02-23,0.18,0.18,0.19,0.18,0.19,569000
2016-02-24,0.2,0.2,0.2,0.17,0.17,709000
2016-02-25,0.19,0.19,0.2,0.18,0.2,1120000
2016-02-26,0.18,0.18,0.2,0.18,0.19,1356000
2016-02-29,0.18,0.19,0.19,0.19,0.19,375000
2016-03-01,0.18,0.18,0.19,0.18,0.18,205000
2016-03-02,0.19,0.19,0.19,0.18,0.19,323000
2016-03-03,0.2,0.2,0.2,0.2,0.2,1669000
2016-03-04,0.21,0.21,0.22,0.2,0.2,522000
2016-03-07,0.22,0.22,0.22,0.19,0.21,1456000
2016-03-08,0.2,0.2,0.22,0.19,0.21,1366000
2016-03-09,0.21,0.21,0.22,0.2,0.2,816000
2016-03-10,0.21,0.21,0.21,0.2,0.2,629000
2016-03-11,0.2,0.2,0.21,0.2,0.21,158000
2016-03-14,0.19,0.19,0.21,0.19,0.21,312000
2016-03-15,0.17,0.17,0.19,0.17,0.19,443000
2016-03-16,0.18,0.18,0.19,0.17,0.17,299000
2016-03-17,0.2,0.2,0.2,0.18,0.2,511000
2016-03-18,0.19,0.19,0.2,0.19,0.19,115000
2016-03-21,0.19,0.19,0.19,0.18,0.19,393000
2016-03-22,0.2,0.2,0.22,0.19,0.19,1693000
2016-03-23,0.2,0.2,0.21,0.19,0.21,833000
2016-03-24,0.36,0.36,0.39,0.19,0.19,18269000
2016-03-28,0.48,0.48,0.48,0.37,0.41,12860000
2016-03-29,0.44,0.44,0.5,0.43,0.47,8683000
2016-03-30,0.39,0.4,0.46,0.38,0.46,5289000
2016-03-31,0.36,0.36,0.39,0.36,0.38,1712000
2016-04-01,0.39,0.4,0.42,0.35,0.36,3490000
2016-04-04,0.35,0.35,0.4,0.35,0.4,999000
2016-04-05,0.35,0.35,0.37,0.35,0.35,307000
2016-04-06,0.35,0.35,0.37,0.33,0.36,794000
2016-04-07,0.33,0.33,0.36,0.33,0.34,476000
2016-04-08,0.34,0.34,0.36,0.34,0.34,1080000
2016-04-11,0.34,0.34,0.37,0.33,0.36,1032000
2016-04-12,0.36,0.36,0.36,0.35,0.35,777000
2016-04-13,0.35,0.35,0.37,0.35,0.37,1260000
2016-04-14,0.33,0.33,0.36,0.33,0.36,533000
2016-04-15,0.35,0.35,0.35,0.34,0.34,256000
2016-04-18,0.35,0.35,0.37,0.35,0.35,403000
2016-04-19,0.36,0.36,0.37,0.35,0.35,460000
2016-04-20,0.38,0.38,0.38,0.35,0.35,437000
2016-04-22,0.4,0.4,0.4,0.38,0.39,378000
2016-04-25,0.38,0.38,0.4,0.38,0.4,241000
2016-04-26,0.36,0.37,0.39,0.37,0.39,688000
2016-04-27,0.35,0.35,0.37,0.34,0.37,1049000
2016-04-28,0.37,0.37,0.37,0.35,0.35,442000
2016-04-29,0.38,0.38,0.38,0.37,0.37,641000
2016-05-02,0.37,0.37,0.39,0.37,0.38,686000
2016-05-03,0.35,0.35,0.37,0.35,0.37,243000
2016-05-04,0.37,0.37,0.37,0.36,0.36,176000
2016-05-05,0.36,0.37,0.39,0.36,0.38,435000
2016-05-06,0.37,0.37,0.37,0.36,0.37,62000
2016-05-09,0.36,0.36,0.39,0.35,0.39,340000
2016-05-10,0.38,0.38,0.39,0.37,0.38,386000
2016-05-11,0.37,0.38,0.38,0.37,0.37,241000
2016-05-12,0.38,0.38,0.38,0.37,0.38,168000
2016-05-13,0.34,0.34,0.37,0.34,0.37,731000
2016-05-16,0.34,0.34,0.35,0.34,0.34,374000
2016-05-17,0.34,0.34,0.36,0.34,0.34,212000
2016-05-18,0.33,0.34,0.34,0.33,0.34,191000
2016-05-19,0.33,0.33,0.35,0.33,0.33,146000
2016-05-20,0.33,0.33,0.34,0.33,0.34,165000
2016-05-23,0.31,0.31,0.33,0.3,0.33,238000
2016-05-24,0.31,0.31,0.32,0.31,0.31,484000
2016-05-25,0.3,0.3,0.32,0.3,0.31,240000
2016-05-27,0.3,0.3,0.31,0.3,0.31,94000
2016-05-30,0.31,0.31,0.32,0.3,0.31,122000
2016-05-31,0.32,0.32,0.32,0.31,0.32,158000
2016-06-01,0.32,0.32,0.32,0.31,0.32,168000
2016-06-02,0.33,0.33,0.35,0.32,0.32,179000
2016-06-03,0.33,0.33,0.34,0.32,0.34,180000
2016-06-06,0.32,0.32,0.35,0.32,0.34,422000
2016-06-07,0.32,0.32,0.32,0.32,0.32,593000
2016-06-08,0.31,0.31,0.33,0.31,0.32,1901000
