Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,10.05,16.36,16.54,15.85,16.27,1361600
2015-09-04,9.82,15.99,16.45,15.85,16.05,1352800
2015-09-08,9.92,16.16,16.44,16.0,16.27,1239200
2015-09-09,9.89,16.1,16.55,15.95,16.27,1748800
2015-09-10,9.75,15.88,15.9,15.2,15.62,2044200
2015-09-11,9.5,15.47,16.01,15.47,15.97,1234000
2015-09-14,10.18,16.58,16.72,15.51,15.68,1689200
2015-09-15,10.55,17.17,17.25,16.36,16.69,1216000
2015-09-16,10.59,17.25,17.44,17.05,17.31,1215800
2015-09-17,10.57,17.22,17.55,17.0,17.0,836000
2015-09-18,10.04,16.35,17.17,16.18,17.17,906400
2015-09-21,9.78,15.93,16.62,15.92,16.47,897200
2015-09-22,10.05,16.36,16.43,15.18,15.75,1036000
2015-09-23,9.52,15.5,16.37,15.34,16.28,1634200
2015-09-24,9.54,15.54,16.1,15.02,15.23,905200
2015-09-25,9.12,14.86,15.72,14.86,15.65,1096400
2015-09-28,9.38,15.27,15.53,14.76,14.76,1186800
2015-09-29,9.51,15.49,15.63,14.95,15.16,1036600
2015-09-30,9.24,15.05,15.89,14.81,15.6,1343800
2015-10-01,9.32,15.19,15.49,14.96,14.97,653600
2015-10-02,9.77,15.9,16.2,15.19,15.19,712600
2015-10-05,10.56,17.2,17.45,15.98,16.2,1813000
2015-10-06,10.37,16.9,17.25,16.59,17.19,1328800
2015-10-07,10.41,16.95,17.44,16.67,17.12,1274800
2015-10-08,10.37,16.88,17.35,16.81,16.9,952800
2015-10-09,10.31,16.79,17.67,16.79,17.42,1174600
2015-10-13,10.32,16.8,17.33,16.6,16.72,1317400
2015-10-14,10.5,17.1,17.38,16.8,16.81,1315400
2015-10-15,10.51,17.12,17.56,16.81,17.16,917000
2015-10-16,10.52,17.12,17.29,16.81,17.29,1412800
2015-10-19,10.59,17.25,17.38,16.96,17.13,624800
2015-10-20,10.72,17.47,17.47,17.15,17.38,1012200
2015-10-21,10.89,17.73,18.15,17.47,17.47,1161200
2015-10-22,10.48,17.06,17.99,17.06,17.74,1232000
2015-10-23,10.6,17.25,17.74,17.2,17.23,1173000
2015-10-26,10.75,17.5,17.74,17.26,17.38,1065800
2015-10-27,10.61,17.27,17.64,16.94,17.62,1202600
2015-10-28,10.55,17.18,17.23,17.15,17.18,71000
2015-10-29,10.24,16.3,16.98,16.3,16.75,1510000
2015-10-30,10.16,16.17,16.5,16.03,16.4,2541400
2015-11-03,10.17,16.18,16.35,15.82,16.05,1392600
2015-11-04,9.85,15.68,16.19,15.52,16.18,2660000
2015-11-05,10.46,16.65,16.72,15.7,15.7,1578200
2015-11-06,10.44,16.61,16.94,16.35,16.66,1224000
2015-11-09,10.18,16.2,16.91,16.2,16.59,755000
2015-11-10,10.01,15.93,16.34,15.65,16.19,725200
2015-11-11,10.61,16.88,16.88,16.03,16.07,1319400
2015-11-12,10.68,17.0,17.56,16.76,16.83,1504800
2015-11-13,10.44,16.61,17.05,16.31,17.03,890800
2015-11-16,10.68,17.0,17.26,16.71,16.74,1400000
2015-11-17,11.0,17.5,17.74,17.14,17.18,1134000
2015-11-18,10.75,17.11,17.57,17.01,17.49,1401000
2015-11-19,10.75,17.1,17.55,17.1,17.27,974000
2015-11-23,10.92,17.38,17.74,17.22,17.22,1492600
2015-11-24,11.14,17.73,17.74,17.42,17.43,702600
2015-11-25,10.84,17.25,17.72,17.25,17.52,744400
2015-11-26,10.87,17.3,17.55,17.1,17.53,543400
2015-11-27,10.68,17.0,17.4,16.92,17.4,627400
2015-11-30,10.23,16.27,17.74,16.27,17.0,1920800
2015-12-01,10.94,17.4,17.43,16.62,16.62,1396200
2015-12-02,10.9,17.33,17.89,17.08,17.54,1159000
2015-12-03,11.15,17.75,17.95,17.53,17.6,1518600
2015-12-04,11.16,17.75,18.0,17.47,17.8,1695200
2015-12-07,10.98,17.48,17.87,17.33,17.75,1689800
2015-12-08,10.49,16.69,17.56,16.6,17.56,802200
2015-12-09,10.63,16.92,17.15,16.7,16.81,811200
2015-12-10,10.37,16.5,17.0,16.5,16.92,634800
2015-12-11,10.2,16.23,16.69,16.07,16.49,1204200
2015-12-14,10.09,15.9,16.33,15.85,16.14,441000
2015-12-15,9.98,15.72,16.02,15.55,15.91,874400
2015-12-16,9.74,15.35,15.76,15.35,15.56,984400
2015-12-17,10.08,15.88,16.05,15.45,15.45,1253600
2015-12-18,9.6,15.13,15.62,14.97,15.62,1355800
2015-12-21,9.46,14.9,15.52,14.9,15.15,1230800
2015-12-22,9.48,14.94,15.07,14.6,15.0,753600
2015-12-23,9.63,15.16,15.16,14.86,15.01,527200
2015-12-28,9.38,14.77,15.23,14.69,15.1,510400
2015-12-29,9.21,14.52,14.99,14.51,14.84,432600
2015-12-30,9.14,14.4,14.85,14.2,14.5,793800
2016-01-04,9.09,14.31,14.69,14.11,14.39,670600
2016-01-05,9.36,14.75,14.98,14.31,14.45,859800
2016-01-06,9.18,14.47,14.73,14.34,14.69,1036600
2016-01-07,8.81,13.88,14.4,13.88,14.4,941800
2016-01-08,8.64,13.61,14.02,13.47,13.99,1403400
2016-01-11,8.24,12.98,13.68,12.98,13.68,1614400
2016-01-12,8.54,13.46,13.57,13.1,13.1,1865200
2016-01-13,8.52,13.43,13.77,13.35,13.65,1189600
2016-01-14,8.48,13.35,13.53,13.28,13.43,658600
2016-01-15,8.24,12.98,13.31,12.77,13.17,1448600
2016-01-18,7.93,12.5,13.02,12.5,12.99,553000
2016-01-19,8.03,12.65,12.88,12.44,12.88,2122400
2016-01-20,7.58,11.95,12.63,11.74,12.62,2295600
2016-01-21,7.22,11.37,11.92,11.37,11.92,1892600
2016-01-22,7.3,11.5,12.01,11.4,11.56,3603600
2016-01-26,7.62,12.01,12.1,11.31,11.49,2322000
2016-01-27,7.74,12.19,12.52,11.99,11.99,1718200
2016-01-28,7.93,12.5,12.52,12.11,12.27,1316400
2016-01-29,8.31,13.09,13.16,12.5,12.69,3141800
2016-02-01,8.38,13.2,13.47,12.84,13.47,1410000
2016-02-02,7.9,12.45,13.11,12.45,13.01,1207000
2016-02-03,8.45,13.31,13.31,12.3,12.53,1139400
2016-02-04,8.01,12.62,13.47,12.22,13.47,2256200
2016-02-05,7.47,11.77,12.69,11.68,12.69,2062000
2016-02-10,7.59,11.95,12.05,11.61,11.73,1065600
2016-02-11,7.59,11.97,12.02,11.69,11.86,1582600
2016-02-12,7.52,11.85,12.22,11.8,11.93,1229800
2016-02-15,7.36,11.6,12.06,11.6,11.94,741000
2016-02-16,7.22,11.38,11.78,11.38,11.67,1679600
2016-02-17,7.55,11.9,11.9,11.16,11.48,2623800
2016-02-18,7.7,12.12,12.27,11.65,11.89,1186400
2016-02-19,7.66,12.07,12.4,11.91,12.19,801600
2016-02-22,8.05,12.69,12.69,12.06,12.17,1066000
2016-02-23,7.62,12.0,12.73,11.81,12.73,1724400
2016-02-24,7.33,11.55,11.92,11.4,11.8,1711000
2016-02-25,7.36,11.59,11.86,11.33,11.55,847800
2016-02-26,7.21,11.35,11.89,11.23,11.75,734400
2016-02-29,7.5,11.81,11.95,11.3,11.4,1100000
2016-03-01,7.75,12.2,12.22,11.75,11.88,741400
2016-03-02,7.99,12.6,12.6,12.04,12.19,1348800
2016-03-03,8.16,12.85,13.4,12.35,12.7,2447600
2016-03-04,8.11,12.77,13.45,12.19,13.45,1984000
2016-03-07,8.36,13.18,13.45,12.66,12.77,1131600
2016-03-08,8.58,13.52,13.74,13.15,13.18,1794200
2016-03-09,8.79,13.85,14.11,13.56,13.66,1469800
2016-03-10,8.81,13.88,14.14,12.85,13.83,2122200
2016-03-11,9.04,14.24,14.4,13.6,13.88,1832600
2016-03-14,8.98,14.15,14.32,13.9,14.19,1335000
2016-03-15,8.25,13.01,13.81,12.97,13.81,2101200
2016-03-16,8.31,13.1,13.27,12.57,12.86,1560400
2016-03-17,9.14,14.4,14.91,13.32,13.61,1977600
2016-03-18,8.95,14.1,14.26,13.27,14.26,2695000
2016-03-21,9.04,14.25,14.45,14.12,14.31,1290000
2016-03-22,8.74,13.77,14.4,13.58,14.25,1369000
2016-03-23,8.62,13.57,13.72,13.32,13.65,715600
2016-03-24,8.56,13.49,13.6,13.3,13.52,466200
2016-03-28,8.61,13.57,13.8,13.4,13.77,823400
2016-03-29,9.01,14.19,14.34,13.63,13.63,2062000
2016-03-30,8.87,13.9,14.3,13.75,14.2,709200
2016-03-31,8.84,13.86,13.93,13.54,13.9,1020400
2016-04-01,9.28,14.55,14.55,14.55,14.55,1800
2016-04-04,8.94,14.01,14.01,14.01,14.01,3200
2016-04-05,8.83,13.85,13.85,13.85,13.85,400
2016-04-06,8.94,14.02,14.05,13.68,13.68,865600
2016-04-07,8.89,13.93,14.06,13.7,14.05,1442600
2016-04-08,9.15,14.35,14.47,14.12,14.29,810200
2016-04-11,9.28,14.56,14.82,14.35,14.47,1020800
2016-04-12,9.47,14.85,14.85,14.85,14.85,13600
2016-04-13,9.33,14.62,14.62,14.62,14.62,600
2016-04-14,9.45,14.81,15.25,14.6,14.74,1738800
2016-04-15,9.41,14.75,15.07,14.57,14.81,1585400
2016-04-18,9.65,15.14,15.35,14.7,14.84,935000
2016-04-19,9.51,14.91,14.91,14.91,14.91,9800
2016-04-20,9.34,14.64,14.98,14.55,14.78,1064800
2016-04-22,9.55,14.98,15.24,14.25,14.5,895200
2016-04-25,8.77,13.74,14.84,13.62,14.84,2711800
2016-04-26,8.88,13.92,14.28,13.71,13.99,804200
2016-04-27,9.17,14.37,14.44,13.83,13.93,1253600
2016-04-28,8.75,13.71,14.23,13.52,14.23,1494000
2016-04-29,8.83,13.85,13.98,13.64,13.81,1329200
2016-05-02,8.82,13.82,14.1,13.77,13.9,1269600
2016-05-03,8.85,13.87,14.05,13.8,13.89,1348600
2016-05-04,8.78,13.76,14.13,13.7,14.1,1999800
2016-05-05,8.28,12.98,13.98,12.95,13.85,1449200
2016-05-06,8.31,13.02,13.18,12.5,12.95,1240600
2016-05-09,8.13,12.75,13.08,12.64,13.01,1995600
2016-05-10,8.25,12.94,13.0,12.55,12.9,1057800
2016-05-11,8.44,13.23,13.39,13.05,13.15,1087000
2016-05-12,8.74,13.69,13.89,13.31,13.36,1174600
2016-05-13,8.61,13.51,13.75,13.3,13.69,929200
2016-05-16,8.38,13.14,13.56,13.11,13.48,619600
2016-05-17,8.32,13.04,13.27,12.73,13.1,1422400
2016-05-18,8.37,13.11,13.36,12.73,12.92,1183200
2016-05-19,8.29,13.0,13.22,12.85,13.02,697600
2016-05-20,8.3,13.01,13.35,12.91,13.19,668200
2016-05-23,8.28,12.98,13.12,12.77,12.98,1005800
2016-05-24,8.38,13.14,13.37,12.81,13.02,1281200
2016-05-25,8.22,12.89,13.4,12.78,13.27,555200
2016-05-27,8.32,13.05,13.18,12.85,12.97,644000
2016-05-30,8.3,13.02,13.23,12.97,13.23,322800
2016-05-31,8.42,13.2,13.38,12.91,13.06,1425800
2016-06-01,8.24,12.91,13.28,12.79,13.19,964600
2016-06-02,8.39,13.15,13.24,12.81,12.98,1402800
2016-06-03,8.39,13.15,13.37,12.89,13.25,1351400
2016-06-06,8.41,13.18,13.34,12.95,13.08,980200
2016-06-07,8.45,13.25,13.32,13.09,13.15,846200
2016-06-08,8.5,13.32,13.38,13.2,13.31,1241200
2016-06-09,8.46,13.27,13.44,13.04,13.39,945800
2016-06-10,8.31,13.02,13.28,13.02,13.24,755000
2016-06-13,8.46,13.27,13.27,12.86,13.02,1038000
2016-06-14,8.4,13.16,13.23,12.94,13.23,1827000
2016-06-15,8.41,13.19,13.28,13.02,13.28,1806800
2016-06-16,8.41,13.19,13.19,12.9,13.07,925400
2016-06-17,8.36,13.1,13.29,13.01,13.23,1059800
2016-06-20,8.49,13.31,13.39,13.05,13.12,838600
2016-06-21,8.45,13.25,13.49,13.13,13.2,1230600
2016-06-22,8.57,13.44,13.66,13.2,13.2,1012200
2016-06-23,8.76,13.73,13.77,13.5,13.5,605800
2016-06-24,8.59,13.47,13.74,13.27,13.47,926400
2016-06-27,8.31,13.02,13.6,12.98,13.51,1321400
2016-06-28,8.49,13.31,13.52,13.07,13.11,1829200
2016-06-29,8.47,13.27,13.49,13.17,13.39,1596200
2016-06-30,8.53,13.38,13.52,13.17,13.27,1453600
2016-07-01,8.5,13.32,13.38,13.21,13.31,1608800
2016-07-04,8.45,13.25,13.48,13.23,13.4,481400
2016-07-05,8.28,12.98,13.31,12.93,13.23,968200
2016-07-06,8.26,12.95,13.0,12.58,13.0,1239800
2016-07-07,8.34,13.07,13.1,12.86,13.02,1163200
2016-07-08,8.42,13.2,13.3,13.07,13.07,1148400
2016-07-11,8.61,13.5,13.64,13.3,13.3,1521000
2016-07-12,8.61,13.49,13.73,13.28,13.64,586400
2016-07-13,8.83,13.84,13.99,13.42,13.54,1350200
2016-07-14,8.95,14.02,14.27,13.88,13.88,1385800
2016-07-15,8.97,14.06,14.22,13.97,14.12,817000
2016-07-18,9.2,14.43,14.46,14.07,14.07,520000
2016-07-19,9.22,14.45,14.49,14.24,14.47,591400
2016-07-20,9.19,14.4,14.44,14.26,14.4,798600
2016-07-21,9.19,14.4,14.46,14.18,14.39,754200
2016-07-22,9.2,14.41,14.64,14.33,14.4,516600
2016-07-25,9.19,14.41,14.53,14.04,14.53,474200
2016-07-26,9.07,14.22,14.5,14.17,14.41,430200
2016-07-27,8.86,13.89,14.26,13.89,14.16,440200
2016-07-28,8.72,13.68,14.02,13.58,14.0,549800
2016-07-29,8.96,14.05,14.52,13.51,13.51,1309200
2016-08-01,9.38,14.71,14.9,14.09,14.09,2340800
2016-08-02,8.93,14.0,14.8,13.73,14.8,2553000
2016-08-03,8.83,13.85,14.11,13.61,13.94,1191400
2016-08-04,8.85,13.87,14.38,13.77,13.77,966000
2016-08-05,8.93,14.0,14.02,13.85,13.91,493800
2016-08-08,8.77,13.75,14.12,13.75,14.12,502400
2016-08-09,8.77,13.74,14.02,13.7,13.82,1087200
2016-08-10,8.93,14.0,14.0,13.62,13.82,813400
2016-08-11,9.01,14.12,14.22,13.81,13.93,1049400
2016-08-12,8.96,14.05,14.48,13.97,14.18,974600
2016-08-15,8.92,13.98,14.23,13.88,14.18,762200
2016-08-16,8.88,13.93,14.15,13.9,13.98,1224600
2016-08-17,8.79,13.78,13.99,13.63,13.94,964600
2016-08-18,8.85,13.87,14.01,13.73,13.81,901800
2016-08-19,8.71,13.65,13.97,13.62,13.9,1166200
2016-08-22,8.39,13.15,13.63,13.11,13.6,987400
2016-08-23,8.4,13.17,13.34,13.1,13.16,803600
2016-08-24,8.56,13.43,13.68,13.03,13.18,1268200
2016-08-25,8.51,13.34,13.62,13.15,13.5,751400
2016-08-26,8.53,13.38,13.48,13.14,13.19,1334200
2016-08-29,8.67,13.59,13.59,13.3,13.4,596200
2016-08-30,8.81,13.81,13.97,13.55,13.59,544400
2016-08-31,8.79,13.77,14.05,13.74,13.82,1237800
2016-09-01,8.93,14.0,14.22,13.77,13.79,1570000
2016-09-02,9.23,14.47,14.48,14.01,14.01,1325200
2016-09-05,9.31,14.6,14.77,14.47,14.47,468000
2016-09-06,9.5,14.9,14.98,14.51,14.73,1280400
2016-09-08,9.5,14.9,14.97,14.61,14.97,1077800
2016-09-09,9.54,14.95,15.1,14.62,14.84,1282200
2016-09-12,9.62,15.09,15.28,14.84,14.99,2416200
2016-09-13,9.62,15.09,15.23,14.81,14.98,2294200
2016-09-14,9.55,14.98,15.23,14.86,14.94,2398600
2016-09-15,9.51,14.91,15.06,14.89,14.89,944600
2016-09-16,9.5,14.9,14.99,14.8,14.9,845400
2016-09-19,9.46,14.84,15.05,14.76,14.82,760200
2016-09-20,9.5,14.89,15.06,14.79,14.81,574600
2016-09-21,9.42,14.77,15.17,14.76,14.81,851400
2016-09-22,9.53,14.94,15.06,14.8,14.86,1565200
2016-09-23,9.57,15.0,15.22,14.81,14.85,1541400
2016-09-26,9.49,14.88,15.07,14.77,15.07,928600
2016-09-27,9.44,14.8,14.97,14.61,14.94,982600
2016-09-28,9.36,14.68,14.98,14.61,14.82,1090000
2016-09-29,9.5,14.89,14.99,14.73,14.77,1011400
2016-09-30,9.51,14.91,15.18,14.85,14.93,1139800
2016-10-03,9.58,15.02,15.14,14.8,14.8,1024000
2016-10-04,9.65,15.14,15.46,14.98,15.1,797200
2016-10-05,9.62,15.08,15.25,14.93,15.21,600000
2016-10-06,9.77,15.32,15.4,15.04,15.04,797400
2016-10-07,9.76,15.31,15.64,15.23,15.32,1708800
2016-10-10,9.97,15.64,15.69,15.38,15.5,1165000
2016-10-11,9.95,15.6,15.85,15.5,15.67,1011400
2016-10-13,9.81,15.38,15.6,15.26,15.6,2046400
2016-10-14,9.86,15.45,15.85,15.38,15.55,1141600
2016-10-17,9.84,15.43,15.6,15.34,15.34,936600
2016-10-18,9.93,15.56,15.68,15.29,15.52,1350000
2016-10-19,10.02,15.72,15.99,15.52,15.54,834600
2016-10-20,10.05,15.76,15.93,15.56,15.73,1083200
2016-10-21,10.08,15.8,16.0,15.61,15.71,1864200
2016-10-24,10.05,15.76,15.95,15.63,15.95,775000
2016-10-25,10.02,15.71,15.84,15.45,15.75,633200
2016-10-26,9.98,15.65,15.8,15.52,15.61,517600
2016-10-27,9.94,15.57,15.74,15.48,15.69,1276600
2016-10-28,10.05,15.2,15.56,15.07,15.44,765200
2016-10-31,10.0,15.14,15.4,15.03,15.32,975800
2016-11-01,9.95,15.05,15.33,14.95,15.09,991000
2016-11-03,9.78,14.79,15.1,14.56,14.95,1182000
2016-11-04,9.78,14.79,15.05,14.63,14.9,1267800
2016-11-07,9.86,14.93,15.1,14.78,14.94,798800
2016-11-08,9.94,15.05,15.05,14.9,14.97,871800
2016-11-09,9.92,15.01,15.27,14.57,14.94,1501200
2016-11-10,9.37,14.18,15.26,14.14,15.05,2942000
2016-11-11,9.25,13.99,14.68,13.69,14.18,1983400
2016-11-14,9.37,14.18,14.55,13.8,13.84,2031600
2016-11-16,9.79,14.81,15.03,14.25,14.43,2954800
2016-11-17,9.77,14.78,15.0,14.63,15.0,954600
2016-11-18,9.85,14.9,15.2,14.86,14.94,946000
2016-11-21,9.69,14.65,15.15,14.4,15.11,1112600
2016-11-22,9.39,14.21,14.84,14.11,14.66,1932200
2016-11-23,9.35,14.15,14.3,14.04,14.3,672000
2016-11-24,9.33,14.12,14.39,14.0,14.22,272200
2016-11-25,9.26,14.02,14.31,13.94,14.1,367800
2016-11-28,9.43,14.27,14.32,13.88,14.0,629600
2016-11-29,9.41,14.24,14.31,14.1,14.22,500200
2016-11-30,9.46,14.31,14.53,14.13,14.23,1914400
2016-12-01,9.06,13.71,14.27,13.57,14.25,1044600
2016-12-02,8.96,13.56,13.98,13.52,13.75,666600
2016-12-05,8.91,13.48,13.69,13.24,13.5,612400
2016-12-06,9.05,13.7,13.76,13.24,13.45,739400
2016-12-07,8.88,13.43,13.92,13.43,13.89,1158600
2016-12-08,8.96,13.55,13.77,13.41,13.51,1002800
2016-12-09,8.96,13.56,13.57,13.35,13.52,801800
2016-12-12,8.47,12.81,13.62,12.75,13.55,1317400
2016-12-13,8.92,13.5,13.69,12.81,12.82,2943000
2016-12-14,8.79,13.3,13.62,13.3,13.35,996400
