Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,6.75,7.5,7.52,7.19,7.4,11319880
2015-09-04,6.64,7.37,7.5,7.35,7.42,39344240
2015-09-08,6.73,7.48,7.69,7.36,7.63,9956960
2015-09-09,6.74,7.48,7.67,7.41,7.53,7141680
2015-09-10,6.91,7.67,7.67,7.31,7.35,6533800
2015-09-11,6.91,7.67,7.74,7.53,7.63,4883320
2015-09-14,6.99,7.76,7.79,7.55,7.69,7283120
2015-09-15,7.15,7.94,8.09,7.65,7.8,7436000
2015-09-16,7.35,8.16,8.16,7.91,8.01,9189440
2015-09-17,7.2,8.0,8.21,7.97,8.04,7974720
2015-09-18,7.02,7.79,7.97,7.7,7.93,6516120
2015-09-21,6.88,7.63,7.92,7.63,7.77,3453840
2015-09-22,7.0,7.75,7.83,7.44,7.48,5387200
2015-09-23,6.83,7.56,7.82,7.52,7.73,7173400
2015-09-24,6.89,7.63,7.66,7.33,7.43,6790680
2015-09-25,6.78,7.5,7.73,7.5,7.73,4847440
2015-09-28,6.7,7.41,7.54,7.32,7.41,3400800
2015-09-29,6.66,7.37,7.47,7.33,7.37,4582240
2015-09-30,6.79,7.52,7.61,7.32,7.6,8067280
2015-10-01,6.89,7.63,7.68,7.37,7.52,16309280
2015-10-02,7.06,7.81,7.84,7.58,7.63,6637800
2015-10-05,6.84,7.57,7.95,7.51,7.88,7236320
2015-10-06,6.99,7.74,7.81,7.54,7.57,4696120
2015-10-07,7.24,8.02,8.02,7.74,7.88,6371040
2015-10-08,7.34,8.12,8.13,7.9,7.96,7172880
2015-10-09,7.18,7.95,8.17,7.91,8.17,4812080
2015-10-13,7.08,7.84,8.07,7.78,7.93,4646200
2015-10-14,6.94,7.68,7.89,7.68,7.85,8948160
2015-10-15,7.01,7.76,7.87,7.65,7.69,4776200
2015-10-16,7.06,7.82,7.88,7.69,7.83,4417920
2015-10-19,7.07,7.82,7.92,7.71,7.81,11576240
2015-10-20,7.24,8.02,8.16,7.81,7.82,8451560
2015-10-21,7.21,7.98,8.09,7.91,8.02,4907760
2015-10-22,7.56,8.37,8.37,7.95,8.02,8985600
2015-10-23,7.37,8.16,8.5,8.09,8.43,5278520
2015-10-26,7.3,8.08,8.32,8.06,8.09,4265040
2015-10-27,7.26,8.04,8.21,8.03,8.08,7015320
2015-10-28,7.27,8.04,8.12,8.0,8.12,1119040
2015-10-29,6.86,7.6,7.93,7.58,7.8,8284120
2015-10-30,6.95,7.69,7.74,7.55,7.64,10625680
2015-11-03,7.16,7.92,7.99,7.74,7.82,10119720
2015-11-04,7.31,8.1,8.2,8.02,8.06,12165920
2015-11-05,7.34,8.12,8.22,8.03,8.09,7696520
2015-11-06,7.27,8.05,8.17,7.77,8.08,7125040
2015-11-09,7.12,7.88,8.17,7.81,8.04,6402240
2015-11-10,6.99,7.73,7.88,7.56,7.88,5358600
2015-11-11,7.21,7.98,8.07,7.72,7.77,4956640
