Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,7.45,7.84,7.95,7.22,7.44,2674000
2015-09-04,7.12,7.5,7.78,7.43,7.78,3204800
2015-09-08,7.23,7.61,7.76,7.51,7.61,1249400
2015-09-09,7.25,7.63,7.73,7.45,7.72,1615400
2015-09-10,6.96,7.33,7.42,7.14,7.25,1940400
2015-09-11,7.29,7.68,7.69,7.23,7.25,1702700
2015-09-14,7.5,7.9,7.99,7.65,7.71,958900
2015-09-15,7.17,7.55,7.8,7.5,7.73,8400600
2015-09-16,7.57,7.97,8.21,7.56,7.61,1690000
2015-09-17,7.37,7.76,7.94,7.76,7.81,763600
2015-09-18,7.03,7.4,7.7,7.35,7.68,1613100
2015-09-21,6.52,6.87,7.42,6.86,7.38,1078800
2015-09-22,6.27,6.6,6.88,6.42,6.85,2081100
2015-09-23,5.95,6.26,6.66,6.23,6.65,1640400
2015-09-24,5.73,6.03,6.22,5.91,6.22,3849100
2015-09-25,5.51,5.8,6.12,5.67,6.05,4117000
2015-09-28,5.56,5.85,5.89,5.58,5.7,4213600
2015-09-29,5.56,5.85,6.08,5.77,5.92,1339700
2015-09-30,5.71,6.01,6.1,5.85,6.1,1366400
2015-10-01,5.7,6.0,6.06,5.84,6.05,760400
2015-10-02,5.98,6.3,6.41,5.9,6.01,927500
2015-10-05,5.9,6.21,6.49,6.16,6.36,1216600
2015-10-06,6.03,6.35,6.45,6.14,6.25,832200
2015-10-07,6.55,6.9,6.98,6.36,6.37,2913700
2015-10-08,7.5,7.9,7.9,6.88,7.01,4376300
2015-10-09,8.54,8.99,8.99,7.26,8.01,34201200
2015-10-13,8.21,8.64,8.97,8.25,8.9,2454700
2015-10-14,7.62,8.02,8.63,7.87,8.62,3262300
2015-10-15,7.15,7.53,8.15,7.33,8.06,1357100
2015-10-16,6.9,7.27,7.6,7.16,7.5,1009200
2015-10-19,7.08,7.46,7.69,7.11,7.25,647300
2015-10-20,7.46,7.85,8.0,7.42,7.66,1683900
2015-10-21,7.13,7.51,7.88,7.42,7.85,923000
2015-10-22,7.27,7.66,7.8,7.31,7.49,935800
2015-10-23,7.31,7.7,7.89,7.57,7.86,1077600
2015-10-26,6.8,7.16,7.75,7.16,7.64,867200
2015-10-27,7.03,7.4,7.48,6.94,7.18,920600
2015-10-28,7.07,7.44,7.44,7.35,7.37,52100
2015-10-29,7.03,7.4,7.6,7.22,7.28,665700
2015-10-30,6.97,7.34,7.66,7.19,7.34,814200
2015-11-03,7.23,7.61,8.04,7.3,7.31,741500
2015-11-04,6.91,7.28,7.9,7.28,7.8,1405100
2015-11-05,7.0,7.37,7.47,7.3,7.32,623000
2015-11-06,7.0,7.37,7.6,7.25,7.5,555000
2015-11-09,6.93,7.3,7.41,7.23,7.33,886300
2015-11-10,6.87,7.23,7.4,7.19,7.35,502700
2015-11-11,6.84,7.2,7.36,7.19,7.33,845200
2015-11-12,6.65,7.0,7.33,6.96,7.24,1193000
2015-11-13,6.64,6.99,7.05,6.86,7.0,846000
2015-11-16,6.59,6.94,7.11,6.94,7.0,454800
2015-11-17,6.7,7.05,7.12,6.93,6.99,480600
2015-11-18,6.55,6.9,7.24,6.9,7.05,415100
2015-11-19,6.6,6.95,7.06,6.83,6.95,634300
2015-11-23,6.43,6.77,7.02,6.72,7.01,577600
2015-11-24,6.17,6.5,6.77,6.48,6.75,785900
2015-11-25,5.88,6.19,6.5,6.11,6.48,731500
2015-11-26,5.73,6.03,6.18,5.93,6.16,879800
2015-11-27,5.71,6.01,6.05,5.96,6.04,705100
2015-11-30,5.7,6.0,6.0,5.85,5.92,1077400
2015-12-01,5.65,5.95,6.15,5.89,5.97,705000
2015-12-02,5.84,6.15,6.38,5.87,6.05,885300
2015-12-03,5.8,6.11,6.39,6.01,6.3,811700
2015-12-04,5.62,5.92,6.1,5.75,6.1,633700
2015-12-07,5.68,5.98,6.07,5.88,5.97,518300
2015-12-08,5.65,5.95,6.08,5.87,6.08,481300
2015-12-09,5.85,6.16,6.39,6.0,6.03,882500
2015-12-10,5.76,6.07,6.29,5.93,6.23,804300
2015-12-11,5.76,6.07,6.17,5.95,6.02,381500
2015-12-14,5.7,6.0,6.1,5.92,6.02,748500
2015-12-15,5.75,6.05,6.21,5.96,6.0,1011100
