Date,Adj Close,Close,High,Low,Open,Volume
2021-08-05,6.38,7.24,7.6,7.18,7.48,98849900
2021-08-06,6.26,7.1,7.35,7.03,7.25,28799900
2021-08-09,6.23,7.07,7.31,7.07,7.18,14491100
2021-08-10,6.26,7.1,7.16,7.05,7.12,9988600
2021-08-11,6.06,6.87,7.14,6.8,7.13,31978000
2021-08-12,6.14,6.96,6.98,6.75,6.97,17054100
2021-08-13,6.18,7.01,7.04,6.86,6.98,21141500
2021-08-16,6.19,7.02,7.12,6.78,6.97,13434600
2021-08-17,6.01,6.82,6.99,6.76,6.93,17772000
2021-08-18,6.01,6.81,7.0,6.72,6.83,8841700
2021-08-19,6.11,6.93,6.93,6.42,6.7,5423700
2021-08-20,6.16,6.98,7.05,6.83,6.89,3109200
2021-08-23,6.32,7.17,7.2,7.01,7.04,6128800
2021-08-24,6.39,7.25,7.4,7.18,7.24,6054100
2021-08-25,6.47,7.34,7.38,7.26,7.32,5190100
2021-08-26,6.26,7.1,7.38,7.1,7.34,7968100
2021-08-27,6.34,7.19,7.24,7.12,7.15,5881000
2021-08-30,6.27,7.11,7.28,7.09,7.25,4966000
2021-08-31,6.26,7.1,7.15,7.01,7.15,3704100
2021-09-01,6.23,7.07,7.15,7.03,7.1,6468600
2021-09-02,6.0,6.8,7.09,6.77,7.07,3746900
2021-09-03,6.17,7.0,7.0,6.73,6.84,3705400
2021-09-06,6.11,6.93,7.02,6.88,6.94,1654400
2021-09-08,5.76,6.53,6.93,6.42,6.93,10251100
2021-09-09,5.65,6.41,6.62,6.35,6.53,5428200
2021-09-10,5.73,6.5,6.69,6.37,6.54,5905500
2021-09-13,6.13,6.95,7.0,6.72,6.75,8999600
2021-09-14,6.34,7.19,7.38,7.06,7.06,9730300
2021-09-15,6.38,7.24,7.38,7.14,7.24,7265900
2021-09-16,6.28,7.12,7.29,7.0,7.2,6142600
2021-09-17,6.38,7.24,7.24,6.78,7.1,16008100
2021-09-20,6.27,7.11,7.17,6.88,6.99,9065700
2021-09-21,6.42,7.28,7.4,7.11,7.2,11102500
2021-09-22,6.45,7.31,7.44,7.26,7.33,10254600
2021-09-23,6.38,7.23,7.42,7.19,7.38,6341600
2021-09-24,6.17,7.0,7.23,6.99,7.19,5138200
2021-09-27,6.31,7.15,7.19,6.92,7.0,6343700
2021-09-28,6.12,6.94,7.12,6.94,7.1,6782400
2021-09-29,6.04,6.85,7.09,6.85,7.05,6482600
2021-09-30,6.26,7.1,7.2,6.87,6.9,15990100
2021-10-01,6.5,7.37,7.45,7.18,7.18,15528000
2021-10-04,6.19,7.02,7.43,7.02,7.4,12019000
2021-10-05,6.29,7.13,7.22,7.08,7.14,12888200
2021-10-06,6.18,6.99,7.1,6.88,7.07,10376100
2021-10-07,6.3,7.13,7.33,7.03,7.11,18438800
2021-10-08,6.31,7.14,7.53,7.12,7.2,20480700
2021-10-11,6.21,7.03,7.25,7.03,7.2,10407400
2021-10-13,6.23,7.05,7.12,7.03,7.07,8146000
2021-10-14,6.32,7.15,7.22,7.06,7.07,10992200
2021-10-15,6.28,7.1,7.19,7.04,7.17,34203500
2021-10-18,6.17,6.98,7.09,6.96,7.08,7596500
2021-10-19,5.91,6.69,7.0,6.67,6.98,11473400
2021-10-20,5.9,6.68,6.84,6.61,6.8,6234400
2021-10-21,5.68,6.43,6.61,6.19,6.56,12472300
2021-10-22,5.63,6.37,6.4,5.88,6.34,18890200
2021-10-25,5.86,6.63,6.65,6.28,6.43,11428100
2021-10-26,5.82,6.58,6.64,6.43,6.6,8470300
2021-10-27,5.86,6.63,6.75,6.55,6.6,7675900
2021-10-28,5.99,6.78,6.82,6.48,6.51,8299700
2021-10-29,5.99,6.78,6.81,6.61,6.74,3926300
2021-11-01,6.0,6.79,6.86,6.73,6.75,5059700
2021-11-03,6.1,6.9,7.0,6.7,6.77,5711600
