Date,Adj Close,Close,High,Low,Open,Volume
2020-12-15,61.05,66.53,67.36,65.74,66.33,3282948
2020-12-16,61.66,67.19,67.43,66.14,66.74,2830870
2020-12-17,64.0,69.74,70.83,66.99,67.02,3838013
2020-12-18,62.63,68.25,71.42,68.25,69.73,9740255
2020-12-21,60.68,66.12,67.38,65.74,66.95,2001776
2020-12-22,61.7,67.24,67.25,66.01,66.64,1743960
2020-12-23,62.47,68.08,68.16,66.94,67.43,859119
2020-12-28,62.35,67.94,68.61,67.34,68.44,1377453
2020-12-29,62.35,67.94,68.14,67.44,67.94,968110
2020-12-30,62.62,68.24,68.24,66.64,67.95,1305192
2021-01-04,60.51,65.94,68.49,65.64,68.49,1353533
2021-01-05,59.81,65.05,66.43,63.5,65.94,1236034
2021-01-06,57.33,62.35,65.17,62.32,65.06,1224225
2021-01-07,55.99,60.9,63.33,60.45,62.36,1920908
2021-01-08,57.17,62.18,63.01,60.96,61.55,2331151
2021-01-11,56.26,61.19,62.9,59.57,62.14,3476110
2021-01-12,58.95,64.12,64.95,60.01,61.45,2695256
2021-01-13,60.95,66.29,66.29,62.98,63.95,2332352
2021-01-14,61.64,67.04,67.4,65.99,66.16,1954436
2021-01-15,61.92,67.34,67.94,65.55,67.04,1459021
2021-01-18,61.78,67.19,68.32,65.46,67.24,3533858
2021-01-19,62.38,67.84,68.87,66.95,67.68,2202344
2021-01-20,62.47,67.94,68.94,67.64,68.25,2119574
2021-01-21,62.4,67.86,68.64,66.82,67.93,1763676
2021-01-22,61.83,67.24,67.91,65.84,67.24,1626862
2021-01-26,60.99,66.33,67.91,65.47,67.24,1401473
2021-01-27,58.69,63.84,66.6,63.05,66.6,2672437
2021-01-28,59.72,64.96,65.14,63.55,63.95,1762575
2021-01-29,60.36,65.64,66.82,63.55,64.59,2215655
2021-02-01,62.29,67.74,67.94,66.06,66.94,1905095
2021-02-02,62.97,68.49,69.68,67.64,67.97,2230667
2021-02-03,65.23,70.94,70.94,68.3,68.58,3830607
2021-02-04,67.43,73.34,73.43,70.47,71.09,4126354
2021-02-05,68.81,74.84,74.84,72.18,73.44,2781228
2021-02-08,67.52,73.44,74.89,73.3,74.84,2138390
2021-02-09,68.21,74.19,74.5,71.59,72.93,2660127
2021-02-10,66.7,72.54,74.19,71.69,74.19,1813218
2021-02-11,66.48,72.3,73.62,71.0,72.54,7591756
2021-02-12,67.8,73.74,73.9,71.45,71.83,1295584
2021-02-17,67.69,73.62,74.94,72.58,73.94,1187994
2021-02-18,66.14,71.94,74.08,71.52,73.99,1150363
2021-02-19,67.08,72.96,73.22,71.26,71.27,685173
2021-02-22,65.19,70.9,71.92,67.74,71.43,1776787
2021-02-23,66.6,72.44,72.89,69.33,71.44,1706328
2021-02-24,66.81,72.67,72.92,70.73,72.84,1060888
2021-02-25,65.08,70.78,73.83,70.03,73.44,1651983
2021-02-26,63.48,69.04,71.93,69.04,71.64,1784293
2021-03-01,64.51,70.16,72.38,69.46,69.74,1423491
2021-03-02,63.6,69.17,70.71,68.46,69.81,2089249
2021-03-03,62.52,67.99,70.13,66.94,69.49,2882113
2021-03-04,62.4,67.86,68.84,65.97,68.11,2507299
2021-03-05,61.07,66.42,67.84,64.54,67.83,2794139
2021-03-08,57.1,62.11,65.88,61.96,65.88,3243215
2021-03-09,55.95,60.85,63.67,60.36,62.95,2315438
2021-03-10,55.12,59.95,62.56,59.72,61.45,1903593
2021-03-11,57.88,62.95,63.52,60.47,61.95,4639184
2021-03-12,57.42,62.45,64.37,61.97,62.79,1233833
2021-03-15,58.78,63.93,64.65,62.59,62.77,732213
2021-03-16,59.87,65.12,65.2,63.93,63.95,765140
2021-03-17,58.5,63.63,65.14,62.85,64.31,2111467
2021-03-18,57.44,62.47,64.82,61.44,63.63,1289980
2021-03-19,58.57,63.71,63.85,62.2,62.36,1996972
2021-03-22,58.0,63.09,64.6,61.74,63.7,847809
2021-03-23,57.1,62.1,62.75,61.72,62.74,1703126
2021-03-24,55.67,60.55,62.5,60.48,62.5,1476436
2021-03-25,57.42,62.45,62.53,60.0,61.1,3066367
2021-03-26,56.77,61.75,62.74,60.97,62.12,1168978
2021-03-29,56.35,61.29,61.87,60.25,61.45,1164374
2021-03-30,57.87,62.94,63.23,60.61,60.95,2170517
2021-03-31,59.63,64.86,64.86,62.41,63.34,2249983
2021-04-01,59.17,64.28,66.44,63.86,63.86,1826429
2021-04-05,59.57,64.72,65.45,62.66,64.27,1702425
2021-04-06,61.22,66.5,67.25,65.41,65.89,2081142
2021-04-07,62.14,67.5,68.33,66.69,67.44,1547896
2021-04-08,60.89,66.14,67.94,66.14,67.93,1091614
2021-04-09,60.64,65.87,66.46,64.95,65.94,1141956
2021-04-12,63.46,68.94,69.17,66.64,66.64,2210550
2021-04-13,64.04,69.57,70.94,68.1,68.74,2530919
2021-04-14,63.92,69.44,70.89,69.21,69.57,2227665
2021-04-15,63.74,69.24,70.04,68.74,69.45,1514868
2021-04-16,64.38,69.94,69.94,68.79,69.64,728710
2021-04-19,64.0,69.52,69.83,68.84,69.58,951396
2021-04-20,63.31,68.77,69.81,68.12,69.42,1983760
2021-04-22,62.08,67.44,69.94,66.69,68.45,1729247
2021-04-23,63.78,69.29,69.35,67.25,67.84,1036968
2021-04-26,63.85,69.36,70.26,68.07,68.93,1270964
2021-04-27,63.13,68.58,69.59,67.76,69.57,1719039
2021-04-28,63.71,69.21,70.14,67.95,68.58,1514167
2021-04-29,63.92,69.44,69.92,68.82,69.21,1291781
2021-04-30,66.13,71.84,71.84,68.91,69.44,2721478
2021-05-03,64.01,69.54,71.6,68.99,71.57,1670298
2021-05-04,63.23,68.69,69.53,68.28,69.53,1210713
2021-05-05,64.01,69.54,69.87,67.95,68.94,1335518
2021-05-06,65.21,70.84,71.53,69.14,69.74,2403012
2021-05-07,65.84,71.53,72.44,70.01,71.14,2010583
2021-05-10,66.59,72.34,73.29,71.61,71.94,1437203
2021-05-11,65.89,71.58,72.84,70.75,71.35,971513
2021-05-12,66.41,72.15,74.92,72.15,73.94,8001199
2021-05-13,67.12,72.92,73.41,70.68,72.15,1319004
2021-05-14,67.78,73.64,73.76,72.28,73.13,1211414
2021-05-17,69.9,75.94,75.94,74.14,74.14,3154541
2021-05-18,66.18,71.9,76.41,70.1,75.81,5818800
2021-05-19,66.35,72.08,72.38,69.0,70.47,3483600
2021-05-20,67.86,73.72,74.44,72.08,72.08,2074900
2021-05-21,68.49,74.4,74.98,73.36,74.2,1710900
2021-05-24,67.33,73.15,75.66,72.44,74.8,2201700
2021-05-25,68.02,73.89,74.7,72.68,73.14,1544600
2021-05-26,67.66,73.5,74.9,72.5,74.9,2795000
2021-05-27,65.36,71.0,72.0,70.2,72.0,27879800
2021-05-28,65.36,71.0,71.82,69.85,71.82,3681500
2021-05-31,64.64,70.22,71.39,70.11,71.0,1346200
2021-06-01,63.12,68.57,70.97,68.02,70.97,4030800
2021-06-02,63.76,69.27,69.81,68.28,68.84,3011400
2021-06-04,63.51,69.0,69.97,68.75,69.3,2006300
2021-06-07,63.05,68.5,69.28,66.77,68.95,3491800
2021-06-08,63.51,69.0,69.0,67.41,68.51,1637000
2021-06-09,63.46,68.94,69.76,68.55,68.99,1350700
2021-06-10,64.5,70.07,70.07,68.15,69.0,1227600
2021-06-11,64.17,69.71,69.91,68.97,69.91,984600
2021-06-14,63.93,69.45,70.05,68.68,69.74,1573800
2021-06-15,62.81,68.23,69.75,67.82,69.61,1452700
2021-06-16,62.89,68.32,68.73,67.58,68.55,1788000
2021-06-17,63.06,68.51,68.86,67.95,68.4,1547200
2021-06-18,61.62,66.94,68.62,66.94,68.49,4105500
2021-06-21,61.58,66.9,67.58,66.5,67.08,1918000
2021-06-22,64.21,69.75,69.8,66.65,67.0,1713900
2021-06-23,63.33,68.8,69.68,68.33,69.36,1114000
2021-06-24,62.77,68.19,69.53,67.72,69.36,1644800
2021-06-25,63.28,68.67,69.81,67.4,68.46,2028100
2021-06-28,63.99,69.44,69.58,67.99,68.8,1034400
2021-06-29,64.0,69.45,69.59,68.03,69.31,1569800
2021-06-30,63.62,69.03,69.5,67.73,69.3,1981700
2021-07-01,63.88,69.32,70.5,68.26,69.42,2142900
2021-07-02,65.8,71.4,71.4,68.85,69.75,1556000
2021-07-05,65.17,70.72,71.71,70.5,71.1,1142200
2021-07-06,64.38,69.86,70.61,69.55,70.6,1893600
2021-07-07,65.37,70.93,70.94,69.46,70.08,1246600
2021-07-08,65.06,70.6,70.63,69.6,69.9,1150000
2021-07-12,64.46,69.95,71.1,69.69,70.6,1434600
2021-07-13,64.33,69.8,70.38,69.03,69.95,1308100
2021-07-14,64.5,69.99,70.62,68.76,69.81,2300200
2021-07-15,63.46,68.86,70.0,68.37,69.99,1788500
2021-07-16,63.17,68.55,69.98,68.29,69.37,1395600
2021-07-19,61.61,66.85,68.37,66.73,68.37,1419200
2021-07-20,61.45,66.68,67.5,65.49,67.2,2157200
2021-07-21,61.07,66.27,67.82,65.84,66.84,1811700
2021-07-22,64.44,69.92,69.92,66.09,66.5,3301200
2021-07-23,63.77,69.2,69.45,68.58,69.45,1145300
2021-07-26,61.87,67.13,69.23,66.7,69.06,1679100
2021-07-27,62.08,67.36,67.36,65.71,67.24,1468200
2021-07-28,62.41,67.72,67.73,66.42,67.39,1537600
2021-07-29,63.97,69.41,69.65,67.4,68.0,1755000
2021-07-30,63.59,69.0,69.79,67.73,68.7,2459200
2021-08-02,64.74,70.25,70.47,69.1,69.31,1566600
2021-08-03,66.07,71.69,71.69,69.28,70.4,1746700
2021-08-04,64.95,70.48,73.0,69.21,73.0,3771900
2021-08-05,64.81,70.33,71.09,69.5,71.0,2028200
2021-08-06,64.41,69.89,70.55,68.79,70.5,1777700
2021-08-09,64.25,69.72,70.8,69.05,69.7,2702100
2021-08-10,64.45,69.94,70.68,69.57,69.74,1799500
2021-08-11,64.45,69.93,70.13,68.44,70.13,2474500
2021-08-12,67.74,73.5,73.58,69.92,69.96,7066200
2021-08-13,67.28,73.0,73.97,72.23,73.0,3207300
2021-08-16,67.28,73.0,73.91,71.45,72.89,4768900
2021-08-17,66.7,72.38,73.86,70.78,73.5,4195600
2021-08-18,67.63,73.38,74.14,70.41,72.17,2696200
2021-08-19,67.7,73.46,73.8,72.06,72.2,2710600
2021-08-20,69.76,75.7,75.76,72.77,73.0,2082900
2021-08-23,69.89,75.84,76.93,75.46,75.49,3164300
2021-08-24,70.27,76.25,77.3,75.36,75.48,2259200
2021-08-25,70.26,76.24,76.97,75.12,75.49,3077300
2021-08-26,68.69,74.54,76.5,73.8,75.57,4241000
2021-08-27,69.82,75.76,76.27,73.82,74.76,4195700
2021-08-30,67.55,73.3,76.03,73.04,76.03,5559700
2021-08-31,63.42,68.82,70.39,68.82,70.0,65798400
2021-09-01,62.67,68.0,69.33,67.23,68.98,4332800
2021-09-02,63.57,68.98,70.0,68.0,68.44,5704400
