Date,Adj Close,Close,High,Low,Open,Volume
2021-05-05,11.47,15.27,16.34,14.02,14.14,10680015
2021-05-06,11.76,15.66,16.1,15.27,15.65,1678691
2021-05-07,12.2,16.24,16.54,15.19,15.8,2348389
2021-05-10,11.67,15.54,16.54,15.52,16.49,1054061
2021-05-11,11.87,15.8,15.8,14.82,15.34,1737863
2021-05-12,11.72,15.6,16.02,15.38,15.6,360142
2021-05-13,11.58,15.41,15.58,15.1,15.45,616453
2021-05-14,11.76,15.66,15.86,15.07,15.45,2456207
2021-05-17,12.01,15.99,15.99,15.36,15.65,1382217
2021-05-18,11.7,15.58,16.24,15.58,16.0,416453
2021-05-19,11.47,15.26,15.75,15.19,15.54,1259989
2021-05-20,11.58,15.41,15.49,14.87,15.32,367194
2021-05-21,11.54,15.36,15.41,15.25,15.37,263873
2021-05-24,11.5,15.31,15.57,15.22,15.41,327848
2021-05-25,11.47,15.26,15.5,15.22,15.29,209095
2021-05-26,11.25,14.98,15.39,14.97,15.33,527541
2021-05-27,11.4,15.18,15.39,14.93,15.13,582626
2021-05-28,11.65,15.51,15.62,15.23,15.4,401021
2021-05-31,11.83,15.75,15.8,15.4,15.5,1178844
2021-06-01,11.97,15.94,15.97,15.7,15.8,723453
2021-06-02,11.97,15.93,16.09,15.62,15.85,758098
2021-06-04,12.34,16.43,16.43,15.72,16.1,663362
2021-06-07,12.07,16.07,16.39,15.95,16.31,421563
2021-06-08,11.88,15.81,16.22,15.76,16.21,201124
2021-06-09,11.89,15.82,15.89,15.64,15.87,895043
2021-06-10,12.28,16.35,16.35,15.9,15.9,755032
2021-06-11,12.28,16.34,16.52,16.04,16.34,1029023
2021-06-14,12.72,16.93,17.08,16.58,16.63,1571997
2021-06-15,13.24,17.62,18.0,17.03,17.04,1521511
2021-06-16,13.62,18.13,18.4,17.7,18.0,795196
2021-06-17,13.75,18.3,18.56,17.81,18.17,1181297
2021-06-18,13.6,18.1,18.49,17.93,18.22,725293
2021-06-21,14.18,18.88,18.92,18.12,18.12,722431
2021-06-22,13.93,18.54,19.08,18.47,18.88,808379
2021-06-23,13.92,18.53,18.89,18.06,18.63,380786
2021-06-24,14.6,19.43,19.84,18.47,18.61,1189881
2021-06-25,14.4,19.17,19.65,18.84,19.37,1139498
2021-06-28,14.19,18.89,19.45,18.67,19.17,353806
2021-06-29,14.44,19.22,19.45,18.85,18.89,861011
2021-06-30,14.52,19.33,19.42,18.96,19.22,1235053
2021-07-01,14.35,19.1,19.69,18.98,19.43,1506897
2021-07-02,14.88,19.8,20.0,19.21,19.22,539192
2021-07-05,15.2,20.24,20.35,19.37,19.83,1023300
2021-07-06,14.97,19.92,20.33,19.48,20.21,785589
2021-07-07,14.85,19.77,20.09,19.58,20.06,738476
2021-07-08,14.15,18.84,19.44,18.84,19.44,725906
2021-07-12,14.27,18.99,19.24,18.59,18.84,414716
2021-07-13,14.11,18.79,19.02,18.71,18.85,384261
2021-07-14,14.19,18.89,19.28,18.62,18.98,285538
2021-07-15,13.66,18.19,18.88,18.19,18.81,341032
2021-07-16,13.88,18.48,18.49,17.96,18.3,402656
2021-07-19,13.43,17.88,18.32,17.45,18.32,1093714
2021-07-20,13.6,18.1,18.1,17.43,17.63,633009
2021-07-21,14.03,18.68,18.68,17.83,18.21,438017
2021-07-22,13.97,18.59,18.88,18.4,18.67,763719
2021-07-23,13.97,18.59,18.89,18.22,18.8,328666
2021-07-26,13.64,18.16,18.59,18.06,18.59,619212
2021-07-27,13.37,17.8,18.34,17.53,17.95,693305
2021-07-28,13.09,17.43,18.03,17.26,17.72,639754
2021-07-29,13.44,17.9,18.0,17.46,17.5,701481
2021-07-30,13.15,17.51,17.91,17.33,17.85,681450
2021-08-02,13.41,17.86,18.09,17.46,17.68,816657
2021-08-03,13.45,17.91,17.91,16.98,17.81,325804
2021-08-04,12.77,17.01,17.75,17.01,17.75,461215
2021-08-05,12.86,17.12,17.32,16.72,17.21,336228
2021-08-06,12.49,16.62,17.11,16.61,17.11,360040
2021-08-09,12.64,16.82,16.88,16.23,16.44,302503
2021-08-10,12.97,17.26,17.26,16.48,16.69,560449
2021-08-11,13.38,17.81,17.84,16.79,17.06,568012
2021-08-12,13.23,17.61,17.85,17.35,17.8,855083
2021-08-13,12.86,17.12,17.6,16.79,17.5,270107
2021-08-16,11.95,15.91,16.99,15.4,16.85,1578946
2021-08-17,11.47,15.27,15.81,14.49,15.81,2387633
2021-08-18,11.07,14.74,15.45,14.74,15.27,1234950
2021-08-19,11.47,15.27,15.57,14.13,14.48,794889
2021-08-20,11.17,14.87,15.49,14.87,15.08,298620
2021-08-23,11.69,15.56,15.69,14.94,15.04,827388
2021-08-24,12.05,16.05,16.25,15.6,15.7,676341
2021-08-25,12.33,16.42,16.49,15.83,16.04,566274
2021-08-26,12.11,16.12,16.37,15.75,16.25,402656
2021-08-27,12.95,17.24,17.24,16.07,16.18,697598
