Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.38,6.56,6.58,6.36,6.4,3689279
2015-09-04,5.31,6.47,6.72,6.35,6.43,5289672
2015-09-08,5.34,6.51,6.56,6.43,6.51,4203026
2015-09-09,5.35,6.52,6.55,6.36,6.52,6099173
2015-09-10,5.21,6.35,6.43,6.23,6.35,10753141
2015-09-11,5.31,6.47,6.5,6.24,6.3,9655529
2015-09-14,5.39,6.58,6.68,6.42,6.5,5706053
2015-09-15,5.42,6.61,6.61,6.38,6.5,3585266
2015-09-16,5.66,6.9,6.93,6.61,6.62,7643739
2015-09-17,5.92,7.22,7.34,6.73,6.9,4835740
2015-09-18,5.52,6.73,7.43,6.73,7.11,3426423
2015-09-21,5.65,6.89,6.95,6.67,6.7,2149033
2015-09-22,6.02,7.34,7.35,6.75,6.76,4781906
2015-09-23,6.03,7.35,7.62,7.1,7.38,3449685
2015-09-24,6.18,7.54,7.66,7.04,7.07,3081156
2015-09-25,6.07,7.4,7.61,7.29,7.6,2640183
2015-09-28,6.11,7.45,7.57,7.14,7.25,3456995
2015-09-29,5.93,7.23,7.66,7.23,7.45,3200454
2015-09-30,6.03,7.35,7.53,7.31,7.34,2935937
2015-10-01,5.88,7.13,7.45,7.06,7.41,4013611
2015-10-02,6.09,7.39,7.39,7.01,7.13,3941500
2015-10-05,6.31,7.65,7.73,7.34,7.6,3337365
2015-10-06,6.18,7.49,7.8,7.39,7.56,3422103
2015-10-07,6.28,7.61,7.76,7.55,7.7,7518791
2015-10-08,6.47,7.84,8.06,7.56,7.56,6369007
2015-10-09,6.6,8.01,8.12,7.85,7.88,5307284
2015-10-13,6.45,7.82,8.12,7.73,8.01,5651223
2015-10-14,6.3,7.64,7.88,7.5,7.77,5911752
2015-10-15,6.18,7.49,7.88,7.43,7.58,2698005
2015-10-16,6.28,7.61,7.68,7.41,7.49,4182423
2015-10-19,6.33,7.67,7.78,7.45,7.61,2459076
2015-10-20,6.21,7.52,7.7,7.44,7.68,3361291
2015-10-21,6.06,7.34,7.52,7.28,7.52,2377328
2015-10-22,6.08,7.37,7.56,7.24,7.28,4449266
2015-10-23,6.35,7.7,7.86,7.64,7.79,5008207
2015-10-26,6.39,7.74,7.85,7.64,7.67,2017439
2015-10-27,6.2,7.51,7.74,7.51,7.74,2529525
2015-10-28,6.33,7.67,7.68,7.58,7.58,137243
2015-10-29,6.15,7.45,7.73,7.45,7.57,2371679
2015-10-30,6.45,7.82,7.82,7.41,7.45,2224134
2015-11-03,6.65,8.06,8.06,7.83,7.83,4630374
2015-11-04,6.96,8.44,8.57,8.13,8.13,5135149
2015-11-05,7.25,8.78,8.93,8.28,8.44,5178017
2015-11-06,7.2,8.73,8.86,8.32,8.72,3198128
2015-11-09,6.98,8.47,8.72,8.47,8.72,3280208
2015-11-10,6.7,8.13,8.42,7.91,8.42,3673328
2015-11-11,6.77,8.21,8.27,8.01,8.13,2765131
2015-11-12,6.77,8.21,8.42,8.13,8.22,2649488
2015-11-13,6.92,8.39,8.41,8.06,8.15,2432491
2015-11-16,6.74,8.17,8.45,8.02,8.43,3196134
2015-11-17,6.71,8.14,8.27,8.07,8.21,3524122
2015-11-18,6.8,8.25,8.51,8.12,8.18,2115802
2015-11-19,7.01,8.5,8.55,8.31,8.31,2049673
2015-11-23,7.15,8.67,8.77,8.55,8.55,1319261
2015-11-24,7.06,8.56,8.65,8.4,8.62,3724503
2015-11-25,6.93,8.41,8.49,8.27,8.48,1771199
2015-11-26,6.95,8.43,8.53,8.3,8.34,2153353
2015-11-27,6.83,8.28,8.45,8.19,8.37,2278633
2015-11-30,6.59,8.0,8.28,7.94,8.22,4197377
2015-12-01,6.3,7.64,8.06,7.58,8.06,5384712
2015-12-02,6.36,7.71,7.89,7.59,7.6,4896552
2015-12-03,6.45,7.82,8.06,7.79,7.97,3043937
2015-12-04,6.14,7.45,7.88,7.29,7.77,4999567
2015-12-07,6.33,7.67,7.88,7.34,7.5,2626891
2015-12-08,6.01,7.28,7.73,7.28,7.73,2411888
2015-12-09,6.33,7.67,7.79,7.32,7.38,3265254
2015-12-10,6.21,7.52,7.67,7.33,7.67,1738965
2015-12-11,6.08,7.37,7.51,7.36,7.47,1730657
2015-12-14,6.16,7.46,7.46,7.15,7.37,1535261
2015-12-15,6.13,7.43,7.53,7.33,7.52,1845304
2015-12-16,6.16,7.47,7.6,7.14,7.38,2745525
