Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,7.73,14.95,15.14,14.61,14.69,2747868
2015-09-04,7.3,14.11,14.54,13.83,14.4,4267680
2015-09-08,7.12,13.77,14.38,13.74,14.27,1255555
2015-09-09,7.13,13.78,14.19,13.74,13.86,1000777
2015-09-10,7.33,13.34,13.48,12.48,12.48,1451169
2015-09-11,7.14,12.99,13.29,12.78,13.21,623715
2015-09-14,7.43,13.51,13.51,12.8,12.97,933177
2015-09-15,7.5,13.64,13.72,13.3,13.58,911407
2015-09-16,7.71,14.02,14.03,13.66,13.74,1293990
2015-09-17,7.69,13.99,14.24,13.57,13.88,898700
2015-09-18,7.29,13.26,13.88,13.15,13.82,1058378
2015-09-21,7.15,13.01,13.38,12.94,13.16,343210
2015-09-22,7.19,13.08,13.3,12.68,12.77,585800
2015-09-23,6.92,12.6,13.23,12.53,13.13,636006
2015-09-24,7.01,12.76,12.91,12.02,12.11,648089
2015-09-25,6.9,12.55,12.97,12.15,12.82,721210
2015-09-28,6.75,12.28,12.43,11.82,12.43,1428150
2015-09-29,6.7,12.18,12.42,12.09,12.24,1102751
2015-09-30,6.66,12.11,12.62,12.11,12.62,1297740
2015-10-01,6.81,12.39,12.55,12.12,12.19,798184
2015-10-02,7.1,12.91,13.02,12.35,12.67,1072857
2015-10-05,7.3,13.28,13.46,13.06,13.18,909532
2015-10-06,7.36,13.38,13.57,13.18,13.18,952447
2015-10-07,8.01,14.56,14.82,13.6,13.74,1686364
2015-10-08,8.01,14.57,14.96,14.52,14.64,1429087
2015-10-09,8.18,14.88,14.88,14.26,14.88,1124312
2015-10-13,7.45,13.56,14.6,13.44,14.6,1460439
2015-10-14,7.34,13.35,13.62,13.16,13.47,3901867
2015-10-15,7.42,13.49,13.63,13.27,13.45,860889
2015-10-16,7.6,13.82,14.04,13.16,13.54,5188254
2015-10-19,7.6,13.82,14.21,13.5,13.82,776623
2015-10-20,7.44,13.53,14.07,13.29,13.83,656942
2015-10-21,7.47,13.58,14.14,13.36,13.54,1197121
2015-10-22,7.51,13.66,14.08,13.46,13.82,952551
2015-10-23,7.66,13.93,14.35,13.93,14.01,983591
2015-10-26,7.58,13.79,14.19,13.62,13.71,689857
2015-10-27,7.45,13.56,13.78,13.37,13.78,951926
2015-10-28,7.59,13.81,13.87,13.73,13.81,72391
2015-10-29,7.21,13.12,13.68,12.95,13.28,788081
2015-10-30,7.3,13.28,13.39,12.96,13.26,880263
2015-11-03,7.78,14.16,14.2,13.15,13.15,1315343
2015-11-04,8.07,14.68,14.89,14.18,14.53,1717613
2015-11-05,8.17,14.87,14.91,14.37,14.67,1200766
2015-11-06,7.79,14.18,14.94,13.8,14.86,658921
2015-11-09,7.65,13.92,14.4,13.75,14.21,406435
2015-11-10,7.73,14.06,14.06,13.64,13.91,524033
2015-11-11,8.04,14.62,14.92,14.11,14.15,1328572
2015-11-12,7.95,14.47,14.92,14.11,14.41,1169101
2015-11-13,7.76,14.11,14.37,13.82,14.21,734334
2015-11-16,7.84,14.27,14.33,13.84,14.12,874743
2015-11-17,8.0,14.54,15.07,14.31,14.32,1141395
2015-11-18,8.0,14.54,15.05,14.53,14.56,882763
2015-11-19,8.39,15.26,15.33,14.77,14.81,1155248
2015-11-23,8.31,15.12,15.55,14.94,15.35,974425
2015-11-24,8.29,15.07,15.17,14.61,15.1,656838
2015-11-25,8.04,14.62,14.99,14.42,14.78,1465023
2015-11-26,8.19,14.89,14.91,14.56,14.56,747041
2015-11-27,7.72,14.05,14.81,13.95,14.81,1012443
2015-11-30,7.81,14.21,14.4,13.81,14.01,2015200
2015-12-01,7.76,14.11,14.32,13.87,14.17,1239410
2015-12-02,7.85,14.28,14.39,13.86,14.03,1220557
2015-12-03,8.18,14.88,15.31,14.59,14.59,1637930
2015-12-04,8.12,14.77,15.34,14.6,14.88,3128368
2015-12-07,8.29,15.08,15.74,14.84,14.87,1690739
2015-12-08,8.15,14.82,15.05,14.51,14.94,1886978
2015-12-09,8.34,15.17,15.53,14.93,14.97,2448301
2015-12-10,8.19,14.89,15.31,14.69,15.26,1555747
2015-12-11,8.25,15.02,15.45,14.68,14.68,2128111
2015-12-14,8.35,15.2,15.23,14.73,14.91,2084259
2015-12-15,8.41,15.3,15.53,15.03,15.2,1298053
2015-12-16,8.42,15.31,15.52,14.78,15.14,1989993
2015-12-17,8.65,15.74,16.18,15.36,15.44,2101550
2015-12-18,8.23,14.97,15.46,14.85,15.4,1903748
2015-12-21,8.13,14.79,15.25,14.63,14.99,2049157
2015-12-22,8.18,14.88,14.98,14.64,14.9,1633034
2015-12-23,8.39,15.26,15.36,14.92,15.04,1468877
2015-12-28,8.54,15.54,15.57,15.24,15.34,1330759
2015-12-29,8.48,15.43,15.81,15.3,15.54,2389242
2015-12-30,8.47,15.4,15.64,15.14,15.26,3269923
2016-01-04,8.15,14.06,14.81,13.9,14.66,1632201
2016-01-05,8.03,13.85,14.23,13.6,14.16,1059837
2016-01-06,7.85,13.54,13.84,13.34,13.55,1380340
2016-01-07,7.63,13.16,13.41,13.01,13.37,1052337
2016-01-08,7.63,13.16,13.52,13.1,13.26,1027130
2016-01-11,7.65,13.19,13.64,13.12,13.2,1542102
2016-01-12,7.74,13.35,13.45,13.02,13.43,901825
2016-01-13,7.67,13.23,13.52,13.14,13.42,1002132
2016-01-14,7.5,12.94,13.33,12.8,13.3,1568454
2016-01-15,7.26,12.53,13.01,12.53,12.77,1760423
2016-01-18,7.24,12.48,13.0,12.48,12.54,778498
2016-01-19,7.4,12.76,13.25,12.39,13.14,1146915
2016-01-20,7.3,12.6,12.65,12.27,12.55,1149103
2016-01-21,7.3,12.59,12.87,12.25,12.49,1438774
2016-01-22,7.27,12.54,12.97,12.54,12.81,696003
2016-01-26,7.03,12.13,12.53,11.98,12.19,1201287
2016-01-27,7.07,12.19,12.33,11.84,12.14,1368153
2016-01-28,7.1,12.25,12.39,12.0,12.21,1451794
2016-01-29,7.26,12.53,12.73,12.27,12.53,2317684
2016-02-01,7.38,12.72,12.73,12.21,12.37,1030255
2016-02-02,6.95,11.98,12.57,11.98,12.54,1124104
2016-02-03,7.08,12.21,12.38,11.91,12.11,896200
2016-02-04,7.44,12.84,13.19,12.16,12.46,1518457
2016-02-05,7.54,13.0,13.33,12.84,12.84,1495333
2016-02-10,7.57,13.06,13.25,12.88,12.96,573718
2016-02-11,7.36,12.69,12.98,12.58,12.8,1693864
2016-02-12,7.46,12.86,13.23,12.72,13.03,1047129
2016-02-15,7.56,13.05,13.47,13.0,13.23,545178
2016-02-16,7.72,13.32,13.53,13.02,13.02,583821
2016-02-17,7.82,13.49,14.16,13.25,13.28,1537623
2016-02-18,7.79,13.43,13.7,13.0,13.7,827037
2016-02-19,7.74,13.34,13.34,12.7,13.11,2374972
2016-02-22,8.07,13.92,13.97,13.35,13.53,1468460
2016-02-23,7.9,13.62,13.91,13.41,13.91,1134208
2016-02-24,7.85,13.54,13.81,13.28,13.28,1613452
2016-02-25,7.92,13.66,13.96,13.39,13.45,2352369
2016-02-26,7.88,13.58,13.92,13.52,13.63,1231390
2016-02-29,8.32,14.35,14.47,13.55,13.56,2179566
2016-03-01,8.71,15.02,15.02,14.3,14.58,1662720
2016-03-02,9.06,15.63,15.63,14.86,15.07,2670372
2016-03-03,9.82,16.94,16.94,16.94,16.94,4947746
2016-03-04,9.75,16.82,17.89,16.7,16.94,4708489
2016-03-07,9.69,16.7,17.31,16.55,17.08,1950725
2016-03-08,9.59,16.54,17.09,16.38,16.58,4278513
2016-03-09,9.43,16.27,16.94,16.22,16.92,2742556
2016-03-10,9.35,16.13,16.83,15.75,16.61,5055345
2016-03-11,9.24,15.94,16.39,15.94,16.12,4071232
2016-03-14,9.25,15.96,16.4,15.88,16.03,2534338
2016-03-15,8.86,15.27,15.79,15.26,15.56,3055560
2016-03-16,9.12,15.73,15.86,15.11,15.11,2503715
2016-03-17,9.91,17.1,17.1,16.34,16.34,3495118
2016-03-18,9.52,16.42,17.14,16.24,17.05,8490779
2016-03-21,9.66,16.66,16.79,16.45,16.64,1062545
2016-03-22,9.74,16.8,16.81,16.47,16.67,792768
2016-03-23,9.52,16.42,16.79,16.36,16.58,1296074
2016-03-24,9.44,16.28,16.46,16.03,16.03,691940
2016-03-28,9.69,16.71,16.98,16.5,16.77,878388
2016-03-29,9.74,16.8,17.2,16.46,16.74,1357737
2016-03-30,9.85,16.99,17.26,16.8,16.8,1423983
2016-03-31,9.45,16.29,16.29,16.29,16.29,1458
2016-04-01,9.65,16.65,16.65,16.65,16.65,1041
2016-04-04,9.27,15.98,15.98,15.98,15.98,1770
2016-04-05,9.45,16.3,16.3,16.3,16.3,4374
2016-04-06,9.39,16.2,16.2,16.2,16.2,3749
2016-04-07,9.36,16.15,16.15,16.15,16.15,104
2016-04-08,9.39,16.2,16.91,16.13,16.51,2017388
2016-04-11,9.23,15.92,15.92,15.92,15.92,15728
