Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,12.34,15.73,16.35,15.29,16.01,1004300
2015-09-04,11.74,14.96,15.68,14.81,15.3,2031600
2015-09-08,11.82,15.06,15.25,14.57,14.57,859200
2015-09-09,12.28,15.65,15.88,15.25,15.25,1220800
2015-09-10,11.96,15.24,15.53,14.9,15.1,2076400
2015-09-11,12.08,15.39,15.58,15.13,15.3,522700
2015-09-14,12.62,16.08,16.18,15.34,15.45,1293300
2015-09-15,12.67,16.15,16.53,15.94,16.19,859000
2015-09-16,13.18,16.8,16.81,16.26,16.26,1601300
2015-09-17,13.57,17.29,17.4,16.35,16.75,3148800
2015-09-18,12.95,16.5,17.2,16.29,17.17,1786200
2015-09-21,12.62,16.08,16.63,16.08,16.19,1700000
2015-09-22,12.55,16.0,16.0,15.42,15.9,1462200
2015-09-23,12.28,15.65,16.2,15.48,15.97,1949200
2015-09-24,11.93,15.2,15.35,14.78,15.0,1587600
2015-09-25,12.08,15.4,15.69,14.97,15.31,1485900
2015-09-28,11.77,15.0,15.45,14.68,15.29,1189500
2015-09-29,11.93,15.2,15.31,14.82,15.12,1160400
2015-09-30,12.43,15.84,16.2,15.46,15.57,2778000
2015-10-01,12.55,16.0,16.23,15.55,15.86,1793600
2015-10-02,13.36,17.03,17.03,15.77,16.05,2064500
2015-10-05,13.5,17.2,17.37,16.82,17.37,1118700
2015-10-06,13.32,16.98,17.28,16.8,17.24,984100
2015-10-07,13.61,17.35,17.6,16.93,17.25,847300
2015-10-08,13.9,17.72,17.72,17.11,17.11,1041700
2015-10-09,13.73,17.5,18.0,16.97,18.0,1354300
2015-10-13,13.73,17.5,17.74,17.12,17.58,695400
2015-10-14,13.54,17.25,17.67,16.93,17.38,2839200
2015-10-15,13.37,17.04,17.48,16.74,17.17,1000200
2015-10-16,13.34,17.0,17.45,16.7,16.95,2171900
2015-10-19,13.68,17.44,17.65,16.68,16.99,906100
2015-10-20,14.16,18.05,18.15,17.42,17.42,994400
2015-10-21,13.43,17.12,18.08,17.09,18.05,1240800
2015-10-22,13.73,17.5,17.9,17.12,17.12,1384100
2015-10-23,13.74,17.51,18.23,17.5,17.89,1211400
2015-10-26,13.34,17.0,17.71,16.75,17.57,792800
2015-10-27,13.26,16.9,17.12,16.6,16.99,1163100
2015-10-28,12.88,16.42,17.14,16.25,16.79,38100
2015-10-29,12.91,16.45,16.72,16.05,16.12,1151600
2015-10-30,13.13,16.74,17.15,16.29,16.44,1153500
2015-11-03,13.85,17.65,17.94,16.95,17.15,1709500
2015-11-04,14.24,18.15,18.5,17.84,17.84,1988900
2015-11-05,14.44,18.4,18.75,17.75,18.14,827100
2015-11-06,14.33,18.26,18.53,17.77,18.44,883200
2015-11-09,14.16,18.05,18.44,17.68,18.15,854500
2015-11-10,13.91,17.73,17.88,17.22,17.72,794200
2015-11-11,14.12,17.99,18.38,17.85,18.0,714700
2015-11-12,14.08,17.94,18.74,17.73,18.17,586200
2015-11-13,14.34,18.28,18.5,17.63,17.94,1335800
2015-11-16,14.38,18.33,18.86,18.12,18.45,1607900
2015-11-17,14.59,18.59,18.78,18.15,18.6,895900
2015-11-18,14.65,18.67,18.94,18.38,18.4,994800
2015-11-19,15.08,19.22,19.37,18.72,19.0,1060500
2015-11-23,15.92,20.29,20.57,19.67,19.94,1825800
2015-11-24,15.63,19.92,20.77,19.35,20.04,1165300
2015-11-25,14.9,18.99,19.63,18.82,19.53,1587200
2015-11-26,15.1,19.25,19.27,18.62,19.12,661200
2015-11-27,14.68,18.71,19.23,18.27,19.19,990200
2015-11-30,14.85,18.92,19.15,18.26,18.41,2313100
2015-12-01,14.59,18.6,19.16,18.48,18.81,868700
2015-12-02,14.75,18.8,19.17,18.34,18.5,873900
2015-12-03,15.16,19.32,19.51,18.83,19.37,1246000
2015-12-04,14.56,18.56,19.46,18.3,19.37,1677700
2015-12-07,14.32,18.25,18.8,18.04,18.75,1573700
2015-12-08,14.44,18.4,18.42,17.86,18.26,1489000
2015-12-09,14.89,18.98,19.5,18.48,18.75,1765800
2015-12-10,14.38,18.33,19.2,18.32,19.2,1101700
2015-12-11,14.13,18.01,18.5,17.79,18.43,2085800
2015-12-14,13.81,17.6,18.1,17.29,17.67,2350800
2015-12-15,14.04,17.89,18.06,17.52,17.6,1949800
2015-12-16,13.98,17.82,17.82,17.38,17.52,909300
2015-12-17,14.31,18.24,18.37,17.88,18.24,1780600
2015-12-18,13.81,17.6,17.87,17.31,17.79,2315900
2015-12-21,14.12,18.0,18.0,17.36,17.49,1372900
2015-12-22,14.15,18.03,18.33,17.8,18.11,1302600
2015-12-23,15.14,19.3,19.62,18.28,18.28,1445500
2015-12-28,14.91,19.0,19.4,18.94,19.4,818800
2015-12-29,14.8,18.86,19.18,18.71,19.0,774100
2015-12-30,14.85,18.93,19.0,18.57,19.0,1125300
2016-01-04,14.24,18.15,18.61,18.05,18.55,832400
2016-01-05,14.4,18.35,18.35,17.77,18.15,996600
2016-01-06,13.93,17.75,18.35,17.75,18.0,1454100
2016-01-07,13.04,16.62,17.39,16.27,17.39,1993600
2016-01-08,13.2,16.82,16.85,16.47,16.62,1602900
2016-01-11,13.54,17.25,17.62,17.0,17.24,964000
2016-01-12,13.85,17.65,17.97,17.21,17.6,1917600
2016-01-13,14.22,18.12,18.31,17.85,17.89,2131600
2016-01-14,14.3,18.23,18.45,17.92,18.23,997300
2016-01-15,13.89,17.7,17.94,17.36,17.85,1692900
2016-01-18,14.85,18.93,18.93,17.9,18.06,1143700
2016-01-19,14.99,19.1,19.48,18.8,19.29,1445300
2016-01-20,14.91,19.0,19.17,18.6,18.75,1414900
2016-01-21,14.71,18.75,19.03,18.61,18.9,2009300
2016-01-22,15.29,19.49,19.63,18.77,18.85,1460400
2016-01-26,15.52,19.78,19.81,19.04,19.49,1556100
2016-01-27,16.19,20.64,20.86,19.7,19.79,2173000
2016-01-28,16.37,20.86,20.86,20.35,20.71,1605700
2016-01-29,16.73,21.32,21.49,20.65,20.9,2079900
2016-02-01,16.74,21.34,21.59,20.95,21.5,1528200
2016-02-02,16.24,20.7,21.01,20.52,20.86,1711500
2016-02-03,16.3,20.78,20.94,20.52,20.94,1987900
2016-02-04,16.87,21.5,21.8,20.89,20.95,1938200
2016-02-05,17.15,21.86,21.99,21.26,21.49,1162400
2016-02-10,17.22,21.95,21.98,21.43,21.43,1415900
2016-02-11,16.87,21.5,21.63,21.21,21.5,1349500
2016-02-12,16.71,21.3,21.57,20.98,21.41,932800
2016-02-15,17.11,21.8,22.2,21.44,21.77,542300
2016-02-16,17.32,22.08,22.08,21.4,21.84,1199300
2016-02-17,17.43,22.21,22.64,21.88,22.11,1926200
2016-02-18,17.34,22.1,22.27,21.74,22.04,1696000
2016-02-19,17.43,22.22,22.26,21.59,21.75,1305300
2016-02-22,18.14,23.12,23.45,22.47,23.33,2590900
2016-02-23,18.02,22.96,23.19,22.77,23.19,2028700
2016-02-24,17.03,21.7,22.52,21.56,22.52,2078900
2016-02-25,17.38,22.15,22.15,21.37,21.55,6656800
2016-02-26,17.47,22.27,22.79,21.92,22.34,1026900
2016-02-29,17.74,22.61,22.81,22.1,22.1,1961600
2016-03-01,17.98,22.91,23.08,22.47,22.88,2078500
2016-03-02,17.81,22.7,23.13,22.32,22.9,3125100
2016-03-03,18.22,23.22,23.6,22.43,23.05,2590900
2016-03-04,17.93,22.85,23.95,22.81,23.44,3344100
2016-03-07,17.89,22.8,23.27,22.63,22.87,1828300
2016-03-08,17.96,22.89,23.02,22.56,22.8,2152700
2016-03-09,17.88,22.79,23.18,22.38,23.18,1884900
2016-03-10,18.01,22.95,23.17,22.6,23.0,2515400
2016-03-11,18.01,22.95,23.07,22.49,23.0,2525900
2016-03-14,17.69,22.55,23.17,22.3,22.72,2566600
2016-03-15,17.54,22.36,22.66,21.96,22.45,1629000
2016-03-16,17.73,22.6,22.63,22.01,22.14,2197900
2016-03-17,18.14,23.12,23.25,22.7,23.0,4915700
2016-03-18,18.16,23.15,23.65,23.06,23.28,2721200
