Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,2.16,3.45,3.49,3.26,3.29,1123848
2015-09-04,2.2,3.51,3.51,3.37,3.41,1030436
2015-09-08,2.11,3.37,3.55,3.37,3.55,624844
2015-09-09,2.13,3.39,3.41,3.38,3.39,290884
2015-09-10,2.14,3.41,3.48,3.32,3.41,446732
2015-09-11,2.11,3.36,3.44,3.36,3.41,620488
2015-09-14,2.14,3.41,3.41,3.36,3.36,792308
2015-09-15,2.08,3.33,3.49,3.29,3.49,724064
2015-09-16,2.06,3.29,3.33,3.25,3.33,1267112
2015-09-17,2.19,3.49,3.54,3.27,3.29,3811016
2015-09-18,2.21,3.53,3.64,3.47,3.49,1192576
2015-09-21,2.25,3.6,3.61,3.52,3.56,346060
2015-09-22,2.22,3.55,3.63,3.4,3.56,2015860
2015-09-23,2.23,3.55,3.59,3.49,3.54,1352780
2015-09-24,2.27,3.63,3.7,3.51,3.59,666468
2015-09-25,2.32,3.7,3.73,3.65,3.65,1133528
2015-09-28,2.29,3.66,3.68,3.64,3.68,259908
2015-09-29,2.32,3.7,3.73,3.62,3.64,390588
2015-09-30,2.32,3.7,3.75,3.62,3.69,406560
2015-10-01,2.29,3.66,3.75,3.63,3.75,1142240
2015-10-02,2.3,3.67,3.7,3.62,3.68,680988
2015-10-05,2.31,3.68,3.7,3.61,3.66,657756
2015-10-06,2.28,3.63,3.71,3.62,3.69,1434092
2015-10-07,2.31,3.69,3.74,3.63,3.66,509168
2015-10-08,2.33,3.72,3.73,3.63,3.73,808764
2015-10-09,2.2,3.51,3.77,3.51,3.71,671792
2015-10-13,2.27,3.62,3.62,3.33,3.46,1061412
2015-10-14,2.19,3.49,3.62,3.46,3.6,340736
2015-10-15,2.26,3.61,3.61,3.49,3.51,289432
2015-10-16,2.23,3.56,3.71,3.56,3.62,1016400
2015-10-19,2.31,3.69,3.71,3.53,3.54,783112
2015-10-20,2.27,3.62,3.78,3.58,3.68,4139168
2015-10-21,2.28,3.63,3.65,3.55,3.6,5987564
2015-10-22,2.25,3.6,3.71,3.58,3.6,468028
2015-10-23,2.28,3.64,3.67,3.57,3.63,384780
2015-10-26,2.3,3.67,3.74,3.6,3.65,264748
2015-10-27,2.27,3.62,3.67,3.6,3.67,228932
2015-10-28,2.24,3.57,3.59,3.56,3.56,197956
2015-10-29,2.29,3.65,3.7,3.55,3.58,322828
2015-10-30,2.23,3.56,3.68,3.55,3.67,928796
2015-11-03,2.39,3.82,3.82,3.56,3.61,1752564
2015-11-04,2.35,3.76,4.09,3.69,3.83,1200804
2015-11-05,2.31,3.68,3.78,3.63,3.75,800536
2015-11-06,2.26,3.61,3.8,3.58,3.63,1319868
2015-11-09,2.27,3.63,3.7,3.53,3.7,14302684
2015-11-10,2.29,3.65,3.65,3.57,3.65,482064
2015-11-11,2.3,3.68,3.71,3.61,3.65,195052
2015-11-12,2.3,3.68,3.74,3.62,3.66,699380
2015-11-13,2.3,3.67,3.7,3.63,3.66,635492
2015-11-16,2.21,3.53,3.67,3.52,3.67,1144176
2015-11-17,2.29,3.66,3.68,3.53,3.54,1242428
2015-11-18,2.3,3.68,3.7,3.64,3.66,752620
2015-11-19,2.43,3.87,3.87,3.64,3.64,986876
2015-11-23,2.32,3.71,3.92,3.67,3.82,1637372
2015-11-24,2.22,3.55,3.73,3.52,3.68,1140304
2015-11-25,2.23,3.55,3.56,3.47,3.53,759396
2015-11-26,2.22,3.54,3.56,3.47,3.53,640332
2015-11-27,2.25,3.58,3.58,3.47,3.51,591448
2015-11-30,2.23,3.56,3.61,3.5,3.58,685344
2015-12-01,2.13,3.4,3.63,3.37,3.62,1085612
2015-12-02,2.14,3.42,3.44,3.37,3.4,3735028
2015-12-03,2.2,3.51,3.51,3.4,3.43,1745304
2015-12-04,2.15,3.43,3.53,3.37,3.51,1101584
2015-12-07,2.14,3.41,3.52,3.41,3.47,509652
2015-12-08,2.08,3.33,3.42,3.33,3.41,1513468
2015-12-09,2.1,3.36,3.39,3.33,3.33,1260336
2015-12-10,2.06,3.29,3.36,3.29,3.35,1842104
2015-12-11,2.06,3.3,3.32,3.23,3.31,1017852
2015-12-14,2.03,3.23,3.3,3.15,3.27,797148
2015-12-15,2.04,3.25,3.27,3.22,3.26,820864
2015-12-16,2.07,3.31,3.31,3.22,3.25,2144120
2015-12-17,2.13,3.4,3.4,3.31,3.31,1382304
2015-12-18,2.09,3.34,3.38,3.3,3.38,1810644
2015-12-21,2.1,3.35,3.39,3.27,3.39,1122396
2015-12-22,2.1,3.36,3.36,3.28,3.36,1783540
2015-12-23,2.13,3.4,3.43,3.33,3.33,2077812
2015-12-28,2.15,3.43,3.43,3.36,3.4,743908
2015-12-29,2.13,3.39,3.41,3.3,3.39,612260
2015-12-30,2.13,3.4,3.47,3.35,3.36,1114652
2016-01-04,2.09,3.33,3.44,3.27,3.42,758428
2016-01-05,2.05,3.27,3.31,3.27,3.29,800536
2016-01-06,2.12,3.39,3.39,3.21,3.26,681472
2016-01-07,2.1,3.36,3.36,3.29,3.34,732776
2016-01-08,2.08,3.32,3.37,3.25,3.36,756008
2016-01-11,2.07,3.31,3.32,3.25,3.32,841676
2016-01-12,2.08,3.32,3.34,3.26,3.3,567248
2016-01-13,2.07,3.31,3.31,3.26,3.3,511588
2016-01-14,2.13,3.4,3.4,3.25,3.31,581768
2016-01-15,2.12,3.38,3.39,3.27,3.37,839256
2016-01-18,2.12,3.39,3.48,3.34,3.45,364936
2016-01-19,2.11,3.37,3.47,3.29,3.38,829576
